-0.0024754+0.0012173i,0.00010665+0.0013173i,0.00016769+0.0012527i,0.00082814+0.0010153i,0.00087988+0.0024681i,0.0007319+0.002401i,0.00088805+0.0013343i,0.0010249+0.00063745i,0.00082254+0.00021462i,0.00078755+0.00018884i,0.00042964-0.00019707i,-3.6461e-05-0.00038561i,0.00028189-3.5798e-05i,-0.00040302-0.00018148i,-0.001086-0.00033287i,-0.00081088+5.4519e-05i,-0.00043432+0.00061809i,-0.00023068+0.0010695i,-0.00060414+0.00091992i,-0.0012834-0.00065543i,-0.00077688-0.00098535i,-0.00044241-0.00012617i,-0.0011871-9.7842e-05i
0.0013906+0.001563i,0.001075+0.00040722i,0.00073308+0.00031183i,0.00064499+0.00028272i,0.00079501+0.00040948i,0.00033835+0.00069971i,-1.4996e-05+0.00083149i,0.00019632+0.00046809i,0.00050699-3.3299e-05i,0.00048305-0.00019137i,7.6105e-05+0.00026448i,-0.00033219+0.00074274i,-0.0001758+0.00077042i,0.00018282+0.00028256i,-9.7833e-07+0.00017694i,-0.00062338+0.00029295i,-0.00080472-0.00030248i,-0.0001426-0.00063074i,0.00016055-0.00063726i,0.00017849-0.00026347i,0.00011955-6.1759e-05i,3.8865e-05+0.00035628i,-0.00017949+0.00071203i
-0.00061271+0.00047755i,-0.0010517-0.0001217i,-0.0008728-0.0010375i,-0.00063798+7.5983e-05i,-0.00016294+0.00096369i,0.0007157-0.00017506i,0.00049719-0.00050142i,0.0003322-0.00040885i,0.0005062+0.00043732i,0.00024871+0.00098454i,-4.8832e-05+0.00079951i,0.00071225+0.00058789i,0.00060617+0.00051585i,0.0001285+0.00061407i,0.00033591+0.00096383i,2.5816e-06+0.00088349i,0.00011721+0.00036645i,-0.0003065+0.00035709i,-0.00064189-1.4592e-05i,-5.0005e-05-5.205e-05i,0.00034501+0.00067486i,0.00026309+0.0007757i,0.00019299+0.00055979i
0.00059067-0.00063064i,4.5479e-05-0.00070244i,-0.0001421-0.0003311i,0.00060844+0.0010218i,0.00083358+0.0019744i,-0.00010917+0.00072666i,-0.00066355-0.00033013i,-0.00034136+3.4555e-05i,0.00055903+0.00036333i,0.00079422+0.0011043i,0.00030776+0.00094204i,4.3155e-05+0.00053943i,-0.00062707+0.00061462i,-0.0008173+0.00026463i,-0.00036337+3.2237e-05i,-0.00049849-0.00032042i,-0.0002842-0.00047655i,-0.00053927-0.0002188i,-0.00015424+0.0001718i,0.00053972+0.00019644i,0.00044222+0.00061505i,-2.1752e-05+0.00023986i,-0.00046691-0.00058462i
-0.0010172-0.00097621i,-0.001126-0.00037317i,-0.00098495+0.00036501i,-5.1995e-05+0.00090664i,0.0010115+0.0009366i,0.0015381+0.0014383i,0.0010426+0.00099182i,-0.00033232-0.00061247i,-0.00092866-0.00079011i,-0.00011331-1.3291e-05i,-2.2239e-05+0.00062731i,-0.00097014+0.00066504i,-0.00061841+0.00029554i,0.00015174+0.00032233i,-0.0002059+0.00018807i,-0.00028249+9.9778e-05i,6.2296e-05-6.0316e-06i,0.00040923-0.00013689i,0.00051299-0.0001933i,1.9465e-05+3.1717e-05i,-0.00012103+1.0166e-05i,0.00050459+1.326e-05i,2.2883e-05-0.00016815i
0.00055668+0.00047956i,0.002101+0.00015772i,0.0031091+0.00023909i,0.0012738+0.00031253i,0.00027387+0.00034568i,0.0007794+0.00038527i,0.00075154+0.00011666i,0.00025747+0.00055859i,0.00014369+0.001312i,0.00023809+0.0012724i,0.00047921+0.00043896i,0.00084949+0.00025877i,0.00035914-0.00027999i,-0.00049303-0.00090413i,-0.00033307-0.00042593i,-0.00012149+0.00059499i,-0.00053318+0.0007731i,-0.00058209+2.8138e-05i,-0.00058811-0.00066117i,-9.5515e-05-0.00017214i,3.1824e-05+0.00031977i,-0.00090223+1.8788e-05i,-0.00091626+0.00014288i
-0.0012855+0.0028893i,-0.0022734+0.0015623i,-0.0016436+0.00066607i,0.00032985+0.0011124i,0.0018689+0.0016823i,0.0015736+0.0010801i,0.00026637+7.9043e-05i,-0.00025291-0.00052979i,0.00035693-0.00064892i,0.00027094-1.8759e-06i,0.00026934+0.00082782i,0.00053837+0.0010973i,0.00052499+0.00057202i,0.00014127-0.00013384i,0.00056126-0.0002629i,0.00074266+0.00021207i,0.00021472+0.0001988i,0.0006586-0.00045471i,0.00061164-0.00089764i,-0.00017341-0.00044109i,-0.00097945-0.00013804i,-0.00071097-0.00018915i,-0.00015627-0.00039425i
4.0217e-05-0.0010982i,0.00056203-0.0010479i,0.00053907-0.00049504i,-0.00026738+0.00080394i,-0.00075827+0.001182i,-0.00028895+0.00125i,0.00036204+0.00058438i,0.00029672-9.6245e-06i,4.6727e-05-0.00018176i,0.00024938-0.0001545i,0.00034554-0.00010457i,0.00086554-0.00027118i,0.00054054-0.00012717i,-0.0003533+0.00010869i,-0.00049853+0.0005676i,-8.0027e-05+0.00042269i,0.00036183+0.00034054i,-8.2884e-05+0.00017365i,-0.00044437-0.00059841i,6.0816e-05-0.00088769i,0.00052269-0.00023187i,0.000454+3.1806e-05i,0.00062546-0.0001021i
0.0013209-0.00049421i,0.0012495-0.0009506i,0.0015289-0.00051114i,0.00061254+0.00046851i,-0.00053829+0.0007353i,-0.00019619+0.00020504i,0.00029256-0.00020643i,0.00044294-0.0002508i,-1.2684e-05+0.0003225i,-0.00013991+0.00038721i,0.00016075+0.00033197i,0.00018542+0.00034684i,-0.00050327+0.0001159i,-0.0012303+0.00032493i,-0.000115+0.00078108i,0.00018285+0.00011293i,-0.00024667-0.00023023i,-0.00026078-0.00053573i,-0.00028424-0.00064333i,-0.00042878-0.0002003i,-0.00045491-0.00024431i,-0.0003694+7.5838e-05i,-0.00049915+0.0004273i
-0.0017138+0.0012737i,-0.0020583+0.0013755i,-0.0012383+0.001274i,0.00035934+0.00035958i,0.0012416+0.00042481i,0.00072735+0.0011428i,4.5128e-05+0.00058988i,-0.00045907+0.00027645i,-9.8823e-05+0.00088172i,0.00030594+0.00087698i,-0.00012172+0.00058616i,-0.00041328+2.5285e-06i,-0.0007312-0.0004432i,-0.00057141-0.00027934i,9.5399e-05+0.00020897i,-0.00021197+0.00050645i,-0.00060833-9.6788e-05i,-0.00085312-0.00061261i,-0.00072732-0.00033682i,-0.00074869+0.00016096i,-0.0011426+0.00032542i,-0.00089335+0.00018552i,-0.00022841+0.00063316i
-0.0019015+0.0006419i,-0.0017115-6.3941e-05i,-0.0017915+0.00016404i,-0.0010063+0.0014887i,0.00051175+0.0023443i,0.00084415+0.0018147i,0.0007096+0.00010928i,0.00067022-0.00026727i,0.00014503+0.0010423i,0.00012686+0.00098284i,0.00032167+4.1563e-05i,0.00060341+0.00050391i,0.00068521+0.00022942i,0.00056778-0.0014828i,0.00012554-0.0019464i,5.5708e-06-0.00082565i,0.00026172+0.00023729i,0.00042953-0.0002097i,0.00038776-0.00079344i,-8.9624e-05-5.7321e-05i,-0.00075258+0.0012904i,-0.00061194+0.00082306i,-0.00048439-4.8234e-05i
