-0.0048428+0.00067165i,-0.0053332+0.0010465i,-0.0065103+0.0026415i,-0.0052909+0.0033206i,-0.0030834+0.0030141i,-0.0016844+0.0027009i,-0.0010493+0.0024896i,-0.0007317+0.002511i,-0.00080794+0.0017973i,-0.00032834+0.0013837i,0.00049118+0.00064793i,0.00064149-0.00032247i,0.0005541+0.00020333i,0.00030163+0.0013399i,-0.00044464+0.0016879i,-0.00039288+0.0010243i,0.00016852+0.0010266i,0.0004705+0.00083976i,0.00035789+0.0007437i,-0.00022048+0.00076249i,3.3429e-05+0.00036505i,0.00066091+0.00024086i,0.00031991+0.00034309i
-0.00075542-0.0014239i,-0.0013159-0.0012623i,-0.00015641-0.0014398i,5.2418e-05-0.0013936i,4.4899e-05-0.00093144i,-0.00031773-0.00073015i,-0.00058979-0.00038186i,-0.00028785-0.00019645i,-7.8365e-05-0.00042877i,-0.00026564-0.00028073i,-0.00012306+7.7155e-05i,-0.00034826+0.00085071i,-0.001267+0.00074409i,-0.00088639+0.00012613i,0.00017537+0.00015224i,-0.00015566+0.00015978i,-0.0006836+3.3371e-05i,-0.00027035+0.00019202i,0.0007714+2.2342e-05i,0.00017905-0.00015694i,-0.0010125-0.00013833i,-0.00076406-5.0142e-05i,1.2643e-05-0.00028385i
-0.00017247+3.0154e-05i,-0.0016578-3.5355e-05i,-0.00097859+0.00034422i,5.7153e-05+0.00090728i,0.00016749+0.00079265i,-0.00025833+0.00067062i,-0.00025491+0.00095787i,-0.00015176+0.00082145i,-1.7737e-07+0.00095896i,0.0005834+0.0013189i,0.00074042+0.00082869i,7.7892e-05+0.00064957i,-0.00087507+0.00080284i,-0.0012164+0.00059789i,-2.1588e-05+0.00054677i,0.0003371+0.00062474i,-7.7898e-05+0.00081525i,-0.0003355+0.00062802i,-0.00037786+0.00060636i,-0.00085385+0.00072351i,-0.00083068+0.0011315i,-6.8269e-05+0.0015264i,0.00034664+0.000517i
-0.00018722-0.00016816i,0.00063327-0.00018087i,0.00022899-0.00031961i,-0.0012599+0.00010232i,-0.0014866+0.00019421i,-0.0016468-4.7935e-05i,-0.0017461-0.00012168i,-0.001184+0.00060538i,-0.0006385+0.00050723i,-0.00031376+0.0004314i,2.3159e-05+0.0005918i,0.00038164-3.4848e-05i,0.0003955-0.00024753i,0.00012284+0.00011653i,2.2901e-05+8.9212e-05i,0.00025969-0.00010856i,0.0005162-0.00011946i,0.00059286-0.00037865i,0.00018619-0.00054374i,5.0336e-05-0.00038681i,-1.7989e-05-0.00053609i,-0.00052618-0.00023831i,-0.00040183+0.00053768i
0.0016432+0.0024917i,0.0021617+0.0020413i,0.0024882+0.00083193i,0.0023516-0.00014058i,0.0015016-0.00030463i,4.0876e-06+0.00069153i,-0.00084134+0.00064753i,-0.00057703+0.00064035i,-0.00036577+0.0011627i,-0.00041291+0.00070628i,-0.00046338+0.00050062i,-0.00027004-0.00018383i,-0.0003091-0.00063115i,-0.00012096-0.0002535i,-0.00017153-6.0749e-05i,-0.00019988-8.0617e-05i,-0.00031726+3.0735e-05i,-0.00083548+0.00021631i,-0.00075117+0.0003444i,-0.00018634-0.00024471i,0.00062696-0.00042276i,0.00074469-0.00032391i,0.001049-0.00035972i
-0.00014189+0.0001897i,-2.918e-05-0.0002034i,0.00034063-0.00029599i,-0.00090137+0.00045221i,-0.0020014+0.00064937i,-0.0016842+0.0010509i,-0.00050053+0.0012714i,5.6351e-05+0.0011643i,-0.00024956+0.00081768i,-0.00019734+0.00044792i,0.0003688+4.457e-05i,0.00068383-0.00062405i,0.00035956-0.00089899i,3.1485e-05-0.00018353i,-0.00074926+0.00051065i,-0.0010053+0.00056726i,-0.00046642+0.0004785i,-0.00028282+1.9169e-05i,0.00024313-0.00013586i,0.00096573-2.4158e-05i,0.00068252+0.00033514i,0.00033172+0.0008696i,-8.6103e-05+9.1986e-05i
0.00017797-0.0012332i,0.00076627-0.0015136i,0.00087335-0.002567i,0.00035107-0.0014486i,-4.9112e-05-0.00051886i,0.00062812-0.00069986i,0.00057719+1.846e-05i,0.00033964+0.00065259i,0.00026271+0.00097497i,-9.3127e-05+0.00067764i,0.0011852-0.00037532i,0.0022327-0.00041013i,0.00095648+7.3012e-05i,-0.00023831+9.3249e-05i,-0.00031659+4.4392e-05i,-0.00024351+0.00015298i,-0.00019852+0.00072872i,-0.00018814+0.00055229i,-0.00041543-0.00027547i,-0.00010557-0.00063356i,0.00044559-0.00074794i,9.3655e-05-0.00056154i,-0.00081986+9.6631e-06i
0.0011912-0.00025142i,0.00061732+0.0011587i,0.00012534+0.001175i,0.00017311-0.00010202i,-0.00059003-0.00027899i,-0.0012499+0.0014241i,-0.0013229+0.0025281i,-0.0016726+0.0023526i,-0.00076711+0.00094467i,-0.00045048+0.00014233i,0.00013136+0.00084023i,0.00067353+0.00057247i,-0.00053258+4.5648e-05i,-0.00045935+3.4306e-05i,-0.00027314+0.00042904i,-0.00046143+0.00081661i,-0.00060942+0.0010113i,-0.00035058+0.0014422i,0.00021108+0.00072787i,0.00015857-5.3656e-05i,4.3132e-05+0.00036511i,1.3493e-05+0.00022189i,0.00010966-0.00035091i
3.244e-05-0.0004743i,-0.00038665-0.0014368i,0.00056364-0.0015669i,0.00074405-0.00074691i,-0.00068305-0.00039632i,-0.0013273-7.806e-05i,-0.00081822+0.00084921i,-1.2321e-05+0.0016568i,0.00045507+0.0015937i,0.00027031+0.00059545i,0.00027634+0.00035197i,3.3485e-05-0.00036913i,-0.0006371-0.00075202i,-0.0012595-0.00014681i,-0.0014007+0.00048824i,-0.0011099+0.0014696i,-0.00085625+0.0017298i,-0.00043546+0.0017185i,0.00025146+0.0013212i,-0.00022093+0.00098509i,-0.001135+0.0007053i,-0.00049149-0.00049145i,1.1488e-05-0.0010933i
-0.00045515+0.0013462i,-0.00012738+0.0013988i,-5.0149e-05+0.001308i,0.00044183+0.0008371i,0.00055717+6.4961e-05i,-0.00038178+0.00024838i,-0.00054937+0.00070717i,-0.00057071+0.00076768i,-0.0012169+0.00066313i,-0.00080007+0.00044338i,0.00023322-4.881e-05i,0.00081289-9.789e-05i,0.00093191+0.0002737i,8.6978e-05+0.00059415i,-0.0004856+0.00063757i,-9.8342e-05+0.00077768i,-0.0001444+0.00066003i,-0.00067434-0.00029091i,-0.00046121-0.0008394i,0.00021418-0.00035975i,0.00048013-0.0001627i,0.00051707-6.602e-05i,0.00078857+0.00048553i
-4.0014e-05+3.775e-05i,2.214e-05-0.00050706i,0.00087042-8.5766e-05i,0.0010041+0.00076894i,-0.00010962+0.00090992i,-0.0010438+0.00055633i,-0.0013436+0.0006636i,-0.0009496+0.00036966i,-0.00040025-0.00013875i,-0.00025368+0.00040756i,0.00027759+0.00050389i,0.0003545+0.00014886i,0.00013187+0.00028968i,-1.8389e-05+0.00070394i,-0.00013756+0.00079391i,0.00015765+0.0009614i,0.00023338+0.0017272i,-3.874e-05+0.0010477i,-0.00023386-0.00054119i,-0.00039888-0.00033219i,-0.00057451+0.00013294i,-0.00043445+0.00043309i,-0.00053616+0.00033119i
