-0.00097317+0.00017176i,-0.00072808+0.00016042i,-0.001296-6.2388e-06i,-0.0013482+9.2761e-05i,-0.0022472+0.00091383i,-0.0031057+0.0015734i,-0.0019493+0.0021358i,-9.7123e-05+0.0023241i,0.001241+0.0014402i,0.0010642+0.00068233i,0.0005678+0.00027967i,0.00045389+0.00038666i,0.00062877+0.00059959i,-2.9335e-05+0.00021502i,-0.00041483+0.0002946i,8.6606e-05+0.0005569i,0.00033579+0.00025012i,0.00046846-9.4451e-05i,0.00070701+0.00041597i,0.00082685+0.00051642i,0.00043757+0.00040036i,-4.2964e-05+0.0002272i,5.9359e-05+0.00087081i
0.00026332+0.00069772i,-0.0004201+0.0014383i,-0.00080325+0.0021738i,-0.00077542+0.0016396i,-9.6418e-05+0.00046245i,0.00047782+0.0003221i,0.00056285+0.00056629i,0.00061583+0.001176i,0.00072884+0.0015711i,0.00062318+0.0012223i,0.00029883+0.00066375i,-0.00075051-1.6696e-05i,-0.0011823-0.00034703i,-0.00031193-0.00041777i,0.00021294-0.00063605i,8.7903e-05-0.00068615i,0.00030611+0.00032356i,0.00048723+0.00084269i,0.00020077+0.00014115i,6.3697e-05-0.00035961i,0.00047034-0.0004999i,0.00075939-0.00074965i,0.0010638-0.00045466i
-0.0014388+0.00087814i,-0.0014797+0.0010048i,-0.0016367+0.00086252i,-0.0012701+0.0013862i,-0.00057971+0.0014818i,0.00063058+0.00095873i,0.00046217+0.0012381i,-0.00016943+0.0017173i,-0.0001944+0.0014797i,-0.00040393+0.00098156i,-0.00044644+0.00060288i,-0.00041534+0.00057321i,-0.00046969+0.00053787i,-0.00060517+0.00033404i,-0.00060212+0.00017468i,0.00042706-1.7998e-05i,0.00060412-0.00035717i,-0.0004819-0.00054208i,-0.0011-0.00047794i,-0.00093108-0.00034957i,0.00016571-0.0011195i,0.00036355-0.0010568i,0.00026887-0.00019804i
-0.001272-0.0013712i,-0.0002762-0.0017339i,0.00080818-0.00090486i,-5.4571e-05-0.00056542i,-0.0013488-8.3945e-05i,-0.0015044+0.00061715i,-0.00051707+0.001721i,0.00038886+0.0020041i,-8.2527e-05+0.001343i,-0.00062624+0.00035492i,-8.0383e-05-0.00072666i,-0.00065574-0.00086912i,-0.0010215-0.0010291i,-0.00029715-0.00085771i,0.00050314-0.00040782i,0.00061622-0.00018679i,-0.00043713+0.00030186i,-0.0008503+0.001314i,-0.00048092+0.0011371i,4.554e-05-6.4873e-06i,9.1433e-05-0.00026661i,-0.00038144-0.00019233i,-0.00073275-0.00040372i
0.0023121+0.0013874i,0.0028116+0.0011793i,0.0025804+0.00097382i,0.0031003+0.0013238i,0.0021069+0.00073607i,0.00075447-0.00020349i,0.0003655+0.00033039i,0.00037845+0.00036394i,-7.3587e-05+0.00043937i,-0.0004134+0.00078601i,-0.00012182+0.00042045i,-0.00011729-0.00059894i,0.00028799-0.0012318i,0.00033845-0.00046819i,0.00013285+0.00038087i,0.00025585+0.00043963i,0.0008202-0.00035273i,0.00063016-0.00047028i,-0.00024778-5.8828e-05i,-0.00029073+0.00016271i,0.00025748+0.00086855i,0.00028469+0.0014168i,0.00011918+0.0012266i
-0.0013752+0.0019762i,-0.00022913+0.0014187i,0.00038005+0.00067928i,-6.1628e-05+0.0010507i,-0.00041567+0.0011679i,-0.00021069+0.001372i,0.0001789+0.0016599i,7.3752e-05+0.00039696i,0.00018241-1.7169e-05i,0.00018293+0.00083235i,0.00026162+0.00042541i,-0.0003882-0.0007406i,-0.00072772-0.0005604i,-0.00039683+0.00015613i,-0.00085025+4.2041e-05i,-0.00045637-0.00025198i,0.00024515-0.00045971i,0.00073452+9.3774e-06i,0.0005789+0.00079601i,0.0001273+0.00051545i,-0.0001282+0.0003668i,0.00019971+0.00023628i,0.00018495+0.00022097i
0.00083946-0.00031321i,0.001315+0.00014831i,0.0022651+6.3587e-05i,0.0019308-0.00035766i,0.00076144+0.00064354i,-8.5788e-05+0.0014927i,-0.00037847+0.0017742i,-0.00037508+0.0017188i,-0.00016659+0.001032i,-0.00010056+0.00040055i,-0.0006545+0.00037935i,-0.0011263+0.00035268i,-0.00087754+0.00050673i,-8.1759e-05+0.00027049i,0.00033068-0.00037969i,0.00043099-0.00012377i,0.00043469+0.00068071i,0.0004733+0.0008116i,0.00044201+0.00043328i,0.00047186+5.0162e-05i,0.00078981-0.00012683i,0.00040285-0.00012295i,-6.5249e-06-0.00011157i
-8.2983e-05-0.0022067i,-0.00072562-0.0029298i,-0.0008542-0.0033448i,-0.0013579-0.0027388i,-0.0017659-0.00079976i,-0.0011259+0.0013515i,6.2199e-05+0.0016596i,0.0009366+0.00079711i,0.0012366+0.0006425i,0.00069169+0.0006681i,-0.00054346+0.00059713i,-0.0012447+0.00078842i,-0.001509+0.0002567i,-0.0013764-0.00012673i,-0.00015381-7.9879e-05i,0.00075636-0.00038817i,0.0012074-0.00043154i,0.00059963-0.00026403i,-0.00073171+0.00027764i,-0.00070061+0.0011204i,-7.0749e-05+0.0011713i,0.00012562+0.00097634i,-0.00031419+0.00046576i
0.00041029-0.00016162i,0.0013726+0.0003137i,0.0020931-0.00070578i,0.0010275-0.0011261i,-0.0006183-0.00029546i,-0.0011056+0.00047651i,-0.00075899+0.0015278i,0.00024535+0.00098618i,0.00039675+4.711e-05i,0.00020849+0.00045044i,0.00033192+0.00089442i,0.00043071+0.00097015i,0.00015065+0.00081667i,-5.0044e-05+0.0004194i,-0.00039209+0.00054418i,-0.00046876+0.00028956i,7.4386e-05+0.00035824i,0.00038333+0.00057259i,0.0013106+0.00025155i,0.0015703-0.00029047i,0.00095081-0.00078992i,0.00032143-0.00016896i,-0.00032666-0.00022746i
-0.0022772+0.0036663i,-0.0021586+0.0043996i,-0.00096242+0.0044433i,4.9224e-05+0.0036196i,0.0012312+0.0033139i,0.0011573+0.0029035i,0.00038918+0.0016083i,0.00022229+0.00083605i,-0.00033744+0.001324i,-0.00047088+0.0014745i,-0.00073701+0.0013017i,-0.00063621+0.00072172i,0.00022081+0.00015761i,0.00098414+0.00032266i,0.00058565+0.0001717i,-4.3464e-05-0.00040374i,0.00067138-0.00053492i,0.00092365-0.0001054i,0.0008606+0.00046035i,0.0011579+7.2206e-05i,0.0010848-0.00030915i,0.0011138-6.9211e-06i,0.00107+0.00018384i
-0.00033844-0.002674i,-0.00020606-0.0028564i,-0.00083046-0.0018707i,-0.0015519-0.0010143i,-0.0013563-0.00055147i,-0.00090234+0.00091616i,0.00019161+0.0019157i,0.00084823+0.0010099i,0.00029768+0.00047176i,-0.00032895+0.0013147i,-0.00052484+0.0015305i,-0.00081043+0.0010592i,-0.0003855+0.00039954i,-0.00010649+0.00010726i,-0.0003964-0.00042959i,0.00030424-0.00031987i,0.00058393+3.0315e-05i,0.00017817-0.00029351i,0.00026138-0.00010079i,0.00041036+0.00021058i,0.00058688-7.6202e-05i,-2.6371e-05+0.00053857i,-0.0011765+0.00080488i
