0.00061929+4.6681e-05i,0.00095354-0.00049429i,-0.00066607-0.0015912i,-0.0020155-0.0018086i,-0.0022982-0.00085017i,-0.0019569-0.0004687i,-0.0010582-0.00056846i,-0.00011812+0.00027675i,0.00036303+0.00072075i,0.0004559-0.00039777i,0.00011127-0.00071575i,8.7923e-05-0.00080547i,0.00017721-0.00045742i,-0.0002541+0.0001962i,-0.00062744+0.00070425i,-0.0010085+0.0009785i,-0.00057035+0.00035987i,8.9824e-05-0.00082876i,0.0004363-0.0006327i,0.0002341-0.00030115i,-0.00041556-0.00049182i,-0.00088847-0.00031103i,-0.00072333-0.0002827i
0.0012398+0.0014073i,0.00018112-0.00028166i,0.00048283-0.00068527i,0.00095852-0.00060629i,0.00084964-0.00058885i,-0.0001838-0.001339i,-0.00068319-0.0012539i,0.00037378-0.00033105i,0.0012357-0.00042128i,0.00078663-0.0010299i,0.00031508-0.0011699i,0.0004914-0.00051672i,0.00041945+0.0004033i,-0.00046126+0.00053965i,-0.00097594+0.00040198i,-0.00021471+0.00065842i,0.00069054+0.00028059i,0.00077076-0.00039532i,0.00048213-0.00037031i,0.00048973-5.6877e-05i,0.00022433+0.00048517i,0.00011333+0.0006258i,2.1517e-05+1.1811e-05i
0.0012062-0.00036081i,0.0017785-0.0004412i,0.00063764-0.00041684i,0.00025625-0.00020125i,-0.00029999-0.00044803i,-0.00074277-0.00039601i,-0.00056881-0.00014267i,0.00010469-0.00047576i,0.00049817-0.00125i,0.00028189-0.0010335i,0.00027718-7.7094e-05i,-7.1763e-05+0.00045405i,-0.00040019+0.00078305i,-0.00031159+0.00050943i,-0.00027341-0.00049074i,-0.00041322-0.00030043i,3.9507e-05+0.00066896i,0.0011137+0.0010226i,0.00090692+0.00062193i,0.00032857+0.00068014i,0.00017264+0.00064536i,-0.00044741-5.5218e-05i,-0.00056655-0.00021746i
0.0013954-0.0014149i,0.0013409-0.00038385i,0.0010532-0.00018178i,0.00051658-0.00030602i,-0.00019874-0.00067928i,0.00040129-0.00017728i,0.00071011-0.00041468i,0.00036215-0.0013007i,0.00014539-0.0014822i,0.00081151-0.0020023i,0.00034939-0.002243i,-0.00029951-0.0017778i,0.0005169-0.0012424i,0.0009481-0.00015707i,-4.9309e-05+0.00025154i,-0.00029907+3.6799e-05i,-4.9852e-05+0.00030088i,0.00011961+0.00024714i,0.00024019+0.0001378i,0.00036662-0.00045447i,0.00036142-0.00029832i,-0.00026473-9.3769e-05i,-0.00027142-0.00054868i
0.00031302+0.0012785i,-0.00026571+0.00014634i,0.00037969+9.0368e-05i,0.0018606-0.00026948i,0.0032395-0.0011099i,0.0020561-0.002598i,-0.00023253-0.0023503i,-0.00038522-0.0014629i,0.00043724-0.0013213i,0.00048874-0.0013776i,8.2427e-05-0.0006991i,-0.00020632-0.00033436i,-0.0003312-0.00057856i,-0.00049314-0.00087466i,-0.00085393-0.00068619i,-0.0011474-0.0004039i,-0.00026101+0.00019265i,0.00060747+0.00043614i,0.00041163-0.00065332i,-0.00042911-0.0011637i,-0.00021794-0.00046868i,0.00063567+0.00020741i,0.00061352+0.00046606i
0.0014913-0.00012351i,0.0013651-0.00032248i,0.002218+0.0005148i,0.0022144-0.0002636i,0.0015367-0.0019169i,0.00011462-0.0027722i,-0.0013215-0.0023672i,-0.0011809-0.001544i,-0.00025105-0.0013582i,0.00028788-0.0010232i,0.00017169-0.0002038i,-0.00068695+8.2932e-05i,-0.0012427-0.00093798i,-0.00078787-0.0011006i,-0.00071438-8.5388e-06i,-0.00087763+0.00054251i,-0.00077771+0.00083068i,-0.00022453+0.000522i,0.00040221-0.00027585i,0.00048148-0.00058529i,0.00048675-0.00036638i,-1.7922e-05-0.00019959i,-0.00027865-5.7736e-05i
0.00089206-0.0011251i,0.00026798+0.00016597i,-0.00095568+0.00039762i,-0.00067829+9.0218e-05i,0.0012899+0.00016547i,0.0015291-0.00012991i,0.00017749+0.00021651i,-0.00021305+0.00040231i,0.00011012-0.00015908i,0.00064117-0.00016259i,0.00015051-0.00022286i,-0.00070038-0.00076503i,-0.0003955-0.0012196i,-0.00012898-0.0010049i,9.7396e-05-0.00018509i,0.00031119+0.00011538i,0.0004031-9.7255e-05i,-6.2478e-05-0.00063566i,0.00014495-0.00045983i,-4.1494e-06+0.00016255i,-0.00065751-0.00065072i,-0.0004005-0.00091327i,6.0483e-06-3.3435e-05i
0.0017205-0.0019523i,0.0018295-0.0014212i,0.0010147-0.00092911i,0.0012488-0.00030241i,0.0013312-0.00086084i,0.00092843-0.0016007i,0.00042503-0.0015781i,0.00017213-0.0011336i,0.0003983-0.00074702i,0.0010734-0.00069174i,0.0011275-0.00076733i,0.00016569-0.0004474i,-2.805e-05-0.00059767i,0.00017049-0.00065716i,-0.00013826-0.00021514i,-0.0004013+3.2174e-05i,-0.00086124+5.3289e-05i,-0.00047644-0.00030052i,0.00056504-8.6022e-05i,0.00016309+5.2491e-05i,-0.00011666-0.00058786i,-6.5244e-05-0.00080447i,-0.00035156-0.00030621i
0.0018723+0.00012699i,0.0015797-0.00025318i,0.0013471-0.00077432i,0.0010767-0.00061609i,0.00060721-0.00045806i,-0.00040439-0.0014453i,-0.0011263-0.0019049i,-5.2524e-05-0.0010446i,0.00074488-0.00043397i,-8.1166e-05-0.00037846i,-0.0003127-0.00023957i,0.00012104-0.00050119i,6.5463e-05-0.0010327i,-0.0001656-0.00047853i,-0.0001289+0.00039112i,-5.9858e-05+8.9006e-05i,0.00032056-0.00017892i,0.00062907+0.0005248i,0.00056463+0.00055681i,0.00071739-0.00048957i,0.00074376-0.00080357i,-0.00032772-0.00045234i,-0.00091965+0.00022438i
0.0015146+0.0012105i,0.0017489+0.00073036i,0.0010266-0.00023726i,0.00052028-0.0011333i,-0.00035783-0.0018808i,-0.0013505-0.0014647i,-0.0017215-0.0004494i,-0.0011544-0.00064025i,-0.00021041-0.0011035i,-0.00041307-0.00076498i,-0.0011769-0.00034023i,-0.00047763+0.0002394i,9.6334e-05+0.00061779i,5.3696e-06+0.00024501i,-0.00031767-0.00014954i,-0.00064374-0.00011849i,-0.00062588-0.00014966i,-0.0010106-0.00055708i,-0.00049384-0.00020858i,0.00033956+3.8622e-05i,-0.00010258-2.1648e-05i,-0.00062556+0.00038953i,-0.00085843+0.00011557i
0.0016343+0.00020903i,0.0015173-0.00018431i,0.0013726-0.00042141i,0.00067518-0.00077534i,0.00035998-0.00099987i,-0.00090953-0.0012773i,-0.0017258-0.0010224i,-0.00071756-0.0004441i,-0.00056202-0.00087398i,-0.00067681-0.0010065i,-0.00040505-0.00078447i,-0.00037084+2.3519e-05i,-0.00020308+0.00045277i,0.00035538+0.00011664i,0.00066137+0.00059517i,0.0005099+0.00065419i,0.00043323-0.00011149i,0.00041454-0.00056797i,0.00071726-0.00084784i,0.00048109-0.00078873i,6.5524e-05-0.00035249i,0.00020177+3.7735e-05i,0.00038099-0.00019624i
0.0026118-0.00096948i,0.0025359-0.00078868i,0.0016912-0.00033848i,0.00051973-0.00043566i,-0.0009377-0.0013714i,-0.00076982-0.0017075i,-4.1584e-05-0.0012274i,-0.00051654-0.00051641i,-0.00083281-0.00027075i,-0.00038158+4.8525e-05i,-0.00046105+0.0002253i,-0.00038332+9.3794e-05i,0.00029783+0.00045854i,0.00029788+0.00058965i,0.0004185+6.7832e-06i,0.00033269-0.00028531i,7.0363e-05+0.0003833i,0.00029674+0.001025i,0.00014645+0.0013375i,-0.00036293+0.00042784i,-0.00014294-0.00078029i,-7.9591e-05-0.00063183i,-0.00060674+0.00032919i
0.00048153+0.00024121i,-0.00016005+0.00013495i,0.0003689+8.8549e-05i,0.0013197-0.00019237i,0.0015597-0.0014529i,0.00065786-0.0023974i,-0.0012449-0.001939i,-0.0013431-0.0019806i,-0.00029562-0.0017086i,0.00055777-0.00086619i,0.00053982-0.00043334i,3.7037e-05+6.8508e-05i,0.00040025+0.00082017i,9.7506e-05+0.0010754i,-0.00037277+0.00010618i,-0.00023953-0.00049588i,-0.00028005-1.7586e-05i,0.00012183+0.00025718i,0.00073204+0.0001563i,0.0011088+0.00025465i,0.00074082-0.00033164i,0.00029288-0.00037571i,0.00028686-0.0001375i
0.00079154+0.00023022i,-2.5082e-05-0.00016352i,-0.00012906-0.00034343i,0.00070379-0.00094301i,0.0010939-0.0011032i,1.6326e-05-0.0015101i,-0.00084052-0.0016031i,-0.00099425-0.0012824i,-0.00091606-0.0010394i,-0.00050385-0.00068289i,0.00012717-0.00035436i,0.00025546-0.00061274i,-0.0003719-0.001628i,-0.00020515-0.0013021i,1.5026e-05-0.0005151i,-0.00054814-4.6599e-05i,-0.00015223+0.00044691i,0.00013589-0.00011795i,0.00039569-0.00051377i,2.0462e-05+0.00024114i,-0.00034506+0.00033528i,-0.00014943-2.0157e-05i,2.9947e-05+0.00026219i
0.0030418+0.00049549i,0.003479-0.00015693i,0.0021866-0.00077016i,0.00022467-0.00041801i,-0.00047359-0.00060554i,-0.0010629-0.0016091i,-0.0015384-0.0014466i,-0.0013031-0.0009001i,-0.00065532-0.0012831i,0.00018821-0.0013227i,0.00029125-0.00035982i,0.00020046-0.00059498i,0.00019846-0.00091079i,-1.2344e-05-0.00010179i,-0.00019928-0.00013926i,-0.00034175-0.00053988i,-5.5622e-05-0.00045501i,0.00017704-0.00024517i,0.00033083+0.00024871i,-3.4976e-06+0.0007181i,-0.00032873+0.0001386i,-5.0015e-05+2.0776e-05i,0.00027757+0.00038392i
0.0017543-0.00049675i,0.0013619-0.00013544i,0.00081157-0.00015902i,0.00033796-0.00074737i,0.00073629-0.0014619i,0.0010315-0.0016131i,0.00061881-0.00068312i,-7.4501e-05+0.00049983i,-0.00027895+0.00060693i,-3.1779e-05-0.00033341i,7.0649e-05-0.00083461i,-0.00018021-0.00052932i,-0.00016893-0.00043097i,-2.2821e-05-0.00061854i,-0.0005191+0.00017777i,-0.00052881+0.0011799i,-0.00026429+0.00086838i,0.00057022-0.00021144i,0.0010423-0.00057103i,0.00052785-0.00086159i,0.00060862-0.00091529i,0.0011885-0.00020477i,0.00093477+0.00018489i
0.00023905+0.0004273i,0.00028521+0.00076466i,0.00051691+0.00061939i,0.00028797+0.0002618i,-0.00064582-0.0012302i,-0.00056474-0.0019141i,-0.00044318-0.0012047i,-0.0003948-0.00086968i,0.00022392-0.00076455i,0.00032343-0.00099803i,0.0002256-0.001359i,0.00023042-0.00034202i,-3.6449e-05+0.00077901i,4.5319e-05+0.0011844i,0.00018134+0.00087431i,0.00054249+0.0002075i,0.0010361-0.00023674i,0.001001-0.00025467i,0.0002394-0.00020473i,0.0001207-0.00035924i,9.7798e-05-0.00024427i,1.5849e-05+0.00037888i,0.00025309+0.00081976i
0.00024361-0.00065842i,0.00047502-0.0012628i,-0.00029876-0.00093409i,-0.00028974-0.00095602i,-0.00047587-0.0020339i,-0.0013325-0.002638i,-0.0017171-0.002035i,-0.0012362-0.00088308i,-0.00078171+0.00017041i,-0.00010287-0.00018127i,0.00040172-0.0010039i,0.00057117-0.00076233i,0.0007107+9.595e-05i,0.00024395-0.00022659i,-0.00038567-0.00085963i,-2.3969e-06-0.00019587i,0.00013505+0.00057433i,9.0041e-05+0.00037606i,0.00036812+0.00034732i,0.00060611+0.00022459i,0.00028093-1.2749e-05i,-0.00036236-6.4516e-05i,-0.00048492-6.5282e-05i
0.0031605-0.00047651i,0.0034548-0.00013388i,0.0026495-0.00048261i,0.000733-0.0003609i,-0.00033209-0.00075637i,-0.00094654-0.00084376i,-0.0013364-7.7979e-05i,-0.0012186-0.00013859i,-0.00068499-0.00052652i,-0.00094003-0.0013456i,-0.00093858-0.0015639i,-0.00076719-0.00047554i,-0.0009953-0.0006409i,-0.00071179-0.00038844i,-0.00019603+0.00070325i,3.6995e-05+0.00031108i,0.00014161-0.0003042i,0.00014605-0.00012458i,0.00027573-0.00014237i,0.00082807-0.00027331i,0.00070201-8.1716e-05i,0.00016047-0.00037854i,0.00014605-0.00042294i
0.0016773-0.00084136i,0.0016311-0.00049149i,0.001268-0.00080412i,0.00075262-0.00023103i,-0.00023888+0.00070772i,-0.00069573+0.0009214i,-0.0008611+0.00032729i,-0.00044299-0.00016437i,0.00039863-0.00062249i,0.00056514-0.00026166i,0.00011882+0.00037471i,-0.00030556+4.9928e-05i,-0.00041665+8.9775e-05i,-0.00053767+0.00044001i,-0.0008868+0.00083285i,-0.0012178+0.00050096i,-0.00078595+3.4761e-05i,0.00033825+0.00061366i,0.000494+0.00032444i,0.00029489-0.00037036i,0.00027048-0.0009548i,-0.00018147-0.0011114i,-1.3238e-06-0.00050401i
0.00066618+0.00083142i,0.00011948+8.1159e-05i,0.0001954-0.00051053i,4.4585e-05-0.00045146i,1.8382e-05-0.00044519i,-0.0006524-0.0010002i,-0.0014262-0.00085654i,-0.00022143-0.00091403i,0.00078176-0.0013758i,0.00064637-0.00049223i,-0.0003951-9.7832e-05i,-0.0011524-0.00024371i,0.00024311+0.00021581i,0.0010716+0.00071434i,0.0008809+0.00026622i,0.0012661+0.00041398i,0.00050605+0.00065441i,6.226e-05-0.00020707i,0.00086194-0.00055101i,0.00086822-0.00048139i,4.4564e-05-0.00043204i,-8.6283e-05+0.00019889i,-0.000189+0.00036188i
0.00073282-0.0015456i,0.00030529-0.0021904i,0.00011108-0.0024011i,0.00058093-0.0014036i,0.00021051-0.001342i,-0.00022744-0.0014567i,-0.00035636-0.00093586i,-0.00048166-0.00072207i,-0.0007729-0.00018189i,-0.00096844-0.0006082i,-0.00059345-0.00047768i,-0.00015746+0.00040324i,-0.00030017+0.00023489i,-0.00043325-0.00055585i,8.8387e-05-0.00076875i,0.00020644-0.00059784i,0.00011913-0.00028396i,0.0001936-0.00016416i,7.8323e-05-0.00064036i,0.00011234-0.00067563i,5.2313e-05-0.00040105i,-0.00039749-0.00045543i,-0.00059097-0.00099167i
0.0023874-0.00076112i,0.0028218-1.0418e-05i,0.0018165-0.00026475i,0.00034483-0.00096981i,0.00032946-0.0015299i,-0.0002232-0.0017617i,-0.00031751-0.0014569i,0.000385-0.0010498i,0.00012893-0.00034551i,-0.000601+7.0385e-05i,-0.0001685-0.00065165i,-1.947e-06-0.00055967i,-0.00033837-2.3364e-05i,-0.00040155-0.00023217i,-0.00036224-0.00059237i,-0.0011834-0.00016212i,-0.0011667+0.00038709i,0.00090458+0.00024709i,0.0015715-3.6219e-06i,0.00029508-0.00031218i,-0.00013699-0.00016129i,-0.00029789-0.00016304i,-0.00011589-0.00061302i
0.00053991+0.0014816i,0.00034711+0.00077366i,3.2769e-06+0.00059291i,-2.1049e-05+0.00020861i,0.0003748-0.0005986i,6.9317e-05-0.00080553i,-0.00089386-0.00050958i,-0.00074853-0.00055079i,-6.8766e-05-0.00059246i,0.00060377-0.00082832i,0.0007576-0.00083801i,1.6327e-05-0.00038073i,-0.00038784-0.00051075i,-0.00074082-0.00041159i,-0.0010331-0.00030658i,-0.0011298-0.00027066i,-0.0011354-0.00017943i,-0.001107+0.00013948i,-0.00068031+0.00051925i,-0.00019181+0.00037133i,-5.9839e-06+0.0004998i,-0.00057481+0.00087643i,-0.00052006+0.00070871i
0.0023029-0.0020117i,0.002068-0.0017155i,0.00057468-0.00025382i,-0.00057201+0.00045759i,-0.00042294-2.7101e-05i,9.7694e-05-0.00054806i,0.00023113-0.00054499i,-5.4314e-05-0.00053884i,-0.00037231-0.0014493i,2.8982e-05-0.0015353i,9.2342e-05-0.00064925i,0.00023889+4.953e-05i,0.00037138-0.00048712i,-5.5007e-05-0.00059183i,-0.0007032-0.00020846i,-0.0015327+0.00018791i,-0.0011675+0.00030556i,-0.00045093-7.8148e-05i,0.00015778-0.0004721i,0.0010439-0.00098657i,0.00075148-0.0016051i,7.2625e-05-0.0012874i,-0.00010327+8.8294e-05i
0.0015801-0.00049674i,0.00097074-0.00080211i,0.00040333-0.0006854i,6.6717e-05-0.001051i,-0.00036225-0.0015765i,-0.00065445-0.0018849i,-0.00071837-0.0017582i,-0.00042904-0.00071811i,5.2126e-05-0.000656i,9.9999e-05-0.001314i,-0.00033616-0.000817i,-0.0008383-0.0007635i,-0.0004409-0.0010233i,0.00027982-0.00040961i,0.00065878-0.00054898i,0.00032959-0.00050689i,-0.00013041-0.00021258i,-0.00015101-0.00037475i,-0.00068514-0.0010936i,-0.00030205-0.0018012i,7.4126e-05-0.0014324i,-0.00049778-0.0008729i,-0.00027967+0.00011177i
0.00082751+0.00067066i,0.0014912+0.0013171i,0.0013815+0.0017019i,0.00067407+0.00059704i,0.00088314-0.00044969i,0.00098787-0.00096799i,4.2846e-05-0.00091793i,-0.00056639-0.00013987i,-0.0002997-0.00039222i,0.00038574-0.00096817i,-0.00014036-0.00028456i,-0.00048954-0.00015062i,0.00019929-0.00068021i,0.00030656-0.00033502i,-7.5716e-05+8.7736e-05i,-9.7573e-05-0.00026061i,0.00013724-3.4684e-05i,-0.00034756+0.00064491i,-0.00052885+0.00069484i,0.00081322+0.00065365i,0.0010411+0.00070603i,0.00056478+0.00017644i,0.00092568-0.00043025i
0.0016158+0.00028717i,0.0018706+8.6496e-05i,0.0013621+0.0006295i,0.00038034-5.5451e-05i,2.9156e-05-0.00094607i,-0.00057913-0.0024652i,-0.00064755-0.0029502i,-7.0956e-05-0.0018151i,4.8181e-05-0.0010031i,-0.00031135-0.00058736i,8.6445e-05+0.00017393i,-3.0495e-05+0.00056779i,-0.00075688-0.00012127i,-0.0010542-0.00092374i,-0.00035142-0.00090414i,-0.00036856+4.5488e-05i,-0.00093516-5.2592e-05i,-0.00021169-0.00056449i,0.00069931-0.00079642i,0.00036434-0.00065005i,-9.1339e-05-0.00025261i,-0.00036059-0.00026569i,-0.00067377-0.000404i
0.0018887+0.00024724i,0.0011492-0.00060529i,0.00016075-0.00094523i,0.00081246-0.0009885i,0.0010291-0.0011216i,-0.00042941-0.0022481i,-0.0018582-0.0022866i,-0.0021605-0.0010947i,-0.00095624-0.0007406i,0.00027649-0.00032523i,0.00062662+0.00019062i,0.0006378+0.00026199i,0.00018305-0.00025334i,-0.00039968-0.00076597i,-0.00085419-0.00035096i,-0.00071524-1.6116e-06i,4.8548e-06+0.00055547i,0.00019925+0.00092151i,-0.00019892+0.00032173i,-0.00059639-0.00022905i,-0.00034389-0.00023203i,-0.00045776+0.00018984i,-0.00081412+8.9782e-05i
0.0017534-6.5093e-05i,0.0013588+0.00047299i,0.0014122+0.00025503i,0.0016145-0.00064546i,0.0014706-0.0015666i,0.00092894-0.0013567i,0.00043728-0.0002411i,2.8459e-05+0.00061369i,0.00018521-2.6942e-05i,-8.311e-05+0.00022498i,-0.0004326+0.00077208i,0.00012737+6.6756e-05i,0.0012594-0.00065104i,0.0011654-0.00050197i,0.00075042-9.5116e-05i,0.00087435+4.1668e-05i,3.6419e-05+0.00021137i,-6.4846e-05+2.149e-05i,0.00024908-0.00028446i,0.00015294-0.00071153i,0.00033246-0.0011736i,0.00032474-0.00023588i,0.00067445+0.00045105i
0.0012819-0.0012751i,0.0012095-0.00066905i,8.3366e-05+0.0008759i,0.00024885+0.0018446i,0.00081659+0.0017001i,0.0010165+0.00080526i,0.0012185-0.00056205i,0.0012059-0.0010854i,0.00014325-0.00093898i,-0.00061642-0.0002258i,-0.00031597+0.00057097i,0.00011991+0.00034497i,0.00076141+0.00018333i,0.00038918+0.00012087i,-0.00027812-0.00013569i,-0.0011785-2.9622e-05i,-0.00086846-8.1063e-05i,0.0003363+0.00033728i,-0.00017309+0.00032724i,-0.00092544-0.00015393i,-0.00023974-0.00097706i,0.00069451-0.0011759i,0.0010862-0.00032045i
0.0016962+0.00095536i,0.0017644-0.00041524i,0.0015529-0.00018996i,0.001519-0.00030315i,0.0015514-0.001899i,0.00069411-0.0031379i,-0.0009206-0.0031251i,-0.0012889-0.0022127i,-0.00055932-0.00088542i,6.5912e-05-0.00065977i,0.00014651-0.00063079i,-0.00043686-0.00022365i,-0.00094096+0.00010949i,-0.001103-0.00012998i,-0.0008051-0.0007668i,-0.0004611-0.00077058i,-0.00066138-0.00066732i,-0.0004349-0.00036687i,0.00020466+0.00033518i,0.00047573+0.00033553i,-0.00011238-0.00070855i,-0.0012081-0.0011708i,-0.00060692-0.00017085i
0.0026879-0.0013674i,0.0016639-0.00016068i,-0.00036346+1.624e-05i,-0.00074108-0.00056667i,-0.00079623-0.0011632i,-0.00168-0.00077082i,-0.0022062-0.00033721i,-0.0010085-0.0001189i,-0.00034162+0.0001655i,-0.00071218+0.00036908i,-0.0013538+0.00056594i,-0.0014201+0.00020046i,-0.00097297-0.00071189i,-0.0001256-0.00091698i,0.00016587-0.00035882i,9.7462e-05+0.00010846i,0.00021299+0.00064341i,0.00060832+0.00044282i,0.00083177+1.2537e-05i,0.00099514-0.00010625i,0.0003563-0.00010624i,8.4085e-05-0.00014707i,0.00074133-0.00038167i
1.925e-05+9.8182e-05i,7.3016e-05-0.00075304i,0.00037377-0.00054521i,0.0010935-0.00042549i,0.0017868-0.0013201i,0.00087076-0.0022957i,7.5283e-05-0.0023838i,0.00017109-0.0011335i,0.00015436+0.00024252i,-7.9691e-05-0.00016301i,-0.00048011-0.00077232i,-0.0013136-0.00073987i,-0.0012507-0.0010903i,-0.0011967-0.00055904i,-0.001124+0.00040954i,-0.00063213+0.00024871i,-0.00037912+0.00022579i,7.9002e-05+0.00015549i,0.00085278-0.00031914i,0.0010711-0.00074131i,0.00081773-0.00043975i,0.00098214+0.00025454i,0.00089588+0.00054949i
0.0021954-0.00035661i,0.002049+3.5189e-05i,0.00042169-0.00032301i,-0.00089419-0.00028683i,-0.0013074-0.00015845i,-0.00099279-0.00079899i,-0.00045147-0.0012689i,0.0003879-0.00071838i,0.00075194-7.6171e-05i,0.00012886-0.00033939i,0.00014673-0.00013623i,0.0007866+0.00020694i,0.0010602+0.00044061i,0.0011146+0.00019123i,0.00071886+2.2854e-05i,0.00022051+0.0003167i,0.00048801+0.00054853i,0.0012969+0.00073847i,0.0014345+0.00068975i,0.00089412+0.00019935i,-0.00020421+0.00051466i,-0.0010622+0.00036297i,-0.0008718-0.00025189i
0.00046939+0.0013417i,0.00049291-0.00011039i,-0.00021847-0.00057166i,0.00013009-0.0005838i,0.00069416-0.0012154i,-0.00039654-0.0017752i,-0.00072114-0.0022824i,0.00014122-0.0013664i,0.00088801-0.00030462i,0.00071094-0.00028727i,-0.000189-0.00045805i,-0.00027111-0.00054399i,-7.3049e-05+9.4975e-05i,-0.00044867+0.00044744i,-6.9989e-05-0.00013017i,0.000366+0.00028754i,6.2223e-05+0.00061471i,0.00013705-0.00056967i,0.00021544-0.00045363i,0.00014063+0.00028406i,-6.6371e-06-0.0002899i,0.00019493-0.00040889i,0.00035083+0.00015042i
0.0026279-0.00033854i,0.0023595+8.6493e-07i,0.00074133-0.00012415i,0.00071156+0.00036496i,0.001125+0.00038517i,0.0011103-0.00030629i,0.0011818-0.0010206i,0.0015162-0.00099678i,0.0010006-0.00093177i,0.00024439-0.00097294i,0.00029059-0.00081815i,-0.00010285-0.00088369i,0.00037378-0.000689i,0.00098515-0.00031401i,0.00067623-0.00024614i,-0.00036677-0.00080944i,-0.00020238-0.0007808i,0.00056142+0.00025728i,0.00016525+0.00027183i,0.00010547-0.00044033i,0.0011754-4.0483e-05i,0.0012435+0.00068121i,0.00037423+0.00063566i
0.00064712+0.00093222i,0.00094078+0.00064361i,0.00033692+0.001544i,0.00059158+0.0016644i,0.00091518-0.00027435i,0.001054-0.0020304i,-0.00018878-0.0016359i,-0.0013627-0.00045241i,-0.00090868-0.00044148i,-0.0001125-0.00064041i,0.00016265-0.00036718i,-0.00020956-8.9992e-05i,-1.0913e-05-0.00011039i,0.00030858-0.00072216i,0.00050865-0.00038805i,0.00088085+0.00073452i,0.00097753+0.00054998i,-0.00024225-0.00025013i,-0.00083449-0.00048682i,-0.00016048-0.00099767i,4.979e-05-0.00059017i,0.00019821-0.00011556i,-0.00037168-0.00030729i
0.0016109-0.00082387i,0.0015887-0.00082335i,0.0014455-2.753e-05i,0.00068296-3.26e-05i,-6.9041e-06-3.7578e-05i,-0.00027755-0.00070464i,-0.00030429-0.0011183i,-0.0001342-0.00097897i,-0.00031728-0.00065002i,-0.00037542-0.00045621i,0.00028816-0.00054359i,0.00073233-0.00026851i,0.00060417-0.00023217i,0.00016896+0.00016744i,-0.00013576+0.0003536i,-0.00056842-0.00069002i,-0.00060591-0.00066157i,0.00047506+9.7367e-05i,0.001188-0.00069682i,0.0010672-0.0012451i,0.00014999-0.00088763i,-0.00055729-0.00045031i,-0.00020806-0.00053637i
0.00099297+0.00014731i,0.00087718+0.00058751i,0.0014924+0.00043027i,0.0011706-0.00071124i,0.00061446-0.0022151i,-0.00097695-0.0017217i,-0.0013191-0.00048151i,0.00010925-0.0004733i,0.0010526-0.00074121i,0.00072289-0.00062397i,0.00028065-0.00050597i,0.0001533+0.00018485i,0.00027079+0.00031695i,0.00013083-0.00043332i,-0.00020159-0.0015117i,4.2079e-05-0.0016254i,0.00028713-0.00075118i,0.00062524-0.00017368i,0.0010424-0.00047349i,0.00097855-0.00021263i,0.00078348-5.587e-05i,0.00034544-0.00040989i,-0.00017733+0.00017025i
0.0018444-0.00034651i,0.0010651-0.00057334i,0.00044571-0.00020776i,0.0003238+5.8115e-05i,0.00036877-0.00027365i,0.00055645+4.1431e-05i,-0.00020466+0.00038575i,-0.00066474-0.00020051i,-0.00034068-0.00087322i,-0.00027213-0.00077071i,-0.00049766-0.00041573i,6.5728e-05+0.0001762i,0.0009356+0.00050444i,0.0005282-0.00023781i,1.2146e-05-0.00035035i,-0.00019691+5.0598e-05i,-3.4665e-05-0.00019216i,-8.1824e-05-0.00021495i,-0.00036592-0.00016415i,-0.00094285-0.00034044i,-0.001403-0.00013093i,-0.00019059+8.4887e-05i,-0.00012495+0.00037935i
0.0007013-0.00099499i,0.0014945-0.0011682i,0.0011673-0.00087521i,0.00061644-0.00040055i,0.00010061+0.00010064i,-0.00030081-0.0003796i,-0.00056075-0.0014625i,-0.00025983-0.0021462i,-0.00031619-0.0017252i,-0.00088995-0.00046441i,-0.00083899-0.00017181i,-0.00026705+1.2755e-05i,0.0001623+0.00083229i,7.4816e-05+0.00079647i,-0.00038745+0.00039559i,-0.00072681-1.7895e-05i,-0.00056178-0.00036846i,-0.00022689-5.0822e-05i,3.4727e-05-0.00011641i,0.00045131-0.00034886i,0.00041895-0.0002957i,2.7312e-05-0.00022266i,0.00039473-0.00059806i
0.002261+0.00035939i,0.0020887-0.00041085i,0.002527-0.0010661i,0.0013878-0.0011424i,-8.4007e-05-0.0015868i,-0.00030609-0.0013404i,-0.00048501-0.00087122i,-0.000662-0.00096456i,-7.0847e-05-0.00056854i,0.000298-0.00069948i,-0.00051022-0.000956i,-0.00066196-0.00081013i,-8.3685e-05-0.00017406i,0.00044028-4.1025e-05i,0.00081764-0.00019211i,-9.2078e-05-0.00056311i,-0.00022195-0.00051789i,-0.00013215-2.9316e-05i,-4.3505e-05-0.0001647i,0.00082995-2.3219e-05i,0.00060432-0.00022793i,-0.00044768-0.00044477i,-0.00055258+2.7178e-05i
0.0018111+0.00070322i,0.0020051+0.00045592i,0.0016286+0.00039946i,0.00013262-0.00042843i,-0.00088514-0.0010302i,-0.00079968-0.00095971i,-0.00060754+4.7699e-05i,-0.000282+0.00039924i,0.00040953-0.00027008i,0.00014647-0.0013857i,-0.00036817-0.0011485i,-0.0005649+2.4805e-05i,-0.0004224+0.00021664i,-0.00061107-0.00032546i,-0.00079102-0.00053741i,-0.00044211-0.00033669i,-8.04e-05+0.00010062i,0.00063697+0.00019167i,0.00065362-2.8449e-05i,0.00055739+0.00017264i,0.0010185+0.00075014i,0.00053066+0.00068704i,-0.00023071+9.7007e-05i
