0.00061929+4.6681e-05i,0.00095354-0.00049429i,-0.00066607-0.0015912i,-0.0020155-0.0018086i,-0.0022982-0.00085017i,-0.0019569-0.0004687i,-0.0010582-0.00056846i,-0.00011812+0.00027675i,0.00036303+0.00072075i,0.0004559-0.00039777i,0.00011127-0.00071575i,8.7923e-05-0.00080547i,0.00017721-0.00045742i,-0.0002541+0.0001962i,-0.00062744+0.00070425i,-0.0010085+0.0009785i,-0.00057035+0.00035987i,8.9824e-05-0.00082876i,0.0004363-0.0006327i,0.0002341-0.00030115i,-0.00041556-0.00049182i,-0.00088847-0.00031103i,-0.00072333-0.0002827i
0.0010597-0.0006194i,0.0014743-0.00070644i,0.0012853-0.0016402i,0.0012356-0.0014559i,0.00055134-0.0011051i,-0.0006288-0.00089079i,-0.00071928-0.00053198i,-2.7044e-05-0.00091506i,-0.00045846-0.00061937i,-0.0010839+0.00023517i,-0.0010629+0.00070014i,-0.00052017+0.001013i,0.00071553+0.00063158i,0.0008891+2.0255e-05i,0.00013757-2.25e-05i,0.00034777+0.00030624i,-0.00012485+0.00041011i,-0.00038846-4.0974e-05i,0.00031754-0.00054405i,0.00052604-0.00070569i,-3.7973e-05-0.00066563i,-4.9247e-05-0.00022162i,0.00034448+0.0010035i
0.002026-0.0022275i,0.0020678-0.0017805i,0.0014358-0.0010181i,0.00023277-0.001055i,-0.00079794-0.001099i,-0.00091857-0.00096891i,-0.00076716-0.0010703i,-0.00064687-0.001526i,-0.00021499-0.0012381i,0.00015446-0.0010627i,0.00030519-0.00073784i,0.00029838+0.00022825i,-3.4723e-05+0.00036103i,-0.00067253+2.7488e-05i,-0.0010586-0.00023553i,-0.00093136-0.00044563i,-9.5639e-05-3.4017e-05i,0.00044677+0.00028154i,0.00081522-0.00041791i,0.00041807-0.00070601i,-0.00054884+3.9765e-05i,2.5401e-05+0.00027333i,0.00070185-0.000737i
-0.00067096-0.00051912i,-0.00094567-0.00066744i,-0.001216+1.5506e-05i,-0.00025151-0.00099467i,0.00053908-0.0019408i,0.00010609-0.0010411i,-0.00035553+0.00061129i,-0.00017712+0.00060944i,-0.00024772-0.00062341i,-0.00038945-0.00096193i,-0.00031677-6.5681e-05i,3.0461e-05-0.00021368i,-3.4658e-05-0.00047795i,7.5941e-05-0.00016851i,-8.1675e-05+0.00027787i,-0.00075825+0.00035372i,-0.00027926+0.00062897i,5.6832e-06+0.00099435i,-0.00035053+0.00077709i,-0.00055106-0.00012951i,-0.00066943-0.00074105i,-0.00025165-0.00049295i,-0.00029681+0.00035303i
0.0011695-0.0014067i,0.00136-0.0014289i,0.00056961-0.0018116i,7.7427e-05-0.0021784i,0.00018822-0.0024457i,-0.00024457-0.002467i,-0.00039843-0.0023879i,1.3139e-05-0.0014606i,0.00038487-0.00054118i,0.00025817-0.00046503i,-0.00052825-0.00024521i,-0.00021538-0.00042647i,0.00036887-0.00075543i,0.00023708-0.00021936i,5.8862e-05-3.2972e-05i,0.00032383+0.00013543i,0.00045865+0.00035533i,-0.00043033-3.1854e-05i,-0.00075751-0.00087092i,-5.7235e-08-0.001063i,0.00042764-0.00045259i,0.00082336-1.6373e-05i,0.0010416+0.00025576i
0.0007253-0.00047588i,0.00087576-0.00046711i,0.0011093-0.00098452i,0.00058154-0.000695i,-0.00017662-3.6401e-05i,-0.0012688-0.00010704i,-0.0016267-0.00033791i,-0.0010107-0.00045944i,-0.00066574-0.00082803i,-0.00072376-0.00056173i,-0.00070988-0.00035972i,-0.00088136-0.00018311i,-0.00078849-0.00067317i,-0.00017667-0.0010807i,7.0558e-05-0.00082353i,-0.00012517-0.00072436i,-0.00051385-0.00077291i,-0.00055495-0.0012401i,-0.00012002-0.001719i,5.2738e-05-0.00084243i,6.0984e-05+0.00024443i,0.00054461+0.00017386i,0.00049311+0.00046074i
0.002338-0.0010592i,0.0010608-0.0009142i,-0.00051982-0.00041664i,-0.00065628-0.00039877i,7.702e-05-0.0011886i,0.00062198-0.00050506i,-8.5372e-05+0.00034528i,-0.00065878-0.00012777i,-0.00045295-0.00069059i,-0.00073013-0.00035167i,-0.0010643+0.00041978i,-0.00035891+1.9071e-05i,0.00063514-0.00016709i,0.00062591+3.8968e-05i,0.00060945-0.00019151i,0.00078163-0.00041131i,0.00010498-0.0003052i,-0.00012378+0.00024443i,-0.00011198-5.7351e-05i,-0.00025961-0.00057406i,-0.00011843-0.00090936i,0.00018884-0.00073035i,-0.00033674+7.8433e-05i
0.0013174-0.0018527i,0.0014698-0.0019245i,8.5388e-05-0.00071356i,-0.00022879+0.00015i,0.00023995+0.00059042i,0.0006354+0.00068982i,0.00017007-0.0003094i,-0.00046245-0.0010461i,-0.00049323-0.00032688i,-0.00043997+0.00033726i,-0.00036193-4.1091e-05i,-0.00042605-8.4534e-05i,-0.00059683-2.3499e-05i,-0.00028168-0.00047598i,3.9097e-05-0.00083632i,-1.1618e-06-0.00032724i,0.00017479-0.00011386i,0.00057949+0.00016042i,0.00081155+0.0009042i,0.00037957+0.00047303i,4.3926e-05-0.00047656i,0.00018351-0.0007189i,-0.00010374-0.00033476i
0.0018954-0.00033362i,0.0018484+0.00045467i,0.0008081+0.00061924i,-0.0002356-9.6101e-05i,-0.00074349-0.0011329i,-0.00060904-0.0012432i,-0.00059217-0.0010064i,0.00012037-0.00045055i,0.00025349-0.00019116i,3.923e-07-0.00065687i,-2.9267e-05-0.00074336i,0.00056264-0.00055138i,0.00099405-0.00035561i,0.00054251-0.0008534i,-0.00028144-0.00087046i,-0.00038653-0.00010063i,0.00023268+0.00033046i,0.00044927+0.00020641i,0.00070139-0.0002429i,0.00032032-0.00039581i,-3.0076e-05-0.00029015i,0.000134-0.00041131i,0.00019594+0.00034644i
0.0010026-0.00071441i,0.0013426-0.00026126i,0.0011339-0.00071776i,0.00092626-0.00068537i,0.00031492+0.00020434i,-0.00056546-8.8276e-05i,-0.00069262-0.0007174i,-0.00028208-0.00045859i,-0.0001954-0.0001903i,-0.00083797-0.00016918i,-0.00078816-0.00036388i,-5.5245e-05-0.00078909i,0.00046896-0.00030382i,0.00096775-0.00022403i,0.00057394-0.00019164i,-0.00064619-0.00061764i,-0.00020063-0.00074482i,0.00017356+0.00034107i,-0.00035303+0.00045566i,7.4159e-05-0.0007348i,-0.00014254-0.00041562i,-0.00082503-0.00012469i,-0.00092188+0.00018617i
1.2589e-05-0.0020915i,-0.00058153-0.0020785i,-0.00060203-0.001302i,9.6607e-05-0.00042762i,-0.00034507-0.0009945i,-0.00051966-0.0017468i,0.00041827-0.0011718i,0.00051-0.00056919i,0.00032132-0.00055787i,0.00031953-0.00030764i,6.719e-05+0.00035067i,0.00046026+0.00045372i,0.00092673+7.4518e-05i,0.00021501+0.00012308i,-0.0008919+0.00045226i,-0.0011469+7.7299e-05i,-0.00065964-0.00028091i,0.00015988-1.9032e-05i,0.00079472+0.00013866i,0.00062671+0.00026968i,0.00015047+3.3802e-06i,0.00020486-0.00028585i,0.0004976-0.00020145i
