-3.1491e-05+0.00055144i,-1.8317e-05+0.00086951i,9.0391e-05+9.3658e-05i,0.00042024-7.8329e-05i,0.0007972+0.00058566i,0.0009245+0.0014698i,0.00076044+0.0015827i,8.3935e-05+0.0010103i,0.00024498+0.00012972i,0.00030263-0.00035979i,-0.00015799-0.00055027i,-0.0003974-0.000487i,-1.732e-05+6.9812e-06i,0.00064165+0.00015881i,-8.0968e-05+0.00064277i,-0.00036788+0.00068759i,-6.5433e-06+0.00040647i,-0.00023007-5.4384e-05i,-0.00012344-0.00021676i,0.00015269-0.00021724i,0.00029113-0.00052032i,0.00035399-0.00020787i,0.00091162+0.00044695i
0.00061788+0.0020463i,0.00064515+0.0013359i,0.00080318+7.9771e-05i,0.00019332-0.00039982i,1.2019e-05-0.00012854i,-0.00081762+0.00090615i,-0.00086359+0.0012062i,0.00034506+0.00063331i,0.00028235+0.00046345i,0.00052509-0.00031366i,0.0005066-0.00094051i,-0.00079971-0.00060336i,-0.0012773+0.00015812i,-0.00079396+0.00066691i,-0.00024299+0.0011948i,0.00029153+0.0010484i,0.00052662-0.00010744i,0.00036801-9.7096e-05i,4.344e-05+0.00047026i,0.00028844+0.0002348i,0.00056342+2.2501e-05i,0.00028517-0.00011279i,-0.00023236+0.00019765i
-0.0023844+0.00037394i,-0.000933+0.0012987i,0.00019186+0.0012671i,0.00036768+0.0007554i,0.00086007+0.00094443i,0.00088606+0.00078961i,0.00029851+0.00055284i,4.8056e-05+0.00038906i,-3.7182e-05+0.00025427i,-0.00020598+0.00032367i,0.00032246+0.00032528i,0.00029432+0.00072592i,-0.00031713+0.00037762i,6.0215e-05-0.00051987i,0.00043903-0.00028259i,0.0006814-0.00018326i,0.00076597-0.00070753i,0.00022341-2.6016e-05i,0.00020477+0.00074166i,0.00054303+0.00056548i,0.00019521+0.00031388i,-0.00077548+0.00067202i,-0.00093192+0.00098962i
-0.0012915+0.0014268i,-5.4456e-05+0.00091774i,-0.00034533+0.00057982i,-0.00025532-0.00050933i,0.0011666-0.0002993i,0.0016452+0.00078325i,0.00077335+0.0011542i,-0.00013535+0.00088918i,-0.00023253+0.0006365i,6.7729e-05+0.00067001i,0.00069159+0.00018537i,0.0014835-0.00089599i,0.0020316-0.001103i,0.0011717-0.00045599i,1.7866e-05+0.00023428i,-0.00062923+0.00021261i,-0.00074314-0.00027693i,-0.00025537-0.00038453i,-6.3063e-05-0.00033222i,-0.00053135-0.00052854i,-0.0011737-0.00035411i,-0.001517+0.0001104i,-0.00081365-0.00020631i
0.00051078+0.0013305i,0.0012392+0.00074527i,0.0007664-0.0003951i,0.0011877-0.00081811i,0.00057563-0.0006259i,-0.00047677-0.0001724i,0.00017187+2.356e-05i,0.00044198-0.00012382i,0.00045774-4.2422e-07i,-9.2328e-05-9.8862e-06i,-0.00044177-0.00055526i,-0.00038235-0.00086955i,-0.0006103-0.00016229i,-0.00022975+0.00061935i,9.4749e-06+0.00068697i,-0.00022587+0.0001596i,7.3328e-06+0.000199i,0.00074284+0.00060377i,0.00072741+0.00036541i,0.00026879-0.00020317i,-0.00022459-0.00056707i,-0.00038187-0.00030045i,0.00025674-0.00017658i
-0.00036417+0.0011622i,0.00024832+0.0011552i,0.00068294+0.00089924i,0.0011664-3.2113e-06i,0.001095+2.7727e-05i,0.00040845+0.00050098i,0.00039653-0.00031265i,0.00014967+0.00012555i,-0.00040128+0.00056652i,-0.00033253-0.00034084i,-0.00013713-0.00039964i,-0.00065047-0.0002429i,-0.00063408-7.2686e-05i,-5.6642e-05+8.1541e-05i,9.7111e-05+6.1596e-07i,0.00059551-0.00019225i,0.0010898-0.00017279i,0.00021262-0.00035671i,-0.00052163-0.00059767i,-0.00026162-0.00070167i,-1.6227e-05-0.00056024i,-1.0834e-05-3.9003e-05i,0.00070174+0.00067984i
-0.0023443+0.00078548i,-0.0022274+0.00045219i,-0.0011846+0.00034049i,-0.00044104+0.00013339i,1.7012e-05-0.00026574i,0.00035215+0.00037767i,0.00071012+0.00085929i,0.00094321+0.000425i,0.00084305+0.00057343i,-0.00031196+0.00011429i,-0.0013313-0.00066617i,-0.0012707-0.00083252i,-0.00068267-0.00050619i,-0.00052669-0.00025551i,-0.00032161+4.3361e-05i,0.00011818+0.00041026i,0.00019829+0.00023584i,9.6134e-05-1.2778e-06i,-0.0003811+1.4258e-05i,-0.00089997+7.4199e-05i,-0.001423+1.0045e-05i,-0.00016559-5.2747e-05i,0.0010229-6.0518e-07i
-0.00052396-0.00041171i,0.0004412-0.0012188i,0.00073256-0.0014937i,4.1618e-06-0.0013913i,-0.00073354-0.00012908i,-0.00043755+0.0011816i,0.00029075+0.0011008i,0.00026461+0.00046497i,-0.00016498-0.00028189i,-0.00069276-0.00071487i,-0.00080242-0.00095296i,-0.00077474-0.0010297i,-0.00028559-0.00070704i,-2.1173e-05-0.00041406i,-0.00091684-0.00038268i,-0.00091522-0.00071485i,0.00011447-0.0015083i,-0.00020332-0.00095571i,-0.00047661+3.0426e-05i,-0.00018414-0.00016464i,-0.00049927-0.00033748i,-0.00066608+0.00014618i,-0.00035157+0.00083273i
9.4852e-05+0.0020245i,0.00076036+0.0020617i,0.00095091+0.00082046i,6.4779e-05-0.00062867i,-0.00067231-0.0014832i,-7.5778e-05-0.00068417i,0.00076021+0.00040142i,0.00074137-4.9372e-05i,0.00041743-0.00061367i,3.6065e-05-0.00044469i,0.00025689-0.00054276i,1.1444e-05-0.0010808i,2.5421e-06-0.00090752i,0.00028998+0.00023999i,0.00043732+0.00056518i,0.0003125+0.00024455i,-7.3723e-05+0.00034667i,-0.00013634+6.8677e-05i,-0.00020581-0.00065287i,8.7209e-05-0.001114i,-0.00090658-0.00023513i,-0.0020875+0.00096708i,-0.00097701+0.00078434i
-0.0027092+0.0011351i,-0.0021923+0.0014524i,-0.00078205+0.0017968i,0.00079931+0.0012444i,0.0012457+0.00028589i,0.00033442+0.00057842i,-0.00044943+0.00012431i,-0.00040512+0.00023028i,2.7864e-05+0.0012119i,-6.0655e-05+0.00065045i,1.2385e-05-0.00033177i,0.000375-0.00088664i,0.00054558-0.0014044i,0.00057232-0.0012522i,0.00014031-0.00079616i,-0.00025939-0.00085163i,-0.00065585-0.00040231i,-0.00055951-0.00017747i,-0.00047846-7.2039e-05i,-0.00057952-6.9942e-05i,-0.00011412+0.00013226i,0.00056484+0.00048495i,0.00098209+0.00027846i
