-0.003568+7.5957e-05i,-0.0023353+0.00071392i,-0.00078903+0.00019582i,0.00020964+0.00034014i,9.6953e-05+0.0016345i,-0.00014605+0.0022699i,-0.00045455+0.0016934i,-0.00029502+0.00074548i,0.00052488-0.00056809i,0.00041838-0.0007709i,-0.00026047-0.00085831i,-0.00059277-0.00076191i,-0.0008377-5.8016e-05i,-0.00062146+0.00032438i,-0.00022056+0.00020072i,0.00033551-3.2712e-05i,0.000236+0.0001638i,-8.6273e-05+0.00031405i,0.0002424+0.0002418i,0.0010797-4.9027e-05i,0.0008984-0.00038122i,0.00010646+0.0001813i,-1.258e-05+0.00038911i
-0.00023438+0.0013489i,0.00042116+0.00043831i,0.00049233-0.00015039i,0.00040731-4.8339e-05i,0.00060481+0.00018116i,9.989e-05+0.00045675i,-0.00079245-3.4909e-05i,-0.00059778-0.00094166i,8.4759e-05-0.00060689i,0.0002076-0.00021783i,-8.404e-05+0.00011133i,0.0001447+0.0001549i,0.00049903+0.0001602i,0.00016512+0.00024747i,-0.00044094-0.00015086i,-0.00038802-0.00020842i,0.00013065+0.00074883i,0.00027859+0.0010548i,0.00016483-0.00024397i,-0.00023509-0.00016413i,-0.00032245+0.00018423i,0.00015665+4.8145e-05i,0.00033497+1.9817e-05i
0.001356+0.00022204i,0.00080925-0.00026568i,0.00034984-0.00021259i,0.00043859-0.0006553i,0.00089079-0.0012808i,0.00054219-0.00051352i,0.00063782-3.4428e-06i,0.00070156-2.5247e-05i,0.00023321-0.00032949i,0.00031153-0.00054131i,0.00054662-0.00013025i,0.00060243+5.3797e-05i,0.00093147-0.00033583i,0.0008133-0.00075607i,0.00048238-0.00048981i,0.00014921+0.00010785i,1.7767e-05-0.00016186i,2.7807e-05-0.00045743i,3.5423e-06-8.6128e-05i,9.3685e-05+0.00020603i,-0.00040744+4.7654e-05i,-0.00035497+0.00026688i,0.00024435-3.3164e-05i
-0.00223-0.0007643i,-0.0020298+0.00015421i,-0.0012405+0.00072721i,-0.00043683+0.0015855i,0.00021684+0.0019123i,0.00049375+0.00069389i,0.00024175+3.4683e-05i,0.00024521+0.00046822i,-0.00026821+0.00074503i,-0.00044416+0.00016878i,-2.3407e-05+0.00032523i,0.00015854+0.00033944i,0.00032259+2.2744e-05i,-9.9546e-06+0.00012577i,-0.00052644-0.00027567i,-0.00035937-0.00057035i,-0.00079811-0.00039107i,-0.0011002-0.00057457i,-8.6379e-05-0.00027045i,-0.00015867-5.3989e-05i,-0.00095161+0.00016523i,-0.00063855+5.4281e-05i,-0.00043578-0.00012973i
0.0011109-6.7643e-05i,0.00091842-0.0010982i,0.0013601-0.00033708i,0.0014345+0.00016677i,0.00051104+0.00055481i,0.0002597+0.00080834i,0.00049393+0.00076252i,-4.2757e-05+0.00096154i,1.093e-05+0.00015437i,0.0011482-0.00045668i,0.0014077-0.00027277i,0.0013593-0.0003821i,0.0010817+0.00038151i,0.00010171+0.0006212i,0.00012392-0.00037244i,0.001113-0.00070716i,0.00093749-0.00025687i,0.00042997-0.00038675i,2.4464e-05-0.00070059i,-0.00014553-0.00017602i,-0.0001261+0.00060837i,-0.00015107+0.00033963i,1.9984e-05+8.5976e-05i
0.001317+0.00036789i,0.00071208+0.00098948i,0.00046303+0.001698i,0.00054908+0.0012676i,0.00047313-0.00031176i,-5.387e-05-0.0011553i,1.7345e-05-0.0013746i,-0.00018787-0.0010996i,-0.0008026-0.0009066i,-0.00059817-0.00047544i,-1.886e-05+0.00017644i,0.0002013-0.00017076i,-0.0001406-0.00022076i,-0.00034064+0.0006347i,-0.00010254+0.0007002i,-0.0002428-0.00013303i,-0.00028527-0.00040053i,-4.535e-05-0.00063385i,0.00027115-0.00087714i,0.00020142-0.0010725i,-0.00034412-0.00075215i,-0.0010158-0.0004448i,-0.0010409-0.00055837i
-0.0036614-0.002201i,-0.002398-0.00025657i,-0.00097262+0.00093162i,-0.00076659+0.0010812i,-0.00039501+0.0015354i,0.00025358+0.0017583i,-0.00024032+0.00069008i,-0.0011744-0.00084254i,-0.0013312-0.00098018i,-0.00030729-0.00022316i,-3.9347e-05+0.00014989i,-0.00067302-0.00039839i,-0.00055443-0.0006231i,-0.00053632+5.8607e-05i,-0.00037262+0.00019777i,0.00076448-0.00032778i,0.0012754-0.00068725i,0.00057341-0.00019335i,-0.00019563+0.0001024i,-0.00038351-0.00052911i,-3.0439e-05-0.00016177i,-0.00012871+0.0004019i,-0.00067791+0.00014309i
-0.00052432-0.00056474i,-5.4757e-05-0.00076236i,-0.00022907+0.0006051i,0.00023841+0.001123i,0.0010283+0.00013085i,0.0014403+4.6804e-05i,0.00057212+0.00037247i,-0.00042721+0.00054226i,-0.0011077+0.00023807i,-0.00096287-0.00017085i,-0.00033483+2.4181e-05i,-0.00053117+0.00033785i,-0.00092085-0.00040924i,-0.00058842-0.00091523i,-0.00055938-0.00089952i,-5.6664e-05-0.00088088i,1.7543e-05-0.00071885i,-5.2166e-05-0.00066112i,-0.00022363+1.2994e-05i,-0.00069501+8.8684e-05i,-0.00048272-0.00053114i,-0.00023462-7.0216e-05i,-0.0005951+0.00037707i
0.004335+0.001566i,0.0030105+0.00079526i,0.0020427+0.00023012i,0.0016801-0.00018692i,0.0010508-0.00050089i,0.0006613-0.00028461i,0.00050561-0.0004815i,0.00054212-0.00071579i,0.00076725-0.00074976i,0.00047395-0.00095343i,0.00047377-0.00099215i,0.00066452-0.00049936i,0.0006986-0.00028898i,0.00016444+0.00020013i,-0.0001942+0.00067871i,-0.00084764+0.00025883i,-0.0014433-0.00076363i,-0.00069596-0.0012107i,-9.0391e-05-0.00038505i,7.5775e-05+7.8972e-05i,0.00049038-0.00013114i,0.00080008-0.00068838i,0.00073851-0.00097999i
-0.00068566-0.00020421i,-0.00088491+8.5636e-05i,-0.0013559+8.635e-05i,-0.0011393-0.00031581i,-0.00046562-0.00041435i,0.00065008-0.00084376i,0.00026908-0.00039538i,-0.00030951+0.00055971i,-2.2838e-05-3.6048e-05i,-0.00017576-0.00062897i,-0.00090885-0.00016134i,-0.00048086+0.00060963i,9.6974e-05+0.001097i,0.00021702+0.00049627i,0.00038947+0.00072904i,-2.5229e-05+0.0011721i,-0.00054621-3.756e-05i,-0.00024281-0.0010206i,0.00064881-0.0008787i,0.00063028-7.2393e-05i,1.5253e-05+0.00022703i,-0.0002464-0.00027301i,-0.00018911-0.000721i
-0.00029309-0.002739i,0.00011522-0.0011697i,-9.3939e-05-0.00011415i,-0.00030325-9.3337e-05i,0.00010692+4.5084e-05i,-4.0514e-05+0.00038849i,-0.00076143+0.00058321i,-0.00073539+0.00074432i,0.0002273+0.0003159i,0.00082083-0.00025059i,0.00063893-0.00039789i,-2.882e-05-0.00031971i,-0.00024186-0.00056203i,5.0406e-05-0.00036643i,-0.00015569+0.00044842i,-0.00064957+0.00029901i,-0.00038009-0.00035116i,0.00032551-0.00035254i,0.00013512+0.00015822i,-0.00039354+0.00022472i,-0.00082115+0.00017162i,-0.00084942+0.00030128i,-0.0001981-0.00048012i
