-0.00062715-0.0010701i,0.00029978-0.0018689i,-0.00054353-0.0021131i,-0.0011167-0.00046863i,-0.0020375+0.0014659i,-0.0019663+0.0020663i,0.0001223+0.001945i,0.0011356+0.0016279i,0.00064381+0.0010572i,0.00068724-7.8588e-05i,0.00096787-0.0010886i,0.00038957-0.00059704i,-0.00027399+0.00024183i,-0.00029608+0.00054489i,-0.00050476+0.00046097i,-0.00049454+8.9412e-05i,-0.00065079-0.00026221i,-0.00053029-0.00031257i,-0.00055453+0.00023785i,-0.00011118+0.00085359i,0.00089492+0.00072146i,0.0010676+0.0004942i,0.0008526+8.0516e-05i
0.00075072+0.00067793i,0.0014356+0.00015797i,0.0013456+0.00045052i,0.00044877+0.00091119i,-0.0006373+0.00029501i,-0.00045593+0.00016557i,0.00094983+0.00093409i,0.0023803+0.00051491i,0.0027906-0.00064558i,0.0018055-0.0012727i,8.8317e-05-0.0012166i,-0.00041876+0.00012366i,0.00049477+0.0012956i,0.00043568+0.0014742i,-0.00011656+0.00047716i,-0.00035142-0.00022469i,-0.00060415+0.00018587i,-0.00020612+0.00016573i,0.00033546-0.00035155i,0.00079767-3.3231e-05i,0.0012545+0.00045283i,0.0014321+0.00057429i,0.00085281-9.6308e-05i
-0.0003974+0.0019984i,-0.0016876+0.002667i,-0.00090205+0.0019675i,-0.00010284+0.00075906i,0.00036712-2.5512e-05i,0.00099637-0.00092465i,0.0013429-0.00079804i,0.001698-0.0004454i,0.0017015-0.0010196i,0.00089213-0.0015882i,0.00097809-0.0020748i,0.0012017-0.0017822i,0.00035399-0.00090997i,-0.00013894-0.00066127i,-0.0005793-0.00063939i,-0.00015995-0.00078356i,-0.00025909-0.00080885i,-0.00085045-0.00017592i,-0.00067316-0.00031359i,0.00045559-0.00035163i,0.00092379+0.00025463i,0.00044752+0.0010088i,0.0005485+0.0010693i
-1.9125e-05-0.0009749i,0.00025852-0.0012974i,-0.00085339-0.0010652i,-0.0016652+0.00047257i,-0.0014222+0.00098147i,-0.0016098+0.0010488i,-0.0012469+0.00031016i,-0.00081178-0.0017376i,-0.0016304-0.0023014i,-0.0025004-0.0013527i,-0.0016254-0.00064313i,-0.00053576-0.00083542i,-8.0608e-05-0.00066649i,0.00039409-0.00010211i,0.00053878+0.00038357i,-0.0001618+0.00088993i,-0.00064431+0.0015002i,-0.00055266+0.001458i,-0.00045571+0.00045389i,-0.00024079-0.00053357i,0.00049903-0.00072595i,0.00047271-2.1219e-05i,-0.00019567+0.0009484i
0.00024935-0.0031127i,-0.00056868-0.0028134i,-0.0024406-0.002253i,-0.0022914-0.0011365i,-0.0015002+0.0003869i,-0.0016849+0.00057468i,-0.0019691+0.000755i,-0.0025721+0.0014082i,-0.0027387+0.0014866i,-0.0016598+0.0009077i,-0.00075354-3.9192e-06i,-0.00027839-0.0013527i,-0.00066186-0.00083591i,-0.00083418+0.00043622i,-0.0004326+0.00038325i,5.3551e-05-0.00063609i,0.00095854-0.00071779i,0.00055097-0.00023668i,4.3569e-05-0.0015565i,0.00041031-0.0016788i,0.0002265-0.00033901i,0.00049984+8.7134e-05i,0.00069722+0.00032335i
0.00040968-0.00070182i,-0.00068176-1.034e-05i,-0.001026+0.00078055i,-0.0012829+0.0017505i,-0.0010757+0.0023991i,-0.0011321+0.0030603i,-0.0012113+0.003163i,-0.00028166+0.0032074i,0.00025262+0.0029514i,-5.6551e-05+0.0024875i,-0.00047475+0.00095788i,-0.00038573-0.00037768i,-0.00083843-0.00014303i,-0.0009088+0.00058019i,-0.00068347+0.00058272i,-0.00071449-0.00057426i,-0.0006449-0.0011151i,-3.4584e-05-0.0010651i,-0.00030708-0.0008706i,-0.00092478-0.00072116i,-0.00049162-0.00050015i,-3.7459e-05-0.00021795i,-4.1293e-05+0.00020929i
-0.00021791-0.0026222i,-0.00013651-0.00030582i,-0.0011815+0.0011196i,-0.00090622+0.0022481i,0.0012322+0.0032689i,0.0023055+0.0038162i,0.0023974+0.0037441i,0.0028147+0.0034749i,0.0032178+0.0023302i,0.0026958+0.0012059i,0.0010808+0.0010093i,0.00013299+0.0012594i,-0.00021602+0.001447i,-0.00072646+0.00094555i,-0.0015621+0.00013574i,-0.0015867+0.00021303i,-0.0002582+0.00065955i,2.6039e-05+0.00057076i,-0.00060463-0.00019986i,-0.00040422-0.00044799i,-5.8792e-05-5.3896e-05i,-0.00038963+0.00060277i,-0.00020825+0.0003391i
-0.00018895-0.00038117i,0.00016881-0.00084748i,-0.00025239-0.0011809i,-0.0008813-0.00167i,-0.0015733-0.0018828i,-0.0011272-0.0014638i,0.00043839-0.00044365i,0.003324+0.00028046i,0.0047793-2.8201e-06i,0.002974-0.00086321i,0.00090057-0.00037782i,-0.00016648+0.0012131i,4.4071e-05+0.0015717i,0.00042825+8.6382e-05i,0.0001495-0.00067757i,-0.00066016+0.0004762i,-0.0010018+0.0010779i,-0.00029675+0.00046302i,0.00027334+1.5651e-05i,0.00029813-0.00010654i,0.00015341-0.00058423i,6.2405e-05-0.00021632i,2.4888e-05+0.00017751i
-0.0026806-0.002347i,-0.003438-0.0010049i,-0.0035947-0.0012934i,-0.0030167+0.00028049i,-0.0026833+0.0025618i,-0.0021611+0.0024941i,-0.00015253+0.00029088i,0.0018154-0.002382i,0.0015105-0.0035031i,-0.00019304-0.002518i,-0.00052532-0.00065525i,0.00070866-9.8268e-05i,0.0013396-0.0010234i,0.0010462-0.0019328i,0.00092376-0.0017952i,0.00020793-0.00063439i,-0.0012633-6.6897e-05i,-0.0012421-0.00045249i,-3.3614e-05+0.00022797i,0.00016142+0.0010793i,-0.00033391+0.0011406i,-0.00010758+0.00036589i,0.00075602-0.000475i
-0.0013838-0.00060624i,-0.0021478-0.00024696i,-0.0013318+0.000749i,-0.0008942+0.0014252i,-0.0012394+0.0020042i,-0.001097+0.0015056i,-0.0017697-0.00087026i,-0.0020531-0.0022225i,-0.0015677-0.0018776i,-0.0015308-0.0013734i,-0.0013522-0.0017426i,-0.00060376-0.0018499i,-8.6561e-05-0.0015356i,-0.00046972-0.001117i,-0.00083589-0.00079011i,-0.00040426-0.00036409i,-0.00039843+4.2774e-05i,0.00012141+0.0001319i,0.00035248-6.6777e-05i,-0.00060167-0.00025767i,-0.00044106-0.00027978i,0.00051479-0.00068033i,0.0012398-0.00072436i
-0.0012071+0.00023801i,-0.0014055-0.00018158i,-0.0017472-0.0007498i,-0.00051299+0.00027836i,0.00095636+0.0018902i,0.00023149+0.0019068i,-0.0015824+0.0011546i,-0.0019487+0.0005329i,-0.0019674+0.00036943i,-0.0020745+0.00032874i,-0.0016277-0.00066424i,-0.0016804-0.0016312i,-0.0018055-0.0015947i,-0.0015976-0.0012916i,-0.0010287-0.0002023i,-0.0007231+0.00011698i,-0.00063518-0.00070661i,-0.00080284-0.00088273i,-0.0007401-0.00025817i,0.0001615-0.00016828i,0.00081293-0.00039209i,0.00071012+0.00058338i,0.0013186+0.0012961i
0.0014091+0.0012889i,0.0012379+0.0010357i,0.00034363+0.0010448i,-0.00032919-0.00062715i,-0.0010549-0.0021942i,-0.00099001-0.0014423i,-0.00056627+0.0014529i,-0.00096965+0.003885i,-0.00076248+0.003895i,0.00050119+0.0019485i,0.00068414+0.00069806i,-0.00040065+0.00087318i,-0.00138+0.001469i,-0.0015963+0.0017531i,-0.0016439+0.0013811i,-0.001717+0.00054945i,-0.0012654+7.6928e-05i,-0.00072474-0.00051042i,0.00014848-0.0018666i,0.00016963-0.0023796i,-0.00047867-0.0017427i,0.00021951-0.0012755i,0.00094132-0.00043767i
-0.00057272+0.0018949i,-0.00097802+0.0033906i,-0.00068681+0.003809i,8.3617e-05+0.0032244i,0.00083375+0.0026305i,0.0013478+0.0025342i,0.0016617+0.002898i,0.0028492+0.0033705i,0.0036281+0.0027613i,0.0033359+0.0014407i,0.0022301+0.0006114i,0.00080035+0.00068684i,-0.00023302+0.00049881i,-0.00031401+0.00051251i,-0.00018274+0.00080978i,-0.00033423+0.00037906i,-0.00050966-0.00010416i,-0.00084738-0.00047218i,-0.0010326-0.00095203i,-0.00082139-0.0011071i,-0.00081283-0.00074621i,-0.0012079-0.00051943i,-0.0010625+3.3472e-05i
-0.0021402-0.001308i,-0.0014386-0.0020214i,-0.00051466-0.001325i,-0.00061912-7.7788e-05i,-6.3915e-05+0.00046466i,0.0018125+0.00070585i,0.0034834+0.00036252i,0.0047543-7.9009e-05i,0.0054065-0.00034385i,0.0042362-0.0014061i,0.0020999-0.0014699i,0.00060054-0.00075832i,0.0013738+0.0004348i,0.0015819+0.00089869i,0.00096048+7.5178e-05i,0.00067288-0.00010649i,6.3524e-05+3.8518e-05i,-0.00044243+0.00049372i,-0.0011034+0.0012006i,-0.00093978+0.0011256i,0.00042631+0.0011156i,0.00079737+0.00081923i,-0.00021164+0.00065288i
0.00041698-0.00069367i,-0.00014377+0.00068754i,-0.00011615+0.0024747i,0.00069776+0.0029198i,9.7548e-05+0.0022556i,0.00011124+0.00047403i,0.0018204-0.0019219i,0.0030231-0.0034231i,0.002091-0.0039536i,2.3025e-06-0.0030981i,-0.00049275-0.0019524i,5.0002e-05-0.0009383i,0.0010504-2.985e-05i,0.0010456-0.00016261i,0.00014125-1.2707e-05i,-0.00013246+0.00053187i,-0.00047344+0.00057922i,-0.00056933+0.00071892i,-0.00032073+0.00064987i,0.00022357+0.00038724i,0.00062572+0.00046118i,0.00068398-5.4099e-05i,0.00030888-0.00067786i
-0.0028647+0.0011035i,-0.0018914+0.0013505i,-0.0021029+0.0025283i,-0.0021085+0.0029149i,-0.0011836+0.0026i,-0.0014094+0.00089516i,-0.0028573-0.0014391i,-0.0037674-0.0033364i,-0.0043397-0.003225i,-0.0035567-0.0011521i,-0.0021347-0.0001421i,-0.0018895-0.0012596i,-0.0015666-0.0022822i,-0.00050022-0.0018836i,-0.00049146-0.001299i,-0.0013485-0.00090743i,-0.00074623-0.00045132i,-0.0002265-0.00028168i,1.8922e-05-3.0499e-05i,0.00094977-2.3206e-05i,0.0015724-0.00072387i,0.0012973-0.0010644i,-0.00015724-0.00069176i
0.00077926-7.6795e-05i,9.3132e-05+0.00040876i,8.325e-05-0.00011665i,-0.00033188-0.00049681i,-0.0021836+0.00044922i,-0.0031287+0.0016398i,-0.0035947+0.0023265i,-0.0045273+0.0024341i,-0.0042252+0.0025458i,-0.0026669+0.001741i,-0.0012816+0.00067695i,-0.00086119+4.1959e-05i,-0.00062461-0.00016029i,-0.00052481-0.00015545i,-0.0005596-0.00052392i,1.3251e-05-0.0012409i,-0.00035925-0.00091056i,-0.001043-0.00092762i,-0.00074037-0.0015956i,-0.00078805-0.0014313i,-0.00027738-0.00076487i,0.00020787-0.00023645i,4.5126e-05-0.00024346i
0.00092015-0.00052778i,-0.00061421+5.7066e-05i,-0.00093912+0.00057729i,-0.0011479+0.0012931i,-0.0012721+0.0011471i,-0.0019173+0.001285i,-0.0021586+0.0032375i,-0.0019106+0.0056238i,-0.00075994+0.0058647i,0.0004917+0.0042264i,0.00089761+0.0018284i,0.00012435+0.0002155i,-0.0010034+0.00045836i,-0.00048052+0.0013071i,-0.00021888+0.0013177i,-0.0010855+0.00091104i,-0.0014413+0.00046062i,-0.0012938+0.00035167i,-0.0017223-9.8209e-05i,-0.0016387-0.00059703i,-0.00087989-0.00064646i,-0.00050599-3.932e-05i,-0.00020639+0.00024497i
-0.00079982-0.00014045i,-0.00013167+0.00013196i,0.00042014+0.00019302i,0.0013537-0.00074706i,0.001006-0.00082672i,0.00058472+0.00024036i,0.0016488+0.0022354i,0.0026315+0.0041025i,0.0034812+0.003379i,0.0034026+0.00064613i,0.0020263-0.0010478i,0.001302-0.00025478i,0.0011461+0.00087125i,0.00084553+0.00069574i,0.00037151-0.00022438i,-0.00030115-0.00054685i,-0.0011555-0.00054569i,-0.001289-0.00046855i,-0.00031821-9.8391e-05i,0.00036003+0.00027556i,0.0007116-0.0003925i,0.00042084-0.00080216i,0.00089064-0.0002312i
0.0012759-0.00019592i,0.00099396-0.00092007i,0.0011469-0.00039859i,0.00062476-1.5377e-05i,0.0001259+0.00017412i,0.00040039+0.00070102i,0.0020953-6.6652e-05i,0.0048918-0.0013645i,0.0060322-0.0029063i,0.0040467-0.0039461i,0.0013005-0.0031836i,-0.00016549-0.0020104i,-5.6201e-06-0.00086983i,0.00024234+0.00068737i,-6.8219e-05+0.00068306i,-0.00028672+0.00035526i,0.00012572+0.0003299i,9.9289e-05-1.2305e-05i,0.00017879-0.00015622i,0.00015371+0.00031188i,-4.7349e-05+0.0005219i,0.00011121-0.000112i,8.0455e-05-0.00030433i
-0.0015412+0.00077422i,-0.0019612+0.0011012i,-0.002572+0.0007187i,-0.002625+0.00057813i,-0.0016642+0.0013112i,-6.4228e-05+0.00073018i,0.0015341-0.0021329i,0.0014734-0.0045896i,-0.0005865-0.0052125i,-0.0023748-0.0036955i,-0.0024725-0.001165i,-0.0010263+0.00024244i,0.00040882+0.00020314i,0.00074373-0.00058263i,0.00055004-0.00080636i,0.00032956-0.00015373i,0.00030457+0.00042228i,0.00076475+0.00065461i,0.00031245+0.00058903i,-0.00024314+2.4336e-05i,0.00040416+0.00019235i,0.000884-1.4889e-06i,0.0004251-0.00058149i
-0.0016171+0.00099614i,-0.0014329+0.0017628i,-0.00050967+0.00091103i,4.3518e-05+0.0010542i,0.00036243+0.00066323i,0.00019584-0.00075523i,-0.00062543-0.0016902i,-0.0022581-0.0019061i,-0.0035359-0.0013304i,-0.0032056-4.0976e-06i,-0.0019077+0.0013136i,-0.001511+0.00094648i,-0.0017908+0.00027376i,-0.0010148+2.0913e-05i,-0.00090971-0.00071745i,-0.0013263-0.00052559i,-0.0010837-0.00013452i,-0.00093787+9.3928e-05i,-0.00033161-4.5275e-05i,4.8479e-05-0.00012788i,0.00028266+0.00055146i,0.00051691+0.00084882i,9.1885e-05+0.0010579i
-0.0014355-0.001108i,-0.0024604+0.00022808i,-0.0041958+0.00028514i,-0.0054397+0.00057481i,-0.0057722+0.0019285i,-0.004881+0.0020604i,-0.004196+0.0020197i,-0.0040517+0.0021684i,-0.0033555+0.0031299i,-0.0018181+0.0031089i,-0.00015036+0.0014908i,-0.00010498+0.00037409i,-0.00032637-0.00053459i,2.3553e-06-0.0010212i,-0.00069199-0.00089295i,-0.00060787-0.00032627i,0.00047079+0.00023293i,0.00038629+0.00040907i,-0.00019606+0.00043131i,6.4455e-05+0.00072089i,0.00013142+0.0013458i,-0.00041917+0.0012182i,-0.00050397+2.2946e-05i
-0.0020007+0.0006221i,-0.00030216+0.0023868i,0.0012182+0.0034543i,0.001438+0.0039987i,0.00088551+0.0039273i,-5.2073e-06+0.0036881i,-0.00013347+0.003893i,0.0008747+0.0046999i,0.0025579+0.0045189i,0.0034043+0.0026668i,0.0021583+0.00043495i,0.0010377-0.00045963i,0.00052412-0.00062281i,-0.00030941-0.00063158i,-0.00093715-0.00011952i,-0.0007449+0.0004345i,-0.00052861-4.0943e-05i,-0.00096232-0.00066694i,-0.00097394-0.00095124i,0.00029438-0.00063684i,0.00075471-0.00017856i,0.00045439+0.00062628i,0.00062269+0.0005358i
7.9532e-05+0.0021389i,0.00062394+0.0018857i,0.0010444+0.0010172i,0.00056915+0.0010743i,0.00022464+0.00097952i,0.00079841+0.0019148i,0.0010502+0.0037849i,0.0026159+0.0040439i,0.0051431+0.0014404i,0.0050596-0.0015026i,0.0030951-0.0028902i,0.00085487-0.0022933i,-0.00061833-0.0009833i,-0.00091901+0.00027922i,-0.00069153+0.0012701i,-0.00049049+0.00097746i,-0.00041754+0.00036951i,-5.738e-06+0.00099408i,0.00036333+0.00058496i,0.00063585-0.00025577i,0.00050163-0.00072318i,-8.0046e-05-0.0011265i,6.786e-05-2.4922e-05i
-0.0045491-8.3407e-05i,-0.0048205+0.0012446i,-0.0044085+0.0021597i,-0.0030533+0.0029302i,-0.00055655+0.0028929i,0.0025422+0.0022965i,0.0034341+0.0014462i,0.0028201-0.00034876i,0.0020105-0.0024282i,0.00088393-0.0022778i,-0.00034916-0.0010147i,-0.00090816-0.0010159i,-0.00047121-0.00092178i,-0.00055464-0.00098936i,-0.00045941-0.0014387i,-0.00052082-0.0013084i,-0.0012374-0.0012712i,-0.00098759-0.0013788i,-0.00026812-0.0011722i,0.00026455-0.00026698i,0.00061664+0.00077384i,0.00017138+0.000872i,-0.00013597+0.00017649i
0.00045648-0.0010558i,-0.00056141-0.0019302i,-0.0017006-0.0019048i,-0.0024505+3.6938e-06i,-0.0022168+0.00046446i,-0.00021876-0.0006135i,0.001673-0.0016484i,0.001428-0.0024215i,-0.00063827-0.0021899i,-0.0024524-0.0010888i,-0.0022566+0.00011146i,-0.0011062+0.00095253i,-0.00044148+0.0004525i,-1.7591e-05-0.0005906i,8.4446e-05-0.00058123i,-0.00010497-0.00032129i,-0.00061205-0.00024993i,-0.0012271-0.00022931i,-0.00080329-8.1764e-06i,-0.00034412+0.00051533i,-0.00040993+0.00082966i,-0.00026681+0.00061417i,-0.0005767-0.00010079i
5.4608e-05+0.00063354i,0.00018313+0.00121i,-0.0005159+0.0017569i,-2.2466e-06+0.0023122i,9.1417e-05+0.0030322i,-3.4946e-05+0.0021714i,0.00079152+0.00036528i,-0.00071108-0.00036794i,-0.0026557+0.0010973i,-0.0018729+0.0030325i,-0.0007563+0.0028886i,-7.6554e-05+0.0011895i,0.00011848-0.00040015i,-0.00035147-0.00096981i,-0.00034085-0.00093542i,-0.0007907-0.0011307i,-0.00048275-0.0015604i,0.00032783-0.00073167i,0.00047181+0.00022441i,0.0008594+0.00015098i,0.0015175+5.1958e-05i,0.0014339-0.00039129i,0.0007773-0.00079156i
0.0020172+0.00071224i,0.0038402-0.00012082i,0.0025184-0.00080515i,0.00041725-0.000372i,-0.00090237-0.00017851i,-0.0012256-0.00095323i,-0.0014132-0.001327i,-0.00045819+0.00022833i,0.001245+0.0025616i,0.0019114+0.002363i,0.0015622+0.00064858i,0.00049988-0.00037622i,-0.00063855-0.00096673i,-0.0012776-0.00076283i,-0.000644+0.00027863i,0.00043351+0.00087288i,0.0009795+0.0009549i,0.00093551+0.00056144i,0.00070945-0.0001362i,0.0004259-4.4794e-05i,0.00065616+0.00040031i,0.00063386+0.00039113i,9.1342e-05+0.00016633i
-0.00079178+0.0010602i,-0.0011473+0.0027486i,1.6759e-05+0.0024527i,0.0011598+0.0006456i,0.000622+0.00026209i,-0.0019956+0.00096561i,-0.0037918+0.0012617i,-0.0015095+0.00079225i,0.002064+0.00045429i,0.002757-0.00028663i,0.0014573-0.0014433i,-5.7575e-06-0.0017117i,-0.00011926-0.0013104i,0.00062071-0.00043209i,0.00050982+0.00043446i,0.00018392+0.00043403i,0.00027344-0.00010857i,0.00063557-0.00017975i,0.00033547+5.652e-05i,1.794e-05-5.1575e-05i,-6.0474e-05-0.00034162i,-0.00020527-0.0003836i,-0.00022078-0.0005398i
-1.578e-05+0.0015126i,-0.0016386+0.0012251i,-0.00049049+4.2169e-05i,0.00066862-0.0011478i,-0.00065536-0.00076796i,-0.002427+0.00081612i,-0.0032797+0.0027416i,-0.0031957+0.0024173i,-0.0015086-0.00093402i,0.0005883-0.0031737i,0.0002353-0.003008i,-0.00064428-0.0016549i,-0.00051642-0.00048727i,-0.000108+3.7099e-05i,0.00013146+0.00027439i,0.0003327+0.00030665i,-0.00020975-0.00048509i,-0.0010099-0.0010353i,-0.0012797-0.00053281i,-0.0016341-3.968e-05i,-0.0019689-0.0003787i,-0.0012594-0.00069124i,4.3518e-05-0.00046729i
-0.002707-0.0038562i,-0.0030615-0.0029589i,-0.0046316-5.6243e-05i,-0.0046979+0.0028266i,-0.0037229+0.0044427i,-0.0022695+0.0058871i,-0.00048413+0.0071939i,-0.00021079+0.0062246i,-0.00056824+0.0021241i,-0.00058712-0.00052902i,-0.00091574-0.00081406i,-0.00092792-0.0010867i,-0.00061615-0.00053962i,-0.00063363-0.00052237i,-0.00093264-0.00073303i,-0.00089607-0.00092504i,-0.00088831-0.00074818i,-0.0016393-0.00057027i,-0.0017706-0.00044298i,-0.0015205+0.00018732i,-0.0013115+0.0002763i,-0.0004288+0.00042557i,0.00020563-0.0006694i
-0.0013605-0.00061534i,0.00029677+0.00011772i,-0.00031117+0.0023208i,-0.00095455+0.0057796i,-0.00010962+0.0058529i,0.0025141+0.0043935i,0.0042648+0.0040644i,0.0039339+0.0038039i,0.0016068+0.0022814i,-0.00034889+0.0023057i,-0.0009069+0.0032299i,-0.00077368+0.0026133i,-0.0011578+0.00087955i,-0.0012874-0.0011263i,-0.0013432-0.0014512i,-0.0017071-0.00055413i,-0.0016316+0.00023321i,-0.00045798+0.00058866i,0.00036158-4.1641e-05i,2.9904e-05-8.6393e-05i,8.6834e-05+0.0011079i,6.6123e-05+0.00070732i,0.00024877-0.0004368i
0.00069723-0.0015595i,0.00050993-0.00086086i,-9.7263e-05-0.00068383i,-0.00044783-0.00022878i,-0.00061654+0.00081081i,0.001915+0.0010448i,0.0052725-0.00082258i,0.0063287-0.0023493i,0.0047189-0.00075705i,0.0029949+0.0022072i,0.0022577+0.0036521i,0.00075142+0.0033393i,-0.00040122+0.00184i,-0.00020723+0.0010055i,-0.0001288+0.00089886i,0.00019009+0.00051814i,0.00050003+0.00059961i,0.00082824+0.00030629i,0.0011441-0.00053486i,0.00080544-0.00041857i,0.0007065+0.00039411i,-0.00023259+0.0010356i,-0.00055299+0.00099423i
-0.0031223-9.6279e-05i,-0.0041243+0.00055934i,-0.0042047+0.0018692i,-0.0029124+0.0021825i,-0.0013688+0.00092114i,-0.00047044-0.0022299i,-2.6347e-05-0.0060937i,0.00052959-0.0069162i,0.0021945-0.0044798i,0.003494-0.0018501i,0.0024677-0.00045546i,0.0014961+0.00066688i,0.0012914+0.0012981i,0.00076107+0.0011976i,0.00029364+0.00086728i,4.6542e-05-0.00042085i,0.00064437-0.00096099i,0.00067925-0.00060981i,0.00029455-0.00045076i,2.6509e-05-0.00015187i,-0.00064498-0.00012645i,-0.00051942-0.00017709i,5.9839e-05-0.00025677i
0.00076697+0.00065207i,-0.00069788-0.0012481i,-0.00125-0.0025517i,-0.0015645-0.0027817i,-0.0025862-0.0034094i,-0.0048679-0.0039018i,-0.0069092-0.0030508i,-0.0065968-0.0028164i,-0.004409-0.0037059i,-0.001422-0.0045028i,0.0003865-0.0045052i,0.00034988-0.0029899i,-9.9825e-05-0.0014373i,0.00061313-0.00092606i,0.00067101-0.0012533i,0.00012783-0.0018346i,0.00090318-0.001435i,0.00051736-0.0010745i,-0.00019595-0.0010837i,-0.00014319-0.00086595i,3.0563e-05-0.00014955i,-5.3119e-05+0.00064299i,-1.4847e-05+0.00032121i
-0.00080629+0.00096339i,-0.0007672+0.0013215i,-0.00038517+0.0016931i,-0.00056921+0.0028099i,-0.0023873+0.0034099i,-0.0042677+0.0037179i,-0.0058281+0.0046799i,-0.0058281+0.0058304i,-0.0043511+0.0038463i,-0.0033813+0.00033554i,-0.0031649-0.0015858i,-0.0021487-0.0021078i,-0.00098821-0.0017978i,-0.0005117-0.0018419i,-8.0047e-05-0.0013696i,9.1869e-06-0.00061017i,-0.00014785-0.00016955i,-4.2968e-05-0.00014752i,-0.00032107-1.3919e-05i,-0.0011845+0.00025602i,-0.0011435+0.00044858i,-1.0383e-05+0.0006236i,0.0005567+0.00048318i
-0.00016447+0.0026402i,0.00015308+0.0030988i,-0.00042231+0.0035462i,0.00088392+0.0043352i,0.0021784+0.0052763i,0.0018222+0.007748i,0.0016469+0.0099439i,0.0015536+0.0092397i,0.00042085+0.0063466i,-0.00058072+0.0032562i,-0.0013258+0.00081091i,-0.0025398-0.00059354i,-0.0027789-0.00081825i,-0.0018619-0.00045167i,-0.0012373-0.00024817i,-0.0010061-0.00064341i,-0.00015171+0.00014574i,0.00019525+0.00061863i,-0.00042014-9.0804e-05i,-0.00041964+2.8866e-05i,5.0151e-05+0.00020175i,-4.6764e-05-0.00050717i,-8.2049e-05-0.00041723i
-0.0028037-0.0017358i,-0.003086-0.0011197i,-0.0016062-0.0006679i,-0.0013603+0.0005954i,-0.0012041+0.0017752i,0.003026+0.0035453i,0.0079293+0.0043988i,0.0096326+0.0033657i,0.0082043+0.0022301i,0.0047771+0.0019888i,0.0020887+0.0019902i,0.00089159+0.0016859i,-0.00022281+0.00095641i,-0.0010138+0.0013086i,-0.0011042+0.0018344i,-0.00096585+0.0020647i,-0.00058327+0.0014828i,-0.00066561+0.00078675i,-0.00089491+0.00038275i,-0.00036616-7.8465e-05i,-6.4716e-06-0.00029399i,0.00046389-0.00056916i,0.00083972-0.00083137i
-0.0016409+0.00095444i,-0.0018181-0.0013773i,-0.0017299-0.0023302i,0.00049715-0.0030704i,0.0030333-0.0043807i,0.0044856-0.0051458i,0.0064593-0.0060283i,0.0081716-0.0071146i,0.0070295-0.0059533i,0.0050695-0.0033988i,0.0042326-0.0010147i,0.0026344+0.00101i,0.0012601+0.0014416i,0.00037871+0.0014163i,0.00020969+0.0014718i,0.00086242+0.0016697i,0.0004494+0.0011278i,-0.00023013-4.7943e-05i,-0.00052163-0.0012794i,-0.0006046-0.0016248i,-0.00031581-0.0012061i,-0.00046666-0.00065485i,-0.00045999-0.00069639i
0.000708+0.0004203i,-0.00012115-0.00059298i,-0.0017287-0.00093633i,-0.003085+0.00097469i,-0.0033203+0.0013151i,-0.0024164-0.0022867i,-0.0024386-0.0066276i,-0.0029562-0.0083796i,-0.002742-0.0060984i,-0.0010973-0.003226i,0.0010247-0.0018579i,0.0017268-0.00057725i,0.0017642-0.00026818i,0.0017671-7.3244e-05i,0.0011008-0.00081619i,0.00014864-0.0020865i,-0.00050041-0.001148i,-0.00050715-0.0004689i,-0.00016393-0.00059254i,-0.00047792-0.00066171i,-0.00049659-0.00031919i,0.00013362+8.0291e-05i,0.00043718-0.00015678i
0.0017097-0.00047461i,0.0035264+0.00082039i,0.0034367+0.0011127i,0.00084478+0.00098693i,-0.0028901+0.00082098i,-0.0068675-0.00011706i,-0.0088773-0.00093675i,-0.0091798-0.00087288i,-0.0072593-9.3267e-05i,-0.004294+8.7932e-05i,-0.0019145-0.000305i,-0.0003977-0.00054853i,0.0004029-0.00067112i,0.00021763-0.00063988i,-8.0402e-06-0.0007935i,-0.00073912-0.00082573i,-0.00067729-7.2064e-05i,-6.8844e-05-0.00084402i,-0.0002062-0.0017229i,-0.00092242-0.0011554i,-0.00092608-0.00090653i,-5.7819e-05-0.00094006i,-0.00024633-0.00065478i
-0.0016396-1.2917e-05i,-0.0023783+0.002022i,-0.0019317+0.0024238i,-0.001251+0.0031729i,-0.0024612+0.00491i,-0.0040049+0.006191i,-0.0048965+0.0074495i,-0.0053217+0.008405i,-0.0035784+0.006768i,-0.0025846+0.0028399i,-0.0031208+0.00041104i,-0.0028705+0.00025825i,-0.0018813+1.3213e-05i,-0.0010333-0.00073829i,-0.000206-0.0010438i,-0.00042444-0.00089977i,-0.00069098-0.0010588i,-0.00055299-0.00137i,-0.0010583-0.0011195i,-0.0010032+0.00029987i,-0.0010242+0.001185i,-0.00071418+0.00082979i,-0.00032654+0.00079782i
-0.0015268-0.0014486i,-0.0037899-0.0019352i,-0.0043273-0.0022608i,-0.0038802-0.0024896i,-0.0030997-0.0019105i,-0.0017058+0.0019624i,0.0014221+0.0062767i,0.0049347+0.0070495i,0.0052671+0.0040205i,0.0022741+0.00032676i,-0.00075346-0.00085653i,-0.0017977-0.00036553i,-0.0022177-8.7814e-05i,-0.0014408+0.0004676i,-0.00099093+0.00056845i,-0.00077164-0.00053782i,0.00017257-0.00028566i,8.1721e-05+0.00083987i,-0.00030523+0.00097984i,-0.00044208-0.00013157i,1.6508e-05-0.00057213i,0.00053702-0.00046709i,0.00080725-0.00073226i
