-0.00062715-0.0010701i,0.00029978-0.0018689i,-0.00054353-0.0021131i,-0.0011167-0.00046863i,-0.0020375+0.0014659i,-0.0019663+0.0020663i,0.0001223+0.001945i,0.0011356+0.0016279i,0.00064381+0.0010572i,0.00068724-7.8588e-05i,0.00096787-0.0010886i,0.00038957-0.00059704i,-0.00027399+0.00024183i,-0.00029608+0.00054489i,-0.00050476+0.00046097i,-0.00049454+8.9412e-05i,-0.00065079-0.00026221i,-0.00053029-0.00031257i,-0.00055453+0.00023785i,-0.00011118+0.00085359i,0.00089492+0.00072146i,0.0010676+0.0004942i,0.0008526+8.0516e-05i
-0.0019956+0.0014251i,-0.0010471+0.0015197i,-0.00025197+0.0017033i,2.9741e-06+0.0012487i,-0.00012909+0.00056627i,0.00038489+0.00017284i,0.00022403+0.00027114i,5.9542e-05+0.0002565i,0.00053209+8.1219e-07i,9.4396e-05-0.00011904i,-0.00066581-0.0007195i,-0.00033953-0.00059907i,-0.00034254+8.5477e-05i,-0.00023923-0.00032601i,-0.00013333-0.00064026i,-0.00075087-0.00061978i,-0.0010388-0.00067891i,-0.00060725-0.0011357i,-0.00050921-0.001041i,-0.00063069-0.00025998i,-0.00040677+3.7761e-05i,-0.00022361-0.00023643i,0.00028511-0.0001833i
-5.9991e-05+0.00073706i,-7.9591e-05+0.00095573i,0.00059677-0.0010865i,0.00055781-0.0022475i,0.00010606-0.0019277i,-0.00017859-0.00062061i,-8.4933e-05+0.0004705i,0.00097879+0.00036687i,0.0012557-0.00023445i,0.0008957-0.00061714i,-2.0582e-05-0.00049393i,-0.0004459-0.00067965i,-0.00023547-0.00039488i,-0.00027854+0.00010083i,-0.00033426+2.3354e-06i,-0.00039003+0.00067878i,0.00022307+0.00086986i,0.00047311+0.00069038i,-0.00017001+0.00065539i,-7.0475e-05+0.00046448i,0.00023076+0.00014943i,0.00013033-1.4058e-05i,0.00065261+4.7427e-05i
-8.8652e-05+0.0017101i,0.00040876+0.00079502i,0.00098344+0.00035035i,0.00099427+0.00076698i,0.00051661+0.00087073i,0.00025437-0.00019951i,0.00011353-0.00077528i,0.00067478-0.00037101i,0.0013044-2.143e-05i,0.00037579+4.0655e-05i,-0.00053301-0.00079393i,-0.00063616-0.00079587i,-3.6376e-05+0.00030514i,-0.00037253+0.00017491i,-0.00081576-0.0001713i,-0.00059156-0.00012317i,-0.00043265-0.00032668i,-0.0005086-0.00012193i,-0.00054668+0.00017926i,3.555e-05+0.00060197i,0.00037597+0.00029364i,0.00018299-5.2754e-05i,-0.00046005-0.00020074i
-0.001925-0.0012987i,-0.0007799-5.1085e-05i,-0.00073948+0.0012444i,0.00049844+0.002664i,0.0014707+0.003129i,0.0014192+0.0023718i,0.00061311+0.0014978i,8.3295e-05+0.00062317i,8.6905e-05-0.00021736i,-0.00016454-0.00091136i,-6.8984e-05-0.00113i,0.00057387-0.00077961i,0.0012155-0.00044891i,0.0014145-4.8305e-05i,0.00099052-0.00027917i,-0.00022838-0.00022199i,-0.00042316-0.00026322i,0.00021147-0.00031773i,3.6384e-07+0.00035434i,-0.00010426+0.00095179i,0.00023422+0.00085732i,0.0001707+0.00038184i,-0.00037069+0.00012397i
-0.0012701+0.00045385i,-0.00077694+0.0011953i,-0.00090456+0.0014404i,-0.0011603+0.0011267i,7.1532e-05+0.0014574i,0.0012832+0.0010141i,0.0014205+0.00020524i,0.0016088-0.00013505i,0.0015141-0.00078055i,0.00061336-0.0005675i,-7.5245e-05+0.00037875i,-1.6259e-05-1.4534e-05i,0.00064447-0.0012216i,0.0009576-0.0013748i,5.1117e-05-0.0009855i,6.3598e-05-0.00013784i,0.00098109+7.5327e-05i,9.442e-05+0.00045926i,-0.00096948+0.00078675i,-0.0011275+0.00036408i,-0.0005067-0.00030992i,9.0986e-05-0.00013818i,-0.00043355+0.00041371i
-0.0010382-0.00074667i,-0.0023986-0.00042326i,-0.002971+6.4969e-06i,-0.0025233+0.0015549i,-0.0018305+0.0019513i,-0.0006788+0.0018958i,0.00030179+0.0012587i,0.00017378-0.00019903i,-2.1115e-06-0.00057201i,7.5305e-05-0.00031304i,0.00034021-3.5336e-05i,0.0005184+0.00057121i,0.00051357+0.00063855i,0.00061966-2.1149e-05i,8.1807e-05-0.00076743i,-0.00022103-0.00034414i,8.6868e-06-0.00010097i,0.00030971+4.2524e-05i,0.00023505+0.0001755i,1.0541e-05-0.00016952i,-0.00023547-0.00033442i,-0.00037974-0.0004512i,-0.00025382+0.00016684i
0.00027295-0.00065167i,-0.00031036-0.00070199i,-0.00097529-0.0014952i,-0.00069502-0.0013579i,-0.00023167-0.00076257i,6.1353e-05-0.00042671i,-0.00010555+0.00031506i,9.393e-05+0.0011453i,0.00073149+0.00059665i,-0.00011073-0.00068899i,-0.00087686-0.0011304i,-0.00056283-0.00031473i,7.2915e-06+0.0004439i,0.00020278+0.00048505i,0.00048062+0.00065898i,0.00079262-4.1083e-05i,2.6567e-05-0.00052454i,-0.00026295-7.289e-05i,-8.1253e-05+0.00032669i,0.00015981+0.00046759i,0.00028657+0.00047417i,-0.00064983-0.00037271i,-0.0013427-0.00091156i
0.0018495-2.2096e-05i,0.0023906-0.00082447i,0.0027272-0.0010309i,0.0012633-0.0011628i,0.00032394-0.00079365i,8.3897e-05+0.00029252i,0.00035568+0.00045035i,0.00046553-0.00025618i,0.00021388-0.00022016i,0.00027716+2.3942e-05i,0.00012113-0.00010224i,0.00012898-0.00014182i,-0.00044039+0.00074563i,-0.00088311+0.0012646i,-0.00025113+0.00017075i,2.9914e-05-0.0010302i,-0.00017331-0.00043914i,-0.00023102+0.0006663i,-0.00080581+0.00070378i,-0.001263+0.00052496i,-0.00046774-0.00025761i,0.00055453-0.00075512i,0.00038629-0.00023196i
0.0012877-0.0006966i,0.00037303-0.0011722i,-0.0005115-0.0010832i,-0.0011327-5.0236e-05i,-0.00097529+0.00089833i,0.00052545+0.0011647i,0.00081396+0.00071834i,0.00013787+0.00023525i,-0.00021526-9.8815e-05i,0.00010586+0.00020617i,0.00041982+0.00088644i,-0.00039256+0.0011617i,-0.00078681+0.00074953i,-0.00075927+0.00037834i,-0.00074432-1.9173e-05i,-0.00025675+0.00029278i,0.00025995+0.00083135i,-0.00018169+0.00046243i,-0.0010425+0.00018005i,-0.0003194+0.00025167i,4.7563e-05+0.00021108i,-0.00041765-0.00049677i,0.00038942-0.00023138i
0.00073983+0.0007035i,-1.654e-05+0.0016747i,-7.9144e-05+0.0012356i,-6.9306e-05-0.00011086i,0.00029253-8.6394e-05i,0.00034339+0.00075204i,0.00076447+0.00047009i,0.0012303+0.00026941i,0.00079277-0.00066066i,0.00034372-0.0015165i,0.00012557-0.00060659i,-0.00033989+0.00072512i,-0.00059035+0.00065683i,-0.00054283-5.7301e-05i,-0.00013693+0.00012597i,0.00038796+0.00037102i,0.00097941+0.00036261i,0.00077912-9.4642e-06i,-0.00021748-0.00028456i,-0.00087698-0.00099316i,-0.00078951-0.0010049i,-0.00071018+5.0533e-05i,-0.00042811+0.00044651i
