-0.00059003+0.00080088i,-0.00025462-0.0012283i,-0.0023751-0.0015186i,-0.0022845-0.00020713i,-0.0013874+0.0015709i,-0.001324+0.0023012i,-0.00021137+0.0021585i,0.0010239+0.0015797i,0.0014616+0.00030721i,0.0010922-0.00098747i,0.00035511-0.0017968i,-0.00022829-0.0017869i,-0.00080533-0.00090853i,-0.00043489-0.00083186i,0.00018877-0.0010462i,-0.00032335-0.00029385i,-0.00058119-0.00024765i,-0.000483-0.00093917i,-0.00058554-0.00047275i,-0.00066696-0.0001076i,-0.00060283-0.00048401i,-0.00049022-0.00049732i,-3.1542e-05-4.6993e-05i
0.0010447+0.00032141i,0.0018605+0.00062199i,0.0019577+0.00070325i,0.0012408+0.00088714i,0.00048525+0.00014777i,0.00056927+0.00016174i,0.00040954+0.0014896i,0.00088037+0.0013956i,0.00097787+0.00065857i,0.00046728+0.00067601i,0.00023001+0.0001715i,-5.7365e-05+0.00029369i,-0.00047933+0.00045765i,-6.9217e-05-0.00014196i,0.00089011+2.1508e-05i,0.001144-8.4884e-05i,0.00051228-0.00042794i,-0.00021193-0.00021814i,-0.00018212+9.98e-05i,-0.00025017-6.2438e-05i,-0.00058949-0.00019132i,-0.00068229-0.00068528i,0.00030835-0.0012757i
9.0446e-05+0.0024886i,-0.0003427+0.0025921i,-0.00026856+0.0023802i,0.00013067+0.0017362i,0.00035578+0.0013524i,0.0001038+0.0011543i,-0.00016809+0.00019951i,-0.00035378-0.0002937i,-2.2958e-05+0.0003413i,0.00045319+0.00019463i,-3.7997e-06-7.1878e-05i,-0.00025435-0.00041808i,-0.00053581-0.001197i,-0.00071377-0.00077108i,-0.00076212+0.00010027i,-0.00036796-0.00014738i,-0.00019576-0.0003165i,-0.00034136+0.00039966i,0.00020535+0.00022443i,0.00039306+0.00011025i,0.00013065+0.0008083i,0.00013763+0.00074649i,-0.00028959+0.00024232i
-0.0017112+0.00066627i,-0.0021027+0.00098122i,-0.0021753+0.00071445i,-0.002037+0.0013131i,-0.001068+0.0012584i,0.00012965+9.2496e-05i,-7.1512e-05+0.00026353i,-0.0008683+0.00033248i,-0.00082924-0.00031894i,-0.00094843-6.8647e-05i,-0.0010923-4.0415e-05i,-0.00026618+0.00010758i,0.00060715+0.00094414i,0.00098961+0.0013142i,0.00045648+0.00099042i,-9.8704e-05+0.00088758i,-0.00036308+0.0016168i,-0.00066383+0.0012424i,-0.00024834-0.00013182i,0.00044025-0.00078515i,0.00036168-0.00038113i,-9.534e-05+0.00080362i,-0.00027657+0.00091975i
-0.00175+0.0026212i,-0.0011432+0.0017714i,-0.00041082+0.00096908i,0.00041522+0.0014763i,0.00051029+0.00089717i,0.0004586-0.00012053i,8.8039e-05-0.00019584i,0.00021264-3.7139e-05i,2.6003e-05-0.00060096i,-0.00010984-0.0011524i,0.00012006-0.00045659i,0.00028619+0.00011437i,0.0001791-0.00014658i,-5.2917e-05-0.00033707i,0.00029735-0.0004013i,0.00019622-0.00076699i,-7.3138e-05-0.00036704i,0.00016071+0.00087662i,0.00020906+0.0011237i,0.00041367+0.00060428i,0.0007132+0.0007829i,0.00056169+0.00083476i,0.0006624+0.00013611i
0.0018925+0.00017817i,0.00084752-0.0006649i,0.0004267-0.0015943i,0.00027792-0.0016372i,0.00050017-0.00035997i,0.0006563+0.00030184i,-0.0005393+0.0004958i,-0.00036465-0.00025739i,0.0002219-0.00061277i,-0.00029998-0.00043515i,2.5486e-05+0.000411i,0.00011863+0.00074181i,-0.0010133+0.00061562i,-0.00061889+0.00088268i,0.00015243+5.1074e-05i,9.2114e-05-0.00014796i,6.2885e-05-0.00037213i,0.00032093-0.00054787i,1.4359e-05-0.00026975i,0.00022623+0.00027519i,0.001226+4.1377e-05i,0.00094768-0.0009685i,0.00019715-0.00056282i
0.00070067+0.00018659i,0.00024773-0.00030648i,-0.00021996-0.0011866i,-0.00015266-0.0011706i,0.00046314-0.00029738i,0.00096698-0.00023007i,0.0004561+0.00014215i,-0.0006421+0.00057439i,-0.0006818+0.00013746i,-0.00060316+0.00012263i,-0.0002235-0.0002457i,-2.8563e-05-0.00013541i,-0.00067184+2.2753e-05i,-0.0009238+0.00039202i,-0.00088246+0.0010981i,-0.00035401+0.00084429i,0.00038011+0.00037444i,0.00035826+0.00022831i,-0.00030674+0.00053156i,-0.00050132+0.00025043i,-1.7163e-05+0.00046778i,0.00038535+0.00045331i,0.00034505-0.00076384i
-0.0021478-0.00034723i,-0.0028034+0.00021156i,-0.002334+0.000218i,-0.00060198+0.00086451i,0.00065444+0.0020498i,0.00075757+0.0028316i,0.00019559+0.0020021i,-0.0004302-5.2916e-05i,-0.00073448-0.0011656i,-0.000613-8.4967e-05i,-0.00045299+0.00043773i,0.00045244+0.00020227i,0.0013945-0.0003442i,0.0016573-0.00081926i,0.00094803-0.0013596i,0.00021014-0.0012659i,0.00016876-0.00085124i,0.00060313-0.00071913i,0.00054118-0.0002209i,-0.00041967+0.00048438i,-0.00049867+0.00079177i,0.00015642+0.00050806i,0.00071056+0.00047566i
-0.0002946+0.00078212i,-0.00013539-0.00020254i,-5.9443e-05-0.00076526i,3.7309e-05+0.0003785i,0.0010277+0.0014174i,0.0012741+0.0015833i,0.00037361+0.0012862i,-0.00025829+0.00047334i,-0.00052944-0.00083165i,-0.00085663-0.00085328i,-0.00091714+4.0534e-05i,-0.0010917+0.0005151i,-0.00087389+0.00069094i,0.00030419+0.00037268i,0.00073663-9.348e-05i,0.00019117+0.00032391i,3.7867e-05+0.00054234i,-0.00011818+0.00052219i,-0.0009164+0.00028334i,-0.00098503-0.0005397i,-0.00040325-0.00066583i,-4.9019e-06-0.00066989i,0.00073248-0.00024028i
-0.00071809-0.00033488i,-0.00089597-0.00087558i,-0.00064303-0.0008078i,-0.00025527-0.0004337i,-8.3054e-05+0.00023329i,-0.00039086+0.00027111i,0.00037332+2.659e-05i,0.0003956-0.0001439i,6.4641e-05+0.00014467i,3.9817e-05+0.00053747i,-0.00057995+0.00053306i,-0.0010711+0.00045099i,-0.00073512+0.00018246i,-0.00052427+0.00026719i,-0.0010636-8.1118e-05i,-0.00050455+0.00022131i,-0.00030375+0.00034163i,-0.00095204-8.7057e-05i,-0.00054786+0.00022109i,0.00031897+0.00011589i,0.00018021+0.00017389i,4.3679e-05+0.00014535i,0.00047488+0.00048075i
-0.001749-0.0023886i,-0.0016607-0.0010055i,-0.0021764+0.00034195i,-0.0017337+0.0011595i,-0.00073405+0.0018576i,-0.00022758+0.0010817i,-0.00029963-0.00016398i,6.153e-07-0.0008837i,0.00029737-0.00043215i,9.3546e-05+0.00042169i,0.00057188-2.7432e-05i,0.00081682-0.00040521i,0.0003201+0.00026529i,0.0005004+0.00031497i,0.00091518+0.00022297i,0.00048765-2.9766e-05i,-0.00028506-0.00051754i,-0.00033633-0.0006787i,7.0465e-05-0.00051418i,-0.00025714-0.00049267i,-0.00057969-0.00053629i,-0.00022083-7.8311e-05i,-0.00083953+0.00029379i
