-0.00059003+0.00080088i,-0.00025462-0.0012283i,-0.0023751-0.0015186i,-0.0022845-0.00020713i,-0.0013874+0.0015709i,-0.001324+0.0023012i,-0.00021137+0.0021585i,0.0010239+0.0015797i,0.0014616+0.00030721i,0.0010922-0.00098747i,0.00035511-0.0017968i,-0.00022829-0.0017869i,-0.00080533-0.00090853i,-0.00043489-0.00083186i,0.00018877-0.0010462i,-0.00032335-0.00029385i,-0.00058119-0.00024765i,-0.000483-0.00093917i,-0.00058554-0.00047275i,-0.00066696-0.0001076i,-0.00060283-0.00048401i,-0.00049022-0.00049732i,-3.1542e-05-4.6993e-05i
-0.00062071-0.00097164i,-0.00101-0.00097619i,-0.0015204-0.00063134i,-0.0010589-0.00031002i,-0.0006918+7.8001e-05i,-3.1312e-05+0.00048874i,-0.00049638+8.3653e-05i,-0.00036468-0.00071967i,0.00064352-0.00045317i,0.00033459-9.1585e-05i,-0.00022873+0.00031116i,-0.00032734+0.00056247i,7.7526e-05-4.543e-06i,0.00066635-0.00027551i,0.00017146-0.00085485i,-0.00028641-0.001191i,-0.0001468-0.00024603i,-0.00028454+0.0001762i,-0.00026825-0.00071485i,-0.00013889-0.00055095i,-0.00049351+6.1739e-05i,-0.00033964-0.00017639i,0.0002126-8.9961e-05i
-0.00037252+0.0011103i,-0.0013018+0.0012485i,-0.0015102+0.0019794i,-0.00071352+0.0026724i,0.00058588+0.0019925i,0.0016174+0.00093923i,0.00072307+0.00044405i,-5.0618e-07+0.00029055i,4.6873e-05+0.00018695i,0.00092283-0.00019872i,0.00074143+0.0002016i,-0.00015329+0.00048599i,-0.00042971-0.00014172i,-0.00075985-0.00028352i,-0.00057127+0.00011907i,-0.00031945+0.00043048i,-0.00063135+2.7544e-05i,-0.00047173+0.00020644i,-0.00050242+0.00030374i,5.9949e-05-0.00068986i,-9.2995e-05-0.0004293i,-0.00040031-0.00013534i,-9.3973e-05-0.00029416i
-0.0007792+0.0012752i,-0.0016243+0.0012664i,-0.0013075+0.0003089i,-0.00029995-0.00023432i,-0.00063572+9.6035e-05i,-0.0011309+0.000527i,-0.00055035+0.00061194i,8.107e-05+0.00025404i,0.00025108+1.6954e-05i,-0.00056064-0.00058981i,-0.00070181-0.00042214i,-0.00087545+9.456e-05i,-0.00053808-0.00054511i,0.00011564-0.00043701i,-0.00020534-6.2068e-05i,-2.5997e-05-0.00042821i,0.0004499-0.0010384i,0.00042874-0.00060008i,1.7691e-05+0.00051756i,0.00012237+0.0010116i,0.00049605+0.00026265i,2.7338e-05-0.000278i,-0.00040105+3.7629e-05i
-0.0010022-0.00070488i,-0.00096808-0.00048244i,-0.0001684+1.5226e-05i,0.00067993+0.00053938i,0.00081373+0.0012227i,0.00029738+0.00089062i,-0.0001185-0.00029058i,-0.00030141-0.00088107i,-0.00090952-0.00030819i,-0.0011688+0.00035415i,-0.00079203+0.00058386i,4.1988e-05+0.00013831i,0.00056543-0.0002076i,0.00039435-0.00018376i,0.00058403-0.00051361i,0.00022919-0.00019615i,-0.00040392-5.822e-06i,-0.00039112+0.00026027i,-2.4626e-06+0.00072244i,-0.000281+0.00088352i,-0.0012133+0.00028461i,-0.00086866-0.00040684i,-0.00019216+0.00017545i
-0.0012235-0.00027911i,-0.0017591+0.00034379i,-0.0021282+0.00094175i,-0.0013867+0.0021976i,-0.00061653+0.0030697i,8.2526e-05+0.0027608i,0.00019883+0.0017909i,0.00026485+0.00061133i,0.00048325-0.00013298i,-0.00015478-0.00018827i,-0.00057571+0.00015495i,0.00018845+0.00080757i,0.00090634+0.0010124i,0.0010904+0.00069583i,0.00036573+0.00064547i,-0.00014183+0.00052041i,-0.0001039+0.00039766i,-0.00042266-0.00010365i,-0.00075847-0.00076361i,-0.00036945-0.00072183i,0.00027403-0.00042011i,9.239e-05+0.00014912i,-0.00030266+0.00053658i
-0.00029961+0.00013677i,-0.00042644-0.00052414i,-0.00092859-0.0016209i,-0.00036428-0.0019708i,0.0011352-0.0011514i,0.0010584-0.00015771i,0.00047213+0.00048157i,0.00050511+0.00084945i,0.00047513+0.00035064i,-0.00012692-7.1319e-05i,-0.00094113-8.6877e-05i,-0.0013537+0.00043648i,-0.0015912+0.0012435i,-0.00094567+0.00046911i,-0.00016313-0.00022119i,0.00035657+0.00060784i,0.00043612+0.00077645i,8.6851e-05+0.00037195i,0.0003627+0.00031508i,0.00025322-0.00021515i,0.0001226-0.00026475i,0.00018188-9.1159e-05i,0.0005106+0.0001883i
-0.0011795-0.00039369i,-0.0011328+0.00061201i,-0.00020959+0.0014155i,0.00096642+0.001939i,0.0010083+0.0021565i,0.0008171+0.0014024i,0.0004568-8.1841e-06i,1.1466e-05-0.00047752i,-0.00030424-5.7594e-05i,6.0864e-06-0.00027792i,-0.00018292-0.00038662i,-0.00052999-7.1283e-05i,-0.00051587-0.00076655i,0.00037867-0.0015383i,0.0010008-0.0013249i,-0.00014436-0.0010493i,-0.0014997-0.00065067i,-0.0010154-0.00031036i,-0.00053803-9.9481e-05i,-0.00016099+0.00020958i,0.00012255+0.00039337i,0.00029531+9.191e-07i,0.00037899-1.3961e-05i
0.00064214+0.00086709i,0.00099701+0.00055005i,0.00045868-0.00032008i,-0.00067851-0.0010689i,-0.0013508-0.00067678i,-0.0010092+0.00012343i,-0.00020619+0.00077711i,-0.00033345+0.00080305i,-0.00039991+5.3006e-05i,4.8402e-05-0.00048935i,0.000312-9.6772e-06i,5.0933e-05+0.00012425i,-0.00090537-0.0003491i,-0.0011539-0.00056573i,-2.1472e-06-0.00050656i,0.00017974-6.6861e-07i,-0.00037257+2.0197e-05i,-0.00069275-0.00038826i,-0.00011687-0.00014763i,4.6485e-05+0.00018351i,0.00016597-0.0002261i,0.0010902-0.00034953i,0.0008924+0.00025067i
0.00039261-0.000604i,0.00094323-0.0016346i,0.0016552-0.0017939i,0.0012933-0.00085892i,0.0010157+2.4324e-05i,0.00063785+0.00047872i,-0.00015731+0.00017639i,-0.00050189+4.7637e-05i,-0.00066115+0.00063378i,-0.00089283+0.00044819i,-6.2447e-05-0.00018504i,0.00014569+0.00048079i,-0.00059111+0.00090122i,4.3359e-05+0.00051071i,0.00023326-0.00056638i,-0.00029844-0.0010808i,-0.00023858-0.00061042i,-0.0002703+0.00047432i,-0.00062172+0.00046977i,-0.00033837-0.00051288i,0.00020203-0.00091433i,-0.00019737-0.00019765i,-0.00019571+0.00028838i
-0.00037393-0.00072299i,0.00021555+1.6648e-05i,0.00016506+0.0010852i,0.00059529+0.0024388i,0.00072229+0.0024796i,-0.00037719+0.0015786i,-0.00080148+0.0010208i,-0.00064094+0.00042621i,-0.00087947-0.00056533i,-0.00056001-0.0012589i,-0.00039269-0.00071986i,-0.00083311-0.00073377i,-2.5961e-05-0.00083572i,0.00059718-0.00059806i,-0.00010758-0.00064818i,-0.00064294-4.3991e-05i,-0.0007822+0.00086474i,-0.0004644+0.00067487i,-0.00071515+0.00021111i,-0.00093928+0.00041607i,0.00021092+0.00024872i,0.0010206+0.00033016i,0.00014335+0.00083022i
0.00097634+0.0014273i,0.00025067+0.0011541i,-0.0004258-6.8921e-05i,-0.00038981+0.00023967i,0.00012411+0.00078578i,-9.6276e-05+0.00030818i,-0.00058807-0.00041842i,0.00010232-0.00031539i,0.00048253+0.00012371i,-0.00035045-0.00049643i,-0.00024999-0.00013889i,0.00040041+0.00071302i,0.00034011+0.00071143i,-0.00012633+0.0012784i,-0.00039346+0.0016201i,-6.2585e-05+0.00054996i,-2.4487e-05-0.00010826i,-0.00027404-0.00016962i,-0.00059215-0.00023256i,-0.00056221+0.00058643i,0.00037321+0.00084273i,0.0015144-3.577e-05i,0.0010806-0.00048839i
-0.0010176+9.3771e-06i,-1.2883e-05-0.00041616i,0.0011731-0.00044963i,0.0015854-3.8918e-06i,0.00091293+0.00050293i,0.00042798+0.00034813i,0.00011586-0.00018039i,0.00015187-9.3272e-05i,0.00063045-0.00019858i,0.00044667+9.5466e-05i,-1.1171e-05+9.4113e-05i,-0.00027312-0.00054681i,-0.0003594-0.0007148i,-0.00039416-0.00092171i,-4.8407e-05-0.001303i,0.00027728-0.00099932i,-0.00025172-0.00097681i,-0.00042571-0.00071909i,0.0001239-0.0002114i,0.00011078-0.00017788i,0.00020472+0.00027253i,-0.0002933+0.00082954i,-0.00030238+0.0010947i
0.00045122+0.0008731i,0.00073391+0.00065297i,0.001047-0.0001742i,0.00071184+0.00016045i,0.00051219+0.00097854i,-5.0771e-05+0.000966i,-0.00086247+0.00076915i,-0.001702+0.0001602i,-0.00090744+0.00018812i,-0.00064326+0.00065107i,-0.0011061+0.00074405i,-0.0010545-0.00015189i,-0.001299-0.00064123i,-0.0010784+0.00014432i,8.1512e-05+0.00063264i,0.00029545-0.00024294i,-0.00048506-0.00096984i,-0.00022301-0.00034891i,0.00035898+0.00051135i,0.00017082+0.0007139i,2.7629e-05+0.00022863i,-0.00014069+0.00010846i,-0.00066586+0.00045044i
-0.0010355+0.00011335i,-0.00068028+0.00043013i,-0.00060238+0.00074699i,-0.00019698+0.00065102i,-7.5713e-05+0.00043638i,-0.00020878+0.00032673i,0.00037107+0.00051996i,0.00047994+0.00060497i,0.00011493-0.00015711i,-0.00016185-0.0010467i,-2.1814e-05-0.00044559i,0.00015017+0.00078995i,0.00042734+0.0012995i,0.00048273+0.00089049i,0.00076895+0.00049876i,0.00035152+0.00028736i,-0.00026254+6.7787e-05i,0.00014696-0.0003354i,0.00018709-0.00058285i,0.00034492-0.00053757i,0.0011005+8.2315e-05i,0.00043145+0.00085298i,-0.00048134+0.00089884i
-0.0013269-0.00095553i,-0.00085543-0.00017915i,-0.00026794+0.00060899i,0.0005642+0.0015493i,0.0015526+0.002194i,0.0021014+0.0013205i,0.00083277+0.00029275i,-0.00023572+0.00013152i,0.00025439+0.00026407i,0.0010194-8.0746e-05i,0.0012849-0.00069543i,0.00070998-0.00078753i,5.046e-05-0.00084713i,-0.00039622-0.00085051i,-0.00037748-0.00073714i,5.4783e-05-0.0011309i,0.0003417-0.0007324i,0.00060522-0.00030657i,2.2906e-05-0.00069055i,-0.00038559-0.0010956i,-0.00049431-0.00049059i,-0.00041965+0.00022334i,-0.00028815+2.7216e-05i
-0.00059738+0.00058792i,-0.00083226-0.00064664i,-0.00075042-0.00038437i,-0.00073752+0.0004203i,8.679e-05+0.00050694i,0.0004058-0.00013821i,-0.00032793-0.0007216i,-0.00010821-0.00097416i,0.00065282-0.00062069i,0.00045804+0.00014711i,0.00044616+2.9697e-05i,0.00036227-0.00076812i,0.00040185-0.00055368i,0.00048438-0.00058434i,0.00043779-0.00096351i,0.00045064-0.00071428i,0.00043082-0.00049403i,-6.2798e-05-0.00074378i,-0.00048734-0.00074825i,-0.00046329-5.1618e-05i,-0.00019049+0.00061214i,-0.00010765-7.407e-05i,-4.5196e-05-0.00060435i
-0.00071738-0.00019652i,-0.00031019+0.00034627i,-6.2805e-05+0.00037347i,0.00043984+0.00062357i,0.0010247+0.0011919i,0.0013379+0.0013171i,0.00030479+0.00061141i,-0.00043339-0.00025629i,-0.00034451-3.9745e-05i,0.00023343+8.1545e-05i,0.0012707-0.00056661i,0.0013041-0.00090094i,0.0015175-0.00061981i,0.0021965-0.00024161i,0.0016981-0.00015041i,0.00041495-0.00019804i,-0.00063311-0.00078303i,-0.00089715-0.00093984i,-0.00020262-0.00071088i,-0.0001605+7.4679e-05i,-0.00022922+0.00059283i,0.00022481+0.00025654i,0.00062661-8.1615e-05i
-0.00049527+3.2708e-05i,-0.00060727+0.0012998i,-0.0007123+0.002585i,0.00041427+0.0024231i,0.0015473+0.002077i,0.0018943+0.0014818i,0.00093724+0.00081769i,-6.8854e-05-7.327e-05i,-0.00021526-2.3343e-05i,-7.0221e-05+0.00026191i,-0.0001498+0.00019567i,-0.00022768-4.708e-06i,-0.00037437+0.00096017i,5.5363e-05+0.00056444i,0.00064194-0.0006425i,-0.00036187-0.00062002i,-0.0010803-0.00043837i,-0.00042754+0.00023053i,-0.00021844+0.00063921i,-0.00027474+5.0585e-05i,0.00033719+0.00046627i,0.0010055+0.0012317i,0.00088375+0.00084225i
-0.0018936+0.0012422i,-0.0010375+0.0020535i,-0.0015055+0.0023965i,-0.0012166+0.0018083i,0.00021099+0.0012579i,0.00019996+0.0012162i,-0.00035888+0.0013971i,-0.0002604+0.0015366i,-0.00065414+0.00081771i,-0.00059658+5.6439e-05i,-0.00025836-9.0853e-05i,-0.00080322+0.00042519i,-0.00072588+0.00094209i,-0.000134+0.0004442i,-0.00023794+0.00029465i,-0.00029376+7.865e-05i,3.8874e-06-0.0010738i,-0.00020131-0.001366i,-0.00041699-0.00067645i,-0.00063254+6.8321e-05i,-0.00042913+0.00065641i,0.00013304+0.00050875i,0.00011267-0.00012457i
-0.0028411-0.00059824i,-0.0021595+9.1505e-05i,-0.00084799-4.6428e-05i,-0.00021235-0.0005389i,-9.338e-05+0.00049799i,0.00025359+0.0006208i,0.00045205-0.00041376i,3.999e-05-0.00015314i,-0.00075445+0.00067546i,-0.00030522+0.00043473i,0.00045631+0.00010985i,0.00052741+0.0001265i,0.00083787-0.00046748i,0.0007967-0.00086464i,0.00026347-0.00070798i,0.00017927-0.0010271i,0.00040467-0.00099303i,-6.6551e-05-0.00018487i,-0.0006034+6.9591e-05i,-0.00045262-0.00062551i,-9.2493e-05-0.00063108i,0.00027711-0.00053791i,0.00059352-0.00054247i
0.00017548+0.00074409i,0.00040625+7.2739e-05i,0.0013966+0.0013568i,0.0020085+0.002577i,0.0012907+0.0019028i,-0.0001226+0.00063504i,-0.0010672+0.00039453i,-0.00042141+0.00014568i,1.335e-06-0.00074436i,-0.00093618-0.00095969i,-0.0011597-0.00049951i,-0.00062467-0.00056889i,-5.3288e-05-0.00017381i,-0.00027869+0.0003251i,-0.00069669-0.00033139i,-0.00034765-0.00079971i,4.1295e-06+2.915e-05i,-0.00045918+2.6585e-05i,-0.00041918-0.0006475i,0.0001291-0.0007219i,0.00015325-0.00047783i,-3.5335e-05-0.00042528i,-0.0005744-0.0003389i
-0.00088398+0.00098958i,-0.00085757+0.00090759i,-0.00041392+0.0015985i,0.00024039+0.002664i,0.00015212+0.0021873i,-0.00044399+0.00027577i,-0.00035437-0.00055776i,-7.2981e-05+8.8686e-05i,0.00018953+0.00059992i,0.00016155+0.00044369i,0.00018574-2.2398e-05i,-0.00036156-0.00029826i,-0.00089803-0.00048471i,-0.00031944-4.2158e-05i,0.00055573-0.00019396i,0.0006434-0.00044031i,0.00015275-0.00015448i,-0.00061483-1.2351e-05i,-0.00045722-0.00082771i,0.00010543-0.00095845i,0.00016205-0.000157i,8.8381e-05-0.00032421i,-4.5505e-05-0.00038711i
-0.0011753+0.0014625i,-0.00070567+0.0013159i,-0.0010307+0.001002i,-0.0010431+0.00080876i,0.00091586+0.0010541i,0.0014273+0.000869i,1.8264e-05+0.00049007i,-0.00061445+0.00019778i,-0.00016427-0.00016043i,-0.00053212-0.0005476i,4.3409e-05-6.4183e-05i,7.016e-05-0.00027154i,-0.00019825-0.0008495i,8.8147e-05+0.00024449i,1.0078e-05+0.00062272i,-0.00029701-0.00026629i,-0.0003784-0.00052726i,0.00017514-0.00054114i,0.00043919-0.00048701i,-7.3035e-05+0.00035861i,-0.00013458+0.00092821i,1.9915e-05+0.00068381i,0.00033506+0.00041954i
-0.0032006+0.0008754i,-0.0023188+0.001393i,-0.0017536+0.0010107i,-0.00099752+0.0008341i,9.0579e-05+0.0016155i,0.00064618+0.0011435i,-0.00030886+0.00017913i,-0.0012706+0.00042225i,-0.0012995+0.00047317i,-0.00069954-0.000185i,-0.00022305-0.00055958i,-0.00010189-0.00037389i,0.00036426+0.00057597i,0.00035729+0.00052325i,8.1009e-06-0.00092246i,-0.0005667-0.00036263i,-0.00065426+0.00084015i,-0.00019686+0.00068644i,-4.9641e-05+7.7962e-05i,0.0003589-0.00032439i,0.00029884+2.0188e-05i,-0.00031165+0.00049333i,-0.00077408+0.00050364i
-0.0014047-0.00067812i,-0.0010122+0.00011964i,-0.0010277+9.4399e-05i,-0.00078955-0.00043646i,-0.00065832+0.0002338i,-0.00027728+0.00080398i,2.1019e-05+0.00021773i,-0.00057558-0.0003563i,-0.00050665-0.00035215i,-0.00025883-0.000553i,-0.00044724-0.00032068i,-0.0003573+0.00079018i,6.1927e-05+0.00094263i,-0.00021541+0.00028555i,-0.00071084-0.00023876i,0.00024345-0.00098011i,0.00041647-0.00019566i,-0.00028613+0.00060052i,-0.00035644+0.00058652i,8.0223e-05+4.9294e-05i,0.00046526+6.8281e-05i,0.00043281+0.00088854i,0.00038622+0.00057916i
-0.00010612-0.0011647i,0.00014468-0.00029946i,0.00029303+0.00027915i,0.0001676+0.00061883i,-0.00013638+0.0011034i,-0.00071743+0.0011537i,-0.0010816+0.00053299i,-0.00096909-3.9634e-05i,-0.00032289-0.00010988i,0.00014638-0.00045057i,0.00030725-0.00086477i,1.1623e-05-4.1871e-05i,-0.00019146+0.00064538i,-0.00010766+2.8954e-05i,0.00013494+4.1036e-05i,0.00012987+0.00021292i,0.00017886+0.00018797i,0.00030238+0.00018968i,0.00060183-0.00016457i,0.00041637-0.00036013i,0.00051085-8.5116e-05i,0.00079568-0.00022732i,0.00059934+0.00024506i
-0.0003085-0.00042311i,0.00015618+0.00036582i,0.000637+0.00063964i,0.00018902+0.0011381i,2.1009e-05+0.0016266i,0.00013223+0.0012877i,-0.00074885+0.0008669i,-0.00068552+0.0002009i,0.0004717-0.00014146i,0.00074112-0.00049611i,0.00092506-0.00045386i,0.00054688+0.00034102i,-0.00050218+0.001179i,-0.00086029+0.00139i,-0.0005484+0.00074111i,-0.00047592+0.00011734i,1.8738e-06-0.00056146i,7.1883e-05-0.00077476i,-0.00083163-0.00035198i,-0.00075863-0.00064469i,-0.00029264-0.00061736i,-0.00025884-9.386e-05i,-0.00032134-0.00039301i
0.00069827-0.00034255i,-0.00016455-0.00092058i,-0.00042253-0.0011983i,0.00022125-0.00030454i,0.0011129+0.00085903i,0.00091796+0.0026607i,0.00059624+0.0026549i,0.00052777+0.00093186i,-0.00019525-0.00041518i,-5.8958e-05-0.00083256i,-1.317e-05-1.974e-05i,-0.00064071+0.00078204i,-0.00080804+0.0011446i,-0.00019909+0.0013291i,8.2593e-06+0.0016678i,-7.1593e-05+0.0017944i,-0.00063287+0.00041595i,-0.00041571-0.00035592i,0.00062323+9.9341e-05i,0.00044047-0.00027644i,-0.00038349-0.0013809i,-0.0011615-0.0013645i,-0.00084395-0.00066178i
-0.00071074+0.00011053i,0.00040536+0.00031329i,0.0013771-0.00021593i,0.001246+0.00048434i,0.00030147+0.00098433i,0.00029085-5.6059e-05i,-0.00026906-0.00017506i,-0.00042836-0.00058273i,6.2501e-05-0.0013009i,0.00023829-0.0010721i,0.00050891-4.214e-05i,0.00041819+0.00026832i,4.1006e-05-0.00018626i,-7.5493e-05-9.7317e-05i,-0.00060045+0.00041619i,-0.0011376+0.0002363i,-0.0011231-0.00055539i,-0.001024-0.0007826i,-0.00052124-0.0003681i,-7.151e-05-5.5335e-05i,-0.00010956+0.00013763i,0.00029458+0.00053103i,0.00068263-0.00013141i
-0.001363-1.7784e-05i,-0.00040163+0.00096255i,0.00068358+0.001718i,0.00073476+0.00064801i,0.00035414+0.00060117i,0.00024719+0.001155i,0.00065252+0.00020043i,0.0010375+9.4996e-05i,0.00081366+0.00012171i,0.00035227-0.00065099i,-0.00014999-0.00079619i,-0.00021236-0.00066844i,0.000649-6.2061e-05i,0.00088459-5.2875e-05i,0.00049541+0.00024577i,0.00012678+0.00015967i,0.00038481-0.00026192i,0.0008711-8.5621e-05i,0.00082285+7.3326e-05i,0.00058319+0.00052466i,-0.00051896+3.8769e-05i,-0.00067496-0.00031509i,1.572e-05-0.00027542i
-0.001113+0.00051071i,-0.00047504+0.0010038i,-0.00062566+0.00020348i,-0.0002902-0.00025717i,4.3156e-05+0.00037051i,0.00051975+9.404e-05i,0.00035889+8.8787e-05i,-0.00018441-3.871e-05i,0.00045639+6.3203e-05i,0.000631+0.00053559i,-0.00027485+9.6697e-06i,-5.3997e-05-0.00068253i,0.00033126-0.00049718i,0.00014412-0.00039827i,0.00054719-0.00056012i,0.00073117-0.00046174i,0.00016454-0.00061153i,-0.00042531-0.00070127i,-0.00064992-0.00056166i,-0.00084879-0.00042685i,-0.0014093-0.00043672i,-0.0012457-0.00072466i,-0.0003758-0.00048954i
-0.0029353-0.0012935i,-0.0030395-0.00094717i,-0.0020356+0.00013117i,-0.0012255+0.0014075i,-0.00070698+0.0020674i,-0.00051102+0.0012003i,0.00011291-1.8655e-05i,0.00024131-6.3448e-05i,-0.00019059+0.00026222i,-0.00027667+0.00055675i,-0.00048129+0.00037979i,-2.3372e-06-0.00033751i,0.00045947+0.00060443i,0.00066835+0.00071984i,0.00093785-0.00012414i,0.00064315+8.0112e-06i,0.00052469+9.5598e-06i,0.00054041+2.2788e-05i,-5.5333e-05-0.00035545i,-0.00032048-0.00074655i,0.00051183-0.00037706i,0.00073733-0.00036236i,0.00066685-0.00096677i
-0.00046216-0.0020931i,-0.0012935-0.0015791i,-0.0013152-0.0016326i,-0.00087259-0.00085356i,0.00075322+0.00073471i,0.00072541+0.0015584i,-3.638e-05+0.00064842i,0.00028931-0.00052472i,-0.00021418-0.00078908i,-0.0010489-0.00046733i,-0.00047214-3.4338e-05i,0.00014549+0.00013797i,0.00021844+0.00044025i,1.9897e-05+0.00015573i,-0.0002655-0.00031897i,0.00051563-0.00098139i,0.00098065-0.00069452i,0.00029266+0.0004698i,3.7381e-05+0.00056883i,-0.00011651+0.0002075i,-8.2404e-05+0.00040399i,-5.4335e-05+0.00098366i,-0.0004674+0.00045866i
0.0002074+3.3913e-05i,-4.2426e-05-0.00030054i,0.00031716-0.0011905i,0.00085335-0.00097633i,0.0004251-0.00039208i,0.00065757+2.3198e-05i,0.00047821-1.5533e-06i,-0.00033658+5.5591e-05i,-0.00068531+8.4566e-05i,-0.00027835+2.0207e-05i,-0.00035199-0.00025326i,0.00027609-0.0002024i,0.00046296+0.00029452i,-0.00043106+0.00067757i,-0.00098653+0.00060679i,-0.00050335+0.00020755i,-0.00010357+0.00029505i,0.00018347+0.00027318i,0.00043559+0.00073097i,0.00017778+0.00086333i,-0.0010343+0.00042359i,-0.0011787+0.00050018i,0.00017615+0.00018319i
0.00031644-7.2291e-05i,0.00066675+0.0012967i,0.0004451+0.0020383i,-0.00012325+0.0016701i,-0.00033525+0.0014281i,0.00040383+0.0015425i,0.0008252+0.00076718i,0.0010673-0.00025891i,0.00092257-0.00018797i,-6.0852e-05+0.00039649i,-0.00041801+8.1409e-05i,-0.00029424-0.00065882i,-0.00037603-0.00040839i,-0.00011338-0.0004029i,0.00081048-0.00061221i,0.0010345-0.00062147i,0.00076484-0.00055893i,0.00037265+7.3562e-06i,-0.00020611-0.00011656i,-0.00017524-0.00028372i,-0.00043931+0.00049512i,4.2926e-05+0.00044854i,0.00043216+2.7778e-05i
-0.00067599+0.0011757i,-0.0011236+0.0018277i,-0.0014389+0.0012293i,-0.0013393+0.00045715i,-0.00077478+0.00033553i,-0.00078509+0.00066738i,-0.0006791+0.0014681i,-0.0004269+0.0013267i,5.0869e-05+0.00067777i,0.00036184+0.00040847i,0.00068205-0.00025477i,0.00035409+0.0002245i,0.00047039+0.0010154i,0.000906+0.00036482i,0.00034184-8.5326e-05i,0.00042927+1.0826e-05i,0.00063109-0.00020832i,0.00065578-6.3389e-05i,0.00069899-0.00038227i,0.00041336-0.00042543i,8.6801e-06-0.00030559i,0.00064723-0.00029612i,0.00076304+0.00031589i
-0.0015984-0.00037315i,-0.0011335-0.0004375i,-0.00098819-0.00048958i,-0.0001195+0.00096732i,0.00072322+0.0014079i,0.00053636+0.00062489i,0.00033022+0.00012867i,0.00046345-0.00075608i,0.0010914-0.00085678i,0.0003407-0.00025132i,-0.00065494-0.00015124i,-0.00060146+0.00024417i,-0.00082313+0.00039399i,-0.00092421-0.00021521i,-0.00068523-0.00036554i,-0.00025383-0.00021901i,-0.00020935+0.00020603i,-0.0010259+0.00099221i,-0.0013564+0.00086116i,-0.00052703+0.00050614i,-0.00014645+0.00016923i,-6.3576e-05-0.0001352i,0.00057691-6.1878e-05i
0.00019313-0.00046802i,0.00040438-0.00074184i,0.0014239-0.00094483i,0.0011817+0.00021291i,0.00030819+0.00094403i,-0.00053458+0.00084195i,-0.0011093+0.00046445i,-0.00024489+1.8699e-05i,0.00015975-8.4426e-05i,-0.00029207+0.00019755i,-1.3278e-05-1.1779e-06i,0.00021991+0.00022646i,-0.00041508+0.00036411i,-0.00039138+0.00018677i,-0.00017403+0.0003799i,-4.9096e-05-0.00012676i,-0.00019938-0.0005386i,-0.00043871-0.00045976i,-0.00010184+4.7877e-05i,-0.00010899-4.8675e-06i,-0.00051326-0.00042741i,-0.00082181+3.5877e-05i,-0.0012717+0.00092536i
-0.0017927+0.00023647i,-0.0005628+0.00046025i,5.6242e-05+0.001332i,-0.00063676+0.0015404i,-0.00053563+0.00090109i,9.1128e-05+0.00078627i,0.00023316+0.00046558i,0.00036496+0.00014025i,0.00087368+0.00028776i,0.00082473+0.00048302i,-0.00016294+0.00078626i,-0.00030895+0.0011266i,0.00034521+0.00072165i,0.0009513+0.00014598i,0.00037868+0.00012141i,-6.429e-05+0.00078789i,0.00044712+0.00070777i,0.00082258-0.00023193i,0.00044096-0.00062413i,-0.00031337+0.00043073i,-5.3595e-05+0.00040917i,3.3582e-05-0.00039454i,-0.00032008-0.00014961i
-0.0010339-0.0014112i,-8.8121e-06-0.00051235i,0.00054131+0.00075369i,0.00074913+0.0011096i,0.001016+0.0005666i,0.00043831+0.00053864i,-0.00032732-0.0002657i,-6.7006e-05-0.00071293i,0.00049082-0.00048224i,0.00058536+6.9483e-05i,0.00041844+0.00030154i,0.00052889-9.4532e-05i,0.00035384+9.292e-05i,-6.8203e-05+0.00041269i,-0.00044737+0.00018731i,-0.00028557-1.278e-06i,-0.00041506-7.4601e-05i,-0.00014475+0.00033965i,-0.00017276+0.00073263i,-0.00087866+0.0001346i,-0.00081545-0.00077101i,-0.00021138-0.00055141i,-2.4427e-05+0.0003705i
0.0014188+0.0022927i,0.0014979+0.0024252i,0.00058966+0.0016934i,3.596e-05+0.0010334i,-0.00039073+0.00076538i,-0.00071751+0.00076983i,-0.00020294+0.00032919i,0.00052999+0.00015961i,0.00027327+0.00021532i,-0.00036823-9.6125e-05i,0.00010136+0.00027288i,0.0009832+0.0003813i,0.00093345+0.00068584i,5.625e-06+0.0003461i,-0.00096756-0.00013494i,-0.0012802+0.00059679i,-0.00056783+0.00074708i,-0.00026077+0.0007425i,-0.00068762+0.00074645i,-0.00013131+0.00090273i,0.00066247+0.0014528i,0.0003576+0.00048298i,6.2691e-05-0.00081336i
-0.0013943+0.0002339i,-0.0026059+0.0010247i,-0.0029319+7.5859e-05i,-0.0013978-0.00013793i,0.0003405+0.0011529i,0.0013479+0.0017989i,0.0011098+0.00021064i,0.0006043-0.0008324i,-0.00013207-0.00059i,-7.7928e-05+2.345e-05i,0.00033148+0.00069147i,0.00055801+0.00088183i,0.0012494+0.00081798i,0.001465-0.00023776i,0.00093879-0.00085547i,0.00030243-0.00092459i,-0.00053895-0.00095868i,-0.00031007+3.9415e-05i,0.00064228+0.00084806i,0.00011714+0.00094118i,-0.00040357-6.3802e-05i,-0.0007671-0.0009i,-0.00097401-0.00069767i
