-0.0034572+0.0015701i,-0.0041323+0.0013283i,-0.0043315+0.00080916i,-0.0034506+0.00080976i,-0.0025415+0.0021991i,-0.0018984+0.0037293i,-0.00099316+0.0029562i,-0.00021538+0.0013689i,0.00059347+0.00026205i,0.0011273-0.00020745i,0.0011476+0.00012972i,0.00077649+0.00041676i,0.0003485+0.00035261i,0.00062028+0.00022923i,0.00030178-0.0005523i,-6.7684e-05-0.0011928i,-0.0003163-0.0011441i,-0.00046851-0.00067885i,-2.887e-05-9.3308e-05i,0.0002945+0.0004698i,-0.00038576+0.00068147i,-0.00085783+0.00030938i,0.00010671+0.00053219i
0.00070507-0.00074514i,-0.00034768-0.0012957i,-0.0016227-0.00087864i,-0.0019125-0.00036979i,-0.0019579+0.00043264i,-0.001382+0.00053709i,-0.00079917-0.00013818i,-0.00046451-0.00025543i,-0.00017773-0.00038127i,-0.00035429-0.00052939i,-4.2325e-05-0.00015355i,-0.00036083+0.00011805i,-0.0011869+0.00043879i,-0.00058689+0.00085013i,0.00012339+0.00077739i,0.00092594+1.168e-05i,0.0011208+4.3726e-06i,0.00063339+0.0005576i,0.00026623+0.00033555i,9.2913e-06+0.00070195i,0.00017907+0.0011578i,0.00060071+0.00088478i,0.00021087+0.00036239i
0.0026757-0.00029655i,0.0018517-0.00096019i,0.00010183-0.0010761i,-0.0014849+1.2913e-05i,-0.0019079+0.00051801i,-0.001387+0.00096689i,-0.00048097+0.0010219i,0.00027684+4.015e-06i,0.00080784-0.0002119i,0.00063406+0.00020989i,8.4289e-05+0.00016706i,-0.00028339+0.00043103i,-7.2613e-05+0.0010793i,0.00036885+0.0010928i,0.00062347+0.00047511i,0.00058498+0.00046573i,0.00041253+0.00048398i,-3.4329e-05+0.00049106i,-0.00043059+0.00050472i,-0.00037577-0.00010688i,-0.00039966-0.00064699i,-0.00013881-2.2747e-05i,-0.00012758+0.00022385i
-0.00033439+0.00011244i,-0.00099881+0.00023286i,-0.0011933+0.00010461i,-0.0014077+0.00069418i,-0.0009109+0.00094743i,0.00048291+0.00090197i,0.00049821+0.00096492i,-0.0001419+0.00052431i,-3.0116e-05+8.5641e-05i,0.00016771-6.6972e-06i,-0.00016673+0.00015363i,-0.00086885+0.00034026i,-0.00064143+9.9743e-05i,1.6707e-05-0.00035819i,-9.4587e-05-0.00016061i,-0.00072155+0.00020971i,-0.00047279+0.00057516i,0.000246+0.0005701i,0.00052062+3.3008e-05i,0.00020249+0.00013387i,0.00046612+7.4008e-06i,0.00082581-0.00061869i,0.00071232-0.00035782i
-0.0036342-0.0029034i,-0.0036043-0.0023342i,-0.0040502-0.00062623i,-0.0046321+0.0004405i,-0.0037349+0.00091957i,-0.00093249+0.0015421i,0.00057109+0.00074782i,0.00022446-0.00038305i,0.00038558-0.00045486i,-2.6706e-05-0.00043386i,0.00046021+0.00059432i,0.00037399+0.001018i,-0.00014012+0.00051053i,0.00029649+0.00065739i,0.00067309+0.00034325i,0.0010293-1.659e-05i,0.0012765-0.00048658i,0.00088241-0.00084805i,-9.4592e-05-0.0011602i,-0.0010982-0.00039388i,-0.0013109+0.001064i,-0.00043106+0.0012706i,-0.00059788+0.00088794i
0.0018528+0.0010164i,0.0017003+0.00096564i,0.001468+0.0010324i,0.00023716+0.00092008i,-0.00027351+0.00068681i,0.00049859+2.4251e-05i,0.0012919-0.00035834i,0.00091065+0.00033985i,4.0362e-05+0.0011011i,0.00041096+0.0012851i,0.00044613+0.00090119i,-0.00066106+0.00016468i,-0.0013295-0.00029329i,-0.00036282+0.00024893i,0.00045048+0.00022184i,0.00046254-0.00047145i,0.00089258-0.00052134i,0.00056349-0.0003593i,2.2929e-05-0.0009957i,-0.00047318-0.0013811i,2.128e-05-0.0010012i,0.0004808-0.00059963i,0.00011811-0.0004643i
-0.002481+5.5262e-05i,-0.0023572+0.00011466i,-0.0032574+0.0012358i,-0.0034173+0.0023541i,-0.0020387+0.0022703i,-0.0007717+0.0021607i,-0.00029741+0.0010363i,-4.7227e-05+0.00020458i,-0.00058392+0.00028683i,-0.00096313+0.00041475i,-0.00065733+0.00014585i,-0.00045672+0.00040775i,-0.0004066+0.00084318i,0.00012427+0.00077408i,0.00032102+0.0011329i,0.00025012+0.0011097i,0.00033602-0.00027477i,0.00017416-0.00091039i,0.00050596-0.00026966i,0.0009246+0.0003243i,0.00053614+0.00023148i,0.00021896-0.00024773i,0.00061166-0.0005663i
0.0011351+0.00023402i,0.0010807-0.00066804i,0.0010521-0.00099879i,0.00036256-0.00097613i,-0.00046103-0.001089i,0.00032526-0.00010049i,0.0010881+0.00097968i,0.0010279+0.00092892i,0.00050541+0.0005071i,0.00026159-0.00010424i,0.00010849-0.00044741i,-0.00021068-0.00046446i,-0.00051732+0.00017903i,-0.00052687+0.00071028i,-4.0327e-05+0.00027614i,0.00046977-1.7096e-05i,0.00019614-0.00032532i,-0.00012934-0.00094424i,0.00022574-0.0004071i,0.0011895+0.00036315i,0.0015729+0.00016243i,0.00087348-0.00041969i,0.00039002+0.00022985i
0.002856+0.001877i,0.0031209+0.0017804i,0.0024223-0.00014216i,0.0013857-0.00084979i,0.00050839-7.0962e-05i,-0.00026158+0.00074769i,0.0002067+0.0012573i,0.00053673+0.00042562i,0.00070747+1.8664e-05i,0.00038074+0.00072207i,0.00011041+0.0008014i,0.00029805+4.0513e-05i,-0.00025787-9.5413e-05i,-0.00084236-0.00079063i,-0.00086041-0.0011898i,-7.398e-05-0.00031022i,-8.8845e-05-0.00071639i,-0.00044762-0.0015362i,-0.0003208-0.00045642i,-0.00023471+0.00017466i,-0.00041158-0.00052926i,-0.00028166-0.001039i,0.00021885-0.00098547i
0.00013366-0.0003518i,-0.0017114+0.00080303i,-0.0019433+0.0013897i,-0.0012183+0.00047292i,-0.0013689+0.00086075i,-0.00078219+0.0010999i,0.0002224+0.00062637i,0.00060869+0.00064626i,0.0002014+0.00065313i,1.9035e-05+0.00068775i,-0.00012461+0.00058262i,3.4728e-05-0.00024725i,0.00073156-0.00031295i,0.00065667-0.0004267i,0.00063857-0.00053711i,0.0012561-0.00019291i,0.0013191-0.00025187i,0.0009512-9.7247e-06i,0.00067613+0.00012582i,0.00048065+0.000235i,0.00038451+0.00048936i,0.00030685+0.00091989i,-0.00010276+0.0004096i
-0.00132-0.00052743i,-0.0015879-0.00024216i,-0.002078+0.0013996i,-0.0018459+0.0023434i,-0.00055802+0.002487i,0.0013794+0.0017203i,0.0020081+0.0004289i,0.0010846-1.8146e-05i,0.00057771-0.00026228i,0.0006165+0.00030807i,0.00026542+0.00061688i,0.00042611+0.00032076i,3.1448e-05-0.00019497i,-8.1745e-05-0.00071596i,0.00011129-0.0011773i,-6.3705e-05-0.0013817i,6.9415e-06-0.00032727i,0.00022117+0.00033089i,-0.00050164+0.00056068i,-0.00061292+0.0007477i,1.8619e-05+0.00060465i,-5.9778e-05+0.00075608i,-0.00025441+0.00049124i
0.0016975+0.00076872i,0.0022547+0.001536i,0.002404+0.0019437i,0.00093423+0.0013346i,7.5226e-05+0.00057847i,0.00029335+0.00018463i,0.00039382+0.00030322i,0.00028861-0.00038429i,0.00053135-0.0001871i,0.00083965+0.00016134i,0.00036664+9.5569e-05i,-0.00011272+0.00046782i,-0.00088622+0.00043701i,-0.00085796+0.00066572i,-0.00032508+0.00042063i,-0.00022413-0.00048748i,8.7272e-05-0.00038827i,0.00050967-0.00029272i,-0.000132-4.8627e-05i,-0.0008295+0.00017661i,5.744e-05+0.00035678i,0.00041783+0.00044572i,-0.00013783+4.0661e-05i
-0.00044225-0.0012455i,-0.00136-0.00072828i,-0.0014036-0.00057978i,-0.0020777-1.61e-05i,-0.0018933+0.0013581i,-0.00022446+0.0022215i,0.00018346+0.0011292i,0.0001927+0.00034843i,0.00030923+0.00038912i,-0.00096488-9.7729e-05i,-0.00069877-0.00059526i,0.00088803-0.00049043i,0.00072363-0.00084768i,0.00045276-0.00085518i,-4.8674e-06-0.00069032i,-0.00019625-0.00075845i,0.00042696-0.00053999i,0.0005533-0.00054614i,6.4037e-05-0.00042111i,-3.9013e-05+0.00024382i,0.00068201+0.00058004i,0.00075654+0.00019281i,0.00049145-0.00066326i
0.0013999-0.00019922i,0.0011922-0.00014261i,0.00094673+0.00027952i,0.00025313+0.00075019i,-0.0013009+0.0012204i,-0.0012226+0.0011672i,-0.00088653+0.00017334i,-0.0014122-7.6958e-05i,-0.0012405-0.0004586i,-0.00061138-0.00074943i,3.7868e-05-0.00040643i,-0.00014952-0.00024701i,1.4494e-05-0.00039718i,0.00040273-0.0001924i,0.00015549+7.7918e-06i,0.00034137-0.00030272i,0.0006883-0.00066299i,0.00091857-0.00080644i,0.00096688-0.00074731i,0.00071253-0.00038451i,6.3006e-05-0.00056397i,-0.00040459-0.00017191i,-0.00064377+0.00023042i
-2.445e-05+0.0006736i,-0.00014551+0.00054546i,0.00024135+0.00045493i,0.00021484+0.00036722i,-0.00077397+0.00078855i,-0.00082453+0.00070977i,-3.9383e-05+0.00010457i,0.00030413-0.00071775i,0.00048809-0.0010696i,7.8833e-05-0.00075867i,-6.528e-05-0.0001818i,-4.0109e-05-0.00029606i,0.00029979-0.00056639i,0.00026301-5.775e-05i,-0.00038544+0.00031816i,-0.00020693-0.00023703i,0.00019659-0.00076357i,0.00029265-0.0002843i,0.00066737-0.00011978i,0.0011101-0.00014771i,0.00084578+4.58e-06i,0.00050285+2.5868e-05i,0.00061397+2.5993e-05i
0.00045035+0.001429i,-0.00030214+0.0007651i,1.5773e-05+0.00074387i,-6.4265e-05+4.9084e-05i,-0.00031748+0.00017382i,0.00029289+0.00021043i,0.00020266-0.0007098i,3.7988e-05-0.00074434i,0.00016695+3.6102e-05i,0.00017369+0.00027212i,-0.00016959+0.00079045i,-0.00083055+0.00081582i,-0.00069835+0.00036165i,3.3004e-05+5.123e-06i,0.00055076-0.00032321i,-5.4789e-06-0.00065717i,-0.00035557-0.00070412i,-0.00035531-0.00040652i,-0.00050816-0.00083747i,-0.00037764-0.00030026i,6.5097e-05-7.2957e-05i,6.7967e-05-0.00049513i,-0.00029166-0.00079306i
0.001469-0.0012871i,0.0015672-0.0016114i,0.0010196-0.0024273i,-0.00058293-0.0014399i,-0.0013862+0.00013563i,-0.00037404-0.00035677i,0.00035952-0.00086268i,1.4293e-05-0.0004766i,-0.00023903-0.00044555i,-0.00031179-0.00076329i,-0.00021619-0.0014345i,0.00042755-0.0012026i,0.00049738-0.00039164i,0.00036403-0.00053598i,0.00038391-0.00077919i,0.00057022-0.00060696i,0.0012721-0.00019747i,0.00064438+0.00016834i,-0.00036676+3.2088e-06i,-0.00024479-7.1791e-06i,0.00058215+1.2781e-05i,0.0010999-0.00035829i,0.0011617-0.0006202i
-0.0019514+0.00044371i,-0.0017997+0.00064034i,-0.0030463+0.0008304i,-0.0032557+0.0010717i,-0.0020592+0.0015949i,-0.00021744+0.0013628i,0.00023353+0.00074535i,-0.00077823-0.00045664i,-0.0010057-0.00070009i,-0.0006546-0.00051345i,5.9513e-05+0.00011254i,0.00070394+0.00038139i,0.00079435-4.941e-05i,-8.1931e-05-5.673e-05i,-0.00031748+6.6294e-06i,0.00055113+0.00061838i,0.00088765+0.00090396i,0.00061399+0.00012528i,-0.00011245-0.00013941i,-0.00071823-0.00033269i,-0.00074442-0.00064898i,-0.00053279-0.00068486i,0.00022499-0.00034932i
0.0016282+0.0021107i,0.0008311+0.0010661i,0.0010063+0.00033503i,0.0016997+0.00043392i,0.00079416+0.0012691i,0.00021208+0.00079871i,0.00047976+0.00022524i,-0.00038329+0.00042396i,-0.000356+0.00094375i,0.00058095+0.00028282i,0.00045428-0.00051437i,3.0279e-05-0.00079397i,-0.00010614-0.00035257i,-0.00063808-6.5803e-05i,-0.00097977-0.00058792i,-0.00046081-0.00069962i,-0.00021186-0.00039903i,0.00014528+9.9331e-05i,0.00075583+0.0011212i,0.00015831+0.00091784i,-0.00058534-0.00076631i,-0.00090692-0.0011942i,-0.00051918-0.0011167i
0.0016619-0.00044689i,0.00099303-0.00079698i,-0.00019531-0.0014179i,-0.0010851-0.00081566i,-0.0014547+0.00024236i,-0.00081975+0.00097881i,-0.00071721+0.00041056i,-0.00070829-0.00065948i,-0.00032481-0.0005483i,0.00016079-0.00031608i,0.00072161-0.00077308i,0.0010897-0.00045919i,0.00046675-0.00034269i,7.2431e-05-2.916e-05i,0.00028759+0.00083487i,0.00069609+0.00073811i,0.00039374-6.323e-05i,-0.00021796+9.3913e-05i,3.6759e-05-4.5695e-05i,0.00038615-0.00060209i,1.813e-05+5.0569e-05i,-0.00068304+0.0006431i,-0.00050143-0.00033592i
-0.00016637+0.00074174i,-0.0003497+0.00092504i,-0.0014213+0.00058931i,-0.0025539+7.2635e-05i,-0.0024508+0.00059048i,-0.0014338+0.0012378i,0.00013834+0.00093085i,0.00054433+0.00044253i,0.00031375+7.7685e-05i,-1.3528e-05-0.00019789i,-0.00035633-0.00038551i,-0.00035703-0.00072458i,-0.00032213-4.5077e-05i,-0.00018627+0.00033324i,-0.000191+0.00048291i,-0.00017967+0.0011363i,0.00059464+0.00058914i,0.00077825-0.00043371i,0.00048954-0.00077708i,0.00081552+6.2715e-05i,0.0010074+0.00027685i,0.00086289-7.2693e-05i,0.0013298+0.00042919i
-0.0021928-2.116e-05i,-0.0017181-0.00035366i,-0.0010261+0.00090727i,-0.00021083+0.0019342i,0.00031946+0.0014682i,0.00095046+0.0008217i,0.0011377+0.00056607i,0.00036834+0.00042363i,-0.00043086-9.9049e-05i,-7.1247e-05-0.00041114i,0.00072904-5.5674e-05i,0.0010262+0.00036021i,0.00061932+5.1466e-05i,0.00049006-0.00032838i,0.00061926-0.0006599i,0.0004585-0.00071131i,-0.00018988-0.00014365i,9.2444e-05-4.9585e-05i,0.00031048+2.8905e-05i,-0.00011114+0.00098958i,0.00019161+0.0015302i,0.00023454+0.00058993i,0.0006441-1.6022e-05i
0.0012753-0.00069531i,0.0021965-0.00037128i,0.00072068+0.0003744i,-0.0015376+0.00067827i,-0.0020988+0.00061481i,-0.00099228+0.00096264i,-0.00034088+0.00074669i,-8.1879e-06-5.6722e-05i,0.00033736-0.00024218i,2.2818e-05+0.00030074i,-0.00032833+0.00037083i,0.00036841+0.00038077i,0.00084374+0.00085133i,0.00026348+8.2723e-05i,0.00059151-0.00021202i,0.00081269-5.5818e-05i,0.00045446+0.00015954i,0.00019091+0.00045865i,0.00017029-0.00066109i,0.00011003-0.00095398i,0.00012038+0.00029394i,0.00035699+0.0012881i,5.6092e-05+0.0012469i
0.0012706-0.00091945i,0.00064572-0.00043289i,-0.00013514-0.00068402i,-0.0013627-0.00082434i,-0.001608+0.00013365i,-0.00087799+0.0013226i,-0.00059207+0.0017039i,-0.00062084+0.0010671i,-8.4443e-05+0.00024429i,0.00017158-0.00051256i,-0.00031198-0.00059607i,-0.00031411+1.9044e-06i,-0.00030458+0.00053741i,0.00015348+0.00023885i,0.00012756-0.00040403i,-0.00034776-0.00044278i,-0.00049383-0.00030865i,-0.00071083-0.00030594i,-0.00095084-0.00059826i,-0.00015737-0.00020181i,0.00062209+0.00014412i,0.00055404-0.00066354i,0.0003791-0.00063718i
-0.0012355-0.0019703i,-0.001068-0.0027877i,-0.0023418-0.0020624i,-0.0032605-0.0010804i,-0.0027097+0.00028549i,-0.0012633+0.00087849i,-0.0001012+0.00013811i,0.00042048-0.00055149i,0.00027591-0.00015271i,0.00049682+0.00044403i,0.00044823+0.0012467i,-5.1485e-05+0.00087843i,-0.00048084+0.00074006i,-0.00019355+0.0013347i,0.00081619+0.00050235i,0.0006325-2.0324e-05i,-4.804e-05-0.00029925i,7.8927e-05-0.00094473i,3.6911e-05-0.00026401i,-0.00021931-7.6029e-05i,0.0003721-0.00018515i,0.00034865+0.00024301i,-0.00042561+0.00030287i
0.0021154-0.0020823i,0.00015429-0.0020389i,-0.00060963-0.0033744i,-0.0010823-0.0021852i,-0.0013419+0.00019705i,-0.00027332+0.0010356i,0.00073099+0.0011926i,7.0492e-05+0.00081675i,-0.00038418-0.0001422i,-0.00043448-0.00035986i,-0.00095947+0.00079361i,-0.0011858+0.00082406i,-0.0010095+0.00048295i,-0.00056205+0.00049494i,0.00096303+7.3097e-05i,0.0015964+0.00016827i,0.0007636+0.00025451i,0.00014638+0.00040806i,-0.00018777+0.00046491i,0.00046108-7.3953e-05i,0.001114-0.00018274i,0.00021068-0.00032555i,-0.00053826-0.00028798i
0.0013285-0.001699i,0.0012847-0.00076402i,0.00030721-0.00054121i,-0.0013815-0.00052464i,-0.0013677-0.00017336i,-5.3625e-05+0.00079209i,0.00047342+0.00071363i,0.0007737+0.00016561i,0.00019503+0.00037337i,-0.00033561+1.4304e-05i,-0.00062994-7.4619e-05i,0.00014413+0.00092975i,-3.0379e-05+0.0011252i,-3.1643e-05+0.00062028i,0.00061179-9.3276e-06i,0.00011559+0.00025998i,5.4381e-05+0.00029543i,0.0002132-0.00058805i,-0.00016399-0.00078877i,-0.00019346-0.00028835i,-0.00048089+0.00038946i,-0.00062081+3.225e-05i,0.00010946-0.00049181i
-0.00032414-0.00068404i,-0.0023151-0.0010083i,-0.0036874-0.00059137i,-0.0034969+0.0010298i,-0.0024939+0.0012064i,-0.0010147+0.0012322i,-0.00042145+0.0013415i,-0.00032318+0.00066259i,-0.00035893+0.00049234i,-3.2179e-05+0.00032035i,0.00063745+0.00039866i,0.00029504+0.00063778i,-0.00025965+0.0011969i,-0.00044293+0.0010898i,0.00030074-0.00024055i,0.00062576-0.00052203i,0.00070391-0.00021827i,0.0010378-0.00054208i,0.00038337-4.9826e-06i,0.0004746+0.00071548i,0.00064276+0.0003494i,0.00013211-0.00071636i,0.00013248-0.00079527i
0.0019317-0.00046126i,0.0014552-0.0008441i,2.8441e-05-0.0012842i,-0.0019873-0.00080957i,-0.0022625-0.00047543i,-0.00080031+0.00017499i,0.00028492+0.0010302i,0.0007831+0.00087679i,0.0010198+0.00038025i,-0.00012685-4.2012e-05i,-0.0011095+0.00045705i,-0.0011602+0.00096046i,-0.00032204+0.00034002i,0.00038041-7.291e-05i,0.00027859+0.00011485i,0.00010872-7.0049e-05i,0.00049258-0.0010152i,0.0006171-0.00078164i,0.00043947-3.6049e-05i,0.00071203+0.00010817i,0.00067253+6.0056e-05i,0.00041912-0.00049808i,-3.6889e-05-0.00076108i
-0.0013343+0.0024154i,-0.0015458+0.0026382i,-0.00083617+0.0027045i,-0.00030288+0.0027935i,0.00032527+0.0023076i,0.00068458+0.0013137i,0.0003994+0.00062579i,0.00022713+0.00045014i,0.00011858+4.0851e-05i,0.00035062+0.00027187i,0.00085739+0.00052874i,0.00085682+0.00025354i,0.00071107-8.982e-05i,0.00025636-0.0003637i,0.00030624-0.00061587i,0.00064414-0.00078343i,0.00034294-0.00071361i,-0.00015193-0.00075387i,-0.00071884-0.00039092i,-0.00049609-6.4321e-05i,-0.00010207-0.00037697i,-0.0001284-0.00038934i,-9.5848e-06-0.00031928i
-0.002217-0.0022775i,-0.0016604-0.0023398i,-0.0026507-0.0023027i,-0.0026892-0.0012882i,-0.0015587+0.00088104i,-1.193e-05+0.0016314i,0.00092672+0.0005298i,0.0012049+0.00064785i,0.00042649+0.00048957i,-0.00056056+0.00039106i,-0.0011072+0.0012535i,-0.0015107+0.00096231i,-0.00011628+0.00010409i,0.00082147-0.00071323i,0.00092175-0.00024008i,0.00051842+0.00032437i,-0.00018839-0.00044817i,-0.00019343-0.0008987i,-0.00028247-0.00044672i,-0.00016051-0.00025208i,0.00040552-0.00068073i,0.00054273-0.00025108i,0.00044536+0.00031755i
0.00034072+0.00069801i,0.0013046+0.0014125i,0.0010731+0.0015885i,-0.0001639+0.0021113i,-0.0004958+0.0025324i,-0.00026577+0.0013498i,0.00054831+0.00025946i,0.00054456+0.00029727i,9.7076e-05-2.5098e-05i,-5.3364e-05-0.00036308i,0.00017174-5.588e-05i,0.0001959+0.00019601i,-0.00014141+6.0739e-05i,0.00015837-0.00034247i,0.00077743-0.00018706i,0.00076999+0.00019397i,5.1028e-05-0.00045253i,-0.00069247-0.0010994i,-7.1637e-05-0.00055329i,0.00076925+8.665e-05i,0.00096134+0.00021574i,0.0010725+9.1941e-05i,0.00084911-0.00016259i
-0.0015206+6.5379e-05i,-0.0025304+0.0011278i,-0.0038607+0.0012371i,-0.0034085+0.00095479i,-0.002598+0.0012541i,-0.0017691+0.0013823i,-0.00027063+0.00075204i,0.00096552+0.00017575i,0.00011251+0.0003953i,-0.00067825+0.00060063i,-0.0003811+0.00046777i,0.0008925+0.00056959i,0.0018174+0.0004192i,0.00068683-0.00074533i,0.00033073-0.00097868i,0.00073838-0.0006185i,0.00034198-0.0010447i,0.00045648-0.00082195i,0.00041176-0.00018458i,-9.776e-05+0.00024606i,-6.3913e-05+0.00062354i,2.2779e-05+0.00089866i,-0.00016636+6.9305e-05i
0.00088767-0.00018567i,0.00046939-0.0014996i,-0.00014844-0.0021301i,0.0002087-0.00061387i,-5.2606e-06+0.00055501i,-0.00024193+0.0013425i,-0.00034621+0.0013053i,0.00027325+0.00044406i,0.00036951+0.0006322i,0.00022439+0.00030569i,0.00036803+4.1922e-06i,0.00035137+0.00010826i,0.00047347+9.5741e-05i,-0.00017075-0.00053159i,-0.000166-0.00088632i,0.00080779-0.00032175i,0.0005933-1.5214e-05i,-0.00017335+0.00020606i,-0.00035393+5.7442e-05i,3.6028e-05-9.0436e-05i,0.0004406+0.00031459i,0.0006557+0.00038447i,0.00035464+0.00055272i
0.0015785-0.0026338i,0.0010721-0.0015182i,-1.2649e-05-0.0010409i,-0.00085677-0.00055032i,-0.00065945+0.0012302i,-5.6243e-05+0.0019188i,0.00082821+0.00081791i,0.0013245-0.00076459i,0.00044626-0.0015008i,-0.00031909-0.000696i,-0.0001797+0.00036741i,-0.00014961+0.00098756i,0.00048959+0.0010384i,0.001169+0.00058323i,0.00078918+0.00014583i,0.00093491-0.00041175i,0.00071652-9.8531e-05i,1.1225e-05+0.0002134i,-0.00044807-0.00024788i,-0.00073884-0.00074921i,-0.00056297-0.0004855i,-0.00058031+0.00050929i,-0.00039372+0.00118i
-0.00052752+8.4536e-05i,-0.001829+0.00059427i,-0.0030489+0.0005644i,-0.002752+0.00064658i,-0.0018168+0.0018633i,-0.0011445+0.0016495i,-0.000371+0.00019776i,0.00016604-1.3535e-05i,-0.00039807+9.9852e-05i,-0.0007065+0.00012941i,-0.00055624+0.00078204i,6.3885e-05+0.00020141i,0.00066863-0.00040939i,0.00028822+0.00031622i,0.00019205+0.00035106i,0.00046822+5.961e-05i,-1.9401e-05+7.6575e-05i,-0.00030922-0.0002382i,-5.8637e-05-1.2926e-06i,0.00035761+0.00065267i,0.00042998+0.0012903i,0.00015695+0.0010204i,-0.0001117+7.9359e-05i
-0.00092244-0.0027231i,-0.00061789-0.0021365i,-0.0021194-0.00012303i,-0.002268+0.001808i,-0.0015005+0.0023127i,-0.0010242+0.0027529i,-9.9825e-05+0.0020012i,0.00047368+0.0012248i,-0.00010787+0.00089497i,-0.00057114+0.00044096i,-0.00015366+0.00075275i,0.00018722+0.00095967i,0.00061354+0.00056335i,0.00091443+0.00071953i,0.00059599+0.0010183i,0.00033007+0.00022541i,-7.6841e-05-0.00028577i,-0.00014306-0.00010648i,0.00032075+0.00043983i,-0.00011554+0.0010275i,-0.0012025+0.00072635i,-0.0013841-9.9019e-05i,-0.00087295-0.00022595i
-0.0017519+0.0016681i,-0.0025161+0.0016821i,-0.0017307+0.0016193i,-0.0019808+0.0014146i,-0.0026469+0.0010734i,-0.0010162+0.0013724i,0.00017763+0.00068257i,0.00025593-0.0010888i,0.00048097-0.0010231i,0.00056067+2.6858e-05i,0.0008907-0.00065743i,0.00053013-0.0010828i,-1.2743e-05-0.00071013i,5.5256e-06-0.00064822i,-0.0001515-0.00061368i,-0.00034505-0.0003656i,-0.0003789+8.1441e-05i,-0.0001018-0.00045336i,0.0010497-0.00059119i,0.00091961-0.00015776i,0.00051626+0.0001487i,0.0013168+4.3637e-05i,0.0010692+0.00017653i
0.00029535+0.0002137i,-0.00025938+0.0003153i,-0.00076546-0.00024577i,-0.00049054+0.00022202i,-0.00069471+0.0019606i,-0.00012711+0.0016234i,0.00051541+0.00060012i,0.00043581+6.2042e-05i,0.00010343-0.00036417i,-0.0001193+0.00019912i,0.00011447+0.00034807i,-0.00022659+6.9947e-05i,0.00053482+0.00046439i,0.0011729+0.00077012i,0.00047284+0.00041121i,0.00045679-0.00019195i,0.001145-0.00076495i,0.0013887-0.00090556i,0.0009546-0.00034713i,-1.8196e-05+0.00061834i,-0.00010937+0.0013103i,0.00022174+0.0009291i,0.00075204+0.00021065i
0.0019609-0.0027852i,0.0025611-0.0018467i,0.0013589-0.002606i,-0.00049216-0.0019591i,-0.001358-0.00033524i,-0.0013963+0.00075615i,-0.00092305+0.00046656i,-0.0011165-0.00019397i,-0.00097664-9.4192e-05i,-0.00046836+0.00052902i,-0.0008459+2.7409e-05i,-0.00052905+0.0002708i,7.194e-05+0.00080913i,0.00051579+0.00044313i,0.00059286+0.00043979i,6.3469e-05+0.00044113i,-2.6457e-05+0.00032638i,0.00012897+5.4842e-06i,0.00017633-0.00038803i,-7.9641e-05-4.5375e-06i,3.7327e-06+8.2438e-05i,0.00014417-0.00043539i,0.00068706-0.00058251i
-0.0015195+0.0014365i,-0.0012898+0.001708i,-0.001127+0.0021237i,-0.000923+0.0025456i,-0.0010401+0.0022829i,-0.00011314+0.00084663i,0.00039106+0.00016366i,-8.717e-05-0.00036478i,-3.6692e-05-0.00086034i,5.1022e-05-0.00024079i,-0.00033249+0.00048634i,0.00036931+0.00017234i,0.0010629-0.00025842i,-2.3808e-05-0.00052421i,-0.00067068-0.00016056i,-0.00019263+0.00045903i,-0.00011131-0.00010184i,1.099e-05-0.00059396i,0.00019987-0.00047078i,-3.9074e-05+0.00025785i,-0.00024043+0.00095971i,-0.00041935+0.0013094i,-0.00014555+0.00074142i
-0.00056264+0.00013161i,-0.0012985+0.00039319i,-0.0018507+0.00018288i,-0.0022009+0.00099238i,-0.0021442+0.0016596i,-0.0011132+0.001545i,-0.00023999+0.00070155i,0.00048171-0.00064216i,0.00075957-0.00038564i,0.00069828+4.6463e-05i,0.00044206-9.1189e-05i,0.00024331+0.00054153i,0.00035182+0.00027784i,0.00019085-4.212e-05i,0.00030838-0.00037254i,0.00026187-0.0011398i,0.00015994-0.00104i,-9.7219e-05-2.4046e-05i,-0.0006688+0.0004183i,-0.00045158+0.00017686i,-0.00067437+7.1656e-05i,-0.00047224-0.00025967i,0.00030909-0.00033154i
-0.0018682-0.0020437i,-0.0020394-0.0023443i,-0.0024634-0.0011707i,-0.0017797+0.0012926i,-0.00050075+0.0022093i,8.2146e-05+0.0006817i,0.0005441+0.00012483i,0.00043022+0.00052658i,-0.00079158+0.00047446i,-0.00072012+0.00095692i,0.00022072+0.00086419i,0.00037557+0.00037099i,0.0011685+0.00043093i,0.001827+0.00048202i,0.0014032+0.00046669i,0.0014057+4.5616e-05i,0.0012018-0.00070958i,0.00026525-0.0012862i,-0.00022987-0.0010802i,7.5149e-05-0.00077017i,0.00047637-0.00017675i,0.00027777-0.00015704i,8.1534e-05-0.00093031i
