0.000133+0.0007019i,-0.00018371-0.00012634i,-0.0015729-0.0012554i,-0.0018185-0.00089795i,-0.0019844+0.0014509i,-0.0017016+0.0025344i,-0.00074468+0.0024191i,-0.00021522+0.0016839i,0.00047287+0.00040145i,0.00094259-0.00030172i,0.00066584-0.00011195i,0.0015227+6.4425e-05i,0.0014905+1.7551e-06i,0.00014126+5.5487e-05i,-0.00010558+0.00022184i,3.6674e-05+0.00054432i,0.0005428+0.00099312i,-4.0929e-05+0.00095136i,-0.00080637+7.0011e-05i,-0.00027941-0.000199i,-0.00028086+0.00030405i,-0.0010969+0.00046929i,-0.0013896+0.00046199i
0.00044306+0.0013495i,0.00051919+0.00076445i,-0.00014633-0.00012696i,-0.00026655+0.00023898i,-0.00016049+0.00074616i,-0.00034705+0.00054754i,6.9212e-05-1.7055e-05i,0.00039412-0.0013083i,0.00044884-0.0015151i,0.00043864-0.001625i,6.7396e-05-0.0019035i,-0.0010035-0.0012263i,-0.0014393-0.00042172i,-0.00074656-0.00017669i,0.00014934-5.8989e-05i,0.00095278+0.00014087i,0.00089227+0.00018193i,-0.00014869-0.00016483i,-0.00054895+0.00038471i,-0.00017292+0.00092303i,0.00027337+0.0012696i,2.9392e-05+0.0012941i,0.00061581+0.00077949i
-0.00079868+0.00040582i,0.00082104+8.542e-05i,0.00068571-0.00050262i,-0.00025699-0.00030018i,-0.00057508+0.00050705i,-0.00066493+0.00054699i,-0.00017697+0.00030657i,0.00028112+0.00041772i,0.0001526+0.00047168i,-0.00030934+0.00066502i,-0.00049875+0.00041887i,-0.00021026+0.00010175i,-0.00046733+0.00019616i,-0.0010197+0.0005067i,-0.00037946+0.00076812i,0.0003349+0.00039381i,8.3299e-05+0.00017678i,0.00024093+0.00046811i,0.00043955+0.00038214i,0.00016236+0.00030558i,-0.00025398+0.00041719i,-0.00059978+0.00072337i,2.8673e-05+0.00059652i
0.00034019-0.00082761i,-0.0002572-0.00026351i,0.0004016+0.00095454i,-9.423e-06+0.0011336i,-0.00043846+0.0012666i,6.7293e-05+0.00070735i,0.00037381+0.00014561i,0.00023643-0.00058556i,5.2123e-05-0.00077204i,0.00052537-0.00026614i,0.0010284+0.00014675i,0.0005+0.00073733i,-0.00011625+0.0014541i,0.00026231+0.0011282i,0.0006045+0.00074283i,0.00062266+0.00059723i,0.0004284+0.00045968i,-9.7736e-05+0.00074205i,-0.00051906+0.00080913i,-0.00022468+0.0008484i,-0.00030482+0.00050835i,-0.00037495-0.00029361i,0.00033705-0.00056969i
-0.00077281+0.0003793i,-0.00048412+0.0004257i,-0.00039342-0.00047214i,0.00046125-0.00023007i,-7.829e-05+0.0012825i,-0.0011409+0.0011108i,-0.00023178+0.00032205i,0.00042436+0.00038416i,0.00014842+0.00041574i,6.4435e-05+0.00018969i,-0.00057156+0.00015037i,-0.00026158+0.00046319i,0.00018134+0.00091786i,-0.00053307+0.00082059i,-0.00075363+0.00039524i,-0.00083834+0.00024612i,-0.00075512+0.00026666i,-0.00026449+0.00017861i,-0.00028338+2.5931e-05i,-6.131e-05+0.00085408i,0.00022965+0.00095799i,0.00069933-0.00010359i,0.00021761-0.00045988i
-0.00058146-0.0011588i,-0.00031659-0.00091438i,-0.0010613-0.00018297i,-0.0017151+0.0015857i,-0.0020544+0.002439i,-0.0015765+0.0018839i,-0.00073217+0.0013418i,-0.00020126+0.00046819i,-0.001053+0.00029266i,-0.0020538-0.00010107i,-0.0012709-0.00047963i,0.00068999-0.00036483i,0.00086782+0.00014858i,-2.8883e-05+0.00059109i,0.00039506+0.00057206i,0.0007068+2.8778e-05i,-0.00012549-0.00034615i,-0.00053026+0.00031842i,-0.00043839+0.00090234i,0.00010852+0.00082142i,0.00040845+0.00052151i,0.00047095+0.00054298i,0.00017014+0.00058312i
0.0013299-0.0022805i,0.0015672-0.0016443i,0.00080021-0.0019038i,-0.00068853-0.0025939i,-0.00026393-0.0015393i,0.00046093+0.00017043i,-5.9562e-05-0.00020269i,0.00028231-0.0010328i,0.00045592-0.00062653i,-0.0003877-0.00033693i,-0.0002414-0.00027238i,0.00057461-0.00015559i,0.00036023+0.00065317i,0.0004719+0.0010535i,0.0004394+0.00086847i,-0.00010233+0.0013835i,-0.00060943+0.0012485i,-0.00049191-0.00030811i,0.00014519-0.0010255i,0.00039254-0.00059969i,0.00021372+0.000402i,6.106e-05+0.00095243i,6.3928e-05+0.00064626i
-0.00018846+9.7012e-05i,0.00046187+0.0005161i,0.00014005+0.00090418i,-0.00018682+0.0012668i,7.3574e-05+0.0019568i,-0.0003164+0.0017105i,-0.00045783+0.00080681i,5.4703e-05+0.00089628i,0.00069301+0.001022i,0.00095253+0.00065005i,0.00041187+0.00060262i,3.7357e-05+0.00061384i,0.00027761+0.00067893i,0.00040762+0.00019546i,0.00027568-4.105e-05i,-0.00046376+0.00089368i,-0.00067597+0.0017012i,-0.00026678+0.0010228i,0.0002509+0.00055275i,0.00076201+0.00046337i,0.0005273+0.00025881i,0.00018136+0.00025508i,-7.5271e-05+0.00030603i
-0.00052412-0.0016511i,-0.00079575-0.0010734i,-0.00017215-0.0015333i,-4.2675e-05-0.0013124i,-0.00082742+0.00059586i,-0.00054429+0.0020056i,2.2795e-05+0.0015155i,-1.7078e-06+0.00019171i,-5.8408e-05-0.00067496i,-0.000301-0.00077061i,0.00010055-0.0004818i,0.00046819-0.00057629i,-0.00016013+0.00020128i,-0.00057802+0.00068734i,-0.00014843+0.00071059i,0.00060094+0.00068261i,0.0011941+0.00055725i,0.0016472+0.00051364i,0.0010327+0.00021873i,-0.0002798-4.6033e-05i,-0.00035462+0.00066591i,0.00010712+0.0009794i,-0.0003877+0.00066843i
0.00074089+0.00035703i,0.00058798-6.6903e-05i,0.0008293-0.00036584i,0.00072229-0.00039059i,-6.2018e-05-0.0001701i,-0.00041568+0.0004887i,4.7576e-05+0.00076359i,-0.00032362+0.00016829i,-0.00020682-0.00054703i,0.00057058-0.00053985i,0.00053607-3.7214e-05i,-0.00083633+3.9597e-06i,-0.0017032+1.0238e-05i,-0.0010373+0.00032388i,-1.7828e-05+0.00076332i,0.00044792+0.0010712i,-9.592e-05+0.0010492i,-0.0004259+0.00062922i,-0.00010985+0.00049001i,-2.9349e-05+0.00035808i,0.00018025+0.00011471i,-2.4835e-05-0.00022117i,-0.00096726-0.00099089i
-2.8201e-05-0.000275i,-8.5068e-05+0.000408i,0.00013136+0.00069152i,-9.5483e-05+0.00046725i,-0.00068349+0.00033752i,-0.0006094+0.0011371i,-7.6379e-05+0.00080022i,-0.00020327+7.9109e-05i,-0.0017859+0.00029989i,-0.0021208+0.00025562i,-0.0010652-0.00037967i,-0.00062944-0.00056995i,-0.0010945-0.00035921i,-0.0016292+8.1858e-05i,-0.0010467+0.00018965i,-0.00010574+2.6354e-06i,0.00013687-0.00036181i,-0.00038341-0.00015714i,-0.00023648+8.6092e-05i,-0.00020034+1.2409e-05i,0.00010065+0.00036994i,0.00020361+0.00024539i,-0.00080136+0.0002543i
0.0015606+9.0956e-06i,0.0012547-0.00043886i,0.0018279-1.1464e-05i,0.00073089+0.0002461i,-0.0010617-0.00027092i,-0.0010963+0.00019594i,-0.0010233+0.00059256i,-0.00046193-0.00026236i,0.00047052-0.00015706i,0.00033744+0.00062704i,-2.4891e-05+0.0011088i,4.049e-06+0.001209i,0.0004848+0.00024623i,0.00010854+6.0008e-05i,-0.00061635+0.00086419i,-0.00034277+0.0012566i,0.00030507+0.0012405i,-7.9868e-05+0.00091865i,-0.00025728-3.5793e-05i,-1.2273e-05-0.00044477i,0.00031453-0.00021079i,0.00039987+0.00031774i,-0.00049635+0.00020341i
