-0.000201-1.7659e-05i,0.00047131+0.00044365i,-0.0001223-7.5971e-05i,0.00050444-0.0005257i,0.00089159+0.00075728i,0.00060058+0.0014612i,0.00062164+0.00059212i,0.00080369+0.00039194i,0.00034133+0.00010596i,-4.2109e-06-0.00040077i,2.1877e-06-0.00065607i,-0.00019637-0.00071136i,0.00035989-0.00054439i,0.00084042-0.00040278i,0.00010071-0.00015048i,0.00021395+0.00035564i,0.00045586+5.04e-05i,-7.3001e-06-4.6666e-05i,-0.00034916-0.0001455i,-0.00029103-0.00073102i,-0.00055105-0.00085668i,-0.00046049-0.00020453i,0.0002088+0.00063218i
0.0018628+0.00024739i,0.0018302+0.00023622i,0.0017179-0.00047389i,0.0019559-0.00043694i,0.0012387+0.00059317i,0.00041979+0.0014431i,-7.3133e-05+0.0019774i,0.00022589+0.00151i,0.00073056+0.00052335i,-0.0003186+0.00014265i,-0.00084409-9.7884e-05i,-0.00025275+0.00022829i,0.00033533+6.9731e-05i,0.00057002-0.00042443i,0.00028952-0.00026791i,0.00015422+0.0002122i,0.00095525+0.00070356i,0.00070351+0.00092383i,-2.1985e-05+9.1889e-05i,0.00016461-7.928e-05i,-0.00024077+0.00015703i,-0.00066116+0.00013965i,0.00014241+0.00010732i
-0.00012672+0.00019259i,0.00034454+8.1018e-05i,0.0006089+0.00035946i,0.0013914-0.00026539i,0.0015119+0.00032456i,0.0010441+0.0015415i,0.0010575+0.0014193i,0.0012789+0.00052019i,0.0012449+0.0001398i,0.00046238+0.00055964i,-0.00021208+0.00081686i,-4.3558e-05+0.00054583i,-0.00047935+0.00071101i,-0.000666+0.00083489i,5.7753e-06+0.00061246i,0.00015356+0.00047479i,0.00031326+0.00059527i,0.00026369+0.00098819i,-0.00016367+0.00085617i,0.00014375-0.00025044i,0.00077963-7.6531e-06i,0.00075139+0.00065369i,0.00049963+0.00075553i
-0.00063553-0.0012059i,0.00062462-0.0022562i,0.0011799-0.0018208i,0.0015936-0.00085527i,0.0022289+0.00047354i,0.0013087+0.00096609i,0.00051495-0.00028293i,0.00069716-0.0013413i,0.00048627-0.00057308i,0.00022062+1.9716e-06i,-0.00021785-0.00085945i,-0.0005842-0.0016497i,4.111e-06-0.001645i,0.00044223-0.00040523i,4.7209e-05+0.00059023i,-0.00041242-5.8148e-05i,4.3962e-05-0.00062787i,0.00035346-0.00065977i,8.57e-05-0.00045427i,0.00021694+0.00031146i,0.00022679+0.00027721i,-0.00062374+0.00025762i,-0.00089225+0.00038513i
0.0013848-0.00056547i,0.0022493-0.00036666i,0.002751-0.00053862i,0.0022506-0.00063683i,0.0014374+0.0004024i,0.0011818+0.001421i,0.0017113+0.0012149i,0.0018827+0.00058995i,0.0010328+0.00042267i,-0.00043646+0.00036438i,-0.00069521+0.00019102i,-0.00039239+2.2363e-05i,-0.00078814+0.00021397i,-0.0013274+0.00046072i,-0.0012802+0.00028773i,-0.00074521+6.6526e-05i,-0.00017631-0.00016552i,0.00019541-0.0002661i,-0.00046115-0.00044002i,-0.00089537+6.4505e-05i,-0.00060809+0.00063973i,-0.00026903+0.00010396i,-0.00010137-0.00063091i
-0.0012135+0.00033159i,-5.5863e-05+2.4938e-05i,0.00015396+0.00044629i,7.0471e-05+0.00042074i,0.00075812+0.00056732i,0.00061263+0.0011858i,-0.00045998+0.0021353i,-0.00073162+0.0021685i,-0.00036803+0.00082152i,-0.00027263-4.2608e-05i,-0.00064199-0.00025816i,-0.00020604+0.00048977i,-0.0003069+0.0012776i,-0.0014277+0.0010074i,-0.0013387+0.00055547i,-0.00034868+0.00067623i,-0.0002995+0.00075525i,-0.00086719+0.0001045i,-0.0014058-0.00057466i,-0.0010157-0.00067561i,-0.0002438-0.00016332i,-9.8233e-05+0.00045326i,-0.00059254+0.0004211i
0.00019417+0.0012481i,0.0014217+0.0003641i,0.0020081+0.00035251i,0.0011275+0.00033022i,0.0011237+0.0008586i,0.0012892+0.00058431i,0.0016301-2.5635e-05i,0.0017449+6.9319e-06i,0.00096886-0.00027125i,0.0011413-0.00023033i,0.0015561+0.00034965i,0.0010273+8.328e-05i,0.00046831-0.00018765i,0.00044597+1.9473e-05i,0.00052268+0.00024398i,3.7242e-05+0.00030261i,-0.00049442+0.0007383i,-0.00012132+0.0015544i,-0.00050115+0.001772i,-0.0011244+0.00088329i,-0.00057434+7.3399e-05i,-0.00044099-0.00045286i,-0.001002-0.00067288i
-0.00029289-0.00020654i,-0.00044989-0.00052444i,-0.00030695-0.0006369i,0.00069752-4.9929e-05i,0.0010383+0.00084987i,0.00073982+0.0017565i,0.00048393+0.0015259i,0.00015415+0.00075515i,0.00014043-0.00036819i,2.1968e-05-0.00087508i,0.00014042-0.00046119i,0.0007815-0.00030257i,0.00083948-0.00024874i,0.00022183-7.4403e-05i,0.00013819-0.00066375i,-3.9468e-05-0.0010295i,0.00022637-1.5686e-05i,0.00069625+0.00087859i,-0.00017223+0.00048277i,-0.0014824+7.1373e-05i,-0.0012588-0.00048481i,-0.0010923-0.00061161i,-0.0012493+0.00027549i
0.0012343+0.0010909i,0.0025335+0.00088897i,0.0024703-0.00012693i,0.0016505+0.00044983i,0.00077749+0.0010857i,-0.00023448+0.00047313i,0.00038298+0.00022461i,0.001288+0.00039864i,0.0010574+0.00025658i,0.00029535+0.00043495i,-4.2708e-05+9.2916e-05i,0.00022379-0.00024428i,0.00055907+0.00045571i,0.00022393+0.00096098i,0.00020207+0.00042749i,0.00015316+0.00014282i,-0.00054837+0.00014081i,-0.00080879-0.0001458i,-0.00084404+3.4915e-05i,-0.00082596+0.00052863i,-0.00062461+0.00080801i,-0.0002139+0.00053108i,-3.5729e-05+0.00026954i
-0.0003583+0.0012781i,0.00019387+0.00096986i,0.00059983-0.00015004i,0.001475-0.00024043i,0.0023245+0.00059346i,0.0021765+0.0010689i,0.0013288+0.0012211i,0.00064447+0.00068138i,0.00024536+0.00011592i,-4.5843e-05+0.00011489i,-0.00026885-0.00024544i,-0.00060687+0.00021999i,-0.0010013+0.00066193i,-0.00083672-1.7262e-06i,-0.00079521-0.00025503i,-0.0009721+0.0007735i,-0.0011978+0.0014618i,-0.00076704+0.001598i,-6.9006e-05+0.0012568i,0.00014197+0.00019928i,0.00010118+0.00013952i,-0.00014496+0.00035621i,-0.00033997-6.9003e-05i
0.0028231-0.00030877i,0.0035123-0.00089637i,0.0024138-0.0010844i,0.0015416-0.00019901i,0.0013639+0.00094748i,0.00092816+0.0015284i,0.00068625+0.0016461i,0.0012154+0.00088812i,0.0013023+3.017e-05i,0.00021735+0.0003702i,-0.00084721+0.00090266i,-0.00084695+0.00034452i,-0.00057155+0.00032887i,-0.0002669+0.0003315i,-9.6129e-05-3.4921e-05i,-0.00027425-0.0001234i,-0.00022839+0.00031238i,0.00026022+0.00028648i,-4.526e-05+0.00041945i,-1.857e-05+0.00024318i,-7.1328e-06-5.4716e-05i,-0.00046782+0.000386i,-0.00016555+0.00012378i
0.0017634+0.00094081i,0.0013354+0.00099589i,0.0019565+0.0007188i,0.0024158+0.0003029i,0.0015869-0.00013629i,0.00083833+0.000782i,0.00059545+0.0015006i,0.00095219+0.0016286i,0.00076521+0.0013449i,0.00041605+0.00098267i,0.00050801+0.00039179i,-0.00052077-2.9646e-05i,-0.0010017+0.00025639i,-0.00073527+7.8979e-05i,-0.00078695-1.2023e-05i,-0.0011573+0.00011927i,-0.00092181+2.198e-05i,0.0001135+0.00099431i,-3.052e-05+0.0017089i,-0.00057181+0.0012509i,-0.00043074+0.00049325i,-0.00024581+0.00022075i,-0.00064658+5.5e-05i
-0.00039195-0.00014131i,-0.00034447+0.0008208i,-0.00010076+0.0015399i,0.00068651+0.0016065i,0.0012557+0.0014695i,0.0013695+0.0015986i,0.00055765+0.0014172i,0.00069807+0.00078823i,0.00080454+0.00045244i,0.00020591+0.00049876i,7.6092e-05+0.00030371i,0.00047157-0.00023113i,0.00060589-0.00022768i,2.9961e-05-7.0191e-05i,-0.00062852-0.00038051i,-0.0012861+5.9308e-05i,-0.0012357+0.00056003i,-0.00091561-2.2356e-05i,-0.0002605-0.00089608i,0.00056531-0.00086501i,0.00012491-0.00023239i,-0.00019973+0.00024154i,-0.00016243+0.00030709i
-0.00024879+0.00079217i,5.9242e-05+0.0004693i,0.00030354+0.00070307i,0.0010319+0.0012833i,0.001614+0.0013704i,0.0012013+0.00093425i,0.00030217+0.00026865i,-0.00012436+3.5261e-05i,0.00059806-6.7524e-05i,0.0011694-0.00044199i,0.00058453-0.00057826i,7.3155e-05+0.00022025i,0.00026765+0.00010808i,0.0003066-0.00024955i,0.00017199+0.00024583i,0.0002503+0.00065269i,-0.00048957+0.00072663i,-0.00022418+0.00058509i,0.00049939+0.00065568i,-0.00026707+0.0011141i,-0.00052691+0.00094243i,-0.00026303+0.00051238i,0.00015209+0.00067179i
0.001441-0.00048476i,0.0012466+9.0892e-05i,0.00083697-0.00019372i,0.00096894-0.00056244i,0.00098209-0.00018419i,-0.00016146+0.0010276i,-0.00058709+0.0018313i,0.00011457+0.0019598i,0.00016643+0.0014924i,0.00020744+0.00079728i,0.00042842+0.00079203i,7.0642e-05+0.0008923i,-6.6327e-05+0.00067117i,0.00038017+6.6407e-05i,0.00021632-0.00028964i,-0.00022031-0.0002336i,-0.00042502-0.00035426i,-0.0003083-0.00018913i,-0.0006953+0.0007247i,-0.00061992+0.00089086i,0.00052279+0.00073538i,0.0011333+0.0007342i,0.00056308+0.00054693i
0.0012645+0.00029384i,0.0024232-0.0011933i,0.0023833-0.0021417i,0.0015748-0.0008007i,0.00079731+0.0010331i,0.00035939+0.0015677i,0.00075048+0.00082052i,0.00061499+0.00029862i,-0.00015094-0.00010673i,-0.00058427-0.00085118i,-0.00016145-0.0011831i,0.00027649-0.00045309i,-0.00060182-7.5548e-05i,-0.00057722-0.00099764i,0.00055396-0.0012057i,0.00075916-0.00064449i,0.00026697-8.631e-05i,0.00014754+0.0008461i,0.00063228+0.00046143i,0.0006854+0.00074992i,-3.8114e-05+0.0011249i,0.00030769+0.00063564i,0.00086463+0.00048289i
0.00144+0.0013007i,0.0027453+0.0012335i,0.0033732+0.00061431i,0.0019728+0.00011675i,0.00083956+0.00021375i,0.00048131+3.9692e-05i,0.00057122+7.3289e-05i,0.00030533+0.00065104i,-0.00026805+0.00047245i,-0.00030399+0.00023206i,-0.00047257+0.00028297i,-0.00038892-0.00021394i,-0.00012055-0.0011522i,-0.0005746-0.0013283i,-0.00070776-0.00065248i,-0.00041895-2.209e-05i,-9.454e-05+0.00030223i,0.00010726+0.00080144i,7.9562e-05+0.00069857i,0.00059086+0.00013838i,0.00015442-0.00043544i,-0.0004801-0.00051744i,0.00014208-0.00018518i
0.00043029+0.002787i,0.0015374+0.0018465i,0.0020445+0.00063264i,0.0020622-5.8877e-05i,0.0019674+0.00037755i,0.0012063+0.0011144i,6.2922e-05+0.0010231i,-0.00026981+0.00010971i,0.00047559+0.00025556i,0.00011872+0.00014055i,-0.00064294-0.00055795i,-0.0004267-0.00060684i,-3.8634e-05+0.00025558i,8.2268e-05+0.00085281i,-0.00024526+0.00054782i,-0.00058276+0.00031444i,-3.914e-05+0.0010241i,0.00064497+0.0013009i,0.00036868+0.000421i,-0.00017778+0.00012079i,-0.0003491+0.00037119i,-0.0004554+0.0002964i,-0.00071052-0.00010177i
-0.00056733+0.00028827i,-6.6608e-07+3.0788e-05i,8.0626e-05+0.00097272i,0.0010039+0.0012319i,0.0019329+0.001023i,0.001932+0.001227i,0.0015431+0.0010046i,0.00092705+0.00061637i,0.00049685+0.00013733i,0.00068531+4.5511e-05i,0.00029774+0.0003522i,-6.6876e-05-0.00030219i,0.0005548+0.00011921i,0.00085481+0.00050493i,0.00089272-9.3144e-05i,5.1079e-05-4.447e-05i,-0.0012003+0.00072343i,-0.00062798+0.00083834i,-0.00018436+0.00029721i,0.00031599-9.5216e-05i,0.0004637-0.00020313i,0.00053915-0.00011906i,0.00068881-0.00053712i
0.0013823+0.0014434i,0.0018125+0.000158i,0.0021376-0.00077564i,0.0021152-0.00073073i,0.001929+2.9573e-05i,0.00070124+0.00094748i,0.00013404+0.00065008i,0.00024449+0.00056558i,-0.00013594+0.0010788i,-0.00053683+0.00064256i,-0.00024176+0.00024002i,0.00028073+0.00057578i,0.00016497+0.0011754i,0.00011859+0.0014758i,-0.00041994+0.0010504i,-0.00038393+0.000207i,0.00020608+0.00063611i,-0.00020695+0.00067698i,-0.00084594+0.00017103i,-0.00090908+1.7682e-05i,-0.00061721-0.00010449i,-0.00033762+3.6223e-05i,-0.00024687+0.00028505i
0.0029493+0.00011798i,0.0025481-0.00017039i,0.0028347-0.001393i,0.0022168-0.002261i,0.0012008-0.0010128i,0.00050149+0.00064516i,0.00050845+0.0012859i,0.0010619+0.00114i,0.001853+2.443e-05i,0.0015522-0.00061069i,0.00059849-9.3565e-05i,0.00041233+0.00077665i,0.00023399+0.00094317i,0.00011181+0.0010236i,0.00021971+0.00076891i,-0.00061001+0.00068605i,-0.00080049+0.00094063i,-1.2162e-05+0.0015748i,-0.00023885+0.0010976i,-0.00024576+0.00094756i,-5.543e-05+0.0014801i,7.5399e-05+0.0012123i,1.1973e-05+0.00074333i
0.00070838+0.00039874i,0.0011563+7.0092e-05i,0.00080992+0.00029143i,0.0004157-3.8624e-05i,0.00093123+4.5619e-05i,0.0011698+0.00079495i,0.0009951+0.0012804i,0.0015576+0.00087159i,0.0015281+0.00040316i,0.00089292-0.00013833i,0.00073986-0.00020083i,-2.4502e-05+1.4616e-05i,-0.0001811+0.00033641i,0.00046817+0.00039525i,0.00057845+0.00041181i,4.7652e-05+0.001023i,-0.00019806+0.00085135i,-0.00024873+0.00043795i,-0.00031646-0.00033013i,-0.00078682+4.7024e-05i,-0.00097558+0.0004131i,-0.00054142+5.3553e-05i,-0.00065294+4.588e-05i
0.0022608+0.0015824i,0.0017246+0.00032294i,0.0018411-0.00095966i,0.0019935-0.0004009i,0.0016942+0.00049571i,0.00071607+0.001073i,-0.00013242+0.0019158i,-0.0001219+0.0013508i,0.00036568+0.00017635i,0.001009-0.00024494i,0.00039942-8.6148e-05i,-0.000599+0.00061976i,-0.00094291+0.0012975i,-0.0012016+0.0009843i,-0.0010094+9.7797e-05i,-0.00040863+0.00029251i,-0.00031734+0.0011871i,-3.2632e-05+0.00069136i,0.00043591-0.00034886i,0.000386-0.00054816i,0.00028636+3.8621e-05i,-0.00012992+0.00046878i,-0.00013852+0.00035276i
-0.00096526+0.00059492i,-0.00039707+0.00050027i,0.00039695+0.00082239i,0.0012739+0.00031194i,0.0017988-0.00012857i,0.0014121+0.00046427i,0.00071956+0.0011836i,0.00043304+0.00079157i,0.00020123-0.00057165i,-0.00022576-0.00011127i,-0.00015004+0.00053145i,0.00024827+0.00010245i,0.00015541-0.00048829i,-6.5773e-05-0.00042992i,-9.149e-06-0.00025482i,-0.0003034-0.00015445i,-0.0007444+0.00026612i,-0.00077681+0.00054829i,-0.00022301+0.00020991i,0.00025101-0.00026356i,0.00049609-0.00042152i,0.00072831+0.0005185i,0.0006242+0.0012563i
0.00071233-0.00011071i,0.0007533-0.00053893i,-8.9621e-05+0.00039659i,-0.00019601+0.00055526i,0.0011015+6.7643e-05i,0.0019753+1.4707e-05i,0.0017836+0.00067805i,0.0010709+0.0012544i,0.00014464+0.0006457i,-0.00026861-6.6998e-05i,-0.00088186-0.00034318i,-0.0012617-0.00064443i,-0.0011645-0.0002498i,-0.00047257+7.1676e-05i,-0.00056944-0.00032059i,-0.00072777-0.00069783i,-0.00028835-0.00036276i,0.00062566+2.1509e-05i,0.00081288+0.00039949i,0.00023521+0.00066263i,0.00042456+0.00043166i,0.0001658+7.7715e-05i,-0.00017586-0.0004199i
0.0010003-0.00047688i,0.0023211-0.0013268i,0.001892-0.0014527i,0.00088546-0.00060378i,0.00066761+0.00098038i,0.00047055+0.001187i,0.00073167+0.00067451i,0.001116+0.00028059i,0.00047541-0.00065616i,-0.00023703-0.00017374i,-0.00031141+0.00078177i,-0.0001178+0.00034689i,6.8115e-05+0.00010499i,-0.00012376+0.00016726i,-0.00069736+9.6285e-06i,-0.00068431+0.00032063i,-0.00030992+0.00063217i,-7.0365e-05+0.00097576i,0.00021384+0.00062709i,-0.00018263+0.00016369i,-0.00021914+4.9826e-05i,0.00024411+0.00017653i,8.5419e-05+0.00050741i
0.001233+0.001549i,0.0019393+0.0015167i,0.001566+0.0003802i,0.0013153-0.00068975i,0.00064794-0.0002736i,0.00019583+0.0003231i,0.0010075+0.00048534i,0.0015819+0.00023534i,0.0010238-0.00022331i,0.00060311-0.00070655i,0.00043831-0.00071029i,0.00010648-0.00042524i,-0.00033137-8.9808e-05i,-0.00073301+0.00091764i,-0.00086655+0.0010748i,-0.00023945+0.00065714i,9.4619e-05+0.0010014i,-0.0006682+0.001068i,-0.00021808+0.00034866i,0.00036008-0.00015577i,-9.6228e-05+1.6415e-05i,-0.00026578+8.1722e-05i,4.532e-05-0.00013222i
0.0014751-0.00014218i,0.001005-0.0007601i,0.0014208-0.001043i,0.0015466-0.00064281i,0.0013957-0.00022734i,0.00031697+0.000306i,-0.0001737+0.0015531i,0.00098056+0.0013651i,0.0022361+0.0010441i,0.0013323+0.00040393i,0.00012482-0.0010449i,-0.00023978-0.0011542i,0.00018841-0.00011542i,0.00052306+8.5074e-05i,-0.00017412+7.6179e-05i,-0.00015965-1.7005e-05i,0.00031128+0.00023845i,0.00025812+0.00061708i,-0.00043867+0.0005565i,-0.00050073+0.001168i,-0.00044619+0.0018567i,-0.00021458+0.0017574i,-0.00043764+0.001192i
0.00025898+0.0014752i,0.00070689-0.00066329i,0.0014824-0.00076828i,0.0021216-0.00018663i,0.0018315+0.00015922i,0.0011054+0.00094265i,0.00038267+0.0012714i,0.00016107+0.00069319i,0.00023388+0.00088073i,0.0004377+0.00085648i,0.00087611+0.00046606i,0.00017422+0.00030996i,-0.00049374+0.00020587i,-0.00029151+0.00040522i,-0.00059805+0.00045488i,-0.00096362-6.1383e-05i,-0.00054452+0.00033485i,-0.00021871+0.001076i,-0.0003189+0.00030989i,-0.00016726-0.00023492i,-0.00019901-0.00047448i,-0.00047222-0.00038572i,-0.00029978-0.00016596i
-0.00056848+0.0020056i,0.0010317+0.0024517i,0.0026761+0.0012768i,0.0028361+0.00064345i,0.0017704+0.00020861i,0.0018332-9.0196e-05i,0.0020115+2.7644e-05i,0.0014871+2.7763e-05i,0.00070496-6.9029e-05i,-0.00092562+0.00011044i,-0.0014951+0.00027905i,-0.00086656-0.00056839i,-0.00015118-0.0011098i,0.00020857-0.00063505i,-0.00024495+0.00019236i,-0.00067349+0.00060838i,-0.00074242+0.0008911i,-0.0006295+0.00088117i,-0.0004562+6.3869e-05i,-0.00083421-0.00026504i,-0.0012038+0.00063309i,-0.0006803+0.0016591i,4.5077e-05+0.0010723i
0.00053331-0.00027976i,0.00015474-0.0010449i,0.00082889-0.0014194i,0.0007533-0.00034247i,0.00030367+0.00098969i,-0.00033306+0.0013335i,0.0001687+0.0011987i,0.00068117+0.00011572i,0.00037704-0.00033542i,0.00036716+0.00013573i,-3.5104e-05-0.00032563i,-0.00080397-0.00047387i,-0.0007185-0.00039731i,0.00015262-0.00035473i,0.00033757+0.00012098i,-0.0001566+0.0003282i,-0.00062586+0.00066119i,-0.00017033+0.0011472i,0.00023044+0.00087663i,6.7967e-05+0.00036489i,-0.00013004+0.00041159i,0.00023182+0.00042554i,0.00012807+0.00017699i
0.00043129-0.00087187i,0.0017433-0.00075692i,0.0012695-0.00026815i,0.0013489-0.00047938i,0.001327-3.0459e-05i,0.00096858+0.00066457i,0.00065053+0.0005628i,9.7613e-05+0.00028268i,-2.0069e-05+0.00034625i,-0.0001099-0.00031544i,0.00010336-0.00045236i,0.00059572+3.4882e-05i,0.00057109+0.00038365i,-0.00013411+0.00018753i,-0.00048031-0.00012047i,-0.00023684+0.00044432i,-0.00033396+0.0010573i,-1.8555e-05+0.00087801i,0.00028204-0.00058112i,-0.0005708-0.00059526i,-0.0012533+5.8989e-05i,-0.00041115-0.00018233i,-2.1098e-05-0.00027548i
