-0.002769+0.0012794i,-0.0013457+0.0024327i,-0.0023622+0.0034501i,-0.0022847+0.0032302i,-0.0016773+0.0026016i,-0.0003583+0.0022738i,-0.00015394+0.0021427i,-0.00059354+0.0017878i,-0.00016846+0.0015846i,0.00043742+0.00089193i,0.00055002-0.00091089i,0.00068056-0.0015968i,0.001067-0.0011371i,0.00080751-0.001836i,6.1952e-05-0.0017241i,-0.00012172-0.00052158i,0.00042433+0.00080017i,0.00026491+0.0012945i,0.00022151+0.0004065i,0.00085202+4.9267e-05i,0.00081039+0.00026465i,0.00052797+0.00047407i,0.00071213+3.5783e-05i
0.00082763+0.00071566i,0.001155+0.00022817i,0.00068074-0.00041563i,-0.00042408-0.00062227i,-0.00076644-0.0009407i,-0.00059626+0.00012643i,-0.00030618+0.0011991i,0.00029041+0.00086054i,0.00062808+0.00037926i,0.00034273+0.00071767i,0.00012402-2.2184e-05i,0.00021387-0.00038263i,-0.00024588+0.00031927i,-0.00037979+5.3961e-05i,-0.00013249-0.00074398i,-0.00058883+0.00027167i,-0.0010201+0.0011532i,-0.00077476+0.00029455i,-2.8715e-05+0.00025945i,2.8655e-06-0.00053809i,0.00032794-0.00074067i,0.00034351-0.00053504i,7.8155e-05-0.0011251i
-0.0010577+0.0013438i,0.00042788+0.0014215i,0.00061989+0.0009128i,-0.00058717+0.00032266i,-0.0005396+0.0012759i,3.8779e-05+0.0014924i,8.5801e-05+0.00061976i,-7.0153e-06+2.5776e-06i,5.6005e-05-0.00096656i,0.0001393-0.00087466i,-0.0006408+0.00022326i,-0.00047638+0.00019598i,0.00011766-0.00024501i,-0.00035671-0.00074068i,-9.2219e-07-0.0010793i,8.2024e-05-0.0010477i,-0.00047118-0.00010499i,-0.00040258+0.00086791i,-0.00044481+0.00054017i,-0.00012487-0.00024662i,3.3942e-05-0.00037706i,-0.00066185-0.00028444i,-0.00082042-0.00056582i
-0.0016126-0.0013358i,-0.0018966-0.0018689i,-0.0012465-0.0021716i,-0.00075537-0.0015212i,-0.00085006-3.2889e-05i,-0.00068651+0.000999i,0.00055385+0.00073898i,0.0016945+0.00065791i,0.00089285+0.00030192i,-0.00029761-0.00046405i,-0.00025382+0.00019481i,-2.8992e-06+0.0010906i,5.22e-05+0.00045859i,-8.6039e-05-0.00031278i,-0.00042764-0.00021223i,-0.0005172+0.00020495i,-0.00061996-6.1304e-05i,-0.00096273-0.00036034i,-0.00050499-0.000137i,0.00022966-0.00013839i,0.00048767+0.00041566i,0.00079037+0.00023099i,0.00038096-0.00038443i
-0.00024932-0.00031697i,0.00012291-8.0284e-05i,-4.9698e-05-0.00046275i,-0.00059937-1.2485e-05i,-0.00094824+0.00039183i,0.00019161+0.00037058i,0.00081993+0.00041161i,0.0002757-0.00013662i,-7.8613e-05-0.00089885i,-9.4371e-05-0.00098462i,-0.0001993-0.00065292i,-8.1183e-05-0.00077451i,0.00074021-0.00085716i,0.00095867+2.6539e-07i,0.00056996+0.00054147i,-0.00014241-0.000295i,-0.00012862-0.00053902i,0.00033337-0.00034167i,0.00042494-0.00068484i,9.808e-05-0.00086602i,-0.00050799-0.00093419i,-0.00074218-0.00076778i,-0.00054086-8.9729e-05i
7.9225e-05+4.0335e-06i,0.0005499-0.0015798i,0.00031026-0.001183i,-2.2975e-05-0.00041915i,-0.0001389-0.000452i,-0.00011576-0.00020743i,3.3039e-05-0.00030836i,-0.0001045-0.00072021i,-0.00068827-0.000462i,-0.00090547+0.00019421i,0.00017646-0.00015768i,0.0012816-0.0005721i,0.0013682-5.9023e-05i,0.00036755+0.00034283i,-0.001007+0.00027345i,-0.0015031+0.00024724i,-0.00092584+0.00032847i,2.4035e-05+0.00028005i,0.00065273+0.00045242i,0.0006034+0.00062648i,0.0010532+7.6839e-05i,0.0010575-0.00047498i,-0.0001286-0.00043274i
7.4574e-05+0.0027291i,-0.00063479+0.0030536i,-0.0012001+0.0028273i,-0.00030221+0.0020352i,-0.00012436+0.0012495i,-0.00012208+0.00052679i,0.00053125+0.00073389i,4.4228e-05+0.00017502i,-0.00039468-0.00067134i,-0.00044242-0.0012977i,-0.00067042-0.0013607i,-0.001049-0.00045866i,-0.0013693+0.00033963i,-0.0010361+0.00046071i,-0.0010855+0.00028288i,-0.00067985+2.3453e-05i,-0.00012687-0.00025069i,0.00033926-4.9764e-05i,0.00065758+0.00028151i,-0.00018625+0.00096328i,-0.00050681+0.00088487i,-0.00025079-0.00017932i,-0.00045137-0.00042463i
-0.0016645+0.00027296i,-0.0003503-0.0003652i,0.00063925-0.00013347i,0.00065184+0.00012243i,0.0006714+0.00019902i,0.00032601+0.00089254i,8.8226e-05+0.00079926i,0.00035484-0.00032224i,0.00039342-0.0012219i,-0.00024043-0.0013135i,-0.00070162-0.00081239i,-0.00093854-0.00075588i,-0.0009114-0.0010518i,-0.00073589-0.0010716i,-0.00016806-0.00067406i,0.0003169-0.00022264i,0.00058323+4.6847e-05i,0.00030513-0.00055238i,0.00043927-0.00069088i,0.00065524+0.00014521i,0.00054384+0.00023786i,0.00080233+0.00036338i,0.00079382-0.00024601i
0.00093977-0.00041056i,0.00077957-0.00045027i,0.0011692-0.0012134i,0.0008162-0.0017818i,-4.5257e-05-0.00094964i,-0.00065627+0.00029431i,-0.001398+0.0011605i,-0.0010191+0.00076281i,-0.00049102+2.0269e-05i,-0.00092003-0.00092486i,-0.0010534-0.0011231i,-0.0012821-0.0010469i,-0.00092347-0.00054743i,-0.00046296+0.00018609i,-0.00023309-0.00029963i,-0.00022099-0.0002483i,-0.00093066+7.877e-05i,-0.00067994-0.00026124i,0.00016486+0.00013587i,0.0002628+0.00077422i,0.00061775-1.3337e-05i,0.00099326-0.00085053i,0.00057756+9.5123e-05i
0.00061491-0.0022725i,0.00051209-0.0024159i,0.00047151-0.0012086i,-0.00031926-0.00028011i,-0.0006428+0.00089241i,-5.5419e-05+0.0015453i,-0.00078751+0.0013473i,-0.0021901+0.00044622i,-0.0016271-0.00023522i,-0.00032335-0.00023942i,-0.00023693-0.00023185i,-0.00079905-0.00039928i,-0.00088632-4.5214e-05i,-0.0012799+0.00093928i,-0.0011542+0.0009589i,-0.00064098+0.00048862i,-0.00061892+0.00054889i,0.00014059+0.0012043i,0.00031172+0.00095481i,0.00022421-0.00012381i,7.8705e-07-0.0011213i,-0.00080621-0.0013i,-0.00054812-0.00038866i
0.00070945-0.00044786i,-0.00018935-0.0001947i,-0.0014524-0.00088874i,-0.0020947-0.00042235i,-0.0014843+0.00077103i,-0.00058689+0.0019074i,-0.00017435+0.0017128i,-0.0001217+0.0010087i,-0.00018806+8.2235e-05i,-0.00066409-0.00037654i,-0.0014281-0.00069212i,-0.0013825-0.00077212i,-0.00055879-0.0003854i,-0.00027629-6.1557e-05i,-0.00054364-1.863e-05i,-0.00038934+8.2758e-05i,-0.00095866+0.00026202i,-0.001764+0.0010018i,-0.001096+0.00064022i,0.00043838-0.00044107i,0.0013348-0.00013068i,9.782e-05+0.00013396i,-0.00097176-0.00037323i
