-0.00011216+0.0015063i,0.00019899-0.00048154i,-0.00024865-0.0016438i,-0.0011956-0.0012875i,-0.0033035-0.00064291i,-0.0037602+0.00028396i,-0.0023401+0.0013608i,-0.0014043+0.0018786i,-0.00069253+0.001174i,0.00027682+0.00034036i,0.00018478+0.00015238i,-3.9108e-05+0.00014089i,0.0004949+0.00021357i,0.00044229+0.00016394i,0.00032616+0.00024486i,0.00020455-3.9574e-05i,0.00027139-0.00019098i,0.00083638-0.00050839i,0.00037553-0.00090533i,0.00018176-0.00077281i,0.00048993-0.00028585i,0.00030746+0.00084994i,0.00013917+0.0016361i
0.00038696+0.0017239i,0.0016389+0.0019424i,0.0011381+0.0023694i,0.0008242+0.0010497i,0.0021319-7.2157e-07i,0.0022751+0.00059389i,0.001046+0.00050811i,0.00033863+0.00042717i,-6.7944e-05+0.00099308i,-2.5425e-05+0.00098991i,2.6656e-05+0.00046886i,-0.00024233+0.0001004i,-0.00010373+0.00048596i,-0.00016181-9.7911e-05i,-0.00035969-0.00028627i,-0.00052354-0.00033436i,-0.00027062-0.0010102i,3.4024e-05-0.00075233i,-0.00010288+4.2215e-05i,-0.00022994+0.00055955i,0.00012322+0.0011882i,-0.00048755+0.0013564i,-0.00058503+0.00078256i
0.00097547+0.0013845i,0.00024571+0.00084546i,-0.0011486+0.00042442i,-0.0014425-0.00019119i,-0.0014888-0.00029187i,-0.0011803-0.00045388i,-0.00049637-5.8073e-06i,-0.00070437+0.00061425i,-0.00064654+0.00077632i,-0.0001185+0.0009334i,4.8925e-06+0.0006868i,-0.00017912+0.00041187i,0.00034199-0.00016991i,0.00073958+1.8284e-05i,0.00022259+0.00030148i,-0.00034487-1.2569e-05i,-0.0005714-0.0003941i,-0.00077968-0.00047535i,-0.00098896+0.00039901i,-0.00060098+0.00075278i,0.00019553-9.8919e-05i,0.00050676-0.00044502i,0.00047083-0.00034097i
-0.0013039+0.0011311i,-0.0014093+0.00024497i,-0.00099816+0.00020402i,-0.00081464+0.00051971i,-0.00027262+0.00068364i,-5.1642e-05+0.00045671i,8.8191e-05+0.00030989i,2.8683e-05+0.00056585i,-0.0004234+0.00090421i,-0.00027746+0.00096354i,0.00040522+0.00038734i,0.00078712-0.00062388i,0.00016478-0.00053399i,-0.00055721+0.0001937i,-3.5924e-05+0.00055488i,0.00034534+0.00050873i,-0.00016558-7.588e-05i,-0.00051807-0.00015184i,-0.00072346+0.00039294i,-0.00051967+0.00083626i,7.8894e-05+0.0012502i,0.00064539+0.0011959i,1.6473e-05+0.00077292i
0.00067251-0.0013523i,0.00078175-0.0018849i,-0.00035813-0.0021133i,-0.002044-0.00042077i,-0.0025453+0.00062095i,-0.00084202+0.00041388i,-6.2087e-05-0.00022289i,-0.00040754-0.00010957i,-0.00092135+0.00042537i,-0.00058486+0.0009132i,5.4678e-05+0.00062803i,-0.0002282+0.00072159i,-0.00026958+0.00047698i,-0.00029845-0.0001289i,-0.00057584-7.7923e-05i,-0.00032677+5.4273e-05i,-7.5246e-06+0.00013396i,-0.00051652+0.00018229i,-0.0010914+0.001054i,-0.00068753+0.0015567i,-1.1275e-05+0.00022348i,8.1219e-05-0.00048424i,0.00030623+7.5345e-05i
-0.00048059-0.00067233i,-0.00061517-0.00033114i,-0.00063984-0.00034938i,-0.00091367-0.001441i,-0.0012589-0.0010417i,-0.0012829+8.3885e-05i,-0.00070009+0.00037434i,-0.00042081+0.00090876i,-0.00091474+0.0012338i,-0.0002345+0.00036396i,0.0010072-0.00025573i,0.00086487+1.8545e-05i,0.00036024+0.00063291i,0.00068292+0.00081891i,0.00046804+0.00035356i,-0.00035291-0.00046725i,-0.00023726-0.001293i,-4.2215e-05-0.00051041i,-0.00021425+0.00041825i,-0.00042247+0.00098076i,-0.00020624+0.0011784i,0.00028148+0.00059255i,-0.00022263+0.00060604i
0.00068307+0.0002263i,0.0015943+0.00062238i,0.0009074+0.00037098i,-0.00051973+0.00050675i,-0.001254+0.0012505i,-0.00051675+0.0010498i,-0.00019261+0.00019254i,-0.00080292-5.5182e-05i,-0.00053371+0.00080828i,0.0002577+0.0012312i,0.00034055+0.0014281i,0.00043483+0.0012557i,0.00021317+0.00032953i,0.00036368+0.00035541i,0.00028542+0.0003817i,-0.00025188-0.00050562i,0.0001783-0.00096717i,0.00014808+0.00011772i,-0.00072767+0.0010415i,-0.00043587+0.00089355i,0.00015102+0.00048129i,-0.00017518-0.00025015i,-0.00058499-0.00064075i
-0.00050027+0.0013791i,-0.00051495+0.00034766i,0.00067266-0.00073772i,0.0010642-0.000751i,0.00010278-0.0013035i,0.00058045-0.0015273i,0.0014652-0.00041971i,0.00088172+0.00079921i,0.00063443+0.00099917i,0.00052862+0.0005345i,0.00054693-0.00018044i,0.0010925-3.3666e-05i,0.001419+0.00082956i,0.0014367+0.00091802i,0.00061724+0.00079213i,-0.00013129+0.00077438i,8.238e-06+0.0005146i,8.7406e-06+0.0001334i,-0.00041132-0.00013301i,-0.00024112+0.00035659i,-0.0005466+0.00060163i,-0.00037303+1.1008e-05i,-5.9945e-05-0.0005023i
0.00062643-0.00052693i,0.0010142-5.4724e-05i,0.0010876-0.00044003i,0.00027514-0.0009742i,-0.000642-0.00095577i,-0.00085732-0.00032977i,-9.3557e-05+0.00018464i,-4.9543e-05+0.00082631i,-0.00072647+0.00056615i,-0.00051378-9.3622e-05i,9.4848e-05-7.6725e-05i,-0.00074128+0.00035725i,-0.0013949+0.00055143i,-0.00026655+0.00076642i,0.00011908+0.00037514i,6.7206e-05-0.00039863i,0.00029048-0.00023198i,0.00033451+3.7632e-05i,0.00023381+7.3155e-05i,0.00076702+0.00071632i,0.00063242+0.0011672i,-0.00041421+0.00089889i,-0.00053405+0.00079782i
-0.0011039-0.0010156i,-0.0010196-0.00080355i,-0.001065-0.00031008i,-0.0013213+0.0010131i,-0.0014106+0.0017176i,-0.00094455+0.0012353i,-6.5935e-05+0.00082367i,0.00015728+0.00074484i,9.7321e-05+0.0013457i,-2.8818e-05+0.0012322i,-0.00017014+0.00084229i,-0.00012646+0.00052653i,0.0001156+0.00042136i,-3.1326e-05-0.00012494i,0.00048332-0.00046907i,0.00027496-0.00013799i,-0.00062891-0.00039113i,-0.00028603-0.0003448i,-0.00039009+0.00036856i,-0.0005638+0.0011557i,0.00013119+0.0010866i,0.00027035+0.00051877i,0.00017516+0.00036211i
-0.0022804-0.00018391i,-0.0013995-0.00022769i,-0.0013494-0.00070399i,-0.0022234-0.00045317i,-0.0019501+0.00039581i,-0.00011016+0.0006963i,-2.6962e-06+4.7973e-05i,-0.00060217+0.00037372i,8.2537e-06+0.0010815i,0.00055639+0.00082265i,2.3172e-05+0.00055117i,0.00058674+0.00039223i,0.0012965+0.00047961i,0.0010705+0.00072808i,0.0010574+0.0002894i,0.00035276-9.5597e-05i,-0.00071554+7.2024e-05i,-0.00053329+4.8746e-05i,-0.00059389-0.00024582i,-0.00088123+0.0001375i,-0.00024272+0.00076718i,0.0001503+0.0012384i,-0.00024094+0.0010843i
