-0.0013938+3.5377e-05i,0.00075167-0.0012292i,0.00063161-0.00205i,8.4609e-05-0.0012178i,-0.00062328+0.00029115i,-0.00089722+0.0007375i,5.6221e-05+0.0014925i,0.00083324+0.0016788i,0.0013801+0.0017166i,0.0013483+0.00077927i,0.00069101+0.0001619i,0.000647+9.497e-05i,0.00074883-0.00048609i,0.00058885-0.0012551i,0.00030607-0.0010519i,-0.00027331-0.00044154i,-0.00048437-5.2112e-05i,0.00017541+1.976e-05i,-5.1979e-05+0.00028304i,-0.00016587+0.00026288i,0.0003397-0.00065337i,-0.00038291-0.00093624i,-0.00059067-0.00029391i
0.0009017+0.00053334i,0.001419+0.00079053i,0.0012452+0.00067185i,0.00061391+0.00039709i,-0.00037852+8.2242e-05i,-0.00037871-0.00075177i,0.00025274-0.00074554i,0.00028768+0.00020916i,0.00076222+0.00066585i,0.00087622+0.00024695i,0.00099662-0.00022917i,0.0010462-0.00040372i,-0.0001118-5.1779e-05i,-0.00041805-0.00048849i,-0.00017238-0.00079804i,-0.00047682-0.00018823i,-0.00022064-0.00032724i,0.00030286-0.00052072i,-2.8667e-05-5.145e-05i,-0.00079418+0.00012819i,-0.00037969-0.00080527i,0.00015715-0.00082589i,-0.00015812+4.9117e-06i
-0.00028021+0.0013614i,-0.00087498+0.00095682i,-0.00015022-0.00069894i,0.0011361-0.0019167i,0.0012328-0.0011773i,0.0006522-0.0011284i,0.00044254-0.00022889i,-3.2213e-05+0.00023409i,0.00018126-0.00015455i,0.00033241-0.00020345i,0.00029865-0.00055234i,0.00087238-0.00059356i,0.00034303-0.00044755i,-0.00018638-0.00037639i,-0.00012997-0.00034352i,-0.00011219-0.00058975i,-6.5007e-05-4.3493e-06i,0.00019857+0.0007367i,0.00039604+0.0011305i,-1.6298e-05+0.00045339i,-0.00069534-0.00049717i,-0.00075697-1.1902e-05i,0.00018806+0.00055446i
0.00028381-0.0025829i,-0.00027008-0.0021828i,-0.00038588-0.0018903i,-0.00031423-0.0014239i,-0.00062075-1.5232e-05i,-0.00085012+0.0004245i,-0.00011601-0.00026735i,0.00078363-7.3917e-05i,0.001112+0.00042039i,0.00035168+0.0012998i,-0.00023573+0.0018375i,0.00060531+0.001158i,0.00113+0.00073818i,0.0013001+0.00061389i,0.00144+0.00077843i,0.0015233+0.0012778i,0.0010264+0.0013547i,0.00064304+0.00115i,0.00045913+0.0007281i,0.00036884-0.00023469i,-7.1516e-05-0.00080799i,-0.00050936-0.00029887i,-7.2491e-05-9.6011e-05i
0.0037512+0.0017706i,0.0036015+0.0013545i,0.0042063+7.0902e-05i,0.0040326-0.00094694i,0.0024027-0.0011447i,0.00067871-0.001441i,-0.00097147-0.00080073i,-0.0010736-0.00012563i,7.247e-05-0.00037608i,0.00024089-0.00016649i,3.6141e-05+0.00015233i,-0.00018543+0.00014368i,-0.00064956+0.00011851i,-0.00042681-0.00010925i,-9.814e-05+0.00055783i,-0.0002188+0.0012484i,-4.3662e-06+0.00068982i,0.00034895-0.00023729i,5.3999e-05+7.1136e-05i,-0.00099164+0.00026549i,-0.0010857-7.9469e-05i,-0.00067786+0.00011767i,0.00019549+3.0995e-05i
0.0015733+0.00052232i,0.0018885+3.7929e-06i,0.0020144-0.00064699i,0.0011031-0.00025964i,0.00022624-0.00037071i,0.00029109+0.00021391i,0.00058641+0.00089827i,0.00068902+0.00072061i,0.0016108+7.7494e-06i,0.0022104-0.000582i,0.0014178-0.00064982i,0.00033691+0.00042245i,-0.00086281+0.0012894i,-0.00098588+0.0011226i,-0.00035659+0.0004755i,-0.00071344-0.00023719i,-0.0010939-0.00059916i,-0.00027467-0.00026316i,0.00026898+0.00015615i,0.00054805+2.7214e-05i,0.00061742+0.00035622i,0.00011207-1.7789e-05i,0.00029578-0.00069546i
-0.0012196-0.0011694i,-0.00076153-0.00014747i,-0.00091512+0.00022565i,-0.0011319+0.00023207i,-0.00097231+0.0012288i,9.4064e-05+0.0010709i,0.00085224+0.00024377i,0.0003918-0.00025634i,0.0004782-0.00013182i,0.00089642+0.00013984i,0.001042+1.0841e-06i,0.00045157+0.00014672i,-0.0004547+0.00054821i,-0.00077724+8.0106e-05i,-0.0001465-0.00015839i,0.00044005-0.00026847i,0.00035295-0.00063461i,-0.00015765+0.00020872i,-0.00093153+0.0010761i,-0.00083222+0.00074682i,-0.00046046-4.1156e-05i,-0.00011758+4.6274e-05i,0.00034515+0.0005996i
-0.002766-0.0020582i,-0.0024732-0.0012977i,-0.0027281+0.00066352i,-0.0020936+0.0021611i,-0.00080204+0.0022126i,0.00040452+0.00086258i,0.00048188+5.7091e-05i,2.6789e-05+8.6338e-05i,0.00021627+0.00014267i,-0.00042057+0.00075275i,-0.00076827+0.00077362i,0.00073488+0.00085056i,0.0012469+0.0013558i,0.00027453+0.00044704i,0.00074137-5.1374e-05i,0.00099903+0.00050065i,0.00054277+0.00061719i,1.6742e-06+0.00033953i,-0.00076668+0.00038723i,-0.00077791-0.00013677i,-0.00020384-0.00047197i,-0.00033717-0.00077731i,-0.00025395-0.0010584i
0.001621+0.00096789i,0.0029608+0.00024536i,0.002757-2.57e-05i,0.0022835-0.00063193i,0.0015281-0.00088437i,5.1846e-05-0.00010803i,-0.00040445+0.00050972i,6.1648e-05+0.00073029i,0.00026764+0.00099359i,0.00065528+0.0004471i,0.00022946-0.0002907i,-0.0016133-0.00031621i,-0.0022093-4.6941e-05i,-0.0014641-0.00051575i,-0.00034763-0.00057688i,0.00038749+0.00010163i,0.00023213+0.00040336i,0.00037623+0.0005385i,0.00098268+0.00075263i,0.00089726-0.00014028i,0.00024496-0.0005417i,0.0001615-0.00011463i,0.00016494+1.2784e-05i
-0.0035943-0.00024228i,-0.003474+0.00047972i,-0.0021786+0.001569i,-0.00070453+0.002626i,0.0006156+0.0027956i,0.0014983+0.0013827i,0.0019752+6.9253e-05i,0.0021077+0.00027782i,0.00099661+0.00033063i,0.00030677+0.00081837i,-0.0001062+0.00094184i,-0.00051028+0.00020985i,-0.00022837-0.00032323i,-0.00047289-0.0002485i,-0.00053852+3.1358e-05i,0.00037341+0.00058486i,0.00085883+0.00088041i,0.00077453+0.00050586i,0.00055799+0.00011059i,6.4988e-05+0.00015067i,-0.00036738+8.2786e-05i,-0.00012692-0.00049633i,0.000279-0.00030836i
0.0011209-0.0012093i,0.00052026-0.00090097i,0.00037007-0.00090078i,0.00049762-0.00052172i,0.00019693-0.00098702i,-0.00086036-0.00069438i,-0.00087976-7.5279e-05i,0.00012895-5.9279e-05i,0.00028177+0.00072648i,0.00019232+0.0007753i,0.00090444+0.00095715i,0.0011833+0.0014966i,0.0003696+0.00087905i,-0.00015142+0.00028896i,0.00056443+0.00036123i,0.00095669+0.00013187i,0.00070722+7.7311e-05i,0.00059192+0.00025072i,0.0006852-0.00018519i,0.00073129-0.00044376i,0.00060378-0.00040129i,-4.4585e-05+0.00035227i,-0.00036821+0.00060587i
