-0.00095035-0.00087433i,-0.0010698-0.0021064i,-0.0009498-0.0017453i,-0.00052304-0.0012951i,-0.0016382-0.0006219i,-0.0030963-0.00056658i,-0.0022144-0.00037842i,-0.0010689+0.0008013i,-0.00040157+0.00029984i,0.00017862-0.00046607i,0.0005703-0.00043723i,0.00082247-0.00053445i,0.0008225-0.00031629i,0.00093481+9.8601e-05i,0.00093712+8.118e-05i,0.00045321-0.00033375i,0.00012986+3.3975e-05i,-0.00038533+0.00074585i,-0.00038824+0.00024958i,4.1634e-05-0.00010673i,-7.3747e-05+1.7978e-05i,-0.00016288+0.00027604i,-0.00052746+0.00084875i
-0.0015655-0.002408i,-0.00076369-0.0014206i,-0.0006743+0.00033034i,7.0978e-05+0.0011558i,0.0012689+0.00065833i,0.0013163-0.00030677i,8.8859e-05-0.0007592i,-0.0010815-0.00048612i,-0.0012774-0.00082744i,-0.0007983-0.0009878i,-0.00014975-0.00043925i,0.00073905+0.0001214i,7.4562e-05-6.1705e-05i,-0.00048-0.00023136i,-0.00014477+0.00019166i,-4.4679e-05+1.3872e-05i,-8.7896e-05-0.00017804i,-0.00021179-0.00038061i,-0.00045079-0.00018758i,-0.0008309+0.00049056i,-0.00085469-0.00015085i,-0.00034315-0.00071156i,0.00018065-0.00030591i
-0.0003758-0.00058297i,-0.00029912+7.3294e-05i,-0.00057992+0.00048956i,0.0001049-0.00025698i,0.00027653-0.00088492i,-0.00074027-0.001227i,-0.0016596-0.00090183i,-0.0019677+2.5578e-05i,-0.00094009-6.3435e-05i,0.00056659-0.00021076i,0.00083667-0.00065664i,0.00050587-0.00078509i,9.1755e-05-0.00022455i,0.00020108-8.2971e-05i,0.00057687-0.00012354i,0.00022381-0.00026952i,-4.4129e-05-0.00041971i,-0.00041162-0.00042664i,-0.00097732-5.8255e-05i,-0.0006259+0.00024757i,-8.8273e-05+0.00031067i,-0.00044282+0.00061381i,-0.00023131-3.7733e-05i
-0.0012085+0.0010721i,-0.00023901+0.00087187i,0.00056395+0.0012453i,0.00040924+0.0013131i,-0.00033987-0.00027582i,-1.8975e-05-0.00075353i,-0.00045374-0.00039986i,-0.00080366-0.00035957i,-0.00050662-0.00011388i,-0.00059368-0.00024485i,-0.0005208-6.6436e-05i,-0.00013243+0.00019187i,2.352e-05-0.00031833i,0.00028255-0.00074727i,0.00064769-0.00089326i,0.00071805-0.00071158i,0.0010743-0.00028422i,0.00089455-3.8165e-05i,0.00016727-0.00044848i,0.00037333-0.00062953i,-6.4324e-05-0.00015353i,-0.0009657-0.00040965i,-0.0011301-0.00059239i
-0.00066907-0.0017181i,-0.00097806-0.0010848i,-0.0012505-0.00068529i,-0.00057648-0.00020407i,-0.000508-3.5686e-05i,-0.0009649-0.0012917i,-0.00096252-0.0021394i,-0.00087612-0.0014536i,-0.00028279-0.00090886i,-0.0005569-0.00070061i,-0.00048703-0.00057269i,3.1633e-05-0.00064014i,-0.0001368-0.00041659i,-0.0003277-0.00021626i,-0.00046701+0.00031554i,-0.00019765+0.00064313i,0.00014262+0.00033613i,3.7578e-05+6.9103e-05i,0.00023018+0.00084142i,0.00029718+0.0014596i,-0.00023768+0.0014671i,-0.00078124+0.00057819i,-0.00070546-0.00072976i
-0.00086206+0.00040144i,-5.4733e-05+0.0009571i,0.00024768+0.00085911i,1.233e-05-6.7252e-05i,-0.00014417-0.0008132i,-0.00032368-0.0010969i,-0.00062938-0.0010054i,-0.00050581-0.0011539i,-0.00090036-0.0007898i,-0.00066409-4.0504e-05i,0.00041584-6.2533e-05i,0.00080407-0.00023123i,0.00015076-7.5113e-05i,-0.00049066+0.00016285i,-0.00049774-0.00020993i,-0.00066211-0.00029138i,-0.00045177+0.00014212i,-0.00029957+0.00034429i,-0.0011466+0.00073902i,-0.0014226+0.00016922i,-0.00068466+7.5547e-05i,-0.00080341-0.00016268i,-0.00078354-0.00073569i
-0.0008336-0.0016674i,0.00017792-0.0013545i,0.00083771-0.00079748i,0.00074736+0.00028099i,8.6928e-05-6.4914e-05i,-0.00057093-0.0003256i,-0.00077702-0.00024897i,-0.0010589-0.00059797i,-0.0016326-0.00051744i,-0.0014035-0.00010121i,-0.00099828+0.00048465i,-0.0010424+0.00074273i,-0.00051527+0.00057103i,-0.00016127+0.00076984i,-0.00036239+0.00064351i,9.7697e-05+6.4802e-05i,0.00067661-0.00045226i,0.00068523-0.00017086i,-0.00020066+0.00063844i,-0.00053802+0.00087533i,-0.0001928+0.00056866i,0.00016-0.00031417i,0.00018339-0.0009906i
-2.2061e-05+0.00087112i,0.00022468+0.001103i,0.00028485+0.00048304i,-7.755e-05-0.00038732i,-0.00011102-0.00072518i,-6.8566e-05-0.0013816i,-0.00096092-0.0018862i,-0.0015961-0.0012318i,-0.0012776-0.00079973i,-0.00013175-0.00029735i,0.00049917+3.0134e-05i,9.8933e-05+8.6396e-05i,-0.00041722+5.8614e-05i,-0.00058131-0.00081118i,-0.00012905-0.0012442i,0.00092635-0.0010053i,0.00024315-0.00077281i,-0.00021748-0.00045341i,0.00013986-7.6422e-05i,-0.00014239-9.7263e-05i,-0.00074045-0.00071344i,-0.00071934-0.00087619i,0.0005869-0.00088943i
0.00032859+0.0012016i,0.0010516+0.00024133i,0.0009111+0.00051704i,0.0013508-0.00062446i,0.0012522-0.0018871i,6.8961e-06-0.0019088i,-0.0008592-0.0016845i,-0.0010303-0.00015874i,-0.00076677+0.00074618i,8.0043e-05+0.00068929i,0.00047682+0.00049893i,0.00029897-0.00073176i,-0.00021285-0.0017331i,-0.00023209-0.0011742i,0.00054048-2.2153e-05i,0.0010218+0.00086821i,0.00048182+0.00053269i,-0.00021941-0.00048892i,-0.00029271-0.00066308i,-0.00038174-0.0004536i,-0.0010588-0.00021395i,-0.0011711+0.00057937i,-0.00064306+0.00038071i
0.00010936+0.0013832i,0.00050617+0.00022383i,0.00021676-0.0010998i,0.00017936-0.0011273i,-5.0891e-05-0.0011859i,-0.00075838-0.0019398i,-0.0018098-0.0021322i,-0.0012797-0.0018077i,6.8886e-05-0.00072816i,-0.00022377+0.0005411i,-0.00048485+0.00035248i,0.00023578+5.2288e-05i,0.00050975-0.00029628i,0.00076614-0.00055625i,0.001417-0.0001543i,0.00050964-2.0041e-06i,-0.00085136-0.00089017i,-0.00062224-0.00058956i,0.00029006+0.0004875i,0.00060105+0.00058967i,0.00026602+0.00030102i,0.00027265+0.00026243i,8.8597e-05+0.00035483i
-0.00072393-0.00027011i,-0.0011157-0.00022735i,-0.00051865-0.00013857i,0.00029747+0.00020441i,0.00026286-0.00085392i,-1.8825e-05-0.0021752i,-0.00089423-0.0023641i,-0.00078018-0.0010659i,-0.00015967+0.00035984i,-0.00024374+0.0001397i,0.00030361-0.00055492i,0.00036474+0.00028385i,-0.00010709+0.0005668i,-7.8761e-05+5.4842e-05i,0.000418+0.00031625i,0.00033357+0.00038783i,-5.422e-05+9.952e-05i,-0.00019731+3.4486e-06i,-3.5625e-05-0.00018844i,0.00077389+6.1803e-05i,0.0013285+0.00029759i,0.0010782-6.454e-05i,0.000261+3.5153e-05i
