0.0012383+0.0019382i,0.0022672+0.0015783i,0.00087395-0.00012582i,-0.00072324-0.000952i,-0.0013232-0.00057195i,-0.0017232+0.0012558i,-0.0015823+0.0022311i,0.00017643+0.0011248i,0.0014547+0.00022565i,0.0012285-0.00049311i,0.00085558-0.00079035i,0.00033826-0.00075245i,0.00043368-0.00092881i,0.00021171-0.001199i,0.0001078-0.0015289i,0.00025253-0.00071619i,0.00026421-0.00050824i,0.00051587-0.0013158i,0.00016156-0.001195i,-6.7776e-05-0.00079443i,0.00018233-6.2006e-05i,0.00027419+0.00064805i,-0.00054364+0.00076215i
3.2245e-05+0.0012192i,-0.0006001+0.00077942i,-0.00024724+0.00067492i,-0.00052153+0.00064375i,-0.0005081+0.00041522i,-0.00062382+0.00089035i,-0.0014588+0.0016351i,-0.00085858+0.00084261i,0.00021704-0.00045787i,0.00037912-0.00061472i,0.00031448-0.00021504i,-0.00035109-0.00031197i,-0.00052029+2.5233e-05i,-0.00068677+0.00033514i,-0.00099994-2.1518e-05i,-0.00042174-0.00056638i,-0.00030473-0.00077765i,-0.000219+4.7813e-05i,7.4126e-05+0.00024791i,0.00032906-0.00026015i,0.00050578-0.00013325i,0.00025961-2.746e-05i,-0.00059225-0.0001355i
-0.00076534-0.0015063i,-0.0013766-0.00066562i,-0.00071297-0.0010239i,-2.6746e-05-0.0005305i,-0.00014846+0.00061425i,0.00070694+0.0006877i,0.0010806+0.0004791i,0.0001369-0.00013378i,-0.00045742-0.00029047i,-0.00058676+0.0003505i,-0.00011752-5.2576e-05i,0.00032736-1.1484e-05i,9.9768e-06+0.00053813i,-0.00043156+0.0009393i,0.00024441+0.001321i,0.001285+0.0011484i,0.00092657+0.00087431i,-1.9303e-05+0.00048094i,-0.00048607+0.00033783i,-0.001127-0.00017951i,-0.001138-0.00096453i,-0.00092059-0.00028013i,-0.00070557+0.00067658i
0.00027222+0.00023601i,0.00023896+0.0010888i,-0.0001722+0.0009345i,-3.6372e-06+0.00046253i,7.5859e-05-0.00019937i,-0.00037512-0.00041992i,9.7868e-05+0.00023926i,0.0002234-8.329e-05i,0.00014018-0.00028721i,-1.6329e-05+0.00017699i,-0.00018775+0.00026245i,-0.00079592+1.519e-05i,-0.00013682-0.00045542i,0.00075823-0.00028578i,0.00096452+1.9422e-05i,0.00097234-0.00037937i,0.00034691-0.00028338i,0.0007248+0.00033122i,0.0010842+0.00038803i,0.00051324+0.00053187i,0.00010054+0.00087353i,-0.00045115+0.00020085i,-0.0009343+2.6219e-06i
0.0014231+0.00066613i,0.0011829-0.00023841i,0.00081958-0.00022812i,0.00024445+7.036e-05i,-0.00017509+0.00050481i,2.9519e-05+0.00082891i,-7.8311e-06+0.0007136i,0.00038621+0.0006076i,0.00069266+0.00035127i,0.00046866-0.00042345i,0.00041483-0.00029716i,0.00038668+0.000648i,0.00043341+0.0014316i,0.00085158+0.001186i,0.00051091+8.0521e-05i,5.1127e-06-7.7969e-05i,0.00012639-0.00021845i,0.000235-0.00069778i,-8.4592e-05-0.00035494i,-0.00052917+3.6021e-05i,-0.00069713+0.0002766i,-0.00076742+0.00011798i,-0.00022956-8.2187e-05i
0.00038856-0.0001753i,0.0010549-0.0011494i,0.0012998-0.0015277i,0.0011509-0.00077394i,0.00045958+0.00012774i,0.00020346+0.00010255i,0.00058272-0.00043061i,0.00034766-0.00042097i,0.00044064+0.00061009i,0.00076218+0.00077428i,0.0010598+0.00045987i,0.0014045+0.00069835i,0.00057374+0.00062224i,-0.00046131+0.00053512i,6.4846e-05+0.00061145i,0.0008262+0.00051624i,0.00048352-2.426e-05i,-0.00029095-0.00024764i,-0.00066173+0.0002558i,-0.00015942+0.00054722i,0.000454+0.00089609i,0.00034087+0.00049829i,-0.00016846-0.00052916i
0.0015603+0.0017827i,0.0023945+0.0022636i,0.0015581+0.0020367i,0.00052892+0.0012761i,0.0002984+0.00073272i,-0.00059002+0.00070618i,-0.00096069+0.0015615i,2.8186e-05+0.0023046i,0.00013063+0.0012643i,-0.00020383+0.0001111i,-2.4991e-05-0.00032143i,9.0088e-05+0.00011786i,-0.00089029+0.00074184i,-0.0012176+6.7439e-05i,-0.00014614-0.00023761i,0.00064434-5.4231e-05i,0.00010373+0.00023337i,-0.00070302+0.00029853i,-0.00087675+0.00042569i,-0.0002934+0.0003894i,-0.00040411-0.00061175i,-0.00052867-0.0013016i,0.00042001-0.00068206i
0.00040284+0.0015041i,0.0015537+0.00062811i,0.0022026+4.3074e-05i,0.0017193+0.00018147i,0.0012576+0.00081085i,0.0010431+0.00097723i,0.00038592+0.00056347i,8.7859e-05-5.0199e-05i,-6.4236e-06-0.00056649i,-0.00032728-0.00067128i,-0.00050321-0.00042309i,-0.0011792-0.00014005i,-0.0016299-8.4376e-05i,-0.0012397-0.00033977i,-0.00067792-0.000521i,-0.0010827-8.1693e-05i,-0.00076356+0.00072462i,-0.00035445+0.00031547i,-0.00085876-0.00046469i,-0.00056215-0.00034045i,9.0617e-05+0.00011916i,0.00061884+1.9716e-05i,0.00019131+0.00058607i
-0.00066053+0.00068148i,0.0007071+0.0010486i,0.00072275+0.00068985i,-0.0001937+0.00066346i,-0.00019363+0.0012538i,0.00061539+0.0018175i,0.0014892+0.0013667i,0.0015115+0.00066582i,0.0006122+5.9141e-05i,-0.00024424-3.6057e-05i,0.00063034+0.00015411i,0.00072727-0.00014324i,9.581e-05-0.00066252i,0.00041514-0.00040708i,0.00025711-0.00021954i,-0.00014992-6.4724e-05i,8.9101e-05+0.00096195i,-5.9721e-05+0.0011277i,-0.00054895-0.00078326i,-0.00011844-0.0013901i,0.00023015-0.00079849i,-9.8969e-05-0.00045033i,0.0001613+0.00024903i
-0.0010194+0.002515i,0.00069656+0.0017758i,0.0027459+0.001934i,0.0025081+0.001825i,0.0013554+0.00061867i,0.00033189-0.00044878i,-5.8025e-05-0.00027985i,-0.00014186-0.00060957i,-7.056e-05-0.00061415i,0.00056478-1.2893e-05i,0.00082772-0.00060748i,4.9941e-05-0.00081575i,-0.00079515-0.00086154i,-0.00071298-0.0007926i,-0.00042795-3.2188e-05i,-0.00035035+0.00025401i,0.00030668+0.00018874i,0.00076723-3.6798e-05i,0.00034989-0.00015479i,-1.2507e-05-0.00031324i,-0.00049686+0.00013473i,-0.0010145+0.00072538i,-0.00086758+2.312e-05i
-0.0022343-0.0012473i,-0.0024221-0.00095626i,-0.0018093-2.0594e-06i,-0.00020379+0.00062594i,0.00070261+0.0011079i,0.00057901+0.001038i,0.0008236+0.00074828i,0.0010936+0.00020372i,0.00011852+0.00019638i,-0.00045694+0.00053068i,0.00064651+0.00057285i,0.00091959+0.0010234i,0.00023411+0.00099904i,0.00075944+0.00025836i,0.0014706+0.00027161i,0.0009053+0.00037837i,0.00030975+0.00044256i,-2.3059e-05+5.6018e-05i,-0.00059692-0.00019057i,-0.00064428-0.00015099i,-0.00039491+0.00029399i,-0.0010863+0.00037516i,-0.0011074-0.00042224i
0.00075346+0.0010755i,0.00048998+1.5018e-06i,0.00034798-0.0013109i,0.00039219-0.00033623i,0.00013951+0.0005909i,-0.00049842+0.00032291i,-0.001377+3.3246e-05i,-0.0011481-0.00041909i,-0.00051169-0.00059659i,-0.00028284-0.00093663i,-0.00043256-0.0010787i,-0.00016446-0.00081433i,2.1237e-05-0.00044518i,-0.00023307+0.0002229i,2.049e-05+0.00070235i,5.1303e-05+0.00063551i,-4.5065e-05+0.00075058i,3.4243e-05+0.00087014i,-0.0004335+0.00059399i,-0.00038422+0.00071013i,-5.6939e-05+0.00087674i,-0.00044477+0.00021706i,-0.00036104-0.0005231i
0.00086882+0.0014376i,0.0011511+0.00056826i,0.0015345-0.00072134i,0.00068309-0.00070999i,0.00026478-0.00046167i,0.00046533+0.00057986i,0.00078706+0.0015826i,0.00072607+0.00085479i,0.00047481+0.00032955i,-2.8409e-05+1.4515e-05i,0.00012695-0.00030167i,0.00077548-0.00022653i,0.00098042-8.555e-05i,0.00011702+0.00053585i,-0.00045958+0.0012396i,-0.00061681+0.00049357i,-0.00031091+9.5017e-05i,4.2962e-05-7.5419e-06i,-0.00051037-0.00016364i,-0.000745+0.00018378i,-1.5256e-05-3.2214e-05i,0.00019534-0.00021643i,-0.00017225-0.00025042i
-0.0013604+0.00069406i,-0.0015576+0.00061203i,1.6363e-05+0.00033318i,0.00037795+0.00017935i,-4.2569e-05+9.1861e-05i,-0.00010751-0.00048726i,-0.00043754-0.00010155i,-0.00045804+1.14e-05i,0.00013135-0.001005i,0.00078919-0.0012088i,0.00084379-0.00046811i,0.00043933-1.3115e-05i,-6.9184e-05+0.00049131i,-0.00011635+0.0011829i,1.8688e-05+0.001143i,5.6093e-05+0.00053187i,-0.00062489-0.00025146i,-0.0010967-4.0568e-05i,-0.00072052+4.4386e-05i,-0.00060077-0.00060181i,-0.00063752-0.0004257i,-0.00028301-0.00016217i,-5.6248e-06+0.00024128i
0.00076155+0.001213i,0.00053902+0.00082343i,0.0009357-2.0844e-05i,0.00082483+0.00029334i,-0.00018164+0.00099513i,-0.0010055+0.001158i,-0.00065814+0.0011259i,0.0003494+0.00065101i,0.00030208+0.00020451i,-0.00015196+0.00031886i,-6.1584e-05+0.00038152i,0.00023516+0.00039828i,4.7655e-05+0.00066189i,9.4785e-05+0.00013115i,-2.4718e-05+8.0122e-06i,-0.00021215+0.00062971i,-7.9529e-05+0.00054298i,-0.00018164+0.00040602i,-0.00028654-3.436e-05i,-0.00015345-0.00016491i,0.00022232-0.00030209i,0.00027729-0.00055951i,-0.00026114-0.00070388i
0.002002-0.0010235i,0.0014904-0.0022057i,0.00039699-0.0031209i,-0.00088852-0.0025977i,-0.0008808-0.0007087i,-0.00018328+0.00022917i,0.00025227+0.0005986i,0.00062624+0.00044597i,0.00052939-0.00035554i,-0.00013967-0.00084246i,-9.1948e-05-0.00041033i,-0.00025997+0.00028977i,-0.00013761+0.00073269i,0.00018469+0.001235i,4.5119e-05+0.0011449i,-0.00061482+0.000553i,-0.00099485-0.00058588i,-0.00040704-0.0012441i,-9.7694e-05-0.00026415i,-0.00062184+0.00089604i,-0.0001756+0.00093738i,9.9354e-05+5.7121e-05i,0.00028465-0.000743i
0.00016069+0.0015441i,0.00027401+0.0008979i,0.00026571+0.00063576i,7.57e-05+0.00041127i,-0.00043064+0.00035234i,-0.00087835+0.00057985i,-0.0012235+0.00013659i,-0.0014283-0.0005143i,-0.0013646-0.00053054i,-0.0011345-0.00041366i,-1.8071e-06-0.00048321i,0.00076085-0.00059739i,-2.9646e-05-0.00049852i,-0.00034+0.00032078i,-2.5733e-06+0.00025406i,0.00072542-0.00031735i,0.00098132-0.00025534i,0.00061947+0.00055574i,0.00027035+0.0013396i,-2.5209e-05+0.00091479i,-0.00051182+0.00053475i,-0.00030693+4.9024e-05i,0.00026595-0.00025752i
-0.0011646-0.0011375i,-0.00098241-0.00059127i,-0.0009935+0.00049981i,-0.00098591+0.0012588i,6.0397e-05+0.0010936i,0.00055309+0.0019264i,0.00019207+0.001846i,0.00039466+0.00060323i,0.0004434+0.00019973i,0.00012947+0.00016998i,5.2047e-06-2.5553e-05i,6.4262e-05+0.00052884i,-0.00056046+0.00046119i,-0.0002342+0.00027747i,0.00034634+0.00092809i,7.5078e-05+0.0004857i,0.00044886+6.4248e-05i,0.00072268+0.00030653i,0.00012617-0.00019792i,-2.5252e-05-0.00095682i,0.00015059-0.00094132i,2.3415e-06-0.00037425i,0.00014078-0.00025717i
0.00075255+0.0001355i,0.0015946-0.00073457i,0.0017263-0.0018499i,0.00034639-0.001824i,-0.00076018-0.00077699i,-0.0013166-0.00032471i,-0.00070295+0.00046678i,-0.00044619+0.00043834i,-0.00080077-0.00057964i,-0.0009636-0.00086348i,-0.00050359-0.00048971i,-0.00019296-0.00028045i,-0.00033192-0.00017339i,-0.00065543+0.00015183i,-0.0001501+0.00082264i,0.00065063+0.00064771i,0.00024546+0.00026469i,-0.00025938+0.00051469i,0.00030904+0.0008378i,0.00027076+0.00043883i,4.1133e-05-0.00060988i,0.00016831-0.00075389i,0.0003347-2.6015e-05i
7.9466e-05+0.00060072i,0.0015713+0.0021551i,0.0015249+0.0015994i,0.0011874+0.00093906i,0.00068928+0.0012403i,0.00025787+0.0015798i,0.00028471+0.001739i,0.00081575+0.0010589i,0.00086332+0.00058491i,0.00029881+0.0007566i,0.00021265+0.00031211i,0.00043606-0.00053294i,0.00040214-0.00018827i,0.0001497+0.00065296i,0.0002579+0.00044829i,0.00048071-0.00030767i,0.00064033+0.0001127i,0.00080663+0.00068297i,0.00044965+0.00032315i,-8.6783e-05+0.00029467i,-0.00028719-0.00061835i,-0.000386-0.0011888i,-0.00039607-0.00063635i
0.00039139+0.0010387i,-0.00012871+0.00046974i,0.00061778-5.3222e-05i,0.00071658-0.00071233i,0.0002608-0.0013862i,4.5403e-05+0.00016483i,-4.7996e-05+0.0010253i,0.00072875-2.3207e-05i,0.00061385-0.00044745i,0.00010685-0.00050189i,4.8255e-05+0.00022003i,-0.00089751+0.00095563i,-0.00083285+0.0007822i,2.064e-05+0.00023921i,0.00024724-0.00017065i,0.00032695-3.7024e-05i,-0.0003421+0.00018173i,-0.00050473-1.3998e-05i,-0.000266+2.1453e-06i,-0.00055437+0.00021692i,-0.00035001+0.00010732i,-0.00020663+0.00017482i,-0.00023704-0.00029i
0.0010899-0.00016007i,-7.5238e-05-0.00082301i,-0.00025139-0.0018308i,-0.00080701-0.0015878i,-0.0010845-0.00011687i,-0.0005193+0.0011718i,-0.00022259+0.0014008i,-0.0011481+0.00064454i,-0.0011331-0.00059856i,-0.00053336-0.0010262i,-0.00041233-4.1317e-05i,-0.00087284+0.00070924i,-0.0012758+0.00047014i,-8.8589e-05+0.0007863i,0.00013926+0.00096583i,0.00010144+0.00011496i,-0.00033842+0.00024373i,-0.0010743+0.00078296i,-0.00033132+0.001045i,-0.00024781+0.001443i,0.00034285+0.0010159i,0.00089831+0.00059661i,0.00048333+0.00032413i
