-0.002129+7.7033e-05i,-0.001919+0.00064552i,-0.002364+0.0012186i,-0.0027081+0.00098891i,-0.0025114+0.0010464i,-0.0016484+0.0013616i,-0.00090703+0.0005675i,-0.00023353+0.00028249i,0.00031518+0.00013441i,0.00033055-0.00049436i,0.00051629-0.00065196i,0.0003117-0.00036698i,0.00028054-0.0002231i,0.00030738-0.00057057i,4.1089e-05-0.00023882i,0.00024002+0.00024584i,0.00033858-1.1661e-05i,-0.00039016+4.1168e-05i,-0.00074783-0.00068938i,-0.00015299-0.00098305i,-2.0186e-05-0.00078701i,-9.0089e-05-0.0013662i,-3.4835e-06-0.0011259i
4.6658e-06+0.002478i,0.001135+0.00109i,0.0013573+0.001263i,0.00041764+0.00074522i,0.00089698-0.00022082i,0.0010595-0.0016159i,0.00041385-0.0020646i,-0.00015642-0.0015555i,0.00025028-0.0012406i,0.0012844-0.0010214i,0.00095181-0.00085729i,0.00027224-0.00032068i,-5.1003e-05+0.00017362i,-0.00052883+0.0002169i,-0.00081922+1.1336e-05i,-0.0002747-0.00038584i,0.00069282-0.00023386i,0.00082143+0.0008772i,4.8209e-05+0.0013509i,-9.3892e-05-4.9799e-05i,-0.00059618-0.00071131i,-0.00068823-0.00050457i,-0.0004295+1.7682e-05i
-0.00095163-0.0011112i,-0.0010267-0.0012836i,-0.00068229-0.0012745i,-0.0011865-0.00023209i,-0.0016826+0.00076201i,-0.00092895+0.00067417i,-0.00017877-4.5079e-05i,0.00066983-0.00027541i,0.0010726-0.0006244i,0.0007456-0.0007064i,9.0763e-05-0.00020801i,-0.00038295-0.00011395i,-2.0866e-05+0.00089452i,0.00015554+0.00099088i,-0.0001537-0.00067247i,-0.00052716-0.00108i,-0.00052477-0.00066952i,6.387e-05-0.00043639i,0.00033384-0.00030686i,-0.00041417-0.00025392i,-0.00057762-0.00064579i,1.3317e-05-0.00072768i,-1.0865e-05-0.0004892i
0.0021063-0.00072372i,0.0020625-0.00056338i,0.0012626-9.0316e-05i,0.00024572-0.00046531i,-0.00020467-0.0010185i,-8.843e-06-0.0013056i,0.00026842-0.00050703i,0.00079858+0.00038869i,0.0005241-0.00017981i,0.00034162-0.00064729i,0.00055902+0.00026931i,0.00076292+0.0005077i,0.00075607-0.00016598i,0.00069815-1.7029e-05i,3.1605e-05+0.00043661i,-0.00013569+0.00027492i,0.00029869-0.00033998i,0.00011859-0.00049583i,0.00021133-0.00061124i,0.00029382-0.0010227i,9.3954e-05-0.00056675i,-0.00029655+0.00020049i,-0.00043728-3.9934e-06i
0.0013509+0.00060464i,0.0010863-0.0003749i,0.0016295-0.00069368i,0.00097878-0.0016753i,0.00013101-0.0023772i,-3.1904e-06-0.0018912i,-0.00056147-0.0016233i,-0.0006974-0.0017537i,9.4248e-05-0.00094312i,0.00095993-0.00071952i,0.001045-0.0012335i,0.00059908-0.0009245i,0.00056865-0.00088848i,0.00029443-0.0005687i,-6.6928e-05+6.9974e-05i,8.7465e-05+9.4512e-05i,-6.7154e-05-0.00045818i,-7.2539e-05-0.00048486i,-0.00048804-0.00017112i,-0.00032503-3.5142e-05i,0.00018315+0.00037566i,-0.00018889+5.7574e-05i,0.00014979-0.00034623i
-0.0017693-0.0014685i,-0.0024278-0.00054014i,-0.00091699-0.00078817i,0.00056488-0.0005851i,0.00071666-1.0486e-05i,-6.884e-05-0.00043701i,-0.00044025-0.00097332i,0.00024178-0.00087632i,0.00028372-0.00066846i,0.00031484-0.00086325i,0.0010811-0.00086024i,0.00046133-8.3973e-05i,-0.00028817-0.00052591i,0.0003442-0.00081512i,0.00066116+0.00012221i,0.00048414+0.0013113i,0.00038113+0.00064705i,0.00053255-6.5742e-05i,0.00030433+0.00053041i,-0.00052439+0.00018443i,-0.00083463-0.00050423i,-0.0010019-0.00092353i,-0.00088618-0.0010737i
0.0010389-0.00074916i,0.0012565-0.00098894i,0.0014709-0.0012495i,-0.00022035-0.001531i,-0.0011788-0.0015326i,-0.00066571-0.00074315i,-0.00010973+0.00035653i,0.00041176+0.00012106i,0.00078977-0.00021757i,0.00018362-0.00056036i,0.00010713-0.00060277i,0.0012046-0.00058599i,0.0017767-0.0010225i,0.0010238-0.00077291i,0.00020582+5.1878e-05i,-0.00028483-0.00026242i,-0.00019178-0.0011635i,-3.1173e-05-0.0004439i,-0.00063306+0.00062674i,-0.00078675+0.0007823i,-0.00034425+0.00020779i,-0.00042659-5.204e-05i,-0.00055233-6.2061e-05i
0.00050165-0.00073453i,-0.00062659-0.0007253i,-0.0012441-0.0010388i,-0.00029222-0.00066567i,-6.7649e-05+9.5277e-06i,-0.00053995-0.00020287i,5.2053e-05-0.0009733i,0.00045155-0.0010153i,0.00042847-0.0013042i,0.00020105-0.001129i,-0.00026909-0.0009387i,8.6987e-05-0.00080198i,0.00037703-0.00069836i,0.00016118-0.00059641i,0.00030004-7.1016e-05i,-3.8724e-05+0.00017023i,-0.00024376+0.00019835i,0.00020817+0.00019808i,0.00034639+3.2542e-05i,5.9971e-05-0.00066873i,-0.00058151-0.00037585i,-0.00090243+0.00021416i,-0.00069987+0.0001965i
-0.00023123+0.00058866i,-0.00035578+0.00011963i,0.00071403-0.00045983i,0.0010176-0.0004805i,0.00010214-0.00014276i,-0.0010256-0.0012116i,-0.00083196-0.00094391i,-0.00034395+4.9419e-05i,-0.00025285-0.00026799i,0.00036236-0.00075305i,0.00097061-0.00087827i,0.00075972-0.00054484i,0.00058046+0.00029715i,0.00059157+0.00048606i,0.00026879+0.00032608i,-0.0004124+0.00037512i,-0.00098352-0.00051516i,-0.001208-0.0011156i,-0.00092311-0.00061935i,-0.00023218+9.6468e-05i,-0.00011745+0.00044907i,-0.00037313+0.0002896i,-0.00019891+0.00034731i
0.0002176-0.0016289i,0.00046092-0.0007249i,-0.00022844+0.00032003i,-0.00045715+0.00042175i,0.00033883+0.00093567i,0.00026203+0.0015107i,-0.0006731+0.00066214i,-0.00077329-0.0010082i,-8.0306e-05-0.0010889i,0.00020709-1.2351e-05i,0.00035053+0.00027268i,0.00033626+1.4289e-05i,6.1296e-06-0.00042843i,2.4583e-05-0.0010721i,0.00018345-0.00085231i,0.00027448-0.00036206i,0.00031273-0.00017878i,-0.00039344+0.00015163i,-0.00099165-6.4296e-07i,-0.00056761-0.00044672i,0.00012708-0.00062685i,-0.00015633-0.0007521i,-0.00031382-0.00052657i
-0.0027084-0.0014508i,-0.001934-0.0013855i,-0.002355-0.0012343i,-0.002158-0.00058794i,-0.00034451-0.00068779i,0.0012904-0.0012366i,0.0012517-0.0015407i,0.00019624-0.0020097i,-3.1014e-05-0.0014689i,4.2347e-05-0.00056396i,0.00042391-3.0655e-05i,1.3254e-05-0.00032848i,7.2869e-05-0.00057992i,0.00080888-0.00042051i,0.00063312+0.00020403i,0.00082781+0.00022489i,0.00095518+0.00021897i,-0.00057497+4.8793e-05i,-0.0014246-0.00056929i,-0.00032564-0.0004404i,-0.00032899+0.00027036i,-0.0010639+9.2029e-05i,-0.00063944-0.00059951i
-0.00087962-0.00085137i,-0.0014403-0.00081564i,-0.0021275-0.00061383i,-0.0023061-0.0001145i,-0.0016548+0.00043246i,-0.00090631+0.00019581i,0.00012315-0.00066224i,0.0014741-0.0009377i,0.0019378-0.0013121i,0.00087911-0.0010707i,4.5649e-05-0.00035656i,0.00026358+9.519e-06i,0.00023706-1.6361e-05i,0.00016117-0.00026792i,-0.00019877+0.00017896i,-1.2642e-05+0.00042745i,0.00044781+3.5709e-06i,-1.1679e-05-0.00031447i,-8.1316e-06-0.00069525i,-0.00010457-0.00043286i,-0.00072605-0.00026492i,-3.832e-05-0.0008169i,0.00074988-0.0007033i
-0.00095682+0.00018928i,-0.001151+0.00071831i,-0.00085716-0.00014976i,0.00012437-0.0017902i,0.00038137-0.0014221i,-0.00033686+0.00010095i,-4.8829e-05+0.00015854i,0.0008792-0.00027762i,0.00091714-0.00072476i,0.00086418-0.00028766i,0.0011363+8.2839e-05i,0.0015912-3.4931e-05i,0.0017677-0.00028167i,0.00049305-0.00054327i,0.00017344-0.00058537i,0.00047195-0.00016699i,0.00038589-0.00023877i,0.0004234-5.4682e-05i,-0.00017632+0.00091828i,-0.00044005+0.0010049i,0.00059197+0.00043463i,0.0013155-0.00033431i,0.00064331-0.00012309i
0.00014255-0.00096548i,-0.00040464-0.00090888i,-0.00052418-0.00058272i,-0.00072503-0.00050838i,-0.0007711-0.0012274i,-0.00044049-0.0013926i,4.1344e-05-0.00063985i,0.00073786-0.00094549i,0.0011321-0.00096536i,0.0011124-0.00064256i,0.00089139-0.00061733i,0.00079862-0.00069164i,0.0006445-0.00042899i,0.00056316+0.00015815i,0.00090227+0.00070238i,0.00083637+0.00044818i,0.00041696-0.00015173i,-0.00030685-0.00060977i,-0.00076087-0.00042382i,-0.00025488-0.00064395i,0.00058329-0.00057858i,0.0010627+0.00012605i,0.00039378-2.5289e-06i
9.9919e-05-0.0014406i,-0.0003877-0.0021192i,-0.001304-0.0025599i,-0.001609-0.0015558i,-0.00068592-9.0232e-05i,-4.7545e-05+0.0003611i,-0.0003198-0.00027356i,-0.00077175-0.00066058i,-6.974e-05-0.00060302i,0.00082504-5.3943e-05i,0.0001256+3.7461e-05i,-0.00025046-0.00025629i,-0.00017724-0.00048031i,-0.00058686-0.00063767i,-0.00045173-0.00046948i,-5.1317e-05-7.5674e-05i,0.00053145+0.00017597i,0.00038145+1.5835e-05i,-0.00013208-0.00019782i,-0.00068926+0.00012555i,-0.00082604-0.00029411i,-0.00021338-0.00010231i,-0.00028005+0.00058441i
-0.00064667+0.00034841i,0.00041395+0.0009254i,0.00050667+0.002364i,0.00054401+0.0020407i,0.0014522-0.00014269i,0.00098583-0.0014142i,-4.9663e-05-0.0020329i,0.0001283-0.0018491i,0.00028592-0.0016577i,-5.2267e-05-0.0010509i,-0.00016543+0.00033632i,0.00017845+0.00081302i,0.00035516+0.00063864i,0.00032856+0.0013441i,9.3861e-05+0.0015298i,0.0003579+0.0010604i,0.0010581+0.00097048i,0.0012722+0.00019715i,0.001001-0.00078593i,0.00045484-0.00048505i,-1.6548e-05+0.00016406i,-0.00032324-0.00010171i,-0.0003752-0.00049165i
