0.00086481-0.0011495i,0.00066121-0.0017823i,-0.0019842-0.0021937i,-0.0030755-0.0016484i,-0.0022587-0.0010657i,-0.0015001+0.00010767i,-0.00096668+0.0015692i,-0.0012535+0.0021642i,-0.00035939+0.001065i,0.0007558-0.00017856i,0.00026393-0.00088468i,-0.00039418-0.0014929i,-0.0001486-0.0011751i,0.00049179+0.00014022i,-0.00032664+0.0011046i,-0.0011323+0.00074974i,-0.00068641+0.00012581i,0.0001711-0.00051889i,0.00063874-0.00021071i,6.3761e-05+0.00041891i,-0.00018716+3.843e-05i,-0.00023991+0.00012905i,0.00018334+0.00052577i
8.2918e-05+0.00016263i,0.0003627-0.0001534i,-0.00040555-0.00024876i,-0.00093186+0.00019664i,-0.00051716+0.0011359i,1.2725e-05+0.0015585i,-0.00018855+0.00086416i,-1.7738e-05-0.00050532i,0.00024852-0.00084361i,-0.00011458-0.00023384i,-0.00025416+0.00035875i,-0.00034263+0.00055662i,-0.00056096+0.00042841i,-0.00066155+0.00010349i,-0.00073457-0.00013931i,-0.00052325+7.1386e-05i,-0.00033466+0.00039801i,-0.00046508+0.00070459i,-0.0003875+0.00099957i,-0.00019482+0.00086861i,-0.00035788+0.00065211i,-0.00025135+0.0010291i,0.00014349+0.0011041i
-0.00016504-8.3357e-05i,-5.5343e-05-4.2522e-05i,-0.00033313-0.0007091i,-0.00064245-0.00093244i,-0.0011087-0.00027733i,-0.0010644+0.00027562i,-0.00054559-0.00010666i,-0.00025886+0.00020576i,0.00011492+6.3684e-05i,-6.3203e-06-0.00040598i,-0.00058367-8.4759e-05i,-0.0003969+0.00040664i,-0.0001804+0.00085014i,-0.0005029+0.00037285i,-0.00048812-0.00045128i,-0.00056562-0.00033998i,-0.00059473+0.00023538i,-0.00031405-9.2036e-05i,-0.0001571-0.00061712i,-0.00020742-0.00038282i,0.00025415+0.00027372i,0.00037873+0.0012834i,-0.00071748+0.0012291i
-0.00077545+0.00029247i,-0.0015565+0.00012983i,-0.0017843+0.0004448i,-0.0010728+0.00070115i,-0.0014581+0.00095149i,-0.0012128+0.0002769i,-0.00061328-0.00029194i,-0.00051435-1.3811e-05i,0.00019512-5.8402e-05i,0.00060015+0.00020519i,0.0007511+0.00084408i,0.00019647+0.00028861i,-0.00040545-0.00068724i,-0.00063103-0.0011091i,-0.00091089-0.00050882i,-0.0010563+5.7899e-05i,-0.00029604-0.00081846i,0.00096114-0.000839i,0.00087368+0.0007085i,0.00017453+0.00099733i,1.0115e-05+0.00029469i,-0.00014293+7.1045e-05i,-0.00073518+0.00021902i
0.0011539-0.001153i,0.0010171-0.0020921i,0.00088473-0.0023699i,5.0768e-06-0.0007829i,-0.00081249+0.0005668i,-0.00073283-7.1327e-05i,5.4178e-05-0.00087502i,0.00070874-0.000509i,0.00072278+0.00036368i,0.00030543-1.2079e-06i,-0.00060146-0.00074485i,-0.0011455-0.00085141i,-0.0010273-9.8602e-05i,-0.00096378+0.00049213i,-0.00033235+0.00072795i,-2.7077e-05+0.0013364i,-0.00029878+0.0016878i,3.3946e-06+0.0011895i,7.7598e-05+0.00038678i,-0.00022533-0.00034989i,4.6383e-05-0.00027303i,4.6499e-05+0.0002107i,-0.00060268-3.2515e-05i
-0.00034751+0.0010411i,-0.00079735+0.0010686i,-0.0027017+0.00091201i,-0.0028392+0.00064144i,-0.0023178+0.0013518i,-0.0014127+0.0015177i,-0.00062238+0.00039565i,-0.0003678+0.00025095i,-0.00016235-6.3397e-05i,0.00015159-3.9123e-05i,8.6867e-05-0.00026942i,0.00017587-0.00099889i,0.00020814-0.00063259i,-0.00034527-0.00025554i,-9.5944e-05-0.00028821i,0.00035708-0.00038419i,0.00017367-0.00035139i,-1.0511e-05-0.00072217i,-4.4488e-05-0.00043532i,-0.00028033-0.00029887i,-0.00052801-0.00068195i,-0.00049209-0.00028987i,-0.00058408+0.00066325i
-0.0012619+0.0004184i,-0.0010511+0.00011425i,-0.00035114+0.0010298i,0.0004283+0.0012908i,0.00041343+0.0011221i,-0.0009982+0.0002527i,-0.0011863-0.00027922i,-0.00088225+0.00039563i,-0.00081271+0.00038618i,-0.00035134-0.00017322i,-0.00011091-0.00026262i,0.00015088-8.7567e-05i,-0.00076738-0.00018098i,-0.0012542-0.00024662i,-0.00062132+0.00037392i,-1.7146e-05+0.00064545i,0.00064166+6.9031e-05i,0.00028534-0.00035108i,-0.00079747-0.00011315i,-0.00075616+0.00037034i,-6.0749e-05+0.00037487i,-0.00044675+0.00025135i,-0.00098372+0.00038018i
0.00074178+0.00015909i,0.0013292-0.0016359i,0.0010992-0.00057374i,0.00015342+0.0007426i,-0.00048756+0.0017381i,-0.00046237+0.0017946i,0.00053395+0.0007694i,0.00062735-6.4709e-05i,0.00040932-0.00081285i,0.00036044-0.0013497i,8.6659e-05-0.0012494i,-3.997e-05-0.00010202i,-0.00064394+0.001002i,-0.00082981+0.00080491i,4.6392e-05+0.0002431i,7.624e-05-0.00021962i,-0.00053668-0.00024471i,-0.00031393+0.00014811i,0.00079977+9.6989e-05i,0.0012444-5.8484e-05i,0.0009037-0.00026859i,0.00031379-0.00020774i,0.000412+7.7067e-05i
0.0014221-0.0003588i,0.00098401-0.00095153i,-0.00038459-0.0026519i,-0.0014985-0.002677i,-0.00084445-0.001058i,-5.3416e-05+1.7564e-05i,2.2453e-05+0.00022i,0.00034734-0.00030435i,0.00012435-0.0003931i,-0.00059571-8.3366e-05i,-0.00094637+9.3569e-05i,-0.00066911+2.3989e-05i,-0.00046318-0.00022916i,0.00014506-6.3812e-06i,-0.00017984-0.00014227i,-0.00031953+3.5794e-05i,-0.00016618+0.00062869i,-6.0048e-05-0.00013416i,0.00050008-0.00069198i,0.00034363+0.0001292i,0.00048517+0.00054962i,0.00023578+1.2444e-05i,-0.00050192-0.00022856i
7.7327e-05-0.00087527i,-0.0011448-0.0012697i,-0.0021989-0.0004641i,-0.0018745-0.00031167i,-0.001185+0.00033708i,-0.00095851+0.0015905i,-0.00092248+0.0013258i,-0.00071588+0.00042061i,-0.00019152+4.8828e-06i,0.00016268-0.00013222i,-0.00018624-0.00050959i,-0.00053973-0.00043757i,-0.00057641-0.00021512i,-0.00049637-0.00043502i,-0.0010916+5.5026e-05i,-0.00078786+0.00025864i,0.00034086+0.00026808i,0.0008433+0.00079738i,0.00039398+0.00039293i,-2.6537e-05-6.6531e-05i,-0.00062541-0.00056418i,-0.00044817-0.00087089i,-5.3268e-05-0.00013241i
0.00076067-0.0018085i,0.00043991-0.0026575i,0.00081889-0.0018008i,-0.0003226-0.00060224i,-0.0014233-0.00052859i,-0.0016093+0.00011078i,-0.00025862+0.00052082i,0.0011521+0.00061714i,0.001291+0.00041247i,0.0011481+0.0004556i,0.0007108+0.00047922i,0.00046392-0.00023078i,0.00037484-0.00047384i,0.00027342-0.00085637i,0.00051098-0.00090238i,0.00046069-0.00034698i,-0.00014073-0.00030943i,-0.00012757-0.00053379i,-5.6076e-05+8.3818e-05i,-0.0010291+3.4886e-05i,-0.00089843-0.00012194i,-0.00089133+0.00022295i,-0.0011528+0.00062309i
-0.00048496-0.00033688i,-0.0010289+0.00058083i,-0.0015931-0.00014257i,-0.0021082-0.00064488i,-0.0023118-0.00024834i,-0.0013226+0.00077081i,-0.00048815+0.0013323i,-0.00017239+0.00054788i,-0.00051435-0.00058581i,-0.0011994-0.00040086i,-0.00090099+0.00067228i,-0.0006431+0.00025135i,-0.00083293-0.00029137i,0.00039302-0.00032889i,0.00094371-0.00057345i,0.00050274-5.8462e-05i,0.0011761+0.00062076i,0.0019518+0.00019638i,0.00060449-0.00029556i,-0.00015027-0.0003573i,-0.000256+0.0002373i,-0.00040193+0.0003564i,4.169e-05+0.00035828i
-0.00018051-0.00011342i,-0.0013936-0.00069657i,-0.002148-0.00032595i,-0.0023897-7.2515e-05i,-0.0019263-0.00014102i,-0.00089234+0.00049135i,-0.00012644+0.00062331i,0.00047076-6.6219e-05i,0.00039412-0.00039021i,8.7347e-06-0.00071571i,9.8829e-05-0.00066753i,-0.00013599-0.0005438i,-0.00077345-0.00060356i,-0.00046093-0.00034359i,4.6773e-05+0.00051899i,-3.1568e-05+0.00040567i,-0.0001127+0.00014045i,-0.00055443+0.00072548i,6.9149e-07+0.00058101i,0.00095158-0.00022566i,0.00089039-0.0010151i,0.0006641-0.0007754i,0.00050896+0.00032258i
0.00023741+0.0012242i,0.00042739+0.0012377i,0.00043897+0.0017302i,0.00027082+0.00093331i,0.0001915+0.00041579i,-0.00082771+0.00072187i,-0.0010064+3.7876e-05i,0.00020639-0.00081587i,0.00048869-0.00051747i,0.00039452-0.0004791i,0.00055492-0.00061403i,0.00046719-0.00038999i,0.00033087-0.00016913i,0.00055216+0.00071088i,0.00079395+0.00036098i,0.00084913-0.00034106i,0.00059941-0.00029327i,-0.00053739-0.00040266i,-0.00023845-0.00017444i,0.00021683+0.00018709i,-0.00015868+0.00082273i,-0.00021582+0.0012187i,-0.00088202+0.0014384i
-0.00014255-0.00077208i,-0.00079533-0.00058953i,9.9837e-05-0.00047814i,-6.66e-05-0.00093583i,0.00020776-0.00011446i,0.00042245+0.00036121i,-0.00011004+5.5057e-05i,-0.00020948-0.00016975i,-0.00049777-0.0005767i,-0.00037056-0.00047759i,0.00070582-0.00027875i,0.00062873-0.00051257i,0.00024874-0.00058696i,-0.00023156-0.00084382i,-0.00017957-0.0003551i,0.00034671+0.00066917i,5.0271e-05+0.00066627i,0.00024146-0.00037279i,0.00055757-0.00098445i,-8.5483e-05-0.0012348i,-8.9123e-05-0.00086158i,0.00010862-0.00032235i,-0.00060113-0.00031789i
-0.00049074-0.0010463i,-0.00041088-0.0012588i,-0.00037196-0.001663i,-0.00088881-0.0016995i,-0.0017309-0.00075806i,-0.0012864-0.0001303i,-0.00039169+0.00037936i,-0.00015095+0.00074758i,-7.605e-06-0.00010689i,-5.6009e-05-0.0010609i,-0.00016996-0.00045722i,0.00015616+0.00034428i,0.00040615+0.00089105i,0.00080073+0.0011727i,0.0007202+0.00032126i,0.00071016+0.00081473i,0.00011047+0.001577i,-0.00058399+0.00087707i,-0.00028306+0.00025472i,-0.00019892-7.9602e-05i,-0.00056742+0.00038175i,-0.00061571+0.00028781i,7.8731e-06-0.00026524i
0.00030477-0.00073993i,0.00096692-0.0010722i,-0.00035917-0.00062623i,-0.0017845+0.00022685i,-0.0017722+0.0019466i,-0.00093499+0.002289i,-0.00063397+0.00057453i,-0.00048544-0.0007844i,5.3651e-05-0.00075316i,-0.0006385-0.00024651i,-0.0010732+0.00010574i,4.9832e-05+0.00084235i,0.00054342+0.00059561i,4.1318e-05-0.00031157i,-0.00047315-0.00044063i,-0.00046223-0.00034356i,0.00019812-0.00047914i,0.00015988-0.00043337i,-0.00018696-0.00055533i,-0.00025873-0.00039036i,-0.00065204+2.586e-05i,-0.00058435-0.00021738i,0.00021423-0.00056576i
-0.0010317+0.00044799i,-0.0012924+0.00074872i,-0.0026779-0.0001251i,-0.0033087-2.5914e-05i,-0.0026405+0.00097978i,-0.0015375+0.0016243i,-0.0012009+0.00049281i,-0.00096114-0.00069343i,-0.00026824-0.00060293i,-0.00059489+0.00010223i,-0.00084484-4.3458e-05i,0.00020492-0.00043337i,0.00058434+0.00023581i,-0.00058408+0.00046184i,-0.00098189-0.00011068i,-0.0004257-0.00022877i,0.00047154-6.2875e-05i,0.0003156-0.00030566i,-0.00023197-0.00085808i,-0.00023219-0.0013135i,-0.00028196-0.00095134i,-0.0005607-0.00034082i,-0.00014202+0.00017885i
0.00073539-0.0011508i,-0.00018057-0.0026542i,-0.00017866-0.0020876i,-0.00060647-0.00011961i,-0.0011785-5.5086e-05i,-0.00094038-5.0798e-05i,-0.0008076+0.00036675i,-5.1751e-05+0.00062272i,0.00029635-0.0001201i,0.00012131-0.00065284i,0.00023035-0.00027667i,-0.00043941-0.00010626i,-0.0012971+0.00010873i,-0.0010543-7.6163e-05i,-0.00022154+8.3542e-06i,0.0005476+0.0007013i,8.7613e-05+0.00053771i,-0.0011678-0.0004384i,-0.0013328-0.00095842i,-0.0003778-0.00108i,0.00020737-0.00036226i,0.00013848+0.00086127i,-0.00011403+0.00082803i
-0.00014465+0.00063715i,0.00047011+4.8118e-06i,0.00079451-0.0015348i,-0.00062262-0.0020896i,-0.0011845-0.0011739i,-0.00046715-0.00066542i,-0.00016652-0.00055563i,-4.1948e-05-0.00026027i,0.000168+0.00015682i,0.00042447+0.00015577i,0.0002386-0.00031432i,0.00016576-0.00021695i,0.00051449-0.00060379i,0.00075526-0.00109i,0.00031414-0.00047244i,0.0002142+0.00060069i,0.00063072+0.00084454i,0.00087836+0.0001898i,0.00065866-0.000431i,-0.0001321-0.00061007i,-0.00012226+0.00020005i,0.00023606+0.00099438i,0.00014868+0.00077819i
-0.0011684+0.00035826i,-6.0032e-05+0.00099846i,-0.00053624+0.0016321i,-0.0011433+0.002i,-0.00051837+0.0018931i,0.00010756+0.00078372i,-3.4719e-05-0.0002443i,-0.00052448-0.0009819i,0.00019072-0.0011179i,0.0010874-0.000266i,0.00066412+0.00016107i,0.00010633-0.00023849i,-0.00012197-0.00057547i,-0.00042347-0.00044091i,-0.00061929-4.8807e-05i,-0.00035154+0.00029392i,-8.9546e-05+8.602e-05i,1.5458e-05-0.00034747i,4.7241e-05-0.00022914i,-0.00080803-0.00047462i,-0.00097257-0.00071117i,-0.00038352-0.00029154i,-0.00057168-0.00050731i
