0.0024938-0.0009619i,0.0021441-0.0031291i,-0.00015473-0.003433i,-0.0011371-0.0014071i,-0.0016755+0.00079336i,-0.0019354+0.002092i,-0.00074688+0.0028732i,0.00089589+0.0024093i,0.0014246+0.0012638i,0.0001862+0.00015975i,-0.00033791-0.0012204i,0.00019631-0.0017764i,0.0001745-0.00093473i,-0.0002866+0.0003087i,-0.00052706+0.00068154i,0.00021175+0.00073372i,0.00077092+0.00044001i,0.0010279+0.00030669i,0.0010742+0.00031204i,0.00083245+0.00016474i,0.0010865-0.00048369i,0.00063251-0.0003857i,0.00011266-5.9599e-05i
-0.00418+0.0019554i,-0.0037171+0.0019381i,-0.001001+0.0022968i,0.0012022+0.0015974i,0.0010697-0.00029124i,0.00072409-0.0015992i,0.0006025-0.00092266i,-6.0986e-05-0.00068183i,-0.00061101-0.00074722i,4.1157e-05-0.00020616i,0.00078831-0.00069134i,0.000423-0.0012739i,0.00032582-0.0015477i,0.00089542-0.0019663i,0.00073426-0.001974i,0.00037917-0.0017662i,8.1279e-05-0.0012724i,-0.0003295-0.0009685i,-0.00073939-0.00044196i,-0.00065999+0.00052857i,-0.00039371+0.0013107i,-0.00014606+0.0013783i,-0.00012335+0.00032737i
-8.2565e-05+0.00082123i,-0.00060089+0.0013527i,-0.00084019+0.0015909i,-3.9783e-05+0.00098495i,0.001506+0.00020418i,0.0013547-0.00075222i,0.00033382-0.0002883i,9.3064e-05+0.00038444i,0.00085273+0.000176i,0.001407+0.0004032i,0.00088429+0.0007803i,-0.00011036+0.00019311i,-0.00050398-0.00042815i,-0.00068942-0.00060914i,-0.0010435-0.00066899i,-0.0011133-0.00027079i,-0.0007612-0.00034303i,-0.00033084-0.00050297i,-7.0171e-06-8.3145e-05i,0.00060018+0.00038431i,0.00041741+0.00065055i,0.00018896+0.0004279i,-8.4918e-05-0.00017809i
-0.0016048+0.00069213i,-0.0019706+0.00056517i,-0.00078997+0.00023705i,0.000421+5.8256e-05i,0.00050679+6.2563e-05i,0.00048916-0.00068445i,0.0012657-0.00097458i,0.00087696-0.00095393i,-0.00010516-0.00041746i,-0.00026505+0.00028257i,-0.00014948+0.00048227i,-0.00077095+0.00032773i,-0.00038706+0.00024489i,0.00016773-0.00025166i,0.00023479-0.00075972i,4.5693e-05-4.5809e-05i,-0.0010612+0.00039417i,-0.0010232-0.00015547i,1.7279e-05-0.00018232i,0.00052224-0.00012343i,0.00040121-0.00036674i,0.00018411-0.00028046i,-7.6332e-05+0.00021567i
-0.0010301-0.0018318i,-0.0010867-0.0016113i,-0.00086502-9.7154e-05i,-0.00060628+0.00093658i,-0.00012521+0.00041447i,0.00022671-0.00069566i,0.00037823-0.0012247i,0.00043769-0.0012347i,0.00011106-0.00083805i,0.00062898-0.00029093i,0.0011287+0.00011424i,0.00057483+0.00014889i,-8.143e-05-6.6365e-05i,-0.00053497-0.0003538i,-0.0010052-0.00023167i,-0.00099757-0.00022138i,-0.00061367-0.00095332i,0.00011204-0.001226i,0.0005855-0.00075351i,0.00066881+8.4459e-05i,0.00061499+0.00048375i,0.00058512+0.00027943i,0.00024182+0.0002522i
-0.00098646-0.00037945i,-0.00080487+0.00053463i,-0.00082149+0.0013989i,-0.00034896+0.0012489i,0.00025425+9.1039e-05i,-8.6771e-05-0.00099352i,-0.00065655-0.0010019i,-0.00031518-0.0008464i,0.00068288-0.00076756i,0.0012573-5.3497e-05i,0.00069187+0.00033755i,-0.00030378+0.00015343i,-0.00040332-0.00034894i,-3.1891e-05-0.00025318i,-0.0007237-1.482e-05i,-0.00091573-0.00030693i,-0.00063518+1.5885e-05i,-0.00090423-3.4905e-05i,-0.00098734-0.00061463i,-0.00037166-0.00042558i,-0.00017253+0.00010658i,-0.00078445-0.00053343i,-0.00048102-0.00093477i
0.00010467-0.00076576i,-0.0011997+8.3884e-05i,-0.0020173-0.0013094i,-0.0009879-0.0013846i,-0.00026996-0.00052922i,0.00019703+0.00011278i,0.0013116-0.00041537i,0.00074256-0.00043414i,-0.00047421-0.00014706i,-0.00091492+0.00037755i,-0.00064818+0.00062071i,-0.00040438+0.00069167i,-0.00069969+0.0010977i,-0.00049242+0.00079785i,-0.0004742+7.6288e-05i,-0.00052879-0.00010571i,-0.00056421-0.00033357i,-0.00027354-0.00051974i,-0.0003996-0.00012141i,-0.00018731-0.00034963i,0.00034766-0.00059868i,0.00026901+7.3149e-05i,0.00032345+0.00030329i
-0.0018334+0.0007139i,-0.00060746+0.0010098i,-0.00012275+0.001457i,0.00023242+0.0016036i,0.00046725+0.0012914i,0.00028716+0.0002553i,0.00075888-0.00054659i,0.00050301-0.00048218i,-0.00058933-5.4394e-05i,-0.00055899+0.00059081i,0.00034922+0.0007432i,0.00043727+0.00038019i,5.2721e-06+0.00030152i,7.7246e-05+0.00082478i,0.00032333+0.00063805i,0.00033706+0.00026285i,-4.8048e-05+0.00027311i,-0.00080293-8.4941e-05i,-0.00075151-0.00051208i,-0.00047292-0.00063401i,-0.00087983-0.00055166i,-0.0007323+3.0605e-05i,-0.00040076+0.00052386i
-0.0011784-0.0018551i,-0.0024008-0.0012065i,-0.0024854-0.00048755i,-0.001589+2.5542e-05i,-0.0009335+0.00014722i,-0.00018005-0.00077555i,0.00085118-0.0010932i,0.00089653-0.00016654i,0.00075153+1.9144e-05i,0.00031314-0.00061663i,8.4743e-05-0.00096092i,-0.00047172-0.00040312i,-0.00089714+6.9449e-05i,-0.00072177-6.2663e-06i,-0.00049059-8.693e-05i,0.0001656+0.00012763i,0.00050186+0.00032253i,-1.2538e-05-2.4858e-05i,0.00012015-0.00040246i,0.00054291-0.00057801i,-3.9791e-05-0.0011952i,-0.00039043-0.0012403i,8.8249e-05-0.00065067i
0.0013856-5.3128e-05i,0.00015063-0.00079492i,0.00064544-0.00094955i,-0.00027788-0.0012196i,-0.00070373-0.0014722i,0.00027073-0.0010457i,0.00044675-0.00032204i,0.00038012+0.00069696i,0.00013201+0.00024102i,-5.2811e-05-0.00049588i,-9.0938e-06+0.00013822i,0.00028033+1.4124e-05i,0.00014875-0.0005834i,-0.00081323-0.00049355i,-0.00095873+0.00068214i,-0.00028994+0.001407i,0.00035035+0.0006096i,-1.9889e-05+0.00021944i,-0.00010322+0.00060369i,0.00081619+0.00067294i,0.00049773+0.00065837i,0.00045083-6.153e-06i,0.00062021-0.0001379i
0.00081084+0.00098969i,0.0017159+0.00084963i,0.0014401+0.00016941i,0.0012585-0.0013887i,0.001522-0.0019604i,0.00065775-0.0011924i,0.00019057-0.0010223i,0.00058107-0.0011799i,0.00058715-0.0012112i,0.00041068-0.00091459i,3.1953e-05-0.00027506i,-0.00038765-0.00010503i,-0.00076645+0.00012048i,-0.0010529+0.0004513i,-0.0010712+0.00018423i,-0.00047181+0.00012931i,-0.00015536-9.4258e-05i,-0.00022077+6.1957e-05i,-0.00058773+0.00073344i,-0.00081758+0.0006427i,-0.00077498+0.00076515i,-0.00061109+0.0012411i,-0.00035734+0.00069756i
