0.0024938-0.0009619i,0.0021441-0.0031291i,-0.00015473-0.003433i,-0.0011371-0.0014071i,-0.0016755+0.00079336i,-0.0019354+0.002092i,-0.00074688+0.0028732i,0.00089589+0.0024093i,0.0014246+0.0012638i,0.0001862+0.00015975i,-0.00033791-0.0012204i,0.00019631-0.0017764i,0.0001745-0.00093473i,-0.0002866+0.0003087i,-0.00052706+0.00068154i,0.00021175+0.00073372i,0.00077092+0.00044001i,0.0010279+0.00030669i,0.0010742+0.00031204i,0.00083245+0.00016474i,0.0010865-0.00048369i,0.00063251-0.0003857i,0.00011266-5.9599e-05i
0.0018679+0.0020274i,0.00076904+0.00044821i,0.00090118+0.00015131i,0.0012955-0.00028389i,0.0008113-0.00087882i,-0.00036542-0.0010314i,-0.00083017-0.00060972i,-0.00033019+4.3565e-05i,-8.1425e-05+0.00040749i,9.015e-05+0.00067435i,0.00023857+0.0007351i,-0.00075643+0.00066801i,-0.0013326+0.00011669i,-0.0014429-0.0010307i,-0.0011695-0.00097839i,-0.0010515-1.3786e-05i,-0.00046275+0.0012665i,0.00016268+0.0012288i,-5.7814e-05+0.00071315i,-0.00046863+0.0011425i,-0.00026791+0.00059975i,0.00037426-0.00026505i,0.00046631-0.00052557i
0.00037424+0.00040024i,0.0010406-0.00041627i,0.00088356+0.00021985i,0.00079315+0.00030871i,0.0017388-0.00027861i,0.0014187-0.00078584i,0.00073908-0.0013037i,0.00012534-0.0016253i,-0.00025238-0.0012933i,2.8704e-05-0.00094484i,0.00010477-0.00044609i,-0.00020432+4.9214e-05i,-0.00024529-0.00022038i,-0.00028212-0.0003336i,-0.0004451+0.00040871i,8.3205e-05+3.7811e-05i,0.00080207-0.00051275i,0.00064041+0.00026905i,0.00059635+0.00062026i,0.00058174-0.0001735i,-0.00013883-0.0010339i,-0.0010528-0.00091548i,-0.0013419+0.00028335i
-0.00014507+0.0022942i,0.00067707+0.0022292i,0.00082249+0.0017316i,0.00080283+6.3358e-05i,0.001098-0.0010949i,5.975e-05-0.00094662i,-0.00096732-0.00051021i,-0.00037767-8.5785e-05i,0.00018741-2.4706e-06i,-4.5603e-05-3.093e-05i,-0.00037026-0.00015758i,-4.6738e-06-0.00047347i,0.00038117-0.00075676i,0.00051802-0.00073405i,-0.00015227-0.00034292i,-0.00098286-0.00035201i,-0.00023621-0.00074576i,0.0002028-0.00075732i,9.0578e-05-0.00045686i,-0.00051424-0.00051812i,-0.000388-0.00035873i,0.0010107-0.00018775i,0.00067515-0.00012959i
-0.0019292+8.8139e-05i,-0.00041571+0.0011043i,0.00099378+0.0022962i,0.0010552+0.0013857i,0.00017109+0.00011592i,0.00056762-0.00087961i,0.00060502-0.001637i,-0.0001926-0.00067848i,-0.00013541+0.00037809i,0.00052837+0.00018084i,0.00026655-6.5477e-05i,-0.00030187-0.00021359i,-0.00010098-0.00070957i,-0.00029772-0.00064286i,0.00010085-0.00073307i,-0.00029621-0.00015067i,-0.0012588+0.00038882i,-0.00056462+0.00083944i,-0.00029567+0.0013778i,-0.00013138+0.00089823i,-0.0003872+0.0008303i,-0.00083857+0.0011131i,-0.00050574+0.00035994i
-0.0013251-0.0023547i,-0.0015998-0.0021261i,-0.0012777-0.00077985i,-0.00072706-0.00048485i,0.00055275-0.0002769i,0.0010187+4.9495e-05i,0.00075887-0.00031558i,0.00078573-0.00064087i,7.7498e-05+0.00023069i,-0.0006122+0.00073667i,-0.000159-0.00027809i,0.00012742-0.00097164i,0.00039288-0.00053986i,0.00064501+0.00037042i,0.00025982+0.00047912i,-0.00018803+0.00057701i,-0.00094007+0.00069547i,-0.0013247-4.6416e-05i,-0.0015119-0.00019822i,-0.0013216+7.2023e-05i,-0.00084168-0.00032799i,-0.0003229-0.00053175i,0.00013364+0.00011174i
0.0024185+1.2054e-05i,0.00081946-0.00077689i,-0.00063649-0.00063345i,-0.00075525-0.00011561i,-0.00013093+7.7561e-05i,0.00012054-0.00070657i,-0.00012499-0.0011913i,-0.00010314-0.001386i,-0.00032366-0.0014261i,-0.00035206-0.00085016i,0.00039573-0.00028832i,0.0005967+0.0010023i,7.0417e-06+0.0011294i,0.0002359+0.00019919i,0.00037968-0.00019339i,6.8014e-05-7.0703e-05i,0.00049644-3.8579e-05i,0.0013702-0.00063099i,0.00083257-0.00020076i,5.7276e-05+0.00058366i,-0.00011833+4.3769e-05i,-0.0003988-0.00042436i,0.00013584+7.4908e-05i
-0.0023901+0.0016317i,-0.0013957+0.0013171i,2.7374e-05+0.0013278i,0.00039468+0.0011583i,0.00045705+0.00065372i,0.0004984+8.5676e-05i,0.00054359-8.6519e-05i,1.3141e-05-3.7143e-05i,0.00027316+0.00024616i,0.00030864+2.9244e-05i,-0.0003369+0.0003037i,-0.00034488+0.00052457i,-0.00047354+0.00012168i,-0.00085846+0.00019561i,-0.001104-0.00032341i,-0.00093778-0.00088146i,-0.000293-0.0010424i,8.2756e-05-0.0012979i,0.00012671-0.00094015i,2.1095e-06-0.001865i,0.00039579-0.0022431i,0.00059311-0.00082832i,7.0275e-05-0.00042019i
0.0010457-0.0018322i,0.0016849-0.0025259i,0.0015381-0.0017862i,0.00071943-0.00043622i,0.00055669-0.00075586i,0.00052585-0.00048749i,-0.00033057+0.00061454i,-0.0012149+0.00027826i,-3.8124e-05-0.00073344i,0.00036195-0.0007546i,-0.00071609-0.00022146i,-0.00028597-0.00095624i,0.00023304-0.0013713i,0.00051592-0.00095258i,0.00089822-0.00069713i,0.00022477-0.00054562i,-0.00029601+0.00047002i,0.00035066+0.00056871i,0.0005165+0.00027517i,0.000346+0.00027326i,0.00012717+1.5213e-05i,0.00020996+2.3575e-05i,0.00025575-7.6859e-05i
-0.0023429+0.00083593i,-0.0023538-7.5079e-05i,-0.0019754-5.5488e-05i,-0.0010849+0.0001918i,-0.00034728-6.8669e-05i,0.00036877-0.0010723i,0.00055229-0.0022557i,0.00050002-0.0018423i,0.0006114-0.00091685i,0.00069021-0.00011557i,0.00081809-0.0001122i,0.00054549-0.0002301i,-3.8989e-05-6.4238e-05i,1.907e-05-0.00045422i,0.00070818-0.0006327i,0.00066192+0.0001774i,0.00053459+0.00035467i,0.00051028-6.3875e-05i,6.4778e-05+0.00035929i,0.00014647+0.00068792i,0.00040455+0.00058574i,-0.00021001+0.00049249i,4.8946e-05+0.00037056i
0.00010233-0.0018916i,-0.00068018-0.001716i,-0.0011639-0.0021565i,-0.0009449-0.00061038i,-0.0012777+0.00050663i,-0.0011651+0.00064096i,-0.00041603-2.8883e-06i,0.00029557-0.001343i,0.00012955-0.00089749i,-5.5863e-06+1.1492e-05i,0.0004604-0.00022424i,0.00063386-0.00018143i,0.00042845+0.00013258i,0.00027891+0.00080742i,9.932e-06+0.0011529i,-0.00019579+0.0011429i,-0.00091334+0.0011809i,-0.0015147+0.00069875i,-0.0010244+0.00021666i,5.6144e-05-0.00021219i,-0.00022105-4.6754e-05i,-0.00080522+0.00027431i,-0.00075082+0.0002693i
0.0013613-0.00029138i,-6.901e-05-0.00095066i,-0.00011203-0.00040714i,-5.4708e-05-7.5877e-05i,-0.00040057+2.5638e-05i,-0.00057373+0.00072573i,-2.2637e-05+0.00097682i,0.0006181+0.00022693i,0.00019023-0.00050624i,-0.00061395-0.00041171i,-0.00049242+0.0001624i,-3.1284e-05-5.2309e-05i,0.00051764-0.0003893i,0.00034599+0.00022508i,-0.00060041+0.00055105i,-0.00017921+0.00035525i,0.00028413+0.0009379i,-0.00016922+0.0013678i,9.038e-05+0.00077636i,0.00060811+0.00037274i,0.00010922+0.00032969i,-0.00025495+0.00029985i,-0.0002822+0.00057713i
-0.0022494+7.5868e-05i,-0.0019598+0.00044603i,-0.0019759+0.00055153i,-0.00096903+0.00035551i,-0.00012348-0.00031556i,-0.00011737-0.0012221i,0.00042192-0.0013598i,0.00063103-0.00099654i,0.00010814-0.00079041i,0.00059242-0.00094159i,0.00082119-0.00093079i,0.00057254-0.0010837i,0.00060827-0.0012364i,0.00021681-0.00095592i,-0.00020983-0.00037578i,0.00040317-2.1228e-05i,0.0005169-0.00032914i,0.00022475-0.00037194i,0.00035605+4.3719e-05i,8.533e-05+0.0003595i,-0.0001556+0.00019004i,8.1372e-05+6.3402e-05i,0.00020992+0.00039082i
-0.002228+0.00094851i,-0.0016615+0.00046908i,-0.00053855+0.0001055i,0.00016336-0.00029275i,0.00020519-0.00053904i,0.00011188-0.00033301i,0.00019113-0.00020491i,0.00035454-0.00014672i,0.00024047-0.0001319i,0.00019342-0.00045101i,0.00054906-9.1809e-05i,-9.1187e-05+2.2983e-05i,-0.00075177-0.00022351i,-0.00036521+0.0003673i,-0.00057793+0.00039686i,-0.00051857+0.00014125i,0.00037125+0.00035236i,0.00059976+6.7492e-05i,-0.00014497+1.368e-05i,-0.00023852+0.00021615i,-3.778e-05-9.1311e-06i,0.00013857-0.00049237i,0.00032242-0.00092226i
0.0007449-0.0012481i,-0.00067503-0.00050907i,-0.0013779-0.00085684i,-0.0005611-0.0011928i,0.00054138-0.00085665i,0.00075344-0.00015628i,9.0072e-05-0.00037454i,-6.1255e-05-0.00081314i,-7.0219e-05-0.00051399i,0.00018599+1.4834e-05i,0.00067005-6.226e-05i,0.00074588-0.00092193i,0.00017467-0.0009416i,-0.00044513+1.0218e-06i,-0.00040437+0.0012219i,-0.00021087+0.0015966i,0.00039201+0.00088818i,0.00046597-0.00017352i,0.00044487-0.00014026i,0.00046751+0.00038013i,0.00025821-0.00021888i,-0.00075175-0.00086093i,-0.0014665-0.0003935i
0.0027594-0.00051023i,0.0011328-0.00042265i,0.00071108-0.0012346i,0.00027654-0.0016778i,-0.0010474-0.0011646i,-0.00095858-0.0010069i,-0.00014303-0.00070991i,0.00024389-0.00077877i,-0.00014482-0.00094044i,-0.00060314-0.0010839i,-6.4266e-05-0.00096571i,0.00016266-7.0821e-06i,0.00058151+0.00047973i,0.00084322+0.00047562i,-0.00015554+0.00041588i,-0.00080585+0.00039117i,-0.00031999+0.0002489i,-6.1616e-05-0.00012262i,5.2347e-05-0.0002117i,0.00044609+0.00012821i,0.00020307-5.0404e-05i,-0.00026736-0.0010978i,5.8442e-05-0.00085398i
-0.0015768+0.00032393i,-0.0016442-0.00015349i,-0.00141+0.00013728i,-0.00037633+0.00059181i,0.00082405-4.0164e-05i,0.0016035-0.001i,0.0011066-0.0013284i,-0.00027035-0.0010496i,0.00029496-0.001146i,0.00098801-0.00071738i,0.00069768+0.00018435i,0.00029246+0.00040387i,0.00026636+0.00047714i,0.00023361+0.00025787i,0.00052217-0.00099501i,0.00064584-0.0012962i,0.00056505+9.4054e-05i,0.00025311+0.00093176i,-0.00015735+0.0010142i,0.00011658+0.00053482i,-1.9211e-05+2.2571e-05i,-0.00049824+5.229e-05i,-0.00022599+8.9987e-05i
-0.00358-0.00075324i,-0.003144+0.00018213i,-0.0014784-0.00014875i,-0.0006763+0.00034086i,-8.8364e-05+0.0013706i,0.00012958+0.00079564i,0.00031422-0.00051674i,0.0002725-0.00074436i,-0.00050032-0.00029058i,-0.00022465-1.8191e-05i,0.00051106+0.00027058i,0.00013056+7.8261e-05i,9.1874e-05-0.00019703i,0.00083507+5.7027e-05i,0.00082754+0.00073018i,0.00010652+0.00061117i,-0.00027517+0.00066634i,-0.0004496+0.0013583i,-0.00054312+0.00054913i,-0.00094717-0.00030159i,-0.0007153-0.00072419i,-8.6949e-05-0.00059869i,-8.0313e-06-0.00046243i
-0.00068796-0.0024598i,-0.00031005-0.0017008i,-0.00082836-0.00053599i,-0.00087606+0.0011047i,-0.0003561+0.00099517i,0.00088533-0.00035555i,0.0011959-0.00094129i,0.00071504-0.0010354i,0.00030002-0.00078678i,0.00017362-0.00020474i,0.00036798+0.00030106i,0.00014896+0.00026746i,-5.7641e-05-6.653e-05i,6.5871e-05-0.00035868i,0.0010242-0.00042976i,0.0012686-0.00012761i,0.00072851+0.00015298i,0.00052466+4.0477e-05i,-9.4685e-05-0.00021355i,-0.00084749-0.00070711i,-0.00044405-0.00084882i,0.00058035-0.00020527i,0.00070357+0.00029538i
0.00065131-0.00042542i,0.00088964-0.0017818i,0.00037006-0.0014749i,0.00049852-0.00088814i,0.00066348-0.00075115i,0.00036679-0.00040654i,0.00073159-7.7368e-05i,0.00076899-0.00042418i,1.4771e-05-0.00065285i,-0.0007292+0.00028494i,-0.0011912+0.00068609i,-0.0014122+0.00036643i,-0.00048766+0.00062365i,0.00010433+0.00098789i,-0.00010233+0.0012265i,-0.00011977+0.00047092i,-0.00034936-9.1788e-05i,-0.00055461-0.00019625i,-0.00020435-0.0009903i,7.0316e-05-0.0007083i,0.00055277-0.00023215i,0.00080978-0.00083599i,0.00043661-0.0011297i
-0.00083456-5.136e-06i,-0.0010315-0.00047092i,-0.00097347-0.00087665i,-0.0010421-0.0015328i,-0.00073948-0.0012807i,0.00050144-0.00056939i,0.00083959-0.00034593i,0.00010239-0.00096228i,-0.00032321-0.00070848i,-0.00021185-0.00015639i,-8.7066e-05+0.00017507i,0.00021784+0.00056542i,5.0219e-05+0.00044531i,-3.2759e-05+0.00017335i,3.4892e-05+0.00022114i,0.00058316+0.00015707i,0.0010373-4.7804e-05i,0.00059944+0.00031066i,0.00016022-0.00012848i,0.00031153-0.00055516i,-8.9495e-05-0.00010624i,-0.00090307+0.00016844i,-0.00053094-8.3164e-05i
-0.0021691-0.00031729i,-0.002236-0.00062405i,-0.0018042+0.00015392i,-0.001178+0.0012235i,-0.00024493+0.0013613i,0.00064375+0.00044586i,0.00053451-0.00040854i,-0.00030079-0.00055272i,-0.0008268-6.2094e-05i,-0.00084241+0.00031023i,0.00033756+0.00064797i,0.0010192+0.00018077i,0.00092982-4.3637e-05i,0.00096915+0.00036251i,0.00087358+0.00083572i,0.00016461+0.00089145i,-7.4981e-05+0.00023205i,8.8123e-05-0.00015894i,5.4672e-05-0.00051116i,0.0003825-0.00058095i,0.00057633+0.00019497i,-4.8211e-05+0.00019909i,-0.00057353+0.00011789i
0.001775-0.0003068i,0.0019673-0.00027645i,0.0020711-0.00087754i,0.00067643-0.00055157i,-3.7871e-05-0.00049153i,-0.00068367-0.00033125i,-0.0013603-0.00019327i,-0.000248-0.00039197i,0.00051138-0.00097997i,0.00056862-0.00052798i,0.00076002+0.00068899i,0.00086112+0.00079972i,0.0004271+0.00058023i,-0.00022453+0.00044995i,-0.0011572+0.00012047i,-0.0009007-0.00089888i,-0.00036099-0.0012326i,0.00019106-0.000285i,0.0010589+0.00066646i,0.00089914+0.00050477i,0.00066368+3.2536e-05i,0.00069744-0.00049079i,0.00022591+0.000116i
-0.00059481-0.0014004i,-0.00077647-0.0019047i,-0.0013569-0.0013036i,-0.0009241-0.00048461i,0.00014838-0.00051272i,0.00069078-0.00016713i,0.0010071+3.0726e-05i,0.00049426-0.00041137i,-0.00024219-0.00050927i,-0.0004533-0.00025762i,-0.00020345+0.00013456i,0.00022551+0.00030304i,0.00057201+0.00053804i,0.00080857+0.00097422i,0.00046121+0.00054408i,2.5515e-05+0.00021513i,-0.00028908+0.00021945i,-0.00017787-0.00015469i,1.2848e-05-0.00011589i,-0.00015971+7.4426e-05i,-0.00031522+9.3973e-05i,-0.00079048-0.00047186i,-0.0011837-0.00073863i
-3.2833e-05-0.0027834i,-0.0010743-0.0033504i,-0.001768-0.0020511i,-0.0012686+0.00025375i,-0.00069734+0.0015501i,0.00013609+0.00153i,0.00069127+0.00046317i,0.00050028+0.00011856i,-0.00027204+0.00042028i,-0.00063829+0.00062675i,-0.00052872+0.00047873i,-0.00074577+4.0261e-05i,-2.1049e-05+0.00021191i,0.00093531+0.00049789i,0.0003555+0.00051386i,5.7806e-05+0.0008216i,6.0527e-05+0.00050493i,-0.00031824-0.00014056i,0.00014688-0.00084118i,0.00075684-0.0014621i,0.00034281-0.00072424i,7.9412e-05+6.6145e-05i,0.00011362+0.00033198i
-0.00020065+0.0031765i,0.00071836+0.0032585i,0.0016821+0.002959i,0.0012822+0.0023243i,0.00033236+0.00090647i,0.00027485-0.00021315i,0.00016115-0.00047446i,-4.5403e-05-0.00078474i,-0.00012998-0.00032291i,0.00055993-8.2859e-05i,0.0010811-1.7278e-05i,0.00062232+0.00031305i,-4.9251e-05-0.00016869i,-0.00047566-0.00031163i,-0.00044266+1.8198e-06i,-0.00024955-0.00054168i,0.00028258-0.00038266i,0.00012818+0.00049559i,0.0005925+0.00018176i,0.00064275-0.00019199i,0.000289-0.00012237i,0.00026529+0.00014185i,0.00022379-0.00038315i
-0.0021787+0.0013813i,-0.00099074+0.0011246i,-0.00028002+0.0016152i,-0.00012965+0.0012009i,-1.2513e-05-0.00038053i,0.00072182-0.00073527i,0.00050472-0.00063747i,7.5406e-05-0.00018449i,0.00063385-0.00010271i,0.00057019-0.00051265i,-0.0013099-0.00024477i,-0.00186-0.00051976i,-0.00086955-0.00047077i,-0.00011025-0.00086689i,-0.00033421-0.0010624i,-0.00048084-0.00069678i,0.00056496-0.00040548i,0.00093579+3.3074e-05i,0.00084648+0.00033456i,0.00044657+7.4699e-05i,-2.621e-05+0.00019307i,0.00015467+0.00020998i,0.0001049-0.00051347i
-0.00024239-9.0496e-05i,0.00047922+8.3932e-05i,0.0015092+1.4573e-05i,0.0009237+0.00030236i,9.1122e-05-9.1925e-05i,-0.00045013-0.0006124i,-6.3441e-05-0.00042454i,0.0013404-0.00060635i,0.00093446-0.00030384i,-7.1842e-05+0.00029752i,4.098e-05-0.00021276i,-0.00042217-0.0010869i,-0.0011634-0.0014989i,-0.00089245-0.0015176i,-0.00082775-0.00082622i,-0.0012509+8.7957e-05i,-0.0010465+0.00059344i,0.00024386+0.00056222i,0.00057096-0.00019993i,-0.000401-0.00012243i,-0.00090601-7.4664e-05i,-0.00014711-0.00016711i,8.8418e-05+0.00030942i
0.000289-0.0014799i,-0.0014829-0.001547i,-0.002772-0.0007225i,-0.0017678+6.0354e-05i,-0.0008703-9.136e-05i,0.00043028-0.00082358i,0.0014677-0.0014011i,0.00076767-0.0019208i,-9.5679e-06-0.0017037i,-0.0001167-0.001114i,-1.8927e-06-0.00091363i,-2.079e-06-0.00135i,0.00025983-0.001366i,0.00072389-0.0011274i,0.00021234-0.00068845i,-0.000141+0.00075111i,0.00024803+0.00077545i,0.00056846+0.00032599i,0.00024457+2.8421e-05i,2.6903e-05-0.00078095i,0.00027261-0.00060349i,0.00049976+2.7048e-05i,0.00051504+0.0005932i
-0.0013787+0.00030509i,-0.00050825+9.5891e-05i,-0.00021295-1.6968e-05i,0.00066811+9.7e-05i,0.0016927-0.00088943i,0.0021409-0.0013003i,0.0011184-0.00067523i,-0.00028181-0.00075272i,-0.00014775-0.001059i,0.0005533-0.00064582i,0.00042116-0.00020781i,-9.7833e-05-0.00029758i,0.00016762-0.00088988i,-0.00013648-0.0007671i,-0.00054454+0.00061284i,0.00063907+0.00094685i,0.0013623-0.00023123i,0.0010447-0.00092464i,3.8641e-05-0.00041069i,-0.00039922+0.00044364i,0.0001182+0.0010039i,0.00021168+0.0010335i,0.00010236+0.00082775i
-0.0011744-0.0017778i,-0.00023304-0.00073549i,-0.00094719+0.00020257i,-0.0014818+0.00052223i,-0.00088959+2.3099e-06i,0.00021075-0.00082154i,0.00098042-0.00075369i,0.00050822-0.00069259i,-8.3168e-05-0.00091926i,-0.00053304-0.00019461i,-0.00038449+2.2455e-05i,0.0002038-0.00018398i,0.00016784+6.2611e-05i,4.112e-06-0.00013782i,-0.00012729+0.000101i,-0.00021882-8.3094e-05i,-9.7766e-05-0.00010433i,0.00074374+0.0001446i,0.0012228-0.00023573i,0.0004353-0.00017923i,-4.169e-05+0.00063001i,-0.00044912+0.00058648i,-0.00059837-0.00019271i
-0.0011696-0.0020948i,-0.0016469-0.0012004i,-0.001707+0.00057392i,-0.0011847+0.0013487i,-0.00068831+0.00057623i,0.00035549-0.00044725i,0.0010099-0.00079357i,0.0009071-5.2005e-05i,0.00055961+0.00028791i,-8.4198e-05-0.00033586i,-0.00028906-0.00026119i,-0.00034471+0.00028506i,-0.00039215+0.00037948i,-0.00026165+7.5426e-05i,-1.7656e-05-0.00048658i,2.078e-05-0.00052661i,-0.00017575-0.00027439i,9.9624e-05-0.00042586i,0.00014538-0.00048144i,-0.00049104-0.00062865i,-0.00035921-9.7891e-05i,-5.213e-05+0.00083845i,-0.00054667+0.001101i
