-0.0015639+0.00013624i,-0.0022153+0.00088475i,-0.0021213+0.0011279i,-0.0015404+0.0012148i,-0.00052472+0.00099716i,0.0010204+0.0010222i,0.0012536+0.0013662i,0.00090724+0.0014815i,0.0015549+0.0014317i,0.0020399+0.0017175i,0.0017389+0.00036161i,0.00076896-0.00066089i,0.00015766-0.0002128i,4.3136e-05+8.7231e-05i,-0.0004588-0.00035122i,1.8285e-05-0.00018542i,0.00030113-2.355e-05i,-0.0002623-0.00060818i,-0.00038527-0.00050194i,-0.00069164+0.00030343i,-0.00092497+0.00023372i,-0.00052902-6.9492e-05i,-0.00016772-7.0737e-06i
0.00039678-0.00031475i,0.0012225-0.0007134i,0.00074329-0.0011204i,0.001088-0.0017818i,0.0013406-0.0008568i,0.0009923+0.00018825i,0.00032256-0.0010641i,-0.0010675-0.0012495i,-0.00095075+0.0001379i,-4.6889e-05+0.00029512i,-0.00026496+0.00051343i,-0.00066248+0.0004475i,-0.00057164+0.00053023i,0.00016994+0.001207i,0.00062847+0.00092228i,0.00032075+0.00053283i,0.00027908+0.00018194i,0.00077757-0.00014813i,0.00071842-0.00047269i,0.000286-0.00048906i,-7.2302e-05+0.00017305i,0.00016988+0.00069188i,9.2339e-05+0.00085719i
-0.0018422+0.0013702i,-0.0012859+0.0018644i,-0.00044634+0.0020539i,0.0001852+0.0019434i,0.00089874+0.00251i,0.0012107+0.0019934i,0.0011072+0.00053458i,5.1508e-05+0.00078288i,-0.00082881+0.0016183i,0.00018198+0.0014448i,0.0012246+0.00057179i,0.0010413+0.00073557i,0.00090339+0.0001648i,0.00096785-0.00060905i,7.4438e-05-0.00024768i,-0.00016033-0.00024447i,0.0001769-0.00021475i,7.1069e-05+0.00010602i,0.00045442-3.9126e-05i,0.00043614+0.00017936i,0.00066484+0.00043114i,0.00075074-0.00019524i,0.00048534-0.00030884i
0.00027176-0.0010627i,0.0014306-0.00063388i,0.0015636-0.00072501i,0.0013103-0.00035845i,0.0011507+0.0010892i,0.0018333+0.0010714i,0.0022191+9.4941e-05i,0.0018946-0.00011253i,0.0015153+7.7675e-05i,0.0010806-2.6714e-05i,0.0014033+0.00031396i,0.0016143+0.0009047i,0.001146+0.0012945i,0.00031667+0.00063938i,-0.00014902-0.00037793i,-0.00017916+0.00019182i,-2.8292e-06+0.00050798i,0.00024762+0.00024673i,0.00080037-0.00033862i,0.00068643-0.00098155i,2.0843e-06-0.001152i,1.0606e-05-0.00078916i,0.00033004+3.4963e-05i
-0.00045939+0.0008938i,-0.0004428+0.0017779i,-2.626e-05+0.0018375i,0.00042469+0.00090002i,0.00073744-0.00028257i,0.00053729-0.0010082i,-0.00021271-0.00057229i,-0.00072711-0.00026258i,-0.00051811-0.0003171i,-0.00028981-0.00023268i,7.883e-05-0.00022032i,9.8381e-05-0.000134i,0.00036313+0.00024289i,0.00082419+0.00036398i,0.00092361+0.00026072i,0.0010402-1.6487e-05i,0.00034912-0.0001426i,-0.00017817-0.00088208i,-9.0487e-06-0.00099127i,0.00023416-0.00050273i,-0.00011588-0.00029729i,-0.00060496-0.00072897i,-0.00015184-0.0015093i
-0.001317-0.0018533i,-0.0023832-0.002077i,-0.0033228-0.0013542i,-0.0019905-0.00028913i,0.00033952+0.00023826i,0.00169-0.00053643i,0.0021797-0.00096307i,0.0010553-1.1162e-05i,-0.0003431+0.00070007i,-4.2602e-05+0.00042321i,0.0010116+0.00061598i,0.0015514+0.0010651i,0.0010406+0.0014934i,0.00025202+0.00090999i,0.00042194+0.0003577i,-0.0002275+0.00028035i,-9.7118e-05+1.7521e-05i,0.00066137+0.00052315i,0.00028541+0.00021768i,-2.0146e-05-0.00020296i,3.2876e-05-9.8891e-05i,0.00016649-0.00041437i,0.00025457-0.00011058i
-0.00088255+0.0016895i,-0.00090693+0.0010904i,-0.00059698+0.0017168i,0.00056181+0.0012382i,0.0015795+0.00016083i,0.001658+0.00026347i,0.00063938+0.00020107i,0.0001126-0.00028495i,0.00064665-0.00015018i,0.0010695+0.00058707i,0.00089944+0.00066923i,0.00074489+2.9143e-05i,0.00029903-0.00024219i,-0.00037029-0.00031503i,-0.00038777-0.00012859i,-0.00016655-4.3355e-05i,0.00041771+0.00016652i,0.0003405+0.00036364i,0.00036808+0.0004899i,0.0004061+3.3922e-05i,0.00035552-0.00057381i,0.00061451-0.000823i,0.00061517-0.00044622i
0.00083679-0.00081877i,0.00051776-0.00081626i,0.0013844-0.00066041i,0.0030617-0.00027089i,0.0035453+9.9374e-05i,0.0026738+0.00074429i,0.0013465+0.00036283i,0.00025763+0.00028628i,0.00066366+0.00092129i,0.0011181+0.00068827i,0.00048962+0.0006453i,-8.5895e-05+0.00023533i,-4.9342e-05-0.00046092i,9.9444e-05-2.1261e-05i,0.00089315+0.00082669i,0.0010522+0.00048474i,0.00013905-0.00022762i,-0.00020717-0.00015758i,0.00023211-0.0002089i,-0.00015999-0.00019408i,-0.00088665-0.00010401i,-0.00066314+0.00021826i,-0.00044857+0.0007784i
-6.9386e-05+0.0016958i,-0.00074178+0.0011014i,8.9517e-06-5.9587e-05i,0.0011424-8.7259e-05i,0.0013691+0.00016511i,0.0014326-0.00012331i,0.00056139-0.00020314i,-0.00042706+1.0564e-05i,-0.00050114+0.00069528i,-0.00030438+0.00011468i,0.00022863-0.00070459i,0.00038976-0.00056828i,-0.00018959+1.1632e-05i,-0.00039748-0.00034076i,0.00010562-0.00034269i,0.00020913+0.00013327i,-0.00020089+0.0003655i,-0.00023603+0.00046959i,-0.0003704+0.00016588i,-0.00060059+0.00012879i,-0.00068261+0.00010301i,-0.00047094-0.00012705i,-0.0002568-0.00012208i
0.0017725-0.00060658i,0.0025258-0.00068073i,0.0020002-0.0019224i,0.00074622-0.0014833i,3.4932e-05-0.00072111i,-0.00028836-0.00087382i,0.00037526-0.00039492i,0.00031072-0.00020019i,0.00029383-0.00021216i,0.00044621-0.00014231i,0.00044269+9.4294e-05i,0.0005578-0.00024504i,0.0010046-7.0727e-05i,0.00090444+1.6866e-05i,0.00021729-0.00059726i,0.00015979-0.00069681i,0.00044238-0.00093645i,0.00015328-0.001703i,0.00072625-0.0010826i,0.00077861+5.5049e-05i,0.00040688+2.6237e-05i,0.00044411+0.00032776i,-0.00039537+0.0003283i
0.0022509+0.00019772i,0.0015373+0.0002595i,0.0009196+0.0002041i,4.1888e-05+0.00017033i,-0.00024767-0.00038185i,0.00076332-0.00020915i,0.0012804+0.0005381i,0.0010561+0.00049933i,0.00079315+0.00012823i,0.00040268+0.00010293i,0.00050331+8.5636e-05i,0.00089889+1.21e-05i,0.00047819-1.682e-05i,-0.00070703-0.00025667i,-0.00091556-0.00020362i,-0.00033213-0.00018471i,-0.00049837-0.00043238i,-0.00041662-0.0001623i,7.0853e-05+0.00019123i,-0.0002695-6.8621e-05i,-0.00028219-0.00066576i,0.00019301-0.00086619i,-0.00019039-0.00047303i
