-0.0024395+0.00087668i,-0.0014717+0.00031765i,-0.0026499+0.00070052i,-0.0025561+0.0010787i,-0.001327+0.0022685i,-0.0009828+0.0026055i,-0.00072899+0.0020181i,0.00015264+0.0018185i,0.00095658+0.0015101i,0.0010061+0.00080015i,0.00059454-0.0004414i,0.00057207-0.0004666i,0.00077362-0.00021256i,0.00081255-0.0003804i,0.00026872+0.00013941i,-0.00014514+2.4002e-05i,-0.00025921-0.0010816i,0.00071984-0.0011045i,0.0007741-0.00050329i,0.00015905-0.00019559i,8.9679e-05-5.3854e-05i,0.00017881+0.00022566i,0.00012796+0.00030069i
-0.0011417-0.00081393i,-0.00066497+0.00021211i,2.1558e-05-0.00023359i,0.00079232-0.00013602i,0.0012959+0.00018519i,0.0014436-0.00010863i,0.00083586-0.00021203i,-0.00012566+0.00019159i,-0.001081+0.00066375i,-0.0011794+0.00023866i,5.4492e-05+8.8817e-05i,0.00025553+1.9197e-05i,0.00042361-0.00016348i,0.00080041+0.0002972i,0.00078311+0.00081913i,0.00095073+0.00054927i,0.00018476-0.00027485i,-0.00010453-6.9662e-05i,-0.00044919+0.00030494i,-3.0976e-05-3.2205e-05i,0.0007539-0.00021881i,0.00042241+0.00018456i,-0.00030337-0.00030852i
0.00048838+0.00087341i,0.00074119-0.00050842i,-6.8653e-05-0.00085103i,-0.00043681-0.0002695i,-0.00061005+0.00038807i,-0.00058162+0.00029772i,-0.00036073+0.00012674i,2.5059e-05+0.00037191i,0.00025559+0.0004348i,0.00027235+0.0001336i,0.0003388-0.00045076i,0.00072059-0.00055472i,0.00068429-1.1169e-05i,0.00020927+0.00055409i,-6.7254e-05+0.00018529i,-0.00038487-0.00077534i,-0.00057582-0.00066136i,-0.00028941-0.00013177i,0.00033485-0.00018599i,0.00068231-0.00061125i,0.00060088-0.00050573i,0.00060686-0.0010651i,0.00032528-0.0010883i
0.0010365-0.00045917i,0.002175-0.00030163i,0.0021122-0.00082508i,0.0012732-0.00065497i,0.00012039+0.00037707i,-0.0012218-0.00024656i,-0.0017153-0.00048929i,-0.0010955+0.00017605i,-0.00038957-0.00041261i,0.00017797-0.0010224i,-0.00041094+5.0741e-05i,-0.0012324+0.00053732i,-0.00067481+0.0006825i,-0.00038284+0.0013133i,-0.0009135+0.0010596i,-0.00017103+3.9884e-05i,0.0002927-0.00053888i,6.506e-05-0.00047488i,-6.1408e-05-0.00046236i,-0.00026347-0.00045692i,0.00011016+0.00030755i,0.00010361+0.00031812i,-0.0003795-3.0449e-05i
-0.001814+0.0010828i,-0.0017904+0.0020262i,-0.00078967+0.0025944i,0.00054004+0.0021503i,0.00026681+0.0017419i,-0.00098791+0.00059451i,-0.0010087-0.00058955i,-0.00058357-0.00028699i,-0.00016721+0.00058014i,0.00033605+0.00091637i,0.00029489+0.00063496i,0.00047113+0.00035795i,0.00042824+3.1643e-05i,0.00033487-0.00070711i,0.00038147-0.00049644i,-2.1917e-05-0.00039195i,0.00039457-0.00090344i,0.0008136-0.0004806i,0.00092648+0.00052953i,0.00089071+0.00096736i,0.00021238+0.0004066i,-3.5872e-05+0.00027538i,-0.00062164+0.00018156i
0.0012353-0.00072174i,0.00066778-0.00072075i,0.00049509-0.00089843i,0.00064734-0.00086106i,0.00044831+0.0001256i,-8.3527e-05-0.00024i,-0.00055653-0.00072453i,-0.00078728-0.00050056i,-1.6292e-05+6.2521e-05i,0.00042972+0.00037177i,0.0005688-0.00010202i,0.00032857-0.00022199i,0.00017504+0.00049606i,-0.00018658+0.0013083i,-0.00031346+0.0011351i,-0.000172+0.00056298i,-0.00088406+8.5741e-05i,-0.00067559-0.00028428i,-0.00036558-0.00057887i,-0.0017152-0.00079386i,-0.0020047-0.00082973i,-0.00055039-0.00027192i,9.7171e-05+0.00020053i
0.001246-0.0021855i,0.00064879-0.0012345i,-0.00085104-0.00094766i,-0.0017679-0.00026092i,-0.0018674+0.00096043i,-0.0013604+0.00095947i,-0.00043433-0.00027959i,0.00055472-0.00043722i,0.00048071-0.0001065i,-0.00063718-0.00032997i,-0.0010304-0.00024798i,-0.00011055-0.00016078i,0.00057665+0.00024351i,0.00093594+0.00095423i,0.00040032+0.0014338i,-0.00051652+0.0010174i,-0.00050973+0.000672i,-1.4216e-05-0.00044782i,0.00027695-0.0011919i,0.00031695-0.0005359i,0.00034501+0.00019064i,-7.2342e-05+0.0004402i,-0.00046084+0.00051833i
0.0014155+0.00075163i,0.0016898+0.00077347i,0.0018641-0.00074918i,0.0011275-0.0015986i,-0.00029755-0.0012016i,-0.0012523-0.00076592i,-0.0013589-0.00066165i,-0.00082721-0.00082748i,-0.00063603-2.4495e-05i,-0.00041394+0.00023421i,0.00020664-0.00012312i,0.00033282+0.00017854i,1.2791e-05+0.00062328i,-3.8766e-06+0.00076984i,-0.00040756-0.00025829i,-0.00057698-0.00071552i,-0.00041385-0.00034891i,-0.00026963-0.0004518i,0.00037601-0.00051151i,0.00017156+3.2214e-05i,0.00028323+0.00054192i,0.00019211-7.237e-05i,-0.00062429-0.00047365i
0.0011863-0.00058284i,0.00076796-0.00098698i,0.0017756-0.00015077i,0.001214+0.0014894i,0.0005531+0.0020966i,0.00037296+0.0018541i,-0.00065021+0.0012025i,-0.00058385+0.00025149i,-0.0001266-8.0549e-05i,-0.0007243+0.00097529i,-0.00099532+0.0016701i,-0.00025424+0.0010193i,-0.00038693+0.0002885i,-0.00021562-0.00061768i,7.7781e-05-0.00042433i,2.8303e-06-0.00039165i,3.437e-05-0.00040367i,0.00049629-0.00048727i,0.00081888-0.00080146i,0.00054618-0.00038157i,8.7151e-05-3.8873e-05i,-5.2968e-05-0.00033649i,0.0001896-0.00047077i
-0.00051697-3.0602e-05i,-0.00185+0.00018718i,-0.00092117+0.0016839i,-0.00034255+0.0020812i,-0.00078978+0.00096853i,-0.00069069+7.9787e-05i,-0.00073312-0.00023447i,-0.00063348-0.0001543i,-0.00065447+0.00027697i,0.00011252+0.00019884i,0.00091676+0.00017194i,0.0004253+0.0006786i,-0.00039987+0.00026269i,-0.00036656-0.00030497i,9.3177e-05-0.00026527i,0.00010898-0.00034406i,0.00019023-0.000503i,0.00053198-0.00055092i,0.00078963-0.00062142i,0.0010219-7.5159e-05i,0.00042497+0.00074585i,-8.0514e-05+0.00094248i,-0.00027602+0.00045463i
0.001184+0.00030464i,0.0010865-0.00086384i,0.00099466-0.001326i,0.0011714-0.0011333i,0.00075272-0.000746i,0.00044905-0.00048452i,-0.00042953-0.00064018i,-0.00076258-0.0005685i,-0.00025581-0.00048936i,-0.00012735-0.00018374i,-0.00029213+0.0001954i,-0.00015307+0.00039372i,0.00015678+0.00028892i,-0.00027155-7.7266e-05i,-0.0002062-0.00047708i,-0.00039178-0.00027109i,-0.00073776+8.7133e-05i,-0.00092333+0.00026808i,-0.00042045-7.8691e-05i,0.00029516-0.00046258i,-8.0418e-05-0.00058185i,-0.00025116-0.00022425i,0.00031752-4.4158e-06i
