-0.0056356+0.00063609i,-0.0031581+0.0016856i,-0.0032969+0.0025816i,-0.002563+0.0038595i,-0.00093809+0.0048871i,-0.00015296+0.0033342i,-0.0003483+0.0014617i,-0.00055687+0.00067862i,0.00014993+0.00035394i,0.0015549+0.00037384i,0.0018051+0.00053598i,0.0016213-0.00040227i,0.0011582-0.0017346i,0.00018155-0.0023405i,-0.00024009-0.0009582i,-0.00028018+0.00075329i,-0.0003397+0.0011191i,2.5824e-05+0.00065425i,0.0004496+7.4758e-05i,0.00054146+4.8407e-06i,0.00076027-1.0651e-05i,0.0002853+0.00026953i,-0.00018666+0.0003868i
0.0011207-0.0008141i,0.001024+4.4969e-05i,0.00046348-1.6882e-06i,-0.0014432-0.00046493i,-0.0023295-0.0011327i,-0.00079427-0.00015774i,-0.00044037+0.00057187i,-0.00023709-2.6804e-05i,0.00039492-0.00081042i,-1.9251e-05-0.00088611i,-0.00059344+0.00011421i,-0.00074013+0.00077313i,-0.00034211+0.001286i,0.00035965+0.00059092i,0.00030448-0.00024506i,0.00016239+0.00010075i,0.00041372+0.00017688i,0.000364+0.00021972i,-0.00069848+0.00045205i,-0.00040684+0.00017179i,0.00022687+5.3707e-05i,0.00058976-0.00025323i,0.00036631-0.00077445i
-0.00016859+0.00014311i,-0.00087637+0.00027301i,-0.0010372-0.00041518i,-0.0013032-0.00089763i,-0.0015032-0.00070465i,-0.0010412-9.9795e-05i,-0.00023026+0.00047519i,-0.00023928+0.00019202i,-0.00056382-0.00035252i,-0.00059963-0.001103i,-0.00029064-0.0013149i,0.00011177-0.00053042i,0.00044479-1.9699e-05i,0.00074955+5.3997e-05i,0.00088049+0.00014513i,0.00017116+2.3903e-05i,-0.00043158-0.00064858i,-0.00023716-0.00066713i,0.00026145-0.0001704i,-0.00010337-0.00075338i,-0.00063988-0.0014874i,-0.00056278-0.00087387i,-0.0005022-0.00026107i
0.0006383+0.00058213i,-0.0006848+0.00054257i,-0.000632+0.00054623i,-0.00058837+0.00057933i,-0.0010047-4.205e-05i,-0.00064903-0.00059816i,-0.00052374-0.0010892i,-0.00046634-0.0014007i,4.7189e-05-0.00057838i,0.00018707-0.00015039i,-0.00069521-0.0007877i,-0.00078896-0.00069023i,-0.00055193+0.00020252i,-0.00078397+0.00052801i,-0.00066062-0.00031941i,-0.00053015-0.00036281i,-0.00083948-0.00015892i,-0.00045568-0.0010001i,-6.9655e-05-0.0019123i,-0.0005017-0.0016297i,-0.00025885-0.00051903i,0.00042598-6.1445e-05i,0.00066636-0.00011724i
-0.00017669+0.00050236i,-0.00021969+0.00082072i,0.00085007+0.0015899i,0.0014371+0.00096807i,0.00096239-0.00025238i,0.00010844-0.00054081i,3.917e-05+0.00033562i,-0.00018013+0.00084548i,-0.00028778+0.00029937i,0.00035134-3.8278e-05i,0.00033317-0.00045922i,-0.00015659-0.00084745i,-0.00031709-0.00086278i,-0.00012382-0.00055274i,0.00017479-0.00027402i,-0.00031354-0.00068756i,-0.0012879-0.00049162i,-0.0011232-0.00041818i,-0.0007007-0.00093618i,-0.00061094-0.00057987i,-0.00026666-0.0003081i,6.3815e-05-0.00081362i,0.00045932-0.00056706i
0.0013117+0.0018525i,0.00083628-0.0003675i,0.0010003-0.00204i,0.00076769-0.0027313i,-0.00035956-0.0029929i,-0.0013372-0.0023352i,-0.0011729-0.0011975i,-0.00052161-0.00075679i,-7.0511e-05-0.0010412i,0.00034837-0.0013799i,0.00017926-0.0011007i,-0.00025454-0.00045531i,1.3905e-06+0.00065447i,-0.00016689+0.0011292i,-0.00053228+0.00036048i,-0.000498-0.00081224i,-0.00019258-0.00054354i,0.0004177-0.00036373i,0.00066888-0.00036629i,0.00067719-0.00014626i,0.00095379-2.1854e-05i,0.00067955+0.00039182i,0.00026965+0.00063404i
-0.00013845+0.0002093i,0.00025578-0.00025168i,-2.2767e-05-0.00068371i,-0.00064635-0.00074996i,-0.00065156-2.0689e-05i,-0.00060264+0.00081892i,-0.0011955+0.0008171i,-0.00039696+0.00035994i,0.00041614+0.0001869i,0.0006072-0.00041608i,0.00015989-0.00055122i,-0.00016532-0.000278i,-0.00011113-0.00054444i,-0.00032992-0.00080043i,0.00012852-0.00019071i,-8.835e-05+0.00024913i,-0.0004278+3.0375e-05i,0.00032715+0.00016621i,0.0014531+0.00019956i,0.0015511+0.00019147i,0.0010611+0.00040831i,0.00039698+0.00031699i,0.00027498+0.00025872i
-0.0018208-0.0012803i,-0.0017089-0.0011926i,-0.00066441-0.00067115i,0.00015763+0.00065036i,-0.00057247+0.0011272i,-0.00061739+0.00057229i,-0.00016358-0.00010688i,-0.00049806-0.00030318i,-3.3433e-05-0.00043103i,-0.00010226-0.00049561i,-2.5601e-05-0.0003685i,-0.00011411+0.00044701i,-0.00056504+0.00076355i,-0.00042612+0.00056508i,0.00021992+0.00037309i,-4.2826e-05+0.00020843i,-0.00060048-0.00011942i,-0.00046953+9.2639e-05i,-0.00021914+0.00024874i,0.00020516+0.00061735i,0.00022144+0.00052968i,9.9553e-05-0.00030515i,0.00046392-0.00029743i
0.0010376+0.0010491i,0.00081631+0.00016233i,-0.00041785-0.0003041i,-0.0017015-0.00043412i,-0.00080172+1.3094e-05i,-8.9764e-05+0.00071834i,-0.00088705+0.00051005i,-0.001056+0.00095519i,-0.00040537+0.0010948i,0.00019993+0.0001912i,-0.0001317+7.6374e-05i,-0.00036362-3.3334e-05i,-4.8224e-05-0.00012353i,-0.00040352+0.00014585i,-0.00076067-0.00026299i,-0.00078898-0.00079773i,-0.00043689-0.00067379i,0.00017225+6.5016e-05i,-0.00011229+0.00014843i,-0.0003002-0.00019571i,-9.6329e-06-0.00041294i,0.00031536+0.00047513i,0.00039399+0.0011363i
0.0012688-0.00044618i,0.00047473-0.00052293i,0.00049251-0.0017693i,-0.00066692-0.0023813i,-0.0018793-0.0016959i,-0.0017347-0.00045966i,-0.0011119+0.00092431i,-0.00067448+0.00029783i,-0.00030833-0.0010911i,-0.00028866-0.00084961i,-0.00026066-0.00020956i,0.00033644+0.00027642i,-0.00027996-1.3762e-05i,-0.0006319-0.0008788i,0.00020782-0.000654i,0.00096446+7.2024e-05i,0.00098605-0.00016031i,0.0007725-0.00020693i,0.00063667+0.00034987i,0.00041602+0.00015708i,0.00057264-4.8923e-05i,0.00034947+0.00011315i,-0.00023451-0.00070712i
-0.0019093-0.0016094i,-0.0020575-0.0018278i,-0.002205-0.00095413i,-0.0020868+7.0875e-05i,-0.0012867+0.00066849i,0.00032669+0.0011027i,0.00071443+0.00078026i,0.0003047+0.00021573i,-0.00017384-0.00035826i,-0.0010005-0.00047148i,-0.00045087-0.00020092i,0.00056133+0.00057584i,0.00029299+0.00021363i,0.00011559-0.00045247i,0.00047074-0.00016059i,0.00034157-1.8549e-06i,-0.00033162+0.00015748i,-0.0010551+0.00027956i,-0.0010855+0.00032199i,-0.0002915+0.0002327i,-2.625e-05+0.00015002i,-0.00062595+0.0005715i,-0.00043061+0.00034661i
