-0.0056356+0.00063609i,-0.0031581+0.0016856i,-0.0032969+0.0025816i,-0.002563+0.0038595i,-0.00093809+0.0048871i,-0.00015296+0.0033342i,-0.0003483+0.0014617i,-0.00055687+0.00067862i,0.00014993+0.00035394i,0.0015549+0.00037384i,0.0018051+0.00053598i,0.0016213-0.00040227i,0.0011582-0.0017346i,0.00018155-0.0023405i,-0.00024009-0.0009582i,-0.00028018+0.00075329i,-0.0003397+0.0011191i,2.5824e-05+0.00065425i,0.0004496+7.4758e-05i,0.00054146+4.8407e-06i,0.00076027-1.0651e-05i,0.0002853+0.00026953i,-0.00018666+0.0003868i
-0.00058777-0.00034325i,-0.0012345+9.6205e-05i,-0.0018406+0.00077212i,-0.0015268+0.0011436i,-0.001248+0.0008459i,-9.9343e-05-9.28e-05i,0.0010308+0.00011573i,0.0011436+0.00073603i,0.0012278+0.00066657i,0.0010386-0.00012028i,0.00057467-0.00046462i,0.00018252-5.5982e-05i,0.0002317-0.00035405i,-7.6251e-05-0.00035704i,-0.00056378-0.00034354i,-0.00023577-0.00079903i,-0.00024587-0.00083641i,-0.001106-0.00052494i,-0.00067574-0.00013058i,-6.1855e-05-0.00011718i,4.951e-05-0.00065978i,0.00044152-0.00024089i,0.00050389+0.00036593i
0.00057166-0.0019498i,0.00052574-0.0021477i,0.00024513-0.0024242i,-0.00099796-0.0027403i,-0.00072761-0.0016176i,0.00044459-0.00066217i,0.00051065-0.00027124i,0.00062584-0.00039077i,0.000791-0.00098316i,0.00043939-0.0013682i,0.00023104-0.0015712i,0.00038652-0.00070402i,0.00025305+0.00032961i,-0.00094374+0.00065696i,-0.0011275+0.00039044i,-8.6329e-06-5.7724e-05i,0.0004818+0.00020429i,0.00069801-0.00010949i,0.00052939-0.00064531i,-0.00052113-3.8085e-05i,-0.00075248+0.00061544i,0.00017842+0.00076819i,-7.2677e-05+0.00073159i
0.00010472-0.00082865i,0.00031529-0.0008078i,-0.0002347+5.4101e-05i,-0.00047529+0.00071359i,-0.0007657+0.00031505i,-0.00064328-3.071e-05i,-0.00019966-0.00088591i,-0.00064153-0.0011259i,-0.00085343-0.00074509i,-0.00010465-0.00046257i,0.0002687+0.00063633i,0.00054104+0.0008261i,0.00097415+0.0001776i,0.0010604+0.00010173i,0.00074446+0.00016786i,-1.4151e-05-7.3991e-05i,-0.00026632-0.00018043i,0.00051965-0.0006014i,0.00093473-0.00038421i,0.00012724+0.00036807i,-0.00050027+0.00027962i,-0.00056395-7.8848e-05i,-0.00017704-6.7414e-05i
-0.0015855-4.8619e-05i,-0.0014856+0.00058804i,-0.0020635+0.00086206i,-0.0020209+0.0011749i,-0.0012635+0.0017522i,-0.0008264+0.0010423i,-0.00091497+0.0010259i,-0.0010099+0.00072521i,-0.000825-0.00018307i,-0.00021597+0.00061379i,-0.00036034+0.0010736i,-0.00068689+0.00031523i,-0.00011634-0.00029498i,0.00045776-0.00013098i,0.00060382+0.00044615i,0.00034208+0.0011611i,-2.6875e-05+0.00091298i,9.3923e-05+7.2597e-05i,0.00021355+0.00025578i,0.00027445+0.00046831i,0.00081949+0.00087823i,0.00081133+0.0010286i,-0.00011269+0.00071435i
-0.0019681-0.001221i,-0.0011961+0.00010871i,-0.0006528+0.00096135i,-3.2238e-05+0.00097529i,0.0009376+0.0015628i,0.001344+0.001727i,0.00075895+0.00082128i,0.00042991+0.00063342i,-1.383e-05+0.0014195i,-0.00020098+0.0014095i,-3.8471e-05+0.00090932i,-2.8518e-05+0.0002791i,0.00074355-0.00036067i,0.00041611+3.8755e-05i,-0.00063074+0.00056777i,-0.00050433+8.0532e-06i,-0.00039792-0.00061976i,-0.00029381-0.00033769i,-0.00010136-0.00017457i,0.00017763-0.00051444i,0.001054-0.00034302i,0.0014458-0.00035916i,0.00058894-0.00026726i
-0.0033073+0.00063133i,-0.00060698+0.0016604i,0.00057822+0.0031017i,0.00098956+0.0029492i,0.0011831+0.0016465i,0.0011977+0.00123i,0.001465+5.3414e-05i,0.0015808-0.00070724i,0.0013108-0.00010742i,0.0015484+0.00060139i,0.0013746+0.00069605i,0.00041604+0.00075545i,-0.00025433+0.00013518i,-0.0011134-0.00037332i,-0.0010171-0.00028887i,-0.00058292-0.00020532i,-0.00090298-3.5517e-05i,-0.0010722-0.00023992i,-0.00032415-0.00013489i,0.00011953-0.00025724i,0.00042601-0.00090504i,0.00053625-0.00063148i,-0.00036731-0.00022688i
-0.0005113+0.0014281i,-0.0010107+0.0010469i,-0.00058405+0.0012233i,0.00031654+0.00033974i,0.0003833-0.0014948i,-5.4212e-05-0.0015931i,-0.00053407-0.0010504i,0.0002196-0.00064316i,0.001132+3.4309e-06i,0.001109-0.00033251i,0.00047146-0.001105i,0.00033421-0.0013217i,0.00050077-0.00083471i,-0.00029918+0.00020922i,-0.00048201+0.00024668i,-0.00026797-0.00017804i,-0.0003429-0.00035084i,-4.1485e-05-0.00067579i,8.4188e-05-0.00040358i,0.00024975-9.6415e-05i,0.00027875+0.00010478i,-0.00025459-0.00051593i,-3.3738e-05-0.0017629i
-0.00031475+0.00088532i,-0.00097459-9.91e-05i,-0.0020629-0.00022436i,-0.0018958-0.00049873i,-0.00088298+0.00030587i,0.00014186+0.0010584i,0.00011556+0.0003051i,-0.0003021-0.00051585i,-0.00020803-0.00076646i,-0.00019984-0.00070486i,-0.00012913-0.00046914i,-0.00019996-0.00041343i,0.00020834-0.0002273i,0.00031697-0.00042224i,0.00067946-0.00098743i,0.00060681-0.00079108i,0.00054242-0.00034778i,0.00043846-2.5387e-05i,-0.00011135-0.00081974i,-0.00022671-0.00066757i,-0.00047554+0.00073235i,-0.00053871+0.0010213i,-0.00035409+0.00061945i
0.00026185+0.00099273i,0.0007421+0.0010672i,0.0012843+0.00015501i,0.00125-0.0011866i,0.00087816-0.0012149i,0.00038689+3.8224e-05i,7.053e-05+0.00063948i,-0.00014916+1.1117e-05i,0.00015135-0.00047085i,0.00037739-0.00085367i,8.4598e-05-0.00013908i,0.00011252+0.00068558i,1.1759e-05+0.0013927i,0.00010554+0.0013415i,0.0003287+0.00019207i,-7.6212e-05-0.00088547i,-0.00019349-0.00066701i,-0.0003628+0.00044651i,-5.7743e-05+0.00054127i,0.00049612+2.5059e-05i,0.00014382+0.00011582i,-1.6447e-05+0.00054088i,0.00089233+0.00042248i
-0.0010633+0.0017571i,0.00054463+0.0018778i,0.0019662+0.0027573i,0.0026805+0.0020125i,0.0021613+0.00032767i,0.0012224-0.00070799i,0.00052634-0.00072063i,-0.00015106+0.00063988i,0.00037113+0.0015021i,0.0013306+0.00075157i,0.00093376-0.00047238i,0.00045649-0.00085446i,0.00027757-0.00087484i,7.1083e-05-0.00067167i,-8.5898e-05-0.00012034i,0.00032419+0.00055122i,0.001193+0.00088578i,0.00084362+0.00042795i,0.00015708-2.9808e-05i,0.00082766-2.0977e-05i,0.0012469+0.00078248i,0.00051722+0.0010059i,-8.0728e-05+0.00021683i
3.9359e-05+0.0012736i,-0.00045169+0.001747i,0.00048134+0.00065376i,0.0016805-0.00065493i,0.0013982-0.00032275i,0.0006087+7.4621e-05i,9.8871e-05+4.0442e-05i,0.00050133+0.00040874i,0.00097476+0.00031292i,0.0013232+0.0001478i,0.0010681+0.0004562i,0.0006471+0.00045087i,0.00047278+0.00039558i,-0.00023607-2.164e-06i,-0.00067421-0.00012021i,-0.00083278-0.00017253i,-0.00076792-0.00037405i,-0.0005842+0.00063438i,8.7023e-05+0.0010907i,0.00042892+0.00032819i,0.00022163+0.00017687i,0.00041934+0.00052308i,-0.0002323+0.00048598i
-0.00010792-0.0010737i,-0.00073833-0.002151i,-0.0013978-0.0018933i,-0.001614-0.00020738i,-0.0021748+0.00034901i,-0.0014943-0.00028496i,-0.00031884-0.00075223i,0.00036648-0.00047642i,0.00068647-0.00071434i,0.00049433-0.00039423i,0.00036278+0.00015552i,0.00037145-0.00019918i,0.00065962-0.0003251i,0.00098656-9.4523e-05i,0.00042501-0.00017932i,-9.5058e-05-3.1701e-05i,-0.00014488-0.00062133i,2.1571e-05-0.0010259i,0.0001402-0.00081266i,0.00041227-0.0005061i,0.00030063+0.00017944i,-0.00017497+0.00042967i,0.00012515+0.00031313i
-0.00017492+1.5134e-05i,-0.00032051+0.00048954i,-0.0016309+0.00063766i,-0.0013662+0.00083314i,-0.00077371+0.00147i,-0.00058346+0.0013118i,0.0001616+0.00031904i,0.00035462-0.00070836i,0.00082657-0.0010559i,0.00050425-0.00085329i,-0.00040392-0.00011173i,-0.00022741+0.00043208i,5.4255e-05-0.00030422i,-5.2439e-05-0.00092334i,8.0707e-05+0.00016629i,-0.0002302+0.00014573i,-0.00071493-0.00051715i,-0.00058604-0.00020031i,6.6644e-05-0.00030541i,-0.00011338-0.00029774i,-0.00047377-0.00037085i,-4.9153e-05-0.00046905i,0.00056379-0.00056504i
0.00084118+0.0012169i,-0.00023612+0.00036369i,-0.00095305-0.001279i,0.00012423-0.0021554i,0.00071418-0.0015505i,-0.00029484-0.0014703i,-0.00037318-0.0016878i,-0.00035649-0.00068358i,-0.00018095+0.00046981i,0.00042408+0.00041242i,0.00042045-1.4438e-05i,0.00023479-0.00014366i,-0.00021954-0.00041681i,-0.00062775-0.0013185i,-0.00061271-0.0011379i,-0.00053318-0.00043391i,-0.0004652-0.00048841i,-0.00049809-0.00066673i,-0.00099523-0.00069219i,-0.00071735-0.00079261i,-0.0007102-0.00045072i,-0.001328-0.00037791i,-0.0006344-0.0014829i
8.6116e-05-0.00013255i,-0.00063216-0.0004525i,-0.00068401+0.00026356i,0.00040388+0.0003936i,0.00048167+0.00017467i,-0.00054725-0.00099891i,-0.0012619-0.0010264i,-0.00091201-0.00022925i,0.00049543+7.2958e-05i,0.00045225+0.00043732i,0.00031003+0.0004531i,0.00011921+0.00039336i,-0.00066051-5.5632e-05i,-0.00065615-0.00026955i,-0.00074804+1.5463e-05i,-0.0013623+0.00026189i,-0.0015911+0.00087188i,-0.0011431+0.0015625i,-0.00066457+0.0012171i,1.8957e-05+0.00024891i,0.00068663-0.0002461i,0.00037492-0.0002176i,3.3364e-05+6.8845e-06i
0.0031818-0.00032347i,0.0025917-0.0015005i,0.0019531-0.0023718i,0.00080434-0.002578i,-0.0005107-0.0020532i,-0.0018442-0.00099299i,-0.0014046-0.00085898i,0.00014904-0.00083478i,0.00068264+3.8737e-05i,0.00012337+0.00017261i,0.00028151-0.00041538i,0.00016195-0.00037001i,-0.00023738-0.00012025i,1.5761e-05+0.00027481i,0.0015683+0.00048169i,0.0018925+0.0006218i,0.00068978+0.00071462i,0.00019485+0.00077433i,-9.1222e-05+0.00018377i,0.00031238-0.00080634i,0.00086978-0.00057834i,0.00086689+4.1978e-06i,0.00072453-0.00037814i
-0.0007181+0.0013436i,-0.00088669+0.00013633i,-0.00036524-0.0010058i,-0.00013245-0.00073247i,-0.00058804-0.00091267i,-0.00075045-0.00149i,0.00011807-0.00076623i,0.00072529-0.00034411i,0.00041552-0.0013159i,0.00056779-0.0015933i,0.0003183-0.00071355i,-9.3027e-05-0.00037687i,0.00058415-0.00013725i,0.0013221+2.2576e-05i,0.00091745-1.7377e-05i,0.00087246-0.00016867i,0.00072743+0.00019327i,4.097e-07-4.0483e-06i,-3.58e-05-0.00059034i,-7.0615e-05+0.00016186i,-0.00011994+0.00046426i,0.00028365+0.0004344i,0.00022064+0.00072253i
0.0012639-0.0014002i,2.9134e-05-0.0018212i,-0.00080511-0.0020388i,-0.0010955-0.0019284i,-0.0018756-0.0016568i,-0.0018649-0.0013684i,-0.00050696-0.0013557i,0.00057297-0.0010375i,0.00035447-0.00079122i,0.0001925-0.00063017i,0.00017413-0.00025896i,-0.00027585-3.5508e-05i,-3.3241e-05+0.00028434i,-8.6546e-05+0.00068776i,-0.00059355+5.5652e-05i,-0.00024034-0.00082683i,0.00082332-0.0012669i,0.001095-0.0010112i,0.001208-0.00045461i,0.0011817-0.00097007i,0.00062938-0.0010888i,0.00017359-0.00020194i,3.6757e-05+0.00046912i
-0.00049461-0.00040491i,0.00011813-0.0011127i,0.00062408-0.0011781i,1.1929e-05-0.00071817i,-0.00041193-0.0002i,-0.00027238-0.00053696i,-0.00045205-0.00060768i,-0.00081079-7.1784e-05i,-0.00039312+0.00061525i,-5.0085e-05+0.0003559i,0.00016993-0.00046471i,0.00013638-0.00019044i,-0.00042749+0.00047458i,-0.00015635+0.00050684i,-0.00057632-0.00021793i,-0.00062112-0.00019188i,-4.3346e-05+0.00080134i,-0.00047705+0.00064657i,-0.00036209-0.00030253i,-0.00028871-0.00021091i,-2.8781e-05+7.736e-05i,-1.3354e-05+2.7775e-05i,-0.00046003-0.00015735i
-0.00085613-1.0469e-05i,-0.00081654-3.8214e-05i,-0.00053265+0.00041324i,-9.9145e-05-0.00049082i,-0.00022028-0.00018934i,-0.00074098+0.0016213i,-0.0012409+0.0015918i,-0.00082433+0.00065361i,-0.00042146+0.00041925i,2.7942e-05+0.00048938i,0.00017977+3.6852e-05i,8.2553e-05+9.7158e-05i,-0.0003958+0.00072886i,-0.00030524+0.00082684i,-0.00073428+0.00015167i,-0.00064002-0.00089599i,-7.8957e-05-0.00046216i,-0.00022188+0.00019953i,0.00015308+0.00053134i,0.00034207+0.00027431i,0.00020733+0.00056751i,0.00022329+0.00089621i,0.00073558+0.00012689i
0.0027828+0.0005505i,0.0023975-0.0006835i,0.0015831-0.0022048i,0.0011472-0.0019967i,-0.00051773-0.0017413i,-0.0021237-0.0016101i,-0.0019167-0.0007777i,5.0873e-05-0.00017483i,0.0015865+0.00024765i,0.0014884+0.00015879i,0.00037729+0.0004571i,4.0012e-05+0.00066372i,0.0004454+0.00014998i,0.000391+0.00043984i,0.00049151+0.00095925i,0.00095772+0.0010007i,0.001097+0.0013648i,0.00092133+0.00047736i,0.00013201-0.00049714i,-0.00017546-0.00017532i,0.0002277-0.00059177i,-0.00025026-0.00090619i,-0.0010637-6.8807e-05i
0.0017176+0.0003998i,0.00044575-0.00026843i,-5.7357e-05-0.0015849i,-0.00033978-0.0036362i,-0.00085816-0.0042985i,-0.00078657-0.0025299i,-0.00033637-0.00098008i,0.00030675-0.00081224i,0.0011136-0.0009664i,0.0011402-0.0011327i,0.00053363-0.00057271i,3.2209e-05-0.00038864i,-0.00042216-2.085e-05i,-0.00082032+0.00047823i,-8.4282e-05-0.00018148i,0.0011501-0.00035682i,0.0012116+0.0001988i,0.00054168+0.00083519i,0.00044983+0.00043766i,0.00049913-0.00031602i,-0.00018745-0.00097672i,-0.0007045-0.0009345i,-0.00042193+3.7843e-06i
0.0019941-0.0012034i,0.0015042-0.0018005i,0.0010015-0.002675i,0.00054876-0.0022672i,-0.00018227-0.0021161i,-0.00058761-0.0014913i,-0.00057545-0.00048209i,-0.00027647+3.2988e-05i,0.00011776-0.00055468i,1.0949e-05-0.00098322i,0.00020373-0.00077369i,0.00069368-0.00059028i,0.00099488-0.00038948i,0.00058482-2.1952e-05i,0.00020708+0.00033951i,0.0007071+0.00076949i,0.0010808+0.00032574i,0.0010046-0.00081034i,0.00037862-0.00097922i,-0.0002327-0.00081362i,0.00027743-0.00059588i,-7.4645e-05-0.00010277i,-0.0002814+0.00019542i
0.0014806-7.8758e-05i,0.0016783-0.00056558i,0.00094172-0.0011391i,0.00020137-0.00052389i,-0.0011276+0.00059271i,-0.0026069+0.00073249i,-0.0021832+0.00082654i,-0.0011171+0.00027798i,0.00030775-0.00074615i,0.00033477-0.0011066i,-0.00043525-0.00093022i,-3.7634e-06-0.00065975i,0.00032507-0.00016294i,0.0003967+0.00095242i,0.00057824+0.002311i,0.00042814+0.0019727i,-2.7289e-05+0.00035107i,-3.7231e-05-0.00049994i,-0.00021192-0.00042674i,0.00010191-0.00012819i,0.00080024+0.00018875i,-6.8351e-05+0.00042067i,-0.00080794-0.00011228i
-0.00045721-0.0010092i,-0.00097356-0.0012279i,-0.00066979-0.0015488i,-0.00013898-0.0021452i,-5.701e-05-0.0021878i,-0.00068247-0.0013514i,-0.00097131-0.00064453i,-0.00052284-0.00045946i,-0.00035862-0.00036289i,-1.388e-05-0.00017235i,0.00073471+0.00034054i,0.00091304+0.00073895i,0.00052601+0.00090733i,0.00057374+0.0002603i,0.00041619-0.00048056i,0.00051314+0.00027652i,0.00068313+0.0014444i,0.00095901+0.00078102i,0.0011371+0.00034742i,0.00088694+0.00079645i,0.00051291+0.00068006i,5.6016e-05+0.00073897i,-0.00020138+0.00094995i
-0.00028658-0.0027024i,-0.0018689-0.0010853i,-0.0022394+0.0010108i,-0.0013238+0.0011154i,-0.00083881+0.00072289i,-1.8998e-05+0.00082475i,0.00037+0.00043545i,0.00075364-0.00043337i,0.0012742-0.00098235i,0.00064763-0.0007642i,0.00035594-0.00074097i,0.0006405-0.00081091i,0.00038764-7.3391e-05i,-0.00092155+0.00011749i,-0.0014711-0.00018198i,-0.00024701-0.00045038i,-0.0001632-0.0013853i,-0.00052259-0.0012183i,0.00014506-0.00074392i,0.00039465-0.0011871i,0.00030609-0.00066581i,1.0942e-05+0.00029529i,-0.0004169+0.00023971i
0.0019045-0.0021324i,0.00092271-0.0026306i,9.8147e-05-0.0028692i,-0.00095195-0.0023325i,-0.0012697-0.0015409i,-0.0014588-7.34e-05i,-0.00057619+0.00078551i,0.00066567+0.00017366i,0.00071697-0.00038307i,0.00039574-0.00069251i,-0.0002298-0.00023929i,-0.00044108+0.0010281i,-0.00069286+0.0013665i,-0.0004702+0.0010671i,0.00025137+0.00042427i,0.00039957-4.4613e-05i,0.00017773-0.00014316i,4.5672e-05-0.00039476i,0.00016768-0.00028381i,0.00049248-0.00018368i,0.00071159-0.00032253i,0.00025145-0.0004229i,-0.00034165-0.00055565i
0.00021248+0.00016915i,0.00076568+0.00012288i,0.00041236-0.00029266i,-0.00041865-0.00014957i,-0.0014129+0.00053683i,-0.0010504+0.00058345i,-0.00049595+0.00017068i,-7.3854e-05-0.00014553i,-0.00010087-0.00017988i,-0.00022924+1.7548e-05i,0.00015595-2.2422e-05i,0.00065801-0.00026134i,0.0009802-6.5891e-05i,0.00062667+0.00055565i,-0.00083665+0.00076147i,-0.0018053+0.00039426i,-0.00092884-0.00042354i,-0.00016042-0.001031i,-0.00041073-0.00093931i,-0.0005541-0.00036828i,0.00021913+3.4815e-05i,0.00039051+0.00015681i,-3.9084e-05+4.5621e-05i
-0.00071712+0.0010869i,0.00050478+0.00035569i,0.0017328+0.00019646i,0.0018896-0.00057707i,0.0012045-0.0010585i,0.00048101-0.00082826i,-0.00035911-0.00077553i,-0.00010317+0.00021241i,9.7614e-05+0.00015576i,0.00058324-0.00074053i,0.0011884-0.0010329i,0.00076127-0.00075911i,0.00086624+0.00022536i,0.0010939+0.0011277i,0.00046484+0.0015543i,9.0335e-05+0.001019i,0.00023+0.00039736i,0.00071944+0.00034946i,0.00078927-0.00029613i,0.00063558-0.00094075i,0.00071952-0.00016775i,0.00021347+5.5708e-05i,-0.00010535-0.00078608i
0.00077985-0.00021199i,0.0013071+0.00050731i,0.00086143+0.0013325i,0.00033377+0.0013488i,0.00033811+0.0010393i,0.00027181+0.00045081i,0.00020393-0.00041049i,-1.8595e-05+3.1016e-05i,-0.00023156+0.00030507i,0.00013353-0.00035966i,0.00060385-0.00088236i,0.00065041-0.0004538i,0.00014749-0.00061193i,0.00024104-0.00096807i,1.5273e-05+0.00012817i,-0.00035749+0.00056332i,-0.00023491+0.00020368i,0.00038371-0.00028346i,-4.3537e-05-0.00031009i,-0.00068153-0.00036612i,-0.00046363+0.00010639i,-0.00042098+0.00088861i,-0.00056648+0.0003461i
0.0016417+0.0022014i,0.00078414+0.0021395i,-0.00049102+0.00099471i,-0.00030129-0.00047058i,0.00015714-0.0018863i,0.00069534-0.0017627i,0.00039442-0.00052884i,0.00029946+0.00012544i,0.00090424+0.00027818i,0.00051797-2.1261e-05i,-0.00097438-0.00024864i,-0.0018607-0.0003908i,-0.0020304-0.00016017i,-0.0014133+0.00035274i,-0.00068791+0.00082582i,-0.00092424+0.00077781i,-0.00051223+0.00035638i,-0.00028119-0.00015984i,-0.00019034+6.834e-05i,0.0010017+0.00040501i,0.0010702-0.00014933i,-0.00026166-0.00084613i,-0.00030429-0.00059313i
0.00084128+0.001436i,0.0002725+0.00064282i,0.0012321-0.00045266i,0.0019086-0.00026815i,0.0014029+7.9712e-05i,-3.5185e-05-0.00060099i,-0.00083223-2.7413e-05i,-0.00023857+0.00010945i,6.1751e-06-0.00040862i,4.095e-05+0.00043669i,-6.1536e-05+0.00087062i,-0.0010202+0.00050098i,-0.0015892+0.0010361i,-0.0016622+0.0016334i,-0.0014012+0.00084293i,-0.0004047+0.00021776i,1.5977e-06+9.5666e-05i,0.00030464-0.00031262i,0.00085591-0.00026112i,0.00082435-0.0003323i,0.00097891+1.5382e-06i,0.00099619+0.00015656i,0.00074982+0.00017045i
-0.0011514-0.0018453i,-0.00061767-0.0015726i,-0.00080041-0.00040829i,-0.00044819+0.00043439i,0.00090095+0.00051683i,0.0013832+0.00066768i,0.00013648+0.00068771i,-0.00047571+0.00051774i,-5.6778e-05+0.00049064i,0.00022931+0.00043576i,0.00047138+0.00041992i,0.00091546+0.00095062i,0.00092519+0.0016177i,0.00077426+0.001593i,0.00065152+0.0014195i,7.6938e-05+0.0013657i,-0.00038502+0.001147i,-0.00054489+0.00049328i,-0.00055753+3.4842e-05i,-0.0004031-0.00035527i,-0.00013764-0.00085514i,0.00040465-0.0005946i,0.0006201-0.00025261i
-0.00078052+0.0016099i,0.00056882+0.0012223i,0.0013553+0.0010355i,0.0015497+0.00079863i,0.00083916+0.00082218i,-0.00020416-0.00026462i,-0.00040788-0.00087838i,-0.00063591+7.4329e-05i,-0.00034232+0.00020221i,0.00018146+7.402e-05i,0.00081281-0.0003416i,0.0011091-0.0014278i,0.0012693-0.0015882i,0.0013575-0.0012853i,0.0012158-0.00048294i,0.00062542+7.6669e-05i,-4.7408e-06+0.00034206i,0.00012112+0.00029239i,0.00048064+0.00025233i,0.00068696+0.00056893i,0.0003019+0.00074064i,-0.0004618+0.00083406i,-0.00077502+8.4525e-05i
-0.00078062+0.00052081i,-0.0017305+0.00062308i,-0.0013174+0.0010321i,0.000385+0.0002409i,0.0013291-0.00099649i,0.00039221-0.001401i,5.9527e-05-0.0009292i,0.00065658+0.00016454i,0.00031206+0.0013532i,-0.00010501+0.0010886i,-0.00013031-0.00020584i,-0.00017007-0.00089677i,-8.1327e-05-0.0011267i,-0.00011642-0.0012353i,0.00024374-0.00099985i,-0.00028144-0.00026644i,-0.0006139+0.00033813i,-0.00021605+0.00010999i,0.00026494-0.00022372i,0.00078256-0.00010259i,0.00095803+3.1426e-05i,0.00079916-0.00024811i,0.00089342-0.00075855i
-0.00025036+0.0008573i,-0.00028723-0.00051541i,0.00065199-0.0019104i,1.0734e-05-0.0026535i,-0.00067234-0.0026964i,-0.00059553-0.0016269i,-0.00028906-0.00061625i,0.00047461+8.4e-05i,0.00083803+0.00024341i,0.00034381+0.00015906i,-0.00070728+0.00048273i,-0.0016234+0.00025838i,-0.0016736+0.00033682i,-0.0012364+0.00094578i,-0.00099068+0.00064829i,-0.00050181-0.00071846i,0.0010075-0.00092928i,0.0014916-0.00046879i,0.00042477+4.3206e-05i,-0.00040999+0.00049093i,1.5991e-05+0.00026464i,8.5128e-05-0.00016858i,-0.00045123-0.0001764i
0.0018381-0.0010098i,0.00085829-0.0016671i,0.00041003-0.00098084i,0.00059222-0.0014374i,0.00061139-0.0017809i,-4.8441e-05-0.00085512i,-0.00063848-0.00092246i,-0.00042898-0.00088164i,0.00078917-0.001513i,0.0010833-0.0013266i,0.0010215+0.00037408i,0.0017007+0.0014926i,0.0013434+0.0019133i,0.00028146+0.0022017i,-0.00038382+0.0021336i,-0.00084157+0.0011965i,-0.00055442+0.0001791i,3.6987e-05+5.474e-05i,0.00059594+0.00031749i,0.0011572+0.0002798i,0.00052861-3.9518e-05i,0.00030181-0.00035374i,0.00073575-0.00075804i
-9.0644e-05-7.6574e-05i,-0.00064276-0.00062527i,-0.00122-0.0010796i,-0.00073713-0.00099169i,-0.00055699-0.00037663i,-0.0011893+0.0005636i,-0.001417+0.00051684i,-0.0005398+0.00039874i,0.00017156-0.00013503i,0.00015599-0.00053118i,0.00018001+0.00028052i,0.0008574+0.00081011i,0.00089659+0.0010636i,0.00034211+0.0012636i,0.00069344+0.00069125i,0.0005969+0.00032801i,0.00022678+0.00013617i,0.00060047+0.00028403i,0.00099783+0.00037677i,0.00024629-0.0001743i,-0.0002775-0.00062779i,-0.00064991+5.4157e-06i,-0.00073044+0.00012443i
0.0018659+0.0012334i,0.00083014+9.1743e-05i,0.00093648-0.0014437i,0.0019152-0.0025732i,0.0013169-0.0026259i,-0.0006708-0.0019266i,-0.0012962-0.0010859i,-0.0009569-0.0009844i,-0.000982-0.00060861i,-0.00061148-0.00039828i,0.00047128-0.00060117i,0.0011347-0.00046106i,0.00077944-0.00021038i,0.00019576-5.6969e-05i,0.000625+0.00016671i,0.0010727+2.1242e-05i,0.00096626+0.00025527i,0.00059045+0.00028926i,-0.00042933-2.1091e-05i,-0.0012265-0.00054706i,-0.0010864-0.00085225i,-0.00023376-0.00016289i,0.00047249-0.00038196i
0.00084127-0.00074491i,-0.00032245-0.0007658i,-0.0018492-0.0012801i,-0.0021246-0.00086358i,-0.0021083-0.00086586i,-0.0020574-0.00061091i,-0.0010676+0.0002869i,-0.00017856+0.00023241i,5.8905e-05+0.00084826i,0.0002231+0.00063774i,0.00093388+5.9921e-05i,0.00089552+0.00040722i,0.00024668-0.0001079i,-0.00055781-0.0011434i,-0.00060774-0.0018513i,-0.00028925-0.0012173i,-0.00022076-0.00080169i,0.0004522-0.00027086i,0.0006001+6.3703e-05i,0.00015234-0.0006649i,3.1756e-05-0.00084961i,0.00018719+0.00033361i,0.00029026+0.00060017i
0.0034978-0.00066279i,0.0029699-0.0011888i,0.0015235-0.0030134i,-0.00018356-0.0041666i,-0.0021256-0.0033028i,-0.0032066-0.0016982i,-0.0024056-0.001229i,-0.0010987-0.0011342i,0.00036135-0.00035904i,0.00089548+0.00032997i,-0.00024514+0.00036929i,-0.0019959+0.00021436i,-0.0024909+0.00051436i,-0.0017331+0.001384i,-0.0012015+0.0012814i,-0.00077229+0.0014506i,-0.0011677+0.0010372i,-0.001022+0.00027877i,-0.00043497+0.00013254i,-0.00034727+5.4375e-05i,-0.00044221+0.00035616i,-0.00041029-1.4472e-05i,-0.00053799+0.00019566i
0.00095087-0.00062184i,0.0015417-0.00042902i,0.0015586-0.00022221i,0.00054781-0.00040081i,-2.3941e-05-0.0013168i,0.00096606-0.00094572i,0.0010502-0.00028643i,0.00052637-0.00064043i,0.00098461-0.00079706i,0.0015905-0.0011484i,0.0012517-0.00071934i,0.0004693+0.00098042i,0.00030487+0.0020908i,0.00016769+0.0020031i,0.00015194+0.0017215i,4.6156e-06+0.0011282i,0.00037051+0.00020563i,0.00085323-0.00016846i,0.00073158-0.00045118i,0.00023277-0.00077346i,-0.00020612-0.00043655i,0.00011576-6.9251e-06i,2.4652e-05+0.00017769i
0.00037329+0.0013406i,5.3426e-05+0.00030397i,4.522e-05-0.00073028i,-0.00060992-0.001423i,-0.00060262-0.0020724i,-0.0010515-0.0021665i,-0.00094908-0.0013903i,0.00035207-0.0010754i,0.00079561-0.0007962i,0.0003596-0.0006212i,-1.5714e-05-0.00010126i,9.4606e-05+0.00030453i,0.0010931-0.00020948i,0.0015722-0.00039994i,0.0011908+0.00043673i,0.00074278+0.00036595i,0.00087317-0.00031025i,0.0010382+9.4641e-05i,0.00072452+0.0003128i,0.00062091+5.6479e-05i,-0.00028642+0.0008191i,-0.00074131+0.0013179i,-0.00037591+0.00018185i
