-0.00013308-8.1843e-05i,-0.00062106-0.00045949i,-0.0010149-0.00090099i,-0.00089785-0.0004792i,-0.00078036+0.00030709i,-0.0010627+0.0012832i,-0.00030976+0.0011735i,0.00073575+0.001484i,0.00086537+0.0016774i,-0.00014055+0.00057454i,-0.00061572-0.00053111i,0.00014617-0.00073035i,0.00052106-0.00041695i,0.00030809-0.00045242i,0.00032871-0.00051182i,0.0011681-0.00036121i,0.0015422-0.00018515i,0.00041848-0.00022801i,0.00047556+0.00034559i,0.00056453+0.0010816i,-6.1062e-05+0.00010859i,-0.00029745-0.00069881i,-7.1953e-05-0.00023938i
0.00125-0.0013188i,-0.00036621-0.00011817i,-0.0013267+0.0012051i,-0.00014274+0.0005269i,0.0015659-0.00075427i,0.0020569-0.0012012i,0.00099169-0.0010345i,0.00043536-0.0009704i,0.00016787-0.00031973i,-0.00058672+0.00021569i,-0.00076119+0.00012105i,-0.00017213+0.00022168i,0.00047804+6.5537e-05i,0.00067749-0.00017535i,0.00092912-0.00016902i,0.00082719+0.00020275i,6.0276e-05+0.00046998i,-0.00072106+0.00017075i,-0.0002527-0.000553i,0.00047637-0.00054103i,0.00016501-0.00016038i,-5.4477e-05+0.00015729i,0.00046243+0.00056435i
0.0013001+0.0016756i,0.0012672+0.0021373i,0.0017117+0.001187i,0.0013849-0.00089325i,0.00095053-0.0017915i,0.0004574-0.0018687i,0.00033237-0.00094266i,9.2566e-05+0.00035171i,0.00012043+0.00067722i,0.0009926-0.00027049i,0.00065916-0.00086126i,-0.00038731-0.00058929i,-0.0007285-0.00034816i,-0.00065704-0.0005397i,7.8015e-05-0.00090944i,0.00028469-0.000853i,0.00021855-0.00095356i,0.00035039-0.00099025i,-0.00022284-0.00024501i,-0.00047975+0.00033465i,-0.00016054+8.4319e-05i,-1.4408e-05+0.00025246i,0.00011194+0.00053132i
0.00045497+0.00055695i,7.3518e-05+0.0018324i,-2.1503e-05+0.0036859i,0.00047377+0.0022622i,0.0017945-0.0012872i,0.0019384-0.0028126i,0.00079308-0.0019579i,-0.00027922-0.00091919i,0.00022978-0.0001741i,0.00092032+0.00051428i,0.00055647+0.00037836i,0.00056268-0.00030888i,0.00017983-0.00047125i,-0.00025151-0.00029942i,-0.00028378-0.00039558i,-0.0003619+0.00015852i,-0.00053195+0.00090083i,-0.00036421+0.00062941i,0.00020303+1.0858e-05i,9.5576e-05-7.5564e-05i,0.0001494-6.1508e-05i,0.00036178+0.00026348i,2.4492e-05+3.1686e-05i
0.0017554-0.0014099i,0.0016913-0.00087786i,0.00071547-0.00047944i,0.00043042-0.00052082i,0.00043084-0.00049477i,-0.0002381-0.00053903i,-0.00072751-0.00055293i,-0.00039572-0.00018752i,-0.000167-0.00012778i,-0.00023486-0.00082351i,1.6134e-05-0.00099871i,-0.00024823-0.00030341i,-0.00080637-0.00015919i,-0.00095036-0.00041028i,-0.00089791+3.962e-05i,-1.4556e-05-3.8809e-05i,0.00061641-0.00021624i,0.0010074-0.00084476i,0.00083087-0.00070362i,0.0004419-0.00084834i,0.00092505-0.00084953i,0.00086497+0.00015045i,0.00048551+0.00050327i
0.0023351+0.00061994i,0.0014645-0.00069127i,0.00069465-0.0011965i,0.00040624-0.00064006i,0.00032009-0.00063241i,0.00099586-0.0014144i,0.0014346-0.001068i,0.0011841-0.00082778i,0.0013275-0.00050946i,0.00046153-0.00095891i,-0.00034237-0.001087i,-2.4161e-05-0.0010276i,0.0001901-0.0012109i,7.0717e-05-0.00018766i,3.0809e-05+0.00048407i,4.6087e-05+0.00043547i,-0.00023436+0.00050704i,-0.00027043+0.00062731i,4.8163e-05+0.00014906i,0.00065323-0.00029295i,0.0011576-0.00087013i,0.001472-0.00094457i,0.0016175+0.00012106i
0.0010036-0.00076688i,0.00070059-0.001135i,-0.00013688-0.00059686i,-0.00078232+0.00025955i,-0.00065618+0.0010946i,-0.00080605+0.0011782i,-0.00095586+0.00077708i,-0.00049741+2.2075e-05i,3.113e-05-0.00047279i,0.00015559+6.2405e-05i,8.5802e-05+0.00011488i,0.00026561-0.00065441i,0.00088386-0.00046828i,0.00076615-0.00012305i,0.00049773-0.0005132i,0.00082307-0.00055339i,0.00064469+0.00012229i,0.00028956+0.00017813i,0.00033507-0.00034229i,0.0003735-0.00035883i,0.0002292-0.00040529i,-0.00030082-0.00058095i,-0.00013667-0.00041441i
0.0012547+0.0010005i,0.00072571+0.001806i,-0.00014984+0.0021566i,-9.4583e-05+0.0013786i,0.0010424-0.00067294i,0.0017823-0.0017879i,0.00089817-0.0013168i,-0.00043914-0.0011949i,-0.00035011-0.00012057i,-0.00013249+0.0010587i,-0.00025373+0.0011392i,0.0005907+0.00065418i,0.00012525+8.3658e-05i,-0.00060417-0.00067353i,6.8549e-05-0.0010934i,9.1393e-05-0.00096805i,-0.00026274-0.00098746i,-0.000217-0.00026989i,-0.00012991+0.00056178i,0.00014139+0.00053067i,-0.00015115-3.3586e-05i,4.9585e-05-0.00062118i,0.00033708-0.00041147i
0.0014143-0.0019606i,-3.6035e-05-0.0022519i,-0.0011205-0.0017439i,-0.0013913-0.0012728i,-0.00076811-0.00071383i,-0.0013271+8.8387e-05i,-0.0019647-0.0004784i,-0.0011881-0.00045975i,1.9993e-05-0.00023627i,0.00035464-0.00064109i,0.0003416-0.00048182i,0.00054879-0.0002708i,0.00016027-0.00019344i,-6.0311e-05+0.00016706i,0.00019313+0.00027696i,-3.7593e-05+0.00028946i,-0.00016184-0.00024908i,-0.00041505-0.00040666i,-0.0008691+6.681e-05i,-0.0012154+0.00041083i,-0.00052177-9.9921e-05i,0.0004143-0.00098307i,-0.00018079-0.00044094i
0.0034317+0.0011244i,0.0023522+8.7149e-05i,0.0011814-4.9613e-05i,0.0010768-0.00086218i,0.0010815-0.0021084i,0.00026419-0.0024501i,-0.00071152-0.0015458i,-0.00069268-0.00052581i,-8.2026e-05-0.00024789i,0.0002114+0.0004028i,0.00047616+0.0011881i,0.00042364+0.00086191i,0.0009176+0.00034051i,0.00064837+0.00066437i,-0.00021692+0.0005244i,-0.00013854+0.00054059i,-1.9934e-05+0.00059042i,0.00013234+0.00029062i,-0.00013209+0.00070863i,-0.00046594+0.0012658i,-0.00015278+0.00068558i,-0.00016317-0.00031614i,-0.0011781-0.00040494i
-3.2105e-05+1.5106e-05i,-0.00038898+0.00089406i,-0.0015392+0.00093857i,-0.0010686+0.0006986i,0.00050248+9.2618e-05i,0.00056681-0.00096641i,-0.00022294-0.00084496i,-0.00030012+0.00043519i,-0.00037694+0.0014392i,-0.00034805+0.0012373i,0.00036653-5.5824e-05i,0.0007668-0.00065854i,0.00034559-0.00062143i,0.00023467-0.00076954i,0.00099485-0.00050045i,0.0014076-0.0002998i,0.00095876-0.00045421i,0.0005015-6.048e-05i,0.00011461+0.00036628i,-6.7785e-06+0.00025961i,8.451e-05+0.00017077i,0.00022922+0.00022039i,0.00017308+1.4106e-05i
