0.00016128+0.0031118i,0.0014531+0.003778i,0.00074263+0.0013923i,-0.00031272-0.00037474i,-0.001198+0.00018679i,-0.0017999+0.0023243i,-0.00096255+0.003444i,0.00011904+0.0027944i,0.001524+0.001412i,0.0014349+9.0396e-05i,-0.00015074+0.00020687i,-0.00021517+0.00025873i,0.00032516+7.9811e-05i,0.00059222+0.00011728i,0.00076977-0.00025939i,0.00042355-0.0005156i,-2.1728e-05-0.00022332i,-0.00030496-0.00018755i,9.3308e-05-0.00035154i,7.9479e-05+1.3497e-05i,-0.00030729+0.00064004i,-3.3576e-05+0.00037527i,0.00033681-0.00037999i
-0.00063492+0.00073436i,-0.00078183+0.0014037i,-0.00081605+0.001886i,0.00015077+0.0019619i,0.00018754+0.00068256i,-0.00036892-0.00031538i,9.9064e-05-0.00040865i,0.00026955+0.00021779i,-8.6013e-05+0.0012327i,-0.00081587+0.00099949i,-0.00079881+0.00033637i,0.00037115+6.8544e-05i,0.00073757-0.000603i,0.00036675-0.0013574i,0.00030915-0.00099466i,0.00041545+0.00025326i,-7.1351e-05+0.0001092i,-3.0851e-05-0.0013896i,0.0008424-0.0014677i,0.00134-0.0006216i,0.0010435-0.00040353i,0.00012252-5.0323e-06i,4.3478e-05+0.00026268i
0.00011693-0.00029607i,5.4721e-05+0.0013278i,0.00041106+0.0012844i,0.00074083+0.00019863i,0.0014073-0.00072118i,0.0016152-0.0010779i,0.0012758-0.00089784i,0.00094841-0.00057223i,-5.2601e-05+9.2603e-06i,-0.001041-0.00032284i,-0.001002-0.00084078i,-4.1356e-05-0.00045962i,0.00058234-4.0804e-06i,0.00041422-0.00014092i,-0.00034691-0.00012142i,0.00013004+0.00053005i,0.0010984+0.00032002i,0.0010479-0.00076704i,8.4789e-05-0.00077649i,-0.0010723-0.00054438i,-0.0011847-5.6373e-05i,-0.00069007-0.00017306i,-0.0012624-0.00017701i
-0.00065+0.0019365i,-0.00041157+0.0022704i,0.00039617+0.0020295i,0.00054422+0.0017711i,0.0004929+0.0020441i,0.00069227+0.0015283i,0.00028147+0.00075999i,-0.00013972+0.00044796i,0.00016618+8.5479e-05i,0.00022969-0.00025544i,-0.00010884-0.00055685i,-0.00023281-0.00012761i,-0.00011504+0.00019684i,-3.4977e-05-0.00010646i,0.00052112-0.00039681i,0.00097277-0.00042362i,0.00076872-0.00040671i,0.0010107-0.00032872i,0.00052092-0.00075971i,6.4038e-05-0.0007318i,-0.00067053-0.00018801i,-0.0011931+0.0001105i,-0.00061873+0.00016612i
0.00039613+0.00068376i,0.00090399+0.0018482i,0.00086195+0.0012777i,0.0011405+8.0453e-05i,0.0010337-0.00021372i,0.0006924-0.00024087i,0.0010476-0.00012416i,0.0012697+8.1803e-05i,0.00011476-0.0001251i,-0.00055727-0.00010218i,-3.2335e-05+0.000297i,-0.00010869+0.00039967i,9.2335e-05-0.00016197i,0.00020896-0.00012929i,0.00028484+9.9991e-05i,0.00038571-0.00013631i,0.00011905-0.00022565i,0.00039019-0.00070751i,0.00077155-0.00097964i,0.0002369-0.00049145i,-0.00042359-0.00011697i,-0.00049158+7.1338e-05i,-0.00026014+0.00018496i
-0.0016417+0.00094221i,-0.0012447+0.0022665i,-0.00040483+0.0024058i,0.00010709+0.0012298i,0.00022137+0.00073138i,8.5019e-06+0.00039277i,-0.00058522+0.00049795i,-0.0013541+0.00082299i,-0.0010567+0.00024658i,-0.00066616-0.00030981i,0.00010544-0.0005663i,0.00077136-9.6014e-05i,0.00068858-0.00017677i,0.0006305-0.0010167i,0.00049028-0.00087227i,0.00055283-0.00025211i,0.00069019-0.0002093i,0.00079834-0.00032511i,0.00022819-0.00062877i,-0.00012457-0.00053442i,-0.00025971-0.00030064i,-0.00047359-0.00053929i,-0.00033251-2.0764e-05i
0.00064898+0.0012001i,0.00024292+0.001496i,-0.00018395+0.0013455i,-0.0002658+0.00087609i,-0.0004794+0.00066763i,-0.00060227+0.00032227i,-0.0006456+0.00035777i,-0.0010217+0.00060677i,-0.0008505+0.00033941i,-0.00013982+0.00011095i,0.00075906+3.5415e-05i,0.00071126-0.00013203i,0.00027514-0.00059554i,0.00013523-0.0013181i,0.00020185-0.00051326i,0.00087271-0.00011824i,0.00092351-0.00054675i,7.5078e-05-0.00046672i,1.9053e-05-0.00021698i,0.00048266-0.00020279i,0.00045231-1.6222e-05i,5.4189e-05+0.00053827i,7.6909e-05+0.00038133i
-0.0015288+0.00077166i,-0.00020308+0.0013304i,0.00030444+0.0020887i,0.00024703+0.0016583i,0.00092523+0.0015292i,0.0011458+0.0014888i,0.00046275+0.00097071i,-0.00020406+0.00068721i,-0.00041205+0.00017715i,9.5246e-05-0.00025891i,-9.1587e-05-0.00024015i,-0.00032422+2.4238e-05i,0.00013771+9.4832e-05i,0.00036433+0.00019638i,0.00023733-0.00025793i,0.00065134-0.00087255i,0.001044-0.00074342i,0.00041163-0.0004314i,0.00050128-0.00051688i,0.00056216-0.00091378i,0.00070038-0.00057225i,0.00034877+0.00058682i,-0.00040613-1.7273e-05i
0.00087537+0.0023083i,0.00072043+0.0036298i,0.0022957+0.0018285i,0.0030106-0.00047626i,0.0008047-0.00075432i,-0.0008563+8.7541e-05i,-0.00057636+0.0004845i,0.00017756+7.3314e-05i,0.00031867-0.00059388i,0.00039578-0.0010428i,0.0010623-0.0012138i,0.0011328-0.00053065i,0.00040916+0.00028328i,-0.00018842+0.00022739i,-0.00026598-0.00026007i,-0.00021372-0.00049743i,-0.00019022-0.00081525i,0.00011308-0.0011914i,0.00011851-0.00053877i,6.8754e-05+9.3874e-06i,7.6862e-05-0.00048488i,-0.00010219-0.00054591i,-0.00013683+9.2861e-06i
-0.0011563+0.0017853i,-0.0014104+0.0020621i,-0.0012254+0.0014788i,-0.0011804+0.0014275i,-0.00064444+0.0024943i,1.1192e-05+0.0034961i,0.00045476+0.0020585i,0.00052118-8.0277e-06i,0.00039935-8.3639e-05i,2.9234e-05+0.00018103i,-0.00012949+0.0005939i,-0.00040018+0.00066447i,-0.00037661-0.00026793i,7.3157e-06-0.00033842i,-0.00025323-5.5923e-05i,0.00039751-0.00048332i,0.00095946-0.0010436i,0.00028373-0.00096798i,0.00014027-0.00070291i,0.00047928-0.00015964i,0.00026964+0.00041259i,1.0523e-05+0.00015193i,0.00031485+0.00029744i
-0.0008536+0.0022998i,-0.00036239+0.0020544i,0.00053024+0.0022035i,0.00026935+0.0011091i,0.00047664+1.8808e-05i,0.0013523-0.00013647i,0.0011197-0.00029618i,0.00036647+7.8564e-05i,4.8202e-05+0.00069555i,0.00034324+0.00014985i,0.00058987-0.00037345i,0.00064287-0.00016712i,0.0006976-0.00032248i,0.00080992-0.00012444i,0.00090168-0.00082445i,0.00098984-0.0018806i,0.0006138-0.0015631i,0.00043384-0.0015799i,0.00048993-0.0015294i,0.00032803-0.00074078i,0.0010972-0.00056693i,0.0010602-0.00037098i,6.3876e-06+0.0001038i
-0.00090468+0.0021219i,-0.00055373+0.0016204i,0.0011517+0.00074467i,0.0014613+0.0001338i,0.00085245-0.00043348i,0.00058087-0.00086789i,0.00061575-0.00086937i,0.00079555-0.00072102i,0.0014038-0.00036511i,0.0010303+0.00010615i,-0.00014402+0.00055724i,-0.00096853-1.1294e-05i,-0.0010515-0.00022976i,-0.00090918+9.764e-05i,-0.00037895-0.00011982i,6.4615e-06-7.7189e-05i,0.00035454-0.00021402i,0.00044648-0.0003901i,-6.2384e-05-0.00026552i,-0.00069014-0.00018363i,-0.00049708-0.00010649i,0.00042581-0.00036231i,0.00046722-0.00036242i
-0.00043509+0.0010402i,0.00017672+0.0021298i,0.0011317+0.0030273i,0.00086649+0.0021905i,-0.00048774+0.00061634i,-0.00054896+0.00019315i,-0.00031126+0.000438i,-0.00043529+0.00063854i,-0.00012077+0.00041956i,4.2524e-05+0.00026054i,-0.00042161-0.00017651i,-0.0003814-0.0005095i,0.00037547+6.9003e-06i,0.00094846+0.0006593i,0.0013318+0.0004929i,0.0011907+0.00047432i,9.2575e-05+0.00028968i,-0.00022061-0.00046241i,0.00067588-0.00056996i,8.1811e-06-0.00057016i,-0.00065652-0.0008937i,-0.00037521-0.00067188i,4.3132e-05-0.00023544i
-0.0001142+0.0017616i,-0.00027083+0.0015643i,0.00013293+0.0010783i,0.00028856+0.00053662i,-0.00039748+0.00036745i,-0.00049062+0.00086193i,-0.00034775+0.0010682i,-0.00012019+0.00078539i,0.00024207+0.00045042i,0.00028552-8.4106e-05i,-1.9726e-05-0.0004827i,-0.00043276-5.0682e-05i,-0.00013512-5.8364e-05i,0.00048617-0.00037643i,0.00052529+1.6332e-05i,0.00055181+0.00040712i,0.0010817+5.6539e-05i,0.00086198-0.0001725i,0.00053189+0.00015515i,0.00050358+0.00030475i,0.00045666+0.00040624i,0.00034976+0.0001207i,0.00043235-0.00037309i
-0.0010003+0.0017018i,-0.00035397+0.0016447i,0.00070151+0.00071766i,0.0011571+0.00041674i,0.00048981+0.00016718i,0.00048414+0.0007255i,0.0003648+0.00047628i,7.7943e-05-0.00040421i,-0.00035287-0.00033045i,-0.00048185-0.00042445i,-0.00033507-0.00046967i,4.8804e-06-0.00080043i,0.000258-0.00055475i,-0.00027547+1.5904e-05i,-0.0006178+0.00014257i,-0.00025177-0.0003208i,-0.0001281-0.00053536i,-8.938e-05-0.00088394i,0.00056883-0.0010912i,0.00023414-0.00051014i,-0.00025452+0.00014857i,-0.00060099+0.0011957i,2.1355e-05+0.0014435i
-0.00083174+0.0023769i,-0.00031461+0.0019592i,9.0194e-06+0.0016698i,0.00081259+0.0018185i,0.0021507+0.0017831i,0.0021775+0.0012788i,-0.00012193+0.00060652i,-0.001136-0.00016895i,-0.00015896-0.00052398i,-3.8441e-05-4.7862e-05i,-0.00044986+0.00014422i,-0.00052182-0.00018109i,-0.00016688-0.00027608i,0.00021935+0.00042537i,-0.00010442+0.00095942i,-0.00034978+0.00075346i,-0.00019234+0.00045445i,-0.00039538-0.00018076i,-0.00072491-0.00089743i,-0.00079383-0.001136i,-0.00050404-0.00070262i,0.00019517-0.00027307i,0.00035615-4.045e-05i
