-0.00067017-0.0014738i,-0.00078135-0.0018843i,-0.0022015-0.0011127i,-0.0027803+9.5756e-05i,-0.0011681+0.00030119i,-0.0001203+0.00050501i,-0.00026607+0.00031161i,0.00039529+6.8936e-05i,0.0014348-0.00022459i,0.00096563-0.00019513i,8.6087e-05+6.4466e-05i,0.0004705+0.00057592i,0.00031264+0.0009446i,0.00027824+0.00046185i,0.00079419+0.00024837i,0.00052752+0.00033838i,-0.00051776+2.4587e-05i,-0.00091299-4.3256e-05i,-4.2353e-05-0.00033536i,0.00024114-0.00028825i,-0.00029406+0.00026455i,0.00016425+0.00071495i,0.00044818+0.00078943i
-0.0010286+0.0033402i,-0.00057541+0.003566i,-0.00023565+0.0021714i,0.00080306-0.00015884i,0.0017868-0.00087041i,0.00048286-0.0019409i,-0.00089918-0.0021499i,-0.0010847-0.00062347i,-0.0012342+0.0009285i,-0.0010607+0.0015653i,-9.5283e-05+0.0013486i,0.00057964+0.0011392i,0.00059147+0.00040857i,0.00028964-0.00063979i,-0.00063296-0.0010045i,-0.0006997-0.00085179i,0.00032254-0.00049318i,0.00069678+0.0002487i,-7.3952e-05+0.00015998i,9.2149e-05+0.00039283i,0.00026293+0.00035146i,0.00037877-0.00020795i,8.3291e-05+0.0004589i
-0.00029924+0.0021466i,0.00051909+0.0018284i,0.0010188+0.0012421i,0.00176+0.00082483i,0.0021082+0.00037365i,0.00040861-0.00020606i,-0.00070078-8.501e-05i,-0.00080079+4.9705e-05i,-0.00036544+0.00013017i,0.0001472+0.00027956i,0.00043335+6.5921e-05i,0.0003499-0.00071752i,0.00032757-0.00093811i,0.00029685-0.0009427i,2.0257e-05-0.00080733i,-8.2604e-05-0.00036974i,-0.00019737-0.00018177i,-1.1687e-05-0.00018601i,-0.00054398-0.00048611i,-0.00084967-0.00079736i,9.528e-05-0.00084623i,0.00058087-0.00036088i,0.00070661-0.0003157i
-0.0018624+0.0028346i,-0.0013175+0.0020041i,-0.00039947+0.0012055i,0.00018017+0.00094773i,0.00084268+0.00031637i,0.00051897-0.00060374i,-0.00079856-0.0005623i,-0.0011784-0.00051909i,-0.0002028-0.00054061i,0.00021612-0.00025135i,0.00048107-0.00055528i,0.001036-0.00070707i,0.00032095-0.00078754i,-0.00010138-0.00091429i,0.00019994-0.00031201i,-0.00010984-0.00014345i,-0.00010121+2.1647e-05i,4.5288e-05+0.00023684i,3.2926e-05+0.0004898i,-0.00013208-8.3808e-05i,0.00035571-0.00056845i,0.00037624+0.00025812i,5.317e-05+0.00065475i
-0.0011541-0.00099122i,-0.00044315-0.00039644i,0.00011756+0.0009379i,-0.0001259+0.0013291i,0.0004071+0.0015961i,0.0012233+0.0015877i,0.00029532+0.0014703i,-0.00067833+0.00062042i,-0.00059867+0.00022373i,0.00018178+0.00026966i,0.0007545+0.00018952i,0.00067249+0.00065968i,0.00066049+0.0003477i,0.0002007-0.00054116i,-1.7988e-05-0.00085505i,-0.00014576-0.00046044i,-0.00042695-0.00026993i,0.00022201+0.00013205i,0.00040093+0.00052734i,-0.00026916-8.5751e-05i,2.5057e-05-0.00053227i,0.00052958+0.00016706i,0.00044074+0.00030711i
-0.0016134-0.00069543i,-0.0017725+0.0008054i,-0.0014259+0.0018011i,-0.0010219+0.00056416i,5.9778e-05-0.0010471i,-4.4294e-05-0.0013091i,-0.00089717-0.00070026i,-0.00070373-0.00032341i,-0.00014213+0.00027127i,-0.00022121+0.00043173i,-9.6943e-05+0.00027358i,6.8199e-05+0.00042033i,-0.00032074+0.00017094i,-0.00024378+0.00049594i,-0.00068048+0.00091947i,-0.0013354+0.00050806i,-0.00084089+0.00035679i,-0.00018779-7.0341e-05i,-0.00067537-0.00073805i,-0.00037138-0.00061138i,0.00051685+0.00014949i,0.00059106-0.00014758i,0.00048951-0.00045066i
0.0027366+0.00021623i,0.0028137-0.00032487i,0.0019717-0.0013502i,0.0010901-0.0013202i,0.00055946-0.00085239i,2.433e-05-0.00085334i,-0.00066383-0.00055465i,-0.00066034-0.00040597i,-0.00026548-0.00020509i,9.5821e-07+0.00028165i,-0.00015755+0.00058762i,-5.5124e-05+0.0010608i,-0.00028546+0.000114i,-0.0007995-0.0012245i,-0.00028131-0.00089139i,-0.00015044-0.00014591i,-0.00027679+8.5348e-05i,-9.1532e-05+0.00021298i,-5.9384e-05-7.0045e-06i,0.00034452-0.00021408i,0.00070432-5.8024e-05i,0.000856-0.00045429i,0.00017743-0.00056523i
-6.3937e-05+0.00057702i,-0.00034135+0.00024423i,-0.0011793+0.0004556i,-0.00065332+0.00039906i,0.001472+0.00056886i,0.0013456+0.00098612i,-0.00044212+0.00093693i,-0.00057833+0.00023939i,4.8994e-05-8.2852e-05i,0.00025772+0.00023704i,0.00030063-4.8321e-05i,0.00075475-0.001052i,0.0015717-0.0010198i,0.00074018+4.2535e-05i,-0.00012799+0.00028657i,0.00056256-0.00069342i,0.00056209-0.00060831i,2.0231e-07+0.00042019i,3.8715e-05+0.00080751i,-0.00022338+0.00065062i,-0.00058191+0.00031682i,-0.0012004-0.00036356i,-0.00071054-0.0004335i
-0.001345+0.00027448i,-0.00048034+0.00095603i,0.0006568+0.00092761i,0.00064101+0.00077154i,0.000484+0.0011187i,0.00012978+0.00077108i,-0.0010285+0.00013616i,-0.0012239-0.00028458i,-0.00099435-0.00057072i,-0.0010763-0.00089021i,-0.0008387+8.3514e-05i,-0.00018571+0.00040153i,0.00041213-0.00011063i,-0.00017653-0.00027292i,-0.00034292-0.00015067i,2.3511e-05+0.00017502i,0.0001371-5.1488e-05i,-0.00041067-4.2685e-05i,-0.00077098+0.00017419i,-0.00086151-0.00033166i,-0.00030999-0.00025733i,-0.00011317+0.00010553i,-0.00059484-0.00047782i
-0.00022492-0.00090198i,-0.00026522-0.0028545i,-0.00083285-0.0036393i,-0.00061726-0.0017807i,0.00041982-0.00057039i,0.00037212-8.7599e-05i,-0.00079343+0.00016478i,-0.00091092+0.00047147i,-0.00011786+0.00062419i,0.00036992-3.1574e-05i,0.00045477-0.00059931i,0.00018504-0.0003432i,0.00033385+0.0011092i,0.00018934+0.0012746i,-0.00049412+0.00039306i,-0.00059569+2.0268e-05i,-2.5005e-06-0.00034515i,0.00020799+2.1154e-05i,0.00054004+0.00069135i,0.00080802+0.0011665i,-0.00013995+0.00081779i,-0.00074845-0.00043937i,-0.00052629-0.0007513i
0.0010845+0.0010888i,0.0015639+0.0002519i,0.0013483-0.00043023i,0.0012065+9.205e-05i,0.00069771+0.00018328i,-0.00027002-0.00017246i,-0.0007578-0.00021295i,-0.00044045-3.4071e-05i,-0.00019048+0.00017036i,-0.00014411+4.306e-05i,0.0002469+0.0002613i,0.00084752+0.00034817i,0.00037397+2.2052e-05i,-0.00028779-0.00018675i,-0.00053637+0.00035475i,-0.00062938+0.00051019i,-0.00055613+0.00056748i,-0.0008141+1.7201e-05i,-0.00030608-7.7921e-05i,0.00044311+0.00049269i,0.00075657+0.00046169i,0.00093343+0.00024036i,0.00091261+9.743e-05i
-0.0030562+0.0018962i,-0.0015668+0.0018048i,-0.0001826+0.00088189i,-0.00063913+0.0010073i,-0.0010175+0.00091293i,-0.00082594+0.00011303i,-0.00058829-0.0010057i,-0.00017117-0.00073935i,-0.000321-0.00016995i,-0.00040293+0.00010512i,-0.00040165+0.0002979i,-0.00051525-0.0002624i,-0.00083697-0.0012197i,-0.00044127-0.0017352i,0.00030398-0.00088229i,-8.6023e-05+0.00017807i,9.2024e-05-0.00023118i,-0.00022038-0.00091758i,-0.00070884-0.00024381i,0.00021437+0.00020569i,0.00047417+0.00016203i,-4.2564e-05+9.0019e-05i,-0.00054554+2.176e-05i
-0.0013239-0.001953i,-0.0015668-0.0021915i,-0.00065985-0.0011358i,-0.000162+0.00018961i,-0.00060171+0.00010531i,-0.00077335+0.00014331i,-0.00035591+0.00028463i,-0.00078681-0.00016232i,-0.00074473-0.00033565i,-1.9177e-05-0.00020016i,0.00044308-0.00012123i,0.00028988+0.00031556i,-0.0001618+0.00037987i,-0.00011932+0.00024i,0.00019305+0.0004543i,-0.00014467+0.00050408i,-0.00088818+0.00029831i,-0.00070372+0.00017037i,0.00010413+0.00018073i,-7.5922e-05+0.00057163i,-9.7001e-06+0.00060645i,0.0011221+0.00018197i,0.00072159+6.3207e-05i
0.0015501+5.4767e-05i,0.0016704+0.00061552i,0.0030193+0.00038117i,0.0030613-0.00026166i,0.00071044-0.00032375i,-0.0015441-0.00079563i,-0.0018615-0.00055223i,-0.00074704+0.00043263i,0.00026403+0.00026086i,-0.00033814-0.00055843i,-0.00063927-3.666e-05i,-0.00041419+0.00058291i,-0.00010075+0.00027736i,0.00030074+0.00066626i,-9.7577e-05+0.00056165i,-0.00028627+0.00013242i,1.3715e-05+0.00036685i,0.00015853+0.00047854i,0.00013631+0.00067893i,0.00050243+0.000857i,0.0010382+0.0012775i,0.00094026+0.0010405i,5.5007e-05+0.00034463i
0.0030873-0.00050625i,0.0019756-0.00074635i,0.0013937-0.00066299i,0.0011483-0.00070807i,0.0013176-0.0012431i,0.00064589-0.0011513i,-0.00044694-0.00048738i,-0.00035655+0.00014522i,2.5894e-06+0.00035837i,0.00040749+0.00043408i,0.0011254+0.00036584i,0.00083778+0.00074925i,-0.00014404+0.00068773i,-0.00057147+0.00076127i,-0.0011012+0.00082064i,-0.00081806-4.7825e-05i,-0.00028637-0.00013217i,-0.00048909+0.00042369i,-0.00057238+0.00063061i,-6.052e-05+0.00041429i,0.0001077+0.00029836i,0.00010567-0.00034511i,0.00018922-0.0012865i
-0.00069841+0.0020927i,-0.0010049+0.0012677i,7.9114e-05+0.00068278i,0.00076357+0.00073463i,0.00085821+0.00083591i,0.00074692+0.00086814i,-0.00085185+0.00028493i,-0.0013065-0.00030416i,-0.00058035-5.3893e-05i,-7.4402e-05-5.2349e-05i,-0.00051716-7.3211e-05i,-0.00067188+0.00016721i,0.0004879+0.00083809i,0.0010912+0.00075079i,0.00050367+1.5118e-05i,6.7184e-05-0.00046559i,0.00034331-0.00015128i,6.4934e-05+1.2817e-05i,0.00038615-0.00025212i,0.00061008+0.00018566i,-0.00016971+0.00047285i,-0.00083902+0.0001821i,-0.00083662+0.00054129i
0.00050551-0.00073532i,0.0018623-0.00038274i,0.001529-0.00099891i,2.5875e-05-0.0010348i,-0.00058974-0.00036551i,-0.00029663+8.0952e-05i,-0.00064621+0.00033634i,-0.00057575+0.00047654i,-0.00043021+0.00042361i,-0.0003377-0.00040368i,-2.5819e-05-0.00093778i,-1.1623e-05-0.00060572i,-0.00023713-8.4667e-05i,-0.00059075-4.0029e-05i,0.00037244-0.00031211i,0.00071284+1.9164e-06i,0.0004205+0.00029873i,0.00031142+0.0008952i,-0.00029122+0.0013191i,9.3178e-05-4.0064e-05i,0.00045927-0.00087269i,2.4551e-05-0.00088965i,4.6696e-05-0.00021955i
