0.00098095+0.00013237i,0.0016235-0.0016537i,0.0013868-0.0037934i,0.0003326-0.0039908i,-0.0017273-0.0028022i,-0.0033533-0.00088865i,-0.0021355+0.001032i,0.0001813+0.00038008i,0.0011362-0.00045522i,0.00090928-0.00075172i,0.00070799-0.00055416i,9.7683e-05+5.2938e-05i,-0.00044118-1.6077e-05i,-0.00051602+0.0001273i,8.932e-05+0.00015743i,0.00015894+0.00048498i,0.00046933+0.00078751i,0.00081077+0.00013675i,0.00020102-0.00040979i,-0.00036936-0.00032587i,-0.00067459-0.00083772i,-0.00083935-0.0016211i,-0.00089797-0.0014904i
0.00066839+0.0001683i,0.0005209-4.8857e-05i,0.0004915-0.0019057i,7.9552e-06-0.0028106i,-0.0017069-0.0016371i,-0.002055-1.291e-05i,-0.00078603+0.00048212i,0.00028709-5.7506e-05i,0.00093499-0.00061192i,0.00062448-0.00060095i,-0.00020029+7.3386e-05i,-0.00042591+0.0008687i,-0.00047866+0.00087551i,-0.00033512+0.00094507i,-0.00026872+0.0010206i,0.00015506+0.00038661i,0.0013833-0.00027386i,0.0011509+0.00012949i,0.00084423+0.00056377i,0.00041357+6.3458e-05i,-0.00033871-0.0001061i,-0.0004247+0.00041732i,-0.00062602+0.00083464i
0.00077958-0.00026716i,-8.2579e-05-0.0015465i,-0.00075071-0.0022643i,-0.00078736-0.0014257i,0.00014551-1.0349e-06i,0.00055583+0.0010862i,0.00014234+0.0010773i,-5.6762e-05+0.00056969i,0.00051285+0.00050922i,0.00092572-0.0002844i,0.0006533-0.00044627i,-0.00018694-0.00031981i,-0.00062369-0.00079935i,-0.00064438-0.00091982i,-0.00036577-0.00059569i,0.00065664-0.00029239i,0.00052153-0.00034484i,-0.00053814-0.00045725i,-0.00049095-0.00066208i,-0.00049994-0.00099861i,-0.0001055-0.0010639i,0.00039095-0.00058405i,-0.00010559-0.00023388i
-0.0023144+0.00074893i,-0.0015125+0.00044128i,-0.0010338+0.00037257i,-0.00052287-0.00038705i,0.00070398-0.0005748i,0.0008262-0.00024728i,-0.00011728-0.00015433i,1.8398e-05-0.0001995i,0.00015602-0.0004168i,0.00032807-0.00049945i,0.00072452-1.7543e-06i,0.00069783-0.00011442i,-7.0241e-05+6.7096e-05i,-0.00075043+0.00069172i,-0.00034197+0.00027148i,0.00056686-0.00021337i,0.00059594-0.0001882i,0.00025527-0.00010728i,-3.3568e-05-0.00029105i,-0.0001624-0.00046005i,9.9242e-05-0.00023186i,3.5039e-05+8.6125e-06i,0.00026745+0.00029622i
-0.00024638+0.00037857i,0.0010214+0.00026575i,0.0018907+0.00073701i,0.0020976+0.00035967i,0.0016353-0.0005541i,0.00029953-0.0010647i,-0.00065505-0.00042803i,-0.00038845+0.00032598i,0.00036451+0.00056857i,0.0004795+0.00027955i,0.00040761+0.00015201i,0.00026322-3.6449e-05i,-0.0005014-0.00010882i,-0.0010693+0.00018866i,6.0413e-05-0.00010235i,0.00089367-0.00041782i,0.00053717-0.00013402i,-1.5922e-05+0.00031478i,0.00033873+0.0010402i,-4.0881e-05+0.00056843i,-0.0011017-0.0003287i,-0.0016455-0.0010206i,-0.0012786-0.00093634i
0.00046953-4.3477e-05i,0.00071821-0.0003035i,0.00070191-0.0012707i,0.00056871-0.0013486i,-0.00011343-0.00064187i,-0.00063882+2.8257e-05i,-0.00025712+0.00062502i,0.00021464-8.9434e-05i,0.00029226-0.00076447i,0.00027182-0.00073072i,0.0001663-0.00042684i,-0.00044134-0.00026759i,-0.00080777-0.00085209i,-0.0004946-0.0012443i,-0.00068421-0.00037332i,-0.00029845+0.00010313i,-0.00017689-0.00014057i,-5.8989e-05+0.00033485i,-3.3897e-05+0.00016575i,-0.00069791-0.0002841i,-0.00060282-0.00030324i,-0.00089462-0.00045115i,-0.00076172-0.00049171i
-0.00037245-0.00047873i,-0.001084-0.00038246i,-0.00094851-0.00077959i,4.0359e-05-0.0013679i,0.00021227-0.00096441i,2.7362e-05-0.00044213i,-0.00031158-0.00022505i,-0.00058155-0.00011765i,-0.00090593+3.9713e-05i,-0.00091918-9.3088e-05i,-0.000609-0.00014215i,-0.00055877-0.00012674i,-0.0007516+9.1638e-05i,-0.00014219-0.00039858i,0.0009796-8.5571e-05i,0.00072146+0.00084638i,0.00046762+0.00093364i,0.00045654+0.00034659i,-0.00050626+2.266e-05i,-0.0010696+4.507e-05i,-0.00052671+9.0967e-05i,-0.00043371-5.0536e-06i,-0.00038297-6.6748e-05i
0.0016813-0.0017914i,7.0526e-05-0.00094736i,-0.0011496-0.0014427i,-0.0014666-0.0015403i,-0.0020714-0.00060915i,-0.0013183+0.00071205i,-0.00033891+0.0011749i,-1.7571e-05+0.00020983i,-7.1026e-05-7.7452e-05i,-0.00062235-0.0004304i,-0.00073907-0.00088962i,-0.00012482-0.00095801i,0.00011238-0.00108i,9.4939e-05-0.00031496i,-0.00031082-0.00025227i,-0.0008839-0.00075843i,-0.00072472+0.00017889i,-0.0005586+0.00081023i,-0.00076661-9.6177e-05i,-0.00063662-0.00020703i,-0.00068949+0.00070205i,-0.00047873+0.00026325i,-0.0001904-0.00075055i
-0.00063916+0.00073967i,-0.00072584+0.0014588i,-5.8476e-05+0.0014914i,0.0010101+0.00047067i,0.0012597-0.00037286i,0.00054366-0.0002899i,-3.5335e-05+0.00076051i,0.00028381+0.00069865i,0.00010654-0.00057441i,-0.00029425-0.00097962i,-0.00068067-0.00098882i,-0.0006976-0.00085747i,0.00028112-0.00044948i,-0.00015838-0.00013282i,-0.00080619+0.00056569i,-3.9128e-05+0.0012178i,0.00043225+0.00046841i,1.7108e-05+0.00014025i,-0.00056275+0.00016219i,8.5744e-05-0.0002398i,0.00047994+5.2383e-05i,-2.1405e-05+0.00036921i,-0.00010789+0.00038617i
-0.00020565-0.00087342i,-0.0013769-0.00082524i,-0.0013669-0.0013866i,-8.731e-05-0.0014791i,0.00013779-0.00095805i,-0.00085179-0.00067389i,-0.0010532+0.00033209i,-0.00053428+0.00106i,-0.00032751-5.1e-05i,-0.00029495-0.00041664i,0.00011586+0.00013064i,7.5713e-05-0.0005121i,2.9691e-05-0.00037216i,-4.1087e-05+0.00098146i,3.8474e-05+0.0011724i,-0.00036411+0.00035671i,-0.00078968+4.2338e-05i,-0.0005707-2.1372e-06i,0.00012554+0.00014229i,0.00054464+0.00020528i,0.00038612+5.5971e-05i,0.00032379-0.00065461i,0.00041618-0.0007412i
0.00065206+0.00016716i,0.0011366+2.1878e-05i,0.001426-0.00022875i,0.0011869-0.00061625i,0.00048146+0.00014748i,-0.00018634+0.0008959i,-0.00061146+0.00011088i,3.3045e-05-0.00024576i,0.00040251-0.00055692i,-0.00029595-0.0014729i,-0.00052608-0.0014363i,-0.0011926-0.00072535i,-0.0010158-0.00014117i,-0.00056891+0.00048045i,-0.00028355+0.00058381i,0.00084168+0.00047848i,0.00078011+0.00035422i,0.0003802+5.3781e-05i,-0.00014383-0.00041939i,-0.0012135-0.00024363i,-0.00038473-8.9061e-06i,0.00089292-0.00044859i,0.00070683+0.00022833i
0.00035535+0.00038948i,0.0001387-0.00022468i,-2.4014e-05-0.00063081i,0.00081274-0.0012573i,0.0016401-0.0012975i,0.0015277-0.00091463i,0.00073379-0.00020088i,0.00050593-1.4339e-05i,0.00068151-0.00047107i,0.00030807-0.00042701i,-0.0001677-0.00068539i,-0.00055602-0.00034269i,4.5334e-05-3.5191e-05i,0.00066074+6.6847e-05i,0.00048053+0.00053205i,0.00015697+0.000748i,0.00038724-0.0003062i,0.00090306-0.0005334i,0.00045837-0.00047456i,3.2236e-05-0.00097853i,0.00055178-0.00039412i,0.00042602-1.058e-05i,-0.00025934-0.00011982i
-0.00011611-0.00074777i,-0.00010313-0.00071979i,0.00030696-0.00081945i,4.9415e-05-0.00067555i,-6.6649e-05-0.00084008i,-0.00017561-0.00089289i,0.00034113-0.00058083i,0.00086993-0.00044849i,0.0008308+6.9651e-05i,0.00013256+0.00038017i,0.00016092-0.00034471i,0.000234-0.001583i,9.5779e-05-0.0012615i,-0.00021661-9.7515e-05i,-0.00072816-0.00044489i,-0.00088033-0.00074847i,-0.00070903-0.00010511i,-0.00020008+0.00032465i,0.00021952+0.00011707i,0.00041724+0.00010644i,0.00054308+0.00018284i,-4.0189e-05+0.0005659i,-0.00053393+9.2173e-05i
