-0.0017477+0.0015312i,-0.00015554+0.00056214i,-0.00020457-0.00058604i,0.00016326-0.0010037i,-0.00054933+0.00018084i,-0.0020438+0.0011172i,-0.0022711+0.0020364i,-0.00098473+0.0025008i,0.00026145+0.0015291i,0.00073742+0.00065518i,0.0018207-7.7922e-05i,0.002093-0.00023158i,0.00087746-8.3879e-05i,0.00015581+6.6835e-05i,-0.00056737+4.8695e-05i,-0.00050968-0.00027492i,0.00014817-0.00035347i,9.2829e-05-0.00041878i,0.00034597+0.00013752i,0.00088472+0.00059053i,0.0007514+0.0006914i,9.8853e-05+0.00040664i,0.00017704+0.0002477i
-0.00084952-0.0031617i,-0.001272-0.0026589i,-0.0016801-0.0027909i,-0.0017953-0.0018768i,-0.0016128-0.00064405i,-0.0010753+0.00061598i,-0.0012877+0.00015181i,-0.0015381-0.00067362i,-0.0015256-0.00060553i,-0.0014208-0.00066111i,-0.0011196-0.00066849i,-0.00048765-0.00036014i,-7.3037e-05-8.1844e-05i,-0.00010699+0.00028631i,-0.00015476-3.7967e-05i,0.00017556-0.00038487i,0.00025636-0.00029218i,2.5032e-06+3.7659e-05i,7.501e-05+0.00046189i,0.00050756+0.00018169i,0.00042004-0.00024651i,0.00020926+0.00054596i,0.00012473+0.0011276i
0.00036096+0.0011881i,-0.00012107+0.0010611i,-0.0007348+0.0009251i,0.00027735+0.00031702i,0.0005965-0.00014235i,-0.00071544+0.00019432i,-0.00083365+0.00056351i,-0.00051095+0.00011217i,-0.00035579-0.00042856i,0.00014968-0.00095313i,-8.0971e-06-0.0010079i,-0.00086516-0.00024558i,-0.0012601+0.00045714i,-0.00032895+0.00060668i,-9.1302e-05+0.00076845i,-0.00047897+0.00086889i,-0.00044756+0.00041233i,-0.00064817-4.1072e-05i,-0.00050495-0.00035708i,-0.00021327-6.3074e-05i,-0.00037719+0.00034132i,-0.00027542+0.00015719i,-0.0001514-0.00013213i
-0.0012418-0.0011412i,-0.00041405-0.00088595i,4.6889e-05-0.00091838i,-0.00049154-0.00060828i,-0.0015517-0.00024579i,-0.0014278+0.00010119i,-0.00027168-0.00026975i,0.00046117-0.00079218i,0.00052451-0.00045363i,0.00064849-0.00033373i,0.00046107-0.0005537i,4.5002e-05-0.00062446i,-4.6104e-05-0.00093451i,0.00022797-0.00070005i,0.00040487-0.00018816i,1.3752e-05-0.00037147i,-0.00048939-0.00062605i,-0.00025706-0.00066731i,0.00046581-0.00025536i,0.00084998+0.0005113i,0.00052286-0.00011068i,0.00049684-0.0006961i,1.1419e-05-0.00068931i
-0.0007536-0.00014072i,-0.0004863-0.00011109i,0.00024663+0.001025i,0.001048+0.00093756i,0.00068262-0.00042614i,-0.00075016-0.00072286i,-0.0018444+0.00043052i,-0.001187+0.00092614i,-0.00020154+0.00057571i,0.0002839-0.00019445i,0.00015246-0.00048673i,-0.00044556-0.00034791i,-0.00058345-0.00049558i,-0.00016919-0.00012354i,-2.8165e-05+0.00067012i,2.6659e-05+0.0004694i,-0.00053788-0.00025374i,7.7415e-05-0.00071291i,0.00082734-0.00024537i,0.00019543-0.00011291i,-3.8462e-05-0.0007638i,0.00057213-0.0008979i,0.00076908-0.00049378i
-0.00081687-0.0009657i,-0.00064159-0.00033517i,-0.00067517-0.00018181i,-0.00079843-0.00063655i,-0.00029429-0.0005715i,-0.00095176-6.1686e-05i,-0.0014787+0.00056288i,-0.0010308+0.00033198i,-0.0003178+0.00039149i,-0.00021325+0.00028453i,-6.0507e-05-0.00025425i,0.00047455-0.00053776i,0.00061309-0.00026965i,0.00084094+0.00059623i,0.0010392+0.00079701i,0.00049987+0.00056971i,-0.0004962-0.00025094i,-0.00022518-0.0010798i,0.00070315-0.0003843i,0.00091571+0.00071164i,0.00010198+0.000747i,-0.00051126+0.00050369i,-0.00065097+0.00072473i
0.0019365+0.00070937i,0.0012131-0.00033961i,0.0011313-0.0016184i,-4.3681e-05-0.0016805i,-0.0011978-0.0010735i,-0.0018635-0.0010927i,-0.00209-0.00020831i,-0.0016689+0.00028724i,-0.00029312-0.00066843i,0.00025081-0.00054254i,-0.00067676+0.00010236i,-0.0016204-9.4137e-05i,-0.00098005-4.4548e-05i,-0.00055907+0.00021066i,-0.00033534+0.00010973i,-8.6138e-05+6.4097e-05i,-0.00012846+6.7237e-05i,9.0886e-05-0.00065484i,0.0003783-0.0011191i,0.00088368-0.0004233i,0.00081147+0.00045577i,0.00054324+0.00031235i,0.00061079+0.00022052i
-0.00062778-0.00044729i,-0.00021092+0.00043733i,-0.001085-0.00047821i,-0.0018043-0.001067i,-0.0013797-7.6559e-05i,-0.00086323-0.00033439i,-0.0007666-0.00089425i,-0.00055274-0.00088481i,-0.00066301-0.00076125i,-0.00070494+0.00018028i,-0.00096609-0.0001413i,-0.00091303-0.00069659i,-0.00011178-0.00029848i,-6.8923e-05+2.0472e-05i,-0.00030605+0.00015297i,-0.0002982-0.00019587i,-0.00031783-0.00028224i,-0.00031935-0.00015747i,-0.0001533-0.00062181i,6.0331e-05-0.001014i,-0.00013227-0.0013516i,0.00020577-0.00096379i,0.00081797-0.00050495i
-0.0008213-0.0021765i,-0.0005155-0.002312i,-0.00067606-0.0020894i,-0.0016962-0.0016847i,-0.0019922-0.0012319i,-0.001905-0.00069074i,-0.0012169-0.00040542i,0.00012042-0.00025939i,0.00030825-0.00016394i,2.517e-05-1.6408e-05i,-9.8884e-05+0.00043062i,0.00030142+0.00046781i,0.00019788-0.00018629i,0.00040111-0.00092686i,0.00024427-0.00015839i,-0.00068886+0.00078208i,-0.00062963+0.00042565i,-0.00028978-0.00028621i,-0.00039957-0.00051135i,-0.00033291+0.00039676i,-0.00067311+0.0011192i,-0.0005613+0.00058114i,-0.00068901-0.00021541i
-0.00019813-0.0010817i,0.00065711-0.00056012i,-0.0003905-0.00023689i,-0.0010304+0.00018695i,-0.00054257-0.00022574i,-0.00079298-0.00041455i,-0.00052145-6.497e-05i,-8.9943e-05-0.00030648i,-0.0005626-0.00028071i,-0.00079608+0.000488i,-0.00090271+0.00067231i,-0.00039083+3.2747e-05i,-0.00037698-9.5918e-05i,-0.0003282-9.2908e-05i,0.00067981-0.00044542i,0.00077558-0.0002855i,0.0003614-0.00034175i,0.00017255-0.00049361i,-0.00022825-0.00020772i,-0.00068008-4.5671e-05i,-0.00053527+8.0058e-05i,-0.00031924+0.00031335i,-0.0001089+0.00070109i
0.0015525-0.0011202i,0.00065479-0.0015459i,-4.6548e-05-0.0028046i,-0.00094284-0.0027828i,-0.0016456-0.0016615i,-0.0018195-0.0012521i,-0.0015545-0.00039799i,-0.0010686+0.00052957i,-3.7523e-05+0.00023629i,0.00082493-0.00063889i,0.00044596-0.00053499i,0.0006208-7.8203e-05i,0.00069625-0.00010945i,0.0006691-0.00024281i,0.001191+0.00011788i,0.0010755+0.00076678i,0.00057304+0.00071737i,-0.00038363+0.00094464i,-0.00072904+0.0013153i,-6.3398e-05+0.00019078i,0.00038657-0.00054661i,0.0009572-0.00017895i,0.001136+5.6792e-05i
0.00065265+0.00060915i,0.00083462-0.00064475i,0.00088665-0.0011679i,-1.5616e-05-0.00079535i,8.5326e-05-0.0003495i,0.00019872-0.00010114i,-0.0002798-0.0003462i,-0.001195-8.8886e-05i,-0.0008945+0.00070747i,0.00081336+0.00066827i,0.0013669+0.00035044i,0.0013135+0.00047644i,0.00093914+0.00056165i,0.00039212+0.00019762i,7.7371e-05-7.2651e-05i,0.00052319+0.00027225i,0.00050832+0.00098177i,0.00029769+0.0011958i,0.00070071+0.00034229i,0.00087632-0.0003362i,0.00059298-0.00065718i,0.00035719-0.00081934i,0.00047316-0.0005819i
0.00095469+8.4154e-05i,0.0005982-0.00067795i,0.00069422-0.0014927i,0.00026177-0.0020707i,-0.00025721-0.0023352i,-0.0010316-0.0023587i,-0.001639-0.0010985i,-0.001115+2.2666e-05i,-0.00026013+0.0001935i,-0.00039038-7.2449e-05i,-0.0010374-9.744e-05i,-0.00087724-0.00046238i,-2.2976e-05-0.00087638i,-2.4354e-05-0.00061045i,-0.00019446+5.8996e-05i,0.0003908-7.2403e-05i,0.00086672-6.2e-05i,0.00045098-0.00025367i,1.2127e-05-0.00061297i,0.00011528-0.00049225i,0.00025119-0.00056247i,0.00044139-0.00079503i,0.00019756-0.00027374i
-0.00057499+0.0028455i,0.00069267+0.0018962i,0.0018446+6.9852e-05i,0.0025057-0.0018444i,0.0015611-0.0014403i,-4.1416e-05-0.000576i,-0.0011117-0.00036471i,-0.00090189+0.00018802i,0.00014563+0.00015326i,0.0011874-0.0004127i,0.0014149-0.00051239i,0.00031599-0.00064109i,-0.00092397-0.0013124i,-0.0012174-0.00058898i,-0.00077542+0.00019169i,-0.00062925+0.00014364i,6.3536e-05-1.7425e-05i,0.00080097+0.0003884i,0.00025591+0.00039889i,-0.00025268-0.00035982i,-0.00010892-0.0010347i,0.00012586-0.00094382i,0.00096681-0.00036679i
0.00013798+0.0016439i,0.00061645+0.0011233i,0.00038158+0.00031393i,0.00049879-0.00010586i,0.00093745-0.00086913i,0.00058649-0.0016268i,-0.00011516-0.0010269i,5.307e-05+0.00016264i,0.00018824+0.001081i,0.00043319+0.00048562i,0.0001689-0.00016738i,-0.00015983-0.00081433i,-0.00035333-0.0012982i,-0.00026215-0.0016841i,0.00081854-0.0015956i,0.0014398-0.00079453i,-0.00013279-0.00026263i,-0.00052559-0.00069155i,0.00056029-0.00031835i,0.00029479+0.00039398i,-0.00066092+0.0002532i,-0.00074364+0.0008844i,0.00016255+0.0011877i
