-0.002105-0.00029395i,-0.0016117+0.00066491i,-0.0016353+0.0011186i,-0.0014189+0.0014209i,-0.0011408+0.0026294i,-0.00027196+0.0034339i,8.3932e-05+0.0030054i,0.00050714+0.0024034i,0.0011622+0.0017567i,0.0019301+0.00092097i,0.0016047-0.00076956i,0.00060144-0.0015688i,2.8842e-05-0.00079864i,0.0001475-0.00041051i,0.00016549-0.00038029i,-9.3667e-05-0.00017788i,0.00014319+0.00030814i,0.00070249+0.00064261i,0.00095668+0.00056541i,0.00067687-0.00027002i,-0.00030442-0.00051809i,-0.00069744-0.00034015i,-0.0004426-0.00027241i
0.00017451-0.00079258i,0.00030171-0.0011652i,-0.00031406-0.00014592i,-0.00055324+0.00050472i,-0.00089501+0.0010977i,-0.0012809+0.0013515i,-0.00074204+0.00035972i,0.00023994-0.0004289i,-0.00046365-0.00088997i,-0.00081566-0.0017672i,-0.00022832-0.00095215i,-9.367e-05+0.00048337i,0.00028155+0.00027779i,0.00032333-7.3968e-05i,-6.823e-05-3.5427e-05i,0.00025389-0.00041756i,0.00097168+0.00028255i,0.00079532+0.00077683i,0.00033162+0.00058825i,-3.1912e-06+0.0005115i,-0.00020734+0.00078971i,-0.00039676+0.0011379i,-0.00027823+0.00034613i
-0.0010288-0.00023345i,-0.0017048-0.00017759i,-0.0018949+9.4548e-05i,-0.0011567+0.0013557i,-0.00045074+0.0033269i,0.0006188+0.0037178i,0.00086208+0.0020601i,0.00017874+0.0010067i,3.7662e-05+0.00079444i,-6.7749e-05+0.00071569i,-0.00070997+0.00030583i,-0.00065753-0.00041814i,-0.00012057-0.00060024i,0.00063906-0.00046364i,0.00067457-7.6099e-05i,-0.00010766-0.00031491i,-0.00014394-0.00044934i,0.00067074+0.00014533i,0.00062622+0.00024289i,0.00037631+0.00018417i,0.0006796+0.00020749i,0.00065227-9.7096e-05i,-6.0403e-05-0.00056687i
-0.0028353-0.00031632i,-0.0018775+5.6663e-05i,-0.0012965+0.00064675i,-0.0009463+0.0013731i,-0.0006182+0.0019874i,-0.0006824+0.0022865i,-0.00020021+0.001782i,0.00057122+0.00060926i,0.00062174-0.00058985i,0.00027262-0.00096078i,-0.00030376-0.00018007i,-0.00012161+0.00051175i,-5.1381e-05+0.00034149i,5.635e-05+0.00015799i,0.00047333+2.8792e-05i,0.00051623-5.1113e-05i,0.00036861-0.00018607i,0.00019193-0.00075993i,0.00020455-0.001005i,2.8535e-05-0.00062021i,-0.0007125+0.00039551i,-0.00058976+0.00072984i,1.1619e-05+0.00053114i
0.0015292+0.00014944i,0.0009002+0.00031999i,-0.00023436-0.00058327i,-0.00016863-0.00065637i,0.00043431+0.00048192i,-0.00042049+0.0010056i,-0.00060293+0.00094451i,2.6549e-05+0.00040765i,-0.00060768-0.00033633i,-0.00097152-0.00097205i,-0.00011352-0.00083359i,-0.00047633-2.3964e-05i,-0.00074492+0.00013252i,-0.00049377+9.3187e-05i,-0.00086071-0.00029832i,-0.0013523-0.0006487i,-0.00083755-0.00012038i,-0.00042121+0.00021356i,-0.00077047+1.5372e-05i,-0.00051837-0.00018779i,-0.00038637+4.8398e-05i,-0.0011614+0.0003733i,-0.00079817+0.00065377i
0.002559-0.00098404i,0.00044128-0.00084529i,-0.00050342-0.00049253i,-0.00069776-1.9469e-05i,-0.00066964+0.00051911i,-0.00063999+0.001222i,-0.00056866+0.0011472i,0.00017445+0.0006585i,0.00090639-0.00058293i,-0.00012848-0.0015125i,-0.0012582-0.0010386i,-0.00098019-0.00095039i,-0.00014251-0.00049817i,0.00028553-0.00044187i,0.00038716-0.00065123i,0.00032809-0.00052331i,0.00011245-0.00071224i,0.00028183-0.00066434i,0.00099508-0.00033427i,0.00046512+0.00038906i,-0.0004097+0.00083953i,-0.00053433-0.00013299i,-8.3781e-05-0.00029129i
-0.0018718-0.0031202i,-0.0020562-0.0022874i,-0.0030217-0.00063563i,-0.0029242+0.00074321i,-0.0019466+0.0023253i,-0.0012614+0.0031242i,0.00032932+0.0017424i,0.001321-2.4766e-05i,0.00024911-0.00045101i,-0.00056184+3.4091e-05i,-0.00046166+0.00089436i,-0.00071758+0.00095208i,-0.0012929+0.00035349i,-0.0011778+2.9297e-05i,-0.00080161-0.00048839i,-0.00034728+0.00022144i,-0.00035144+0.0010476i,-0.00038395+0.00056744i,0.00078206+0.000542i,0.0017977+0.00036763i,0.0014967-0.00034332i,0.00049671-0.0003678i,0.0003031-0.00046659i
-0.00059979-0.0019473i,-0.00048849-0.0011371i,-0.0015382+3.3581e-06i,-0.0018986+0.0012147i,-0.001902+0.0020214i,-0.0013305+0.0020525i,5.5718e-05+0.0010934i,0.00042881+0.00034953i,-0.00026048+0.00037587i,-0.00039913+0.00018692i,-0.00011723-0.00048486i,1.2856e-05-0.00069857i,-9.6756e-05+0.00051282i,-0.00020027+0.001286i,0.00012998+0.00079767i,0.00031748-0.0001397i,0.00061047-0.0004476i,0.00033299-0.00026705i,-0.00021804+0.00036504i,-0.00049778-4.7613e-05i,-0.000848-0.00032102i,-0.00099228-0.00023301i,-0.00088407-0.00037748i
0.00060516+0.0020631i,0.00038147+0.0010044i,0.00038545+0.0009134i,0.0004511+0.0011965i,0.0004556+0.00052597i,0.00014451+0.0004047i,-0.00037575+0.00044611i,4.8647e-05+0.00023405i,0.00046077+3.0157e-05i,0.00018224-0.00053552i,-0.00018543-0.00062855i,-0.00067175-0.0008434i,-0.00063713-0.00050354i,-0.0004137+0.00027266i,-0.00042002+0.00031695i,-6.2371e-05+0.00044247i,0.00019528+0.00084346i,0.00035495+0.0010642i,0.00012114+0.0011579i,-0.00034348+0.00050553i,0.00037548-9.322e-05i,0.00074229-6.0729e-06i,2.3902e-05-0.00016256i
-0.0010517-0.00044344i,-0.0007605+0.00032817i,-0.0012236+0.0003966i,-0.00081318+0.00046669i,-0.00037858+0.0011492i,-0.00010447+0.00072966i,0.00063428+0.0004447i,0.0010078+0.00041039i,0.0013045-0.00051232i,0.0013248-0.0013999i,0.0010576-0.0018336i,0.0014489-0.0012632i,0.00094924+0.0004082i,0.00070543+9.9098e-05i,0.00088559-0.00080241i,0.00024707-0.00052775i,-0.00026623+4.0497e-05i,-0.00019278-0.00021951i,0.00012322-0.00097265i,-8.1363e-05-0.00096887i,-0.00030554-0.00016248i,-0.00044913+0.00016269i,-0.00023061-0.00012572i
-0.0026271-0.0024615i,-0.0022694-0.0018798i,-0.0027866-0.00049048i,-0.0023377+0.0014087i,-0.0012517+0.0027393i,7.0151e-05+0.0034354i,0.00028076+0.00245i,-8.9228e-05+0.00101i,-0.00015597+0.00022453i,-0.00051074-4.5956e-05i,-0.00055692+0.00023902i,-0.00053384+0.00022704i,0.00039068-0.00047192i,0.00034333-0.00029307i,-0.00026298+0.00019445i,-0.00050453+4.7909e-05i,-0.00050518+0.00033119i,-0.00023964+0.00065892i,8.0516e-06+0.00021955i,0.0004762+0.00022506i,0.00028217+0.00044036i,-0.00050343-2.8247e-05i,-0.00027513-0.00059906i
