-0.0034366-5.6425e-05i,-0.001829-0.001173i,-0.0030507-0.0026536i,-0.0029323-0.0017448i,-0.0023405+0.0020599i,-0.00052571+0.0035886i,0.0015814+0.0031623i,0.0011989+0.0017625i,0.00061402+3.8644e-05i,0.0009226-0.00077561i,0.00012251-0.00074418i,0.00028928-0.00055175i,0.00055215-0.00082375i,0.00011528-0.0012455i,7.9293e-05-0.00070821i,0.00015534-1.3708e-05i,0.00011017+0.0001884i,0.00043586+3.9986e-05i,0.0014283+0.00010302i,0.0006452+0.0003204i,-0.0010341+0.00048105i,-0.00094518-2.7472e-05i,-0.00038253-0.00018711i
0.00042458-0.00055794i,-0.00039332+0.00029147i,-0.00038901+0.00074393i,0.00043149+0.0018253i,0.00088089+0.0025781i,0.0015376+0.0019252i,0.0013809+0.00093996i,0.00048179-0.00019178i,-0.00011244-0.00051387i,-0.00028489-0.00043401i,-0.00023963-0.00053437i,0.00074097+1.1937e-05i,0.00068369-5.1525e-05i,-0.0001099-0.00056865i,-3.9271e-06-1.565e-05i,4.2335e-05+0.00046199i,0.00012132+0.00022228i,0.00034227-0.00050481i,0.00026225-0.00070727i,-5.5956e-05-5.4042e-05i,-0.00029225+0.00042471i,-0.00083914+0.00010937i,-0.00035726+7.3612e-05i
0.00027817+0.00038573i,0.00033796+0.00070532i,-0.00068513-0.00016151i,-0.0015331-0.00024278i,-0.0014162+0.0015145i,0.00030051+0.0021201i,0.0014767+0.0012658i,0.00057307+0.00012587i,-0.00040456-0.00043428i,-3.2827e-05+4.4074e-05i,1.1207e-05+0.000956i,-0.00044062+0.00099446i,-0.00056051+9.4967e-05i,-0.00039402-0.00045926i,2.3945e-05+4.0353e-05i,5.8746e-05+0.00034561i,-0.00019946+0.00041888i,0.00032422+0.00034189i,0.00060837+8.7274e-05i,-5.9125e-06+0.00039306i,0.00025922+0.00049158i,0.0007363-0.00031947i,0.0002428-0.00037203i
-0.0012821+0.00082818i,-0.00043011+0.0014869i,0.00043947+0.002245i,0.0013694+0.0021829i,0.0020898+0.0020875i,0.0025044+0.0015883i,0.0021894+7.2172e-05i,0.00080292-0.00048402i,-0.000115-0.00075925i,3.5295e-05-0.00074024i,0.00013153-0.00043235i,0.00013834-0.00026477i,-8.6977e-07-0.00038102i,-0.00015712+9.2706e-05i,0.00016668+0.00036691i,-3.9926e-05+0.00025002i,-0.00070695-0.00040359i,-0.00077199-0.00090389i,0.0002702+0.00045677i,-0.00024088+0.0012548i,-0.00096592+0.00070699i,-0.00053973+0.0009442i,-0.00045564+0.0010392i
0.0017422+0.00066053i,0.00055286+0.00013081i,0.00064063-0.0011224i,-0.00014218-0.0014359i,-0.001084-0.00025788i,-0.00085307+0.0013653i,-0.00043964+0.0013472i,5.3756e-05-0.00020234i,0.001114-0.00073213i,0.0016888-0.00080668i,0.0011564-0.0010346i,0.00014805-0.0001994i,-0.00030961+0.00062546i,-0.00047493+0.00022369i,-0.00016691-0.00017564i,-0.00015115+5.6305e-05i,0.00012755+0.00021046i,-0.00011202-0.00050318i,-0.00079439-0.0015081i,-0.00043172-0.001052i,0.0004235-0.00049431i,-0.00031726-5.4268e-05i,-0.001093-3.0825e-05i
-0.00083521-0.00083023i,-0.0011424-0.00053703i,-0.0010233+0.00055408i,-0.00065291+0.0011223i,0.0001233+0.0014913i,0.0024509+0.0013644i,0.0029862+0.00041641i,0.0016802+0.00011964i,0.00039267+0.00011691i,0.00020207-3.1002e-05i,0.00010724-1.7818e-05i,-0.00038809-1.621e-06i,0.00021353-0.00023474i,0.0016853+7.6869e-06i,0.002153+0.00030762i,0.00067524-4.4433e-05i,-0.00062008-0.0001736i,-6.1953e-06-9.257e-06i,9.4927e-05+0.00010119i,-0.00026213-0.00039929i,-0.0001981-0.00095355i,-0.0004577-0.00046384i,-0.00052397+0.00019453i
-0.0018576-0.001694i,-0.00074713-0.001558i,-0.0013298-0.00048122i,-0.0022407+0.00080837i,-0.0012054+0.0016363i,0.00022462+0.0017688i,0.001225+0.001242i,0.00072653+0.0004686i,-9.2274e-05-0.00034433i,-1.5744e-05-0.00084146i,-3.4164e-05-0.0010195i,9.1365e-05-0.00047446i,0.00084334-8.2086e-05i,0.00055687-0.0003962i,-8.969e-06-0.00026763i,0.00020733-0.00018819i,0.00019719-0.00039116i,0.00013761-0.00027823i,0.00045169-0.00010157i,0.00078295+0.00017971i,0.00076501+9.4454e-05i,0.0004673-1.7585e-05i,0.0003636+0.00068294i
-0.00029447-0.0023499i,0.0004434-0.0023869i,0.00076805-0.0023588i,0.00019501-0.0013811i,0.00064913+0.0005236i,0.0019455+0.0016324i,0.0017793+0.001782i,0.00036423+0.00042448i,0.00011234-0.0010143i,0.00024111-0.00031397i,2.1201e-05+0.00015052i,-0.00041469-0.00020381i,-0.0010271-0.00059932i,-0.0010123-7.5441e-05i,-0.00032794+0.00060517i,0.00045663+0.00017082i,0.00040695-0.00052805i,0.00014415+5.6824e-05i,0.00018924+0.00040589i,0.00075929+0.00091399i,0.00063508+0.00091181i,0.00052522-0.0001878i,0.00022256-0.00015528i
0.00073138+0.0006526i,0.0012618-8.0383e-05i,0.0012793-0.000338i,0.00064333-0.00087507i,0.0011999+9.8136e-05i,0.0021133+0.0016151i,0.0023648+0.0020802i,0.0016373+0.0011689i,0.00094874-0.00030502i,0.00054453-0.0013627i,0.00069156-0.0014962i,0.0008243-0.00076071i,0.00062663+0.0002124i,0.0011948+0.00017651i,0.00128-0.00036616i,0.00051383-0.00077445i,0.0004732-0.000508i,0.00037375-0.00013738i,-0.0005588-0.00032334i,-0.0012273+4.4612e-05i,-0.00099043+0.00012407i,-0.00091523-0.00028603i,9.9829e-05+4.3473e-05i
0.0024382+0.00031223i,0.0020367-3.766e-05i,0.0017485-0.00052209i,9.7901e-05-0.00026802i,6.5982e-05-0.00038331i,0.0010802-5.7896e-05i,0.00046724+1.0412e-05i,8.5837e-05-0.00031036i,0.00023619-0.00071266i,5.9542e-05-0.0010162i,-0.00030792-0.00088711i,-0.00028035-0.00063249i,-0.00050115-0.00018735i,-0.00080364+0.00068722i,-5.9143e-05+0.0013703i,0.00017317+0.0011449i,7.7023e-05+0.00028091i,-0.00022533-2.8473e-05i,-0.00077862-0.0004873i,-0.00077821-0.00043411i,-0.00040879+7.5043e-06i,-2.7764e-05-0.00037641i,-0.00020723-0.00071558i
0.00096623-0.00026052i,0.00042146-0.00067654i,-0.0010447-0.002044i,-0.0022465-0.0016516i,-0.0018796-0.00040411i,-0.0013053+0.00034224i,3.4647e-05+0.00035102i,0.00024304-0.00021335i,-0.00050511-0.0004555i,-0.00089636-0.0006391i,-0.00079904-0.00070162i,-0.00073558-0.00039375i,-0.00064426+0.00010284i,0.0001075+0.0004143i,0.00014913+0.00043513i,0.00057038+0.0004128i,0.00084866+0.00041491i,0.0010458+0.00047526i,0.00055875+0.00031739i,-0.00032351+0.0001518i,-0.00045192+0.00021467i,0.00032052+0.00046051i,0.00012161+0.00085457i
