0.0017618+0.0010275i,0.003371-0.00039981i,0.0035324-0.0010711i,0.002845-0.0016572i,0.00072391-0.0020211i,-0.00073715-0.0013563i,-0.0005823+5.131e-05i,0.00038635+0.00074282i,0.0004105+0.00033995i,-8.5649e-05-0.00048968i,0.00018404-0.00064808i,0.00074158-0.00023864i,0.0011638+0.00051909i,0.00054224+0.00037572i,-0.00047421+0.00035382i,-0.0010533+0.00068349i,-0.00086022+0.00016235i,-0.00011252+0.00019979i,-0.00013756+0.00065624i,-0.00072452+0.00037597i,-0.00065434+0.0004823i,-0.00068262+0.0005417i,-0.00049462-0.00075763i
-0.0021568+4.9148e-05i,-0.0014839+0.00037304i,0.00028814+0.0016594i,0.0016558+0.002521i,0.0015671+0.0025117i,0.0017724+0.001452i,0.0017146+0.00057003i,0.0007143+0.0001691i,-0.00021959-0.00062802i,-0.00020215-0.00062457i,0.00027408-0.00056254i,0.00032927-0.00027853i,-1.9788e-05+0.00016134i,-0.00077987+0.00014304i,-0.0004873-5.6651e-05i,0.00046729-0.00024964i,0.00041506+3.1773e-05i,0.00076368-5.9309e-05i,0.00062815-0.00037581i,-0.0002752+6.8088e-05i,-0.00065094+0.0010905i,-0.00098129+0.0011662i,-0.00073475+0.00056028i
0.00069407+0.0015751i,0.0017671+0.00083253i,0.0018106+0.0016894i,0.0024765+0.0026954i,0.0035331+0.0026346i,0.0033398+0.0011873i,0.0015773-0.00075439i,0.00055885-0.0011701i,0.00024999-0.0011115i,-0.00038436-0.0015726i,-0.0003218-0.0014793i,0.00016689-0.0012764i,0.00052388-0.0013242i,-0.00018342-0.0012287i,-0.00064244-0.00029493i,-0.00032201+0.00082781i,-0.00070612+0.00018261i,-0.0012919-0.0011908i,-0.0012882-0.0011466i,-0.00099646-0.00041565i,-0.00046173-0.00035897i,0.00038361-0.00017556i,0.00020089+0.00025625i
-0.00010018-0.00065136i,-0.0010511+0.00046546i,-0.0011858+0.0010508i,-0.00011817+0.00053037i,0.0001149-0.00044403i,-0.00015858-0.00088068i,0.000371-0.00071114i,0.001174-0.0012588i,0.00083837-0.002695i,-1.3595e-06-0.0029264i,-2.7008e-05-0.0015265i,0.00048748-0.00081571i,1.1501e-05-0.00059321i,-0.00064049-0.00063322i,-0.0002549-0.0006225i,-0.00036991-0.00041798i,-0.00091572-0.00075011i,-0.0011172-0.0006565i,-9.8635e-05+0.00047229i,0.0011158+0.0013397i,0.00039964+0.0011922i,-0.00040063+0.00072288i,-0.00011876+0.00052143i
-0.00059212+0.00045239i,0.00097579+0.0014702i,0.0024913+0.0015276i,0.0033268+0.0017649i,0.0033166+0.0015234i,0.0032685+0.00010776i,0.0031327+0.00011683i,0.0024307-0.00059336i,0.001024-0.0014294i,-0.00026981-0.0010019i,-0.00082323-0.00021217i,-0.0011374+0.00048528i,-0.0011898+0.00064566i,-0.0010688-0.00031609i,-0.0014057-0.00072938i,-0.001117-0.00086144i,-0.00042296-0.0008145i,6.034e-05+3.478e-05i,0.00065619+0.0012402i,0.0013298+0.0014119i,0.0012218+0.00056121i,0.00080435+0.00064337i,0.00075185+0.00094083i
0.00094391-0.0027277i,0.00098965-0.0023898i,0.00027923-0.002266i,0.00012062-0.00067126i,0.00037669-6.1253e-05i,-0.00021409-0.00080207i,0.00063141-0.00038165i,0.0014402+4.761e-05i,0.0010107-0.00087021i,2.721e-05-0.0015784i,-0.00052076-0.0011577i,-0.00049761-0.00055356i,-0.0006358+9.2892e-05i,-0.00038472+0.000698i,0.00040405+0.00098648i,0.00025081+0.00018142i,0.00012029-0.00036083i,-8.9113e-05+0.00022004i,-0.00050875+0.00078087i,-0.00035676+0.00065891i,0.00059003+7.1897e-05i,0.0011656+0.00016139i,0.00070561-0.00037488i
-0.0015825+0.0020115i,-0.000739+0.0027045i,0.00073584+0.0033023i,0.0020409+0.0035303i,0.0011784+0.0021698i,0.0010079+0.00038933i,0.0013518-0.00036748i,0.00058343-0.00065251i,-3.6725e-05-0.00044206i,3.0382e-05-0.0004298i,0.00035655-0.0010388i,0.00066789-0.0015034i,0.00079687-0.001215i,0.00078439-1.7724e-05i,0.00037272+0.00079148i,-0.00019553+0.00066011i,-0.00075018+0.00057094i,-0.00078599+4.9479e-05i,-0.00048246+0.00022721i,0.00032159+0.0010253i,0.0010584+0.00066286i,0.0011601+1.4663e-05i,0.00083446+4.1248e-05i
0.00024214-0.0030469i,-0.0010531-0.0037295i,-0.0017545-0.0033781i,-0.0012892-0.0018983i,-0.00036776-0.0012915i,0.00060266-0.00045853i,0.00090785+0.00028262i,0.00068074-0.00023175i,0.00036998-0.00082244i,-0.00033089-0.0005813i,-0.00061858+0.00062986i,1.7116e-05+0.0014445i,0.00072427+0.00086979i,0.0014069+0.00045628i,0.00099391-0.00034084i,-0.00037354-0.0010417i,-0.00055468-0.001138i,0.00020291-0.00051382i,0.00018706-0.00021372i,-0.00015288-5.037e-05i,0.0003162+0.0009296i,-4.6159e-05+0.0011631i,-0.00052998+0.00041849i
0.0017034-0.00029165i,0.001923-1.0508e-05i,0.003125+0.00031709i,0.004005+0.00055165i,0.0031855+0.00028687i,0.0018877-0.00025336i,0.0009115-0.00024827i,8.1001e-05-0.0007027i,-0.0010381-0.00084078i,-0.0014762-0.00037139i,-0.0010749+0.00033355i,0.00015081+0.0010269i,0.0009471+0.0010989i,0.00022311+5.409e-05i,-0.0012235-0.0014709i,-0.0011334-0.0014853i,-0.00015576-0.0011652i,7.493e-05-0.00073682i,-4.4048e-05-7.2676e-05i,0.00029285+0.0011683i,0.00036722+0.0014373i,0.00023271+0.00021387i,6.0188e-05-0.00095814i
-0.0013126+0.0012016i,-0.0010249+0.001376i,-0.00069397+0.0016898i,-7.7322e-06+0.00073411i,0.0010211-0.00011848i,0.0017534+5.7959e-05i,0.0012937-0.0008736i,0.00087706-0.0019243i,0.00051277-0.001981i,-0.00039759-0.0025486i,-0.00055079-0.0026752i,-0.00047254-0.0018075i,-0.00057494-0.0010979i,-0.00088606-0.00053897i,-0.00089405-0.0001238i,0.00018412-0.00043048i,0.000673-0.00041641i,-0.00046372-0.00022448i,-0.001047-0.00079975i,-0.00027241-0.0005058i,0.00051425+0.00038973i,0.00080117+0.00010522i,0.00061949-0.0002678i
-0.00012857+0.00023699i,-0.00051387+0.00015448i,-0.0012437-0.00042269i,-7.107e-05-0.00055591i,0.0019709-0.00060147i,0.0013774-0.00035133i,-0.00019456-0.00024823i,0.00038746-0.0011069i,0.00086892-0.0017667i,0.00039495-0.0017789i,0.00017188-0.00153i,0.00034362-0.00089041i,6.3715e-05-0.00035725i,-0.00053045-0.00020675i,-0.00087311+0.00033727i,-0.00054875+0.00054974i,-0.00063711+0.00018634i,-0.00063352-0.00064845i,-0.00026424-0.00034454i,-0.00040154+0.00041635i,-0.00069293+0.00074561i,0.00014704+0.00057315i,0.00089916-0.00015551i
