4.3442e-05+0.0023379i,-0.00066625+0.0014393i,-0.0032451+0.0012449i,-0.0022666+0.00086558i,-0.00090278+0.0010575i,-0.0001364+0.0012243i,0.00069171+0.0015574i,0.0011838+0.0014019i,0.001517+0.00043388i,0.0013314+0.00018055i,0.0014804+0.00035004i,0.00090493+8.3297e-05i,-7.5903e-05-0.00050771i,0.0002161-0.0012255i,-0.0001216-0.0011562i,-0.00071347-0.00097082i,-0.00042835-0.00051049i,9.6942e-06+0.000272i,3.4147e-05+0.00022804i,-0.0004267+0.00012379i,-0.00090946+0.00049286i,-0.00087252+0.0008555i,-0.00036418+0.00083733i
0.0027801-0.0026439i,0.0020965-0.0031254i,-0.00070724-0.0032085i,-0.0016321-0.0014324i,-0.00065261-0.00031353i,-0.00042792-0.00036133i,-0.00012093+0.00011647i,0.00036883+0.00047148i,3.9057e-05+0.00064132i,-0.00060991+0.00028048i,-0.00040043-2.6911e-05i,6.7738e-05+0.00046166i,0.0005852+0.00087113i,0.00070993+0.00096081i,0.00016004+0.0011218i,-0.00014615+0.00096168i,-0.00029752-3.8465e-05i,-0.00053489-0.00097607i,-0.00011048-0.0007154i,0.00073153-0.00061941i,0.00091041-0.00062784i,0.00013999-0.00078199i,-0.00038024-0.00090581i
0.00030717+0.0019791i,0.00091605+0.0017732i,-0.00025296+0.00097283i,-0.00038293-0.00046064i,0.001068-0.00054241i,0.0014575-0.00049501i,0.00032982-0.000883i,-3.4988e-05-0.00098499i,0.00049634-0.00022837i,0.00040817+0.00022183i,0.00026095-0.00020523i,-0.00010538-0.00049823i,-0.00069544-0.00076992i,-0.00094149-0.00065998i,-0.00048631-0.00066481i,-0.00018508-0.00061472i,0.00010195-0.00047831i,-5.8067e-05-0.0004966i,-0.00081296-0.00019015i,-0.00078652+6.7846e-05i,-9.8692e-05-0.00027679i,0.0009081-0.00066379i,0.0011521-0.00032604i
-0.00017037-0.0010191i,-0.00024423-0.00091521i,-0.00058006-0.00089808i,-0.00056947-0.00017405i,0.00075019+0.00049601i,0.0010124+0.00024784i,-0.00015138-0.00045257i,-0.00018994-0.0004895i,-0.00028851-0.0002749i,-0.000105-0.00066138i,0.00068591-0.00014357i,0.0010309+0.00094862i,0.0010195+0.0011212i,0.00038751-8.7787e-05i,0.0005111-0.0011056i,0.0013463-0.00056894i,0.00086319-0.00025924i,0.00020009-0.00055012i,0.00013056-0.00058007i,0.0001494-0.00058156i,0.00045061-0.00037093i,0.00045404-0.00037102i,0.00038432-0.0004252i
0.0013371-0.0025086i,0.00041623-0.0026129i,-0.0016733-0.0013559i,-0.002107+0.00041681i,-0.000287+0.0012406i,0.001397+6.4707e-05i,0.00096178-0.00099797i,0.00053391-0.0012113i,-0.00030335-0.0010158i,-0.00078961-8.1449e-05i,0.00021447+0.00084052i,0.0010566+0.0011356i,0.00071632+0.0011355i,0.00054617+0.00058703i,0.00065429+0.00014872i,0.00075796+0.00013868i,0.00080276+0.00020548i,-9.2355e-05+0.00057542i,-0.00082998+0.00062126i,-0.00057328+0.00027364i,-0.00017315+0.0005544i,-0.00031216+0.00058868i,-0.00053515+0.00026847i
0.00079259+0.0017931i,0.0012704+0.0010752i,0.001336+0.0011497i,0.0010595+0.0014715i,0.00045239+5.6596e-05i,-0.00015564-0.0013896i,-0.0011133-0.00095196i,-0.00038771-0.00044966i,0.00032329-0.00013185i,0.00039673-0.00046334i,0.0010902-0.00046921i,0.00050946+0.00014449i,0.00010087-7.6499e-05i,2.0055e-05-0.001183i,-0.00011655-0.0016864i,-3.5375e-05-0.00090727i,0.00023512-0.00064993i,6.0141e-05-0.00042539i,-6.4166e-05+0.00020119i,0.00033582+2.6043e-05i,0.00060325+0.00025416i,0.00074578+0.00037525i,0.00052535-0.00016856i
-0.0005887-0.00097639i,0.00046359-0.00055873i,0.00027001+0.00024786i,-0.0005382+0.00023963i,0.00031413-0.00033828i,0.0011514+5.3295e-06i,0.00040013+0.00088912i,-0.0003015+0.00047358i,0.00017595-8.2681e-05i,0.00012008-0.00015874i,-0.00017202+3.0868e-05i,-0.00026246+0.00051577i,0.00033362+0.00071845i,0.0005775+0.00025057i,-0.00025764+0.00010025i,-0.00049562-1.961e-05i,0.00024087-7.3478e-06i,0.0004931-0.0001235i,0.00033143-0.00025638i,0.00052471-0.00070229i,0.00087092-0.000689i,0.00086944-0.00068036i,0.00022316-0.00082483i
0.001979-0.00091569i,0.0013974-0.0031278i,0.00073916-0.0026678i,0.00033961-0.0012357i,-0.00017688-0.0012689i,-0.00081346-0.0018746i,-0.00074734-0.0014585i,-9.6232e-05-0.0011556i,0.00076557-0.0011475i,0.0011391-0.0005234i,0.00014986-0.00080103i,-0.00086311-0.0010414i,-0.00091323+0.00051158i,-0.0011689+0.0010261i,-0.00062358-0.0001494i,-0.00044927-0.0004254i,-0.00050901+0.00060195i,0.00013816+0.00023291i,6.4149e-05-0.00063595i,-0.00011498-0.00049617i,0.00032769-0.00026557i,0.00043471+1.038e-05i,0.00018718-0.00011814i
-0.00013567+0.00066911i,0.00090834+0.0010115i,0.0011069+0.0017988i,0.0014874+0.0019594i,0.0018228+0.00026483i,0.00069942-0.00095509i,-0.0004805-0.00045i,-0.00048003+0.00073201i,0.00011061+0.00086897i,0.00048214+1.7183e-05i,-7.3032e-05-0.00061476i,-0.00016461-0.0009596i,-0.00013858-0.00030984i,-0.00023369+0.00033767i,-3.1263e-05-3.9393e-05i,0.0005905-0.00016736i,0.00072518-1.6349e-05i,-0.00012663-0.00031294i,-0.00060206-0.00082028i,-0.0002541-0.00076985i,-0.00012286-0.00039769i,-0.00048964-0.00013444i,-0.00035096-0.00040247i
0.0025837+0.00075524i,0.0017019+7.9094e-05i,-8.6869e-05-0.00039396i,-0.00065327-0.0004867i,-0.00025579+0.00011629i,0.0006732-0.00016979i,0.00097918-5.2292e-05i,0.00050285+0.00054713i,0.00045962+0.00045447i,0.00039897-8.9939e-05i,0.00022651+0.00022196i,0.00075826+0.00016024i,0.0012017-0.00015371i,0.00043208-7.5324e-05i,-0.00012446+2.0817e-05i,0.00049439-1.8865e-05i,0.0006033+0.0005649i,-3.7647e-05+0.0005289i,-7.8001e-05+4.0968e-05i,0.00026559+0.00030431i,0.00029616+0.00054722i,1.3711e-05+0.00020798i,-0.00023759-0.00043952i
-7.126e-05+3.0035e-05i,0.00069588-0.0010571i,0.0002909-0.001467i,0.0007968-0.00048193i,0.0007741+6.6611e-05i,-0.00086406+1.1521e-05i,-0.0011724-2.6784e-05i,1.0967e-05-3.029e-05i,0.00025955+6.4709e-05i,-2.5893e-05+0.00033371i,-0.00059379+0.00038787i,-0.00042698+0.00035821i,0.0002317-8.8746e-05i,0.00039223-0.00026253i,2.223e-05-0.00040913i,0.00013636-0.00090225i,0.00063008-0.00064042i,5.1572e-05-0.00033772i,-0.00055819-0.00049207i,-8.6156e-05-0.00053925i,0.00022602-0.00026601i,0.00055267+0.00029941i,0.0010669+0.00020044i
