-0.0027085+0.0002391i,-0.0014819+0.001299i,-0.0030749+0.001855i,-0.0029043+0.0012789i,-0.0012796+0.0020745i,-0.00066046+0.0027222i,-0.00063155+0.0027941i,-8.6899e-05+0.0021653i,0.00084267+0.00076649i,0.00096539+1.5877e-05i,0.00030046-6.7804e-05i,0.00052537-0.00087091i,0.0010265-0.0011381i,0.0014378-0.00074543i,0.0018049-0.0011868i,0.0010848-0.0015976i,0.00034139-0.00051101i,-3.6687e-05+0.00033696i,0.00033326-0.00086786i,0.00052282-0.0013341i,0.00024806-0.00012543i,9.5542e-05+0.00055944i,9.0329e-05+2.3789e-05i
0.0015195-0.0029942i,0.000988-0.0028729i,0.00046615-0.0027399i,4.5888e-05-0.0011133i,-0.00035199+0.0010788i,-0.00057845+0.0026721i,0.00030749+0.0029148i,0.0015912+0.0020971i,0.0013023+0.00095724i,0.00041681+0.00073817i,-0.00030602+0.0010512i,0.00015204+0.00080139i,0.00084558+0.0006567i,0.0010232+0.00090806i,0.0014372+0.00073892i,0.00044929+0.0001611i,-0.00038515-0.00034481i,-6.4578e-05-0.00092993i,0.00031016-0.001052i,0.00088878-0.00063235i,0.0011002-0.00024154i,0.00055155-0.00039701i,0.00033409-0.00046748i
0.0039835-0.00094195i,0.0035347-0.0013191i,0.0015679-0.00075289i,-0.00059701-6.0651e-05i,-0.0014293+7.1965e-06i,-0.0013723+0.00050528i,-0.00038283+0.0017022i,0.00084854+0.0019859i,0.0010158+0.0011605i,-3.2991e-05+0.00096647i,-0.00083314+0.00097111i,-0.00073148+0.00069993i,-0.00031553+0.0012109i,0.00043089+0.0012283i,0.00056105+0.0015558i,0.00032858+0.0014255i,2.239e-05+0.00013796i,-6.5587e-05-0.0001747i,7.1467e-05+8.435e-05i,0.00049995+0.00059591i,0.00016876+0.00073134i,-0.00036171+0.00051227i,-8.9116e-05+0.0005122i
0.0012244+0.0017002i,0.00047062+0.0014655i,-0.0006694-0.00041737i,-0.001182+4.4711e-05i,-0.001523+0.001748i,-0.0010687+0.0024865i,-0.00040605+0.0025035i,-0.00010899+0.0024021i,-0.0001257+0.0017168i,-0.00016477+0.00062998i,-0.00022767-0.00059i,1.5257e-05-0.00091349i,0.00011446-0.00062295i,0.0002013-0.00077698i,0.0001879-0.00023106i,0.00026306+8.5169e-05i,-7.3252e-05+0.00026708i,-3.3753e-05+0.00050761i,0.0012172+0.0004593i,0.00083712+0.0005906i,-0.00040841+0.0004083i,-0.00038802+0.00017389i,-0.00015922-9.9907e-05i
-0.0010009-0.00063267i,-0.0006704-0.00022543i,-0.0007393-0.00014638i,-0.00049234+0.00051345i,8.3828e-05-9.1129e-05i,9.6112e-05-0.0002869i,2.8523e-05+0.00059862i,0.00016431+0.0013087i,-9.3017e-05+0.00064769i,5.5815e-05+9.3173e-05i,1.662e-06-4.6487e-05i,0.00031706-0.0003054i,0.00038586-2.5422e-05i,-0.00028481+0.0010251i,-0.00038494+0.00066696i,-0.00053738+7.9267e-05i,-0.00051416+7.3153e-05i,0.00018254-0.00021896i,0.00025522-0.00023187i,7.9589e-05+0.00050878i,7.1471e-05+0.0010754i,-0.00016617+0.0012024i,-0.00067184-7.2869e-05i
0.00013903-0.0019591i,0.00050524-0.00090296i,0.00049285-0.00031231i,0.00033487-0.00045981i,-0.0002669+0.00066215i,-0.00087461+0.0017463i,-0.0010974+0.001882i,5.6407e-05+0.0011551i,0.00084362+0.00036608i,0.00040302-0.00024699i,0.00016594-0.0008486i,0.00082386-0.00053506i,0.0013421+0.00026489i,0.00052627-0.0003217i,-0.00025287-0.00086499i,-0.00086939-0.00054658i,-0.0005203+0.00021316i,0.0005453+0.00056866i,0.00038282+0.00043944i,-0.00016423+0.00040127i,-0.00014787+3.0161e-05i,0.0002143-5.2531e-06i,-6.0662e-05-0.00058954i
0.00082913-0.00028646i,-0.00019619-0.0011717i,-0.00038047-0.001775i,0.000211-0.00089893i,-0.00066145+0.00047769i,-0.001188+0.0017447i,-0.00071897+0.001979i,0.0001472+0.00068108i,0.0006422-5.3749e-05i,3.6926e-05-0.00070796i,0.0004578-0.00085351i,0.00091697-0.00067807i,0.00019916-1.3965e-05i,0.00070712+0.00057447i,0.0013974+0.00055982i,0.00017794+0.00049549i,-0.0010003-0.00023634i,-0.00048843-0.00083533i,0.0001239-0.00012791i,0.00035485+0.00054731i,0.0005601+0.00034307i,0.0006021+0.0001942i,-0.00020342+5.1007e-05i
0.0018866+0.0017327i,0.0011969+0.0021136i,-1.7367e-05+0.0014384i,-0.00048374+0.0011444i,-0.0001481+0.0010832i,0.00013314+0.0015462i,-0.00024206+0.0019436i,0.00049104+0.001264i,0.0015308-0.00026868i,0.0015044-0.0013622i,0.00055407-0.0009414i,-0.0002014-0.0002546i,-0.00012954+0.0002609i,2.4232e-05+0.00071143i,0.00044895+0.0006079i,0.00066581+0.00048558i,0.00064891+0.00055522i,0.0001188+0.00040832i,-0.00066832-2.7979e-05i,-0.00013221-0.00019959i,-7.7958e-05-4.3163e-05i,-0.00062113-3.8244e-05i,-0.00034495-3.8301e-05i
-0.0016683+0.0017219i,-0.0017688+0.0016617i,-0.0010683+0.0011137i,-0.00085496+0.0011397i,-0.00023273+0.0013195i,0.00070756+0.0014514i,0.00030579+0.0012595i,0.00027157+0.00070589i,0.00065326+0.00017433i,0.001006+3.3157e-05i,0.00062935+0.00031322i,0.0003941+5.5804e-05i,0.00058087-0.00027275i,0.00030982-3.0272e-05i,0.00063227-6.2191e-05i,-3.3828e-05+5.6046e-05i,-0.00035601+0.00038771i,-0.00038875-0.00016754i,-0.00033309-0.0012043i,0.0003934-0.00098681i,-0.00028592+0.00043238i,-0.00039792+0.00047105i,0.0004701+0.00020637i
-0.0012672-0.00011957i,-0.0017249+0.00028831i,-0.0015017+0.0016432i,-0.00091332+0.0014533i,-0.00032007+0.00077514i,-0.00028624+0.00059158i,-0.00051971+0.0010796i,2.173e-05+0.00088829i,0.00026769-0.00063097i,-0.00040942-0.00053166i,-0.00084265-9.1802e-05i,-0.00031235-0.00041673i,-7.7998e-05-0.00087907i,-0.00021225-0.00068822i,-0.0001711-0.00038047i,-5.9942e-05-0.00033387i,0.00017852-0.00017283i,6.9306e-07-5.416e-05i,-0.00044599-0.00042587i,6.015e-05-0.00011533i,0.00011354+1.6564e-05i,-0.00034432-0.00034778i,-0.00034181+0.00025281i
0.0012186+0.00040882i,0.00011394+0.00026152i,0.0002821-0.00094422i,0.00052713-0.001534i,7.7368e-05-0.0012027i,-0.00071553+0.00017615i,-8.3702e-05+0.0015566i,0.00077578+0.0018515i,0.0011791+0.000911i,0.0013914+0.00068478i,0.00077086+0.00018839i,0.0001761-0.00066415i,0.0001214-0.00011404i,0.00025906+0.0008457i,0.00042424+0.00086073i,0.00079992-0.00012018i,0.00076173-0.00046976i,0.0011873-0.00077669i,0.0014314-0.00072969i,0.00085555+8.5835e-05i,0.00077864-0.00012976i,-4.7003e-05-0.00042903i,-0.0010305-0.00051843i
