-0.000273+0.0013213i,0.00044457-0.00073349i,-0.00081564-0.00053804i,-0.0015346+0.00030896i,-0.0010842+0.0010495i,-0.00076275+0.00095297i,-0.0011173+0.00014247i,-0.0010683+0.00035436i,-0.00038668+0.00058914i,0.0002443+0.00043536i,-0.00042578+0.00031607i,-0.00060372+0.00091549i,-0.001233+0.0010269i,-0.0017349+0.00019171i,-0.0013691+3.835e-05i,-0.0008586-0.00032146i,0.00020602-0.000533i,-3.6728e-05+8.1008e-05i,-0.00070764+0.00036645i,3.2247e-05+0.00039914i,7.3934e-05+0.00063805i,0.00033064+0.00036661i,0.00080488+0.00016922i
0.00083577+0.0002978i,0.00067022-0.00052201i,0.00063314-0.00035671i,-0.00015599-9.2868e-06i,0.00038181+0.0006082i,1.0227e-05+2.3521e-05i,-0.0012201-0.00072382i,-0.0012065-0.00018777i,-0.00058402+0.00058571i,-0.00036206+0.00018598i,-0.00033973-0.00031808i,-0.00048478-2.5289e-06i,-0.00036288+3.1238e-05i,-0.00013661-0.00018343i,-0.00035609+9.7993e-05i,-0.00054114+0.00030258i,-0.00084849+0.00075259i,-0.00089823+0.00092571i,-9.4586e-05+9.0931e-05i,1.4775e-05-0.00038513i,0.00019735-0.0008044i,0.00093235-0.00084912i,0.0011522-0.00096871i
0.0016537+0.0028702i,0.00056493+0.0015033i,-0.00017034+0.00020132i,-0.00022925-9.4265e-05i,-0.00028704-0.00031838i,-0.00074148-0.00059161i,-0.00096254-0.00018723i,-0.00058018+8.5206e-05i,2.0098e-05-6.6511e-05i,0.00026099-0.00056057i,0.00026324-0.00064391i,-0.0001965-0.00047143i,-0.00086558-0.00018246i,-0.00035864+0.00058599i,-0.00031141+0.0011031i,-0.00046643+0.00070335i,-0.00020621-3.5148e-05i,0.00033741-0.00019938i,0.00024932+0.00034788i,-0.00010565+0.0010389i,3.7861e-05+0.0014i,-0.00018652+0.00099435i,-0.00030142-0.00010527i
0.0012623-0.0008951i,0.00065453-0.00097606i,-1.5919e-05-0.0011139i,3.725e-05-0.00081388i,0.00017304-0.00066195i,-0.00024491-0.00026732i,-0.00079118-0.00040748i,-0.00061467-0.00025802i,-0.00060227+0.00035044i,-0.00089804+0.00022332i,-0.00071059-7.9631e-05i,0.00036299-0.00013384i,0.00051134+0.00014144i,-0.00024836+0.00060327i,-0.00044451+0.00058206i,-0.00080534-6.1892e-05i,-0.00050575-0.00094935i,0.00016884-0.00055921i,-0.0002433+0.00033548i,-0.00027926+0.0010336i,7.8737e-05+0.0016596i,0.00059898+0.0010441i,0.00069327+0.00056474i
0.00057913-0.0010409i,0.00033134-0.0015628i,0.00080892-0.00086534i,0.00044493-0.00043067i,-0.00023465-0.00057071i,-0.00045099-0.00108i,-0.0008164-0.0017753i,-0.0005012-0.0011535i,-4.5604e-05-0.0006923i,-8.349e-05-0.00045777i,6.0015e-05+0.00016518i,0.00032499+0.00053796i,6.7136e-05+0.00049915i,-0.00040712+0.00021813i,-2.8338e-05+3.8268e-05i,0.00028117+9.2741e-05i,-0.00039492+0.00030543i,-0.00070718+0.00027504i,-0.00042468+0.00026025i,-0.0008183-0.00027753i,-0.0011051-0.00015379i,-0.00074859-0.00023755i,0.00016752-0.00042542i
0.00093435+0.0011i,0.00045176+0.00037712i,0.0001158+8.2774e-05i,-0.00024565-0.0008142i,-0.00058042-0.0010284i,-0.00022444-9.7198e-05i,0.00015934-7.7903e-06i,0.00036329-0.000332i,0.00034041+0.00011386i,0.00067632+0.00049187i,0.00067912+0.00028158i,0.00022239+0.00068468i,-0.00031475+0.00012341i,-0.00013451-0.0004858i,3.3531e-05-0.00027303i,-0.00010525+9.862e-05i,-0.00076391-0.00019714i,-0.00069401+8.0319e-05i,8.4667e-05+0.00059124i,0.00033823+0.00071789i,1.8851e-05+0.00037032i,0.00020516-4.9441e-05i,0.00016674-0.00059379i
-0.00081025-0.00088239i,-0.0014314-0.0010344i,-0.0018583-0.0012461i,-0.0014363-0.0010497i,-0.0017291+2.9578e-05i,-0.0017738+0.00048615i,-0.0017967+0.00035809i,-0.0010966+0.00037516i,0.00029641+0.00054562i,0.00057922+0.00058345i,-0.00046131+0.00013647i,-0.00086559-0.00060831i,-6.646e-05-0.00035944i,-0.00048038+0.00057816i,-0.001401+0.00074437i,-0.00084419+0.00027045i,0.00068873+0.00029977i,0.0010823+0.0007386i,-1.0468e-05+0.00034163i,-0.00072823+6.5186e-05i,-0.00070932+0.00013924i,0.00028735+0.00015417i,0.00074424+0.00021478i
-0.0020761+0.00027922i,-0.0013758-0.0003224i,-0.00019797-0.00071107i,7.6233e-05-0.00046679i,-0.0001366+8.309e-05i,-2.8634e-05+7.0089e-05i,-0.00026493-0.00061179i,-0.00073274-0.0010311i,-0.00025792-0.00039846i,-0.00021028-9.4641e-05i,-0.00043362-0.00013413i,8.4376e-05+0.0001267i,0.0004197+0.00023139i,-0.00076627+0.00053151i,-0.0017935+0.00079232i,-0.0012866+0.00061443i,-0.00070256+0.00011942i,-0.0006344+9.825e-05i,-8.8954e-05+0.00024051i,0.00074671+0.00024718i,0.00052835+4.8275e-05i,0.00049063-0.00026679i,0.00080413+0.00040094i
0.00076866-0.0010933i,0.00040016-0.0012849i,-0.00025753-0.00055413i,-7.6119e-05-0.00031746i,0.00076659-0.00047013i,0.00047262-0.00031299i,-0.00076336-0.00024417i,-0.00065055-5.4376e-05i,-0.00013512+0.0001089i,0.00031798-0.00047966i,0.0003779-0.00023554i,-0.00021381+0.00049405i,-0.00064902+0.0002928i,-0.00060501+0.0002806i,-0.0010622+0.00040096i,-0.0010295-0.00011581i,6.4117e-05-0.00036291i,0.00081184-0.00013069i,0.00074238+0.00067922i,0.00048983+0.0011381i,0.00034869+0.00061082i,0.00063747-0.00012832i,0.00073563+0.00016769i
-0.00089148+0.0006668i,-0.00069345-0.00064894i,-0.0012132-0.00045489i,-0.0015229+0.00034365i,-0.00097269-2.1976e-05i,-0.0010681-0.00053136i,-0.0014321+0.00022069i,-0.0014167+0.0005633i,-0.0017513+0.00067871i,-0.00069671+0.00087615i,-0.0002554+0.00092801i,-0.00068868-0.0002655i,-0.00022974-0.0015878i,-0.00040879-0.0010716i,-0.00087516+8.0011e-05i,-0.0005974+0.00028766i,-0.00077013+0.00013944i,-0.00099775-0.0002396i,-0.00072341+7.1447e-06i,-0.00067407+0.00089265i,-0.00088938+0.0013987i,-0.00086152+0.00077868i,-0.00052027-0.00050142i
0.00042493-0.0010521i,0.0011135-0.0004292i,0.001424-0.00011372i,0.00099596+0.00012515i,0.00019744-0.00024526i,-0.00064967-0.00059001i,-0.00087544-0.00049489i,-0.0010679-0.00065673i,-0.0004852-0.00023611i,0.00041017+6.1735e-05i,2.1058e-06+9.3444e-05i,-0.00040589+0.00016388i,-0.00047347+0.00022558i,-0.0013938+0.00029697i,-0.0017778-0.00015876i,-0.00024567-6.0818e-05i,0.00054746+0.00027585i,-5.3793e-06+0.00056627i,3.8725e-05+2.4707e-05i,0.00062328-0.00066421i,0.00012266-3.6042e-05i,9.852e-05+0.00012073i,0.00016084-0.00018435i
