-0.0029133+0.0017551i,-0.0024652+0.00090882i,-0.0030633+0.00067144i,-0.0027444+0.0011258i,-0.0015215+0.0013107i,5.0585e-05+0.0013312i,0.00062414+0.001651i,0.00095213+0.0014403i,0.0012765+0.0011942i,0.00070991+0.00091593i,0.00026156+0.00036335i,4.6129e-05-1.5092e-05i,-0.0010942-0.00060631i,-0.0013504-0.0012232i,-0.0012941-0.0003656i,-0.0022072+0.00038714i,-0.0021882-0.00027391i,-0.00022954-0.0012454i,0.00049486-0.00080106i,-0.00024907+8.6036e-06i,-0.00016771-3.9613e-05i,9.189e-06+0.00015275i,-0.00028265+0.00035432i
-0.0022894+0.0014168i,-0.001343+0.001747i,-0.0016238+0.0020393i,-0.000592+0.0027779i,0.00078608+0.0028555i,0.0011264+0.00032385i,-8.0444e-05-0.00070669i,-0.00078967-4.2597e-05i,-0.00029581+6.9914e-05i,-0.00015976-0.00029823i,0.00027034-0.0007943i,0.00043206-0.00092455i,0.00062141-0.00027121i,0.00030381-6.5233e-05i,-0.00029101-0.00017688i,-0.00027557-0.00021478i,-0.0005609-0.0005238i,-0.00076805-0.00057758i,-0.00019534-0.00012396i,0.00078822-0.00013397i,0.0012797-3.9002e-05i,0.00034996+0.00023286i,-0.00030701+3.5611e-05i
-0.00043099-0.0014599i,-0.0010978-0.0015035i,-0.0020483-0.0031663i,-0.0025898-0.0020977i,-0.0030749+7.0851e-05i,-0.0019794+4.9072e-05i,-0.00037022+0.00017321i,-5.9114e-05+0.00054821i,-0.00064816+0.00076862i,-0.00090985+0.00047623i,-0.00061005-0.00029352i,-0.00028108-0.00030179i,0.00038576-5.1811e-05i,0.00037669+0.00040365i,0.00036037+0.00036728i,0.00061453+1.5596e-05i,0.00054141-0.00034519i,3.5837e-05-1.2567e-05i,-0.0005397+0.00052445i,-0.00046727+0.0001213i,0.00018524+0.00026992i,0.00064231+0.0011723i,0.00049197+0.0012449i
0.0001224-0.0010642i,0.00033789-0.0010601i,-0.00064139-0.00095056i,-0.0012592+0.00084722i,-0.0013007+0.0014822i,-0.001135-0.00015648i,-0.00086501-0.0015354i,-0.00048572-0.0010278i,-0.00025055-0.00017363i,0.00012975+0.00048399i,-0.00012787+0.00020517i,-0.00045666-0.00065138i,-7.8812e-05-0.0014671i,-0.00035841-0.0012532i,-0.00076234+2.6394e-05i,-0.00049425+0.00050277i,-0.00060645+0.0002536i,-0.00067183+0.00052386i,-0.0002565+0.00042558i,0.00057513+0.0004629i,0.00070661+0.00063892i,0.00052416+0.00014157i,0.00020045+0.00011637i
0.0015147-0.00072835i,0.0003849-0.0015628i,-0.0010465-0.0011095i,-0.0016547-0.0008262i,-0.0017744-0.00090623i,-0.0015446-0.00074375i,-0.00046511-0.00052853i,-8.005e-05-6.6405e-05i,-0.00036731+0.00013573i,-0.00012967-0.00029121i,-0.00011182-0.00085613i,-0.00043281-0.001457i,-0.0002883-0.00090685i,0.00010394+0.00049641i,0.00017855+0.00044483i,8.1877e-05-0.00028636i,0.00027006-0.00068704i,0.00058223-0.00068446i,0.00060555-0.00054091i,0.00033769+2.9081e-05i,3.0283e-05+0.00017732i,3.8656e-05+0.00047478i,-0.00050378+0.00035033i
0.0010252-0.00091659i,0.00031751-0.00060046i,-3.8401e-05-0.00099508i,-0.00092564-0.0015405i,-0.0015194-0.00077633i,-0.00071944-0.00011595i,0.00028325+0.00035181i,-9.8792e-06+0.00082442i,-0.001533+0.00067838i,-0.0015927+0.00042113i,-0.00027816-0.00017095i,0.00019623+9.0615e-05i,0.00015867+0.0010639i,0.00026175+0.0011188i,0.00012599+0.00036527i,4.2593e-05-5.7264e-05i,-5.1637e-05+4.0086e-05i,0.00011539-0.00021395i,0.00032453-0.0011294i,0.00017046-0.0010809i,-0.00035919+0.00014177i,-0.0010046+0.00054591i,-0.00047315+0.00017844i
0.00053366-0.00041309i,-0.0013662-0.00042923i,-0.0030612-0.0005194i,-0.0035082-0.00072595i,-0.0028243-0.00060212i,-0.0011161+0.00073218i,0.00010239+0.0013738i,-0.00013812+0.0010476i,-0.00041527+0.00023317i,-0.00056413+4.399e-05i,-0.00081704+0.00027589i,-0.00013691-0.00045925i,0.00041632-0.00044936i,-0.00016979-0.00047769i,-1.5254e-05-0.00077195i,0.00034457-0.00082234i,-0.0001709-0.00095192i,-0.00064187+0.00023296i,-0.00089865+0.00094991i,-0.00097634-0.00017771i,-0.00049514-0.00082386i,7.236e-05-0.00028356i,0.00064767+0.0002263i
-0.00046728+0.00023175i,0.000305+0.00011643i,-0.00023417+0.00029875i,-0.00066329+0.00026728i,-0.00040719+0.00018849i,0.00014178+0.00050842i,0.00086157+0.00033776i,-0.00013481-0.00051771i,-0.00084328-0.00088324i,-0.00052568-0.00040163i,-0.00097107+0.00026778i,-0.00135+0.00032605i,-0.0010988+0.00024199i,-0.00066318+0.00011387i,-0.00074014+8.6278e-05i,-0.0005338+0.00078468i,-0.0001728+0.00054699i,0.00052424-9.3787e-05i,0.00071507+0.00011189i,8.1251e-05+0.000521i,0.00013826+0.00065891i,-0.00022009+0.00031515i,-0.00065716-3.9934e-05i
-0.00019998-0.00018821i,-0.0010598+0.00081987i,-0.0013995+0.0018252i,-0.0018666+0.0017573i,-0.0016366+0.00081006i,-0.00090805+0.00038677i,-0.00018946+0.00043274i,0.00086029-0.00068784i,0.00072931-0.00080341i,0.00043988+2.0622e-05i,0.0001772+0.0001024i,-0.00089341+0.00021233i,-0.001402+0.00018801i,-0.00067861+0.00037924i,0.00067336+0.00087642i,0.00087443+0.00058161i,4.6281e-05-0.00063113i,-0.00045768-0.00077101i,-0.00037468-0.00054786i,-0.00029391-0.00028654i,-1.9907e-05+4.4156e-06i,0.00023459-0.00017995i,-8.3498e-05+0.0003183i
0.00045067-0.0013817i,2.2043e-05-0.0010982i,-0.00015383-0.0014141i,-0.0004484-0.0011724i,-0.0011706-0.0010123i,-0.0013141-0.00055476i,-0.00041567+0.00038343i,0.00065396+0.00041146i,0.00012499-0.000158i,-0.00049145+9.6226e-05i,-0.00033266+0.0005168i,0.0001116+0.00079591i,-9.0764e-05+0.00074223i,-0.00085824+0.00020661i,-0.00047672-0.00040203i,0.00049955-0.00018479i,0.00062225+0.00051793i,0.00024283+0.0005102i,0.00026634-0.00049724i,0.00061067-0.00093275i,0.00044357-0.00069355i,-0.00050289-0.00034845i,-0.00059537+4.8858e-05i
-6.6838e-05-0.00029822i,-0.0001997-0.0010135i,-0.0012282-0.0012427i,-0.0029975-0.00051925i,-0.003369+0.00061474i,-0.0022772+0.00094217i,-0.00069135+0.00034782i,0.00012586+0.00021455i,-0.00020166+0.0005051i,-0.00075895+0.00041085i,-0.00032136+0.00038986i,7.9843e-05+0.00029584i,0.00016626-0.00032842i,0.00066199-0.00025873i,0.00099263-0.00088065i,0.0016076-0.0013769i,0.00096847-0.0011566i,-2.0432e-05-0.00087037i,-0.0003367-0.0005713i,-0.00031624-0.00068206i,-0.00027722-0.001142i,-0.00024638-0.00065099i,0.00026091+0.00042471i
-0.00088728-8.2556e-05i,-0.0017055-0.00010382i,-0.0019057-0.00077279i,-0.0016155-0.00016997i,-0.0019879+0.00036469i,-0.0011912-0.00013112i,-0.0010741+0.00043145i,-0.0010491+0.00017884i,-0.00072026-0.00049531i,-0.00018672+0.00041827i,0.00041589+0.00048196i,0.00052498-0.00018699i,0.00034314-0.00014598i,0.0003533-0.00076601i,-4.3063e-05-0.0015807i,-0.0005132-0.0016367i,-0.00034285-0.0006933i,-0.00059066-0.00045058i,-0.0012703-0.00034889i,-0.001306+0.00035325i,-0.0011278+0.00036953i,-0.00056837-0.00014318i,0.0005264-0.00034854i
0.00058693-0.00091901i,0.00027348-0.00040722i,0.0001931-0.0010825i,0.00056671-0.00085647i,0.0002608-3.6768e-05i,-0.00064476-0.00017425i,-0.00068004-0.00060713i,-0.00038542-0.00035808i,-9.0956e-05-0.00051429i,-1.1262e-05-0.00066225i,-6.1375e-05-0.00054645i,-7.1456e-05-0.00049457i,0.00036093-1.3412e-05i,0.0011412-0.0007076i,0.0011053-0.00051631i,0.00046025+0.00047126i,-0.00022122+0.00060982i,-0.00019371+0.00046469i,0.00010095+0.00027364i,0.00039819+0.00014686i,0.00075808+0.00035712i,0.00055398+0.00049625i,-4.156e-05+0.00018983i
-0.00022723+0.0017676i,-0.00083011+0.0011501i,-0.00074053+0.00066329i,-0.00045224+0.00021322i,-0.00089458+0.00030621i,-0.0014462+0.00037951i,-0.00063011-0.00055314i,2.5665e-05-0.000529i,0.00030408+0.00010658i,0.00032439+0.00025628i,-0.00031164+6.2689e-05i,-0.00019601+0.00012058i,-0.00021442-2.7602e-05i,-0.00070223-0.00050174i,-0.00077261-0.00019843i,-0.00048782+0.00078862i,-9.7279e-05+0.0015209i,-0.00022435+0.00098141i,-0.00062748-6.3271e-05i,-6.7787e-05+0.00014275i,7.2625e-05+0.00037752i,5.57e-05-0.00012207i,0.00065679-0.00062495i
0.00057158-0.00081147i,-0.00052324-0.00033386i,-0.0011712-0.00018448i,-0.0017033+0.00012525i,-0.0021324+0.0003266i,-0.0015373-4.8641e-05i,-0.00045308-0.00050497i,0.00051981-0.001196i,0.00081467-0.00079708i,6.6275e-05+0.00054143i,8.1727e-05+0.00016349i,0.00025212-0.00036139i,-0.00043787+0.00022868i,-0.00012354+0.00052124i,0.00051049+0.00054183i,0.00040074+0.00014538i,-0.00014752-0.00044679i,-0.00071485-0.00074874i,-0.00047479-0.00062125i,0.00013159+0.00029866i,6.784e-05+0.0010238i,-4.4695e-05+0.00062801i,0.00041408-9.1468e-05i
-0.00054718+0.00093069i,-2.6348e-05+0.0010417i,-0.00068752+0.001281i,-0.00091114+0.0011376i,-0.00079097+0.0004516i,-0.00014755-0.00027498i,0.00051615+4.5327e-05i,0.0008757+6.8649e-05i,0.00063446-0.00055601i,0.0001973-0.00063883i,0.00085026-0.00025274i,0.00119+6.8869e-05i,0.00082571-0.00013905i,0.00056445-0.00059899i,0.00055924-0.00066334i,0.00036811-0.00095273i,-0.00046285-0.0012167i,-0.00077415-0.00024981i,-0.00082856-7.1559e-05i,-0.00016948-0.00017981i,0.00066552+0.00032306i,0.00070564+9.9698e-05i,0.00015865-0.00041712i
-0.0029984-1.9259e-05i,-0.003078+0.00093837i,-0.003177+0.00064034i,-0.0019517+0.0014367i,-0.00085945+0.0019704i,0.00061227+0.0011582i,0.0017689+0.00037556i,0.00072839-0.00011633i,-0.00080825-0.00072869i,-0.0012515-0.00054609i,-0.00037931-0.00047234i,0.00032314-0.00075017i,0.00072963-0.00050738i,0.00099002+6.499e-05i,0.00052295+2.1241e-05i,-0.00018321-0.00049685i,-0.00051144-0.0010422i,-0.00018589-0.00064467i,-0.00039309+0.00029116i,-0.00018102+3.2086e-05i,3.8464e-05+0.00037278i,-0.00031532+0.0010331i,-0.00034928+0.0014884i
-0.0010201-0.0023625i,-0.0019778-0.0019969i,-0.0029704-0.0015259i,-0.0028379-0.00067066i,-0.002047-0.00042949i,-0.0014377-8.2563e-05i,-0.00097424+0.00042869i,-4.7298e-05-0.00020122i,-0.00044355-0.00090463i,-0.001418-0.0013724i,-0.0010305-0.0008671i,-0.00012926-0.00017745i,0.0011025-0.00050044i,0.0011297-0.00069081i,0.0010342-0.00095053i,0.001213-9.3272e-05i,0.00059745+0.00034879i,4.3653e-05-0.00037054i,1.9947e-05-0.0004569i,-0.00016294+0.00037234i,4.5189e-06+0.00037503i,0.00063453+6.7165e-05i,-0.00029327+0.00035134i
-0.00077362-0.0018544i,-0.0021795-0.00062799i,-0.0027713+0.0002385i,-0.0025121+0.0010143i,-0.0014159+0.0017205i,-0.00016163+0.0016771i,0.00034131+0.00077511i,0.00010802-0.0010804i,-0.00097112-0.0013068i,-0.0016192-0.00045355i,-0.00081072-0.00010277i,0.00010186+0.00027404i,0.0006694+0.0005099i,0.00022006+0.00056887i,-0.00036406-0.00025406i,0.00011895-0.0005364i,0.0002117-0.00015443i,-3.9722e-05+0.00034679i,-0.00031806+0.00041883i,0.00026567+0.0004376i,0.00016943+0.00050491i,-9.1768e-06-0.0001853i,0.00041982-0.00068997i
-0.001683-0.0022383i,-0.0017352-0.00056489i,-0.0030972-6.7787e-05i,-0.0028921+2.5062e-05i,-0.0018339+0.00086213i,-0.00050176+0.0021051i,-0.00023869+0.0015584i,-0.00077319-7.9678e-05i,-0.0010007-0.00051415i,-0.00049396+0.00046601i,0.00037389+0.001368i,0.0002138+0.00068473i,-0.0002497-0.00053895i,0.00025364-0.00057948i,-3.0452e-05-0.00019841i,0.00019518+0.00046192i,0.00055328+0.0005358i,0.00013714+0.00016045i,-0.00033637-1.5332e-05i,-0.00042837-0.00046516i,0.00043053-0.00013531i,0.00013581-6.995e-05i,-0.00038323-0.00063155i
0.00057914-0.00064606i,0.0016838-0.00057569i,0.0021649-0.00040313i,0.00036375+0.001404i,-0.00063421+0.0017554i,3.405e-05-0.00018289i,0.00020655-0.0010088i,0.00037911-0.00088829i,0.00095256-0.00040136i,0.00082694-3.6686e-05i,0.00065635-0.00018284i,0.00073184+0.00024879i,0.00022909+0.0011634i,-0.00015821+0.0011654i,-0.00089149+0.00068722i,-0.00080107-0.0001319i,0.00077953-0.00049363i,0.0014296-0.00032704i,0.00085604-0.00056626i,-8.1138e-05-0.00026346i,8.4352e-05-0.00042401i,0.00021806-0.00082658i,-0.00064828-0.00063578i
0.0011942+0.00069387i,0.0019866+0.00028291i,0.00067614-0.00035725i,6.1385e-05-0.00041371i,0.00042321-0.00077203i,0.00013187-0.0014845i,0.00027559-0.0013577i,0.00046861-0.0010161i,-0.00035627-0.0013492i,-0.0004451-0.00057355i,-0.00043344-0.00013773i,0.00032549-0.00064076i,0.00085489-0.00036649i,5.8481e-05-0.0001503i,-0.00019816-3.1679e-05i,5.6517e-05+5.4227e-05i,0.0001474-0.00070475i,0.00026386-0.0014421i,0.000163-0.00031357i,0.00048139+0.0006401i,0.00014202+0.00033739i,-0.00042034+0.00043804i,-0.00064752+0.00068869i
-0.0025766+0.001521i,-0.002365+0.0019547i,-0.0021388+0.001908i,-0.0023347+0.0021659i,-0.0013311+0.0016944i,-0.00086011-0.00023136i,-0.00083406-0.0012758i,-0.00055553-0.0013488i,-0.00024226-0.0011127i,-0.00030878-0.00062723i,-0.00012192-0.00051586i,0.00013982-0.00065086i,-0.00040342-0.0014067i,-0.00088223-0.001978i,-0.00067832-0.0011599i,5.4829e-05-0.0005261i,0.00023069-4.4727e-05i,-0.00053691+0.0003614i,-0.00060023+0.00012027i,0.00023074-8.3112e-05i,0.00079138-0.00037773i,0.00066535+9.443e-05i,0.00026282+0.00016347i
-7.8619e-06-0.00087345i,-0.0020412-0.0012814i,-0.0032402-0.0019102i,-0.0020143-0.0014259i,-0.0016802-0.00068179i,-0.0014011-0.00047565i,-0.00030901+0.00048486i,-0.00058338+0.0010799i,-0.0011411+0.00075779i,-0.00088275-3.3875e-06i,-0.0011102-0.00067856i,-0.0010753-0.00042664i,-0.00016064-0.00047642i,0.00023981-0.00030438i,3.3525e-05+0.00045622i,0.00027555+0.00013398i,0.0005349-0.00055447i,0.00028396-0.00044421i,-0.0006568-0.00051318i,-0.00046666-0.00087014i,0.00024846-4.2798e-05i,-0.00014509+0.00085263i,-0.00030362+0.00029772i
0.00092143-0.0017263i,0.0015379-0.0029547i,0.0011684-0.0024276i,-0.00029293-0.00083501i,-0.0017264-0.00022913i,-0.001266+3.4008e-05i,-8.8165e-05-0.00025161i,0.00011703-0.0005431i,-0.00022913-0.00036675i,-0.00052239-0.00035395i,-0.00083151-0.00038298i,-0.00055782-0.00061125i,0.00013982-0.00026714i,0.00043894+1.1523e-06i,0.00062219-0.00044521i,0.0001545-0.00054359i,-0.00019661-0.00074679i,0.00026935-0.00085683i,0.000734-0.00022918i,0.0010075+0.00014206i,0.00038836+0.00028821i,-0.00037837+0.00056568i,-0.00013161-3.7926e-05i
0.00032456+0.0016502i,0.00075135+0.00058419i,0.00062163+0.0004289i,-0.00013973-0.00013506i,6.1391e-05-0.00063946i,7.4123e-05-0.00072083i,-0.0004776-0.00036866i,-0.00034515-6.7284e-05i,-0.00035367+0.0002568i,0.00037089+0.00010679i,0.000483-0.00053508i,-0.0002891-0.00051764i,-0.00089692-0.00057764i,-0.00081815-0.0004845i,-0.00023193+0.0002589i,-0.00078613-2.041e-05i,-0.0013836-0.00022724i,-0.00085618-0.00018793i,-0.00026435-0.00025692i,-9.2431e-05+0.00050582i,-0.00032896+0.001069i,-0.00082711+0.00017819i,-0.0005924-0.00033032i
0.0026851-0.00056799i,0.0013925+1.6878e-05i,0.00050983-0.00047097i,0.00028151-0.0016638i,0.00027306-0.0019189i,-0.00073682-0.00093776i,-0.0012642-0.00027371i,-0.00026245-0.00089735i,0.00040961-0.0011457i,0.00048586-0.00089613i,0.00029928-0.0006075i,-0.00037703-0.00058002i,-0.00068786-0.0011045i,0.00013302-0.00041958i,0.00072405+0.00027929i,0.00078116+0.00042688i,0.0011772+0.00042383i,0.0011006-3.2923e-06i,0.00028987-0.00013898i,6.5457e-05+0.00023095i,0.00026719+0.00025261i,0.00036299+0.00049153i,0.00022811+0.00079009i
-0.0015291+0.00077397i,-0.0015759+0.0013683i,-0.0012765+0.0012737i,-0.0018996+0.0013078i,-0.0018554+0.0014125i,-0.00097068+0.00065772i,0.00048225-0.00012235i,0.0010046-0.00032904i,1.5495e-05+0.00033089i,-0.00022126+0.00042482i,0.00044145-0.00050592i,0.00043271-0.0012329i,0.00020056-0.0010918i,0.00035325-0.00018077i,0.00066124+0.00019941i,0.00068162+0.00017053i,-0.00032545-0.00011933i,-0.00061381-0.00076335i,0.00032577-0.00023993i,0.00056831+0.0004403i,0.00016607+0.00026194i,0.00021603+0.0002061i,0.00053557+0.00064465i
0.00093934-0.0005677i,-0.00028448-0.00031966i,-0.000458-0.00049415i,-0.0010766-0.0015433i,-0.0018591-0.0019619i,-0.0022791-0.00062653i,-0.0019507+0.00024284i,-0.0014976-0.0001676i,-0.001372-0.00032103i,-0.0014781-0.00011546i,-0.0014012-0.0003391i,-0.00050136-0.00087863i,-0.00020682-0.001122i,-0.00013171-0.00039559i,0.00027535+0.00011505i,-5.3108e-05+0.00015536i,-9.7673e-06+0.00071557i,0.00021131+0.00064824i,0.00033549+9.0449e-05i,0.00033983-0.00027624i,-0.00010953+0.00045905i,-0.00031977+0.00082683i,-0.00098034+0.00024388i
-0.00097857-0.0010946i,-0.0013435-0.00099649i,-0.0019646-0.0012385i,-0.0016666-0.00062897i,-0.0015407+0.00075712i,-0.0011222+0.00036596i,-0.00014498+2.0791e-05i,0.000413-1.7313e-05i,-3.2213e-05+0.00029409i,-0.00010502+0.0011453i,0.00025461+0.0011613i,0.00030336+0.00053645i,0.00059086-0.00029991i,0.00095448-0.00080812i,0.00062089-0.00069507i,-0.00040665-0.00052755i,-0.0010898-0.00032867i,-0.0010473-0.00034735i,-0.00067981-0.00044962i,-0.00023879+9.8014e-05i,0.00014315+0.00094712i,-5.7709e-05+0.00083416i,-0.00022033+8.8281e-05i
-0.00054805-0.000487i,-0.00045555-0.00085228i,-0.0013799+1.18e-05i,-0.0022849+0.00094056i,-0.001686-8.3149e-05i,-0.00052367-0.0009252i,2.2716e-05-0.00073329i,-1.9968e-05-0.00041493i,1.4111e-05+0.0007958i,-0.00014471+0.0012193i,0.00041218+0.00080009i,0.00091691+0.0005656i,0.0006917+0.00017486i,0.00020977+0.00034333i,0.0001548+0.00049157i,-0.00014678-3.5784e-05i,8.621e-05-0.00076982i,0.00051069-0.00047101i,0.00031177+0.00025969i,-0.00051466+0.0005489i,-0.00039762+0.00027142i,0.00032965+0.00019876i,0.0001342+0.00068874i
0.00070303-0.00047234i,0.001206-0.00077966i,0.001147-0.00016088i,0.00014253-0.0002116i,-0.00049874-0.0006949i,-0.00087399-0.00094144i,-0.00046004-0.00063992i,0.0003761-0.00086572i,0.0006252-0.0012182i,0.0011871-0.00057913i,0.0013632-0.00042124i,0.00093416+0.00030975i,0.00083356+0.00098404i,0.00027136+0.0003342i,-0.0002102-0.00042471i,-0.00041899-0.0010603i,-0.0012766-0.00085163i,-0.0017607-0.00035684i,-0.0011942-0.00055734i,-0.00068509-0.00065616i,5.9023e-05-0.00034342i,0.0004615-0.00012794i,0.00014607-0.00040695i
0.00069621+0.00053443i,-0.0010933+0.00080425i,-0.0022448+2.7636e-05i,-0.0014622-0.00018961i,-0.00092914+4.9951e-05i,-0.00091585+0.00022756i,-0.00026514+0.00055014i,0.00016319-0.00033059i,0.00025008-0.00099444i,3.9225e-05-0.00086003i,-0.00010776-0.00027775i,8.7655e-05+0.00015971i,0.00019644+0.00059689i,-0.0004093+0.00083933i,-0.00067578-2.2793e-05i,-8.6868e-05-0.00076421i,0.00019324-0.00095257i,0.00035751-0.0017027i,0.00039407-0.0020147i,5.2036e-05-0.00077856i,7.4302e-05+0.00076391i,9.6335e-05+0.0011331i,-4.5846e-06+0.00039695i
0.00043419+0.00075464i,-0.0010588-0.00066262i,-0.0011302-0.0011725i,-0.00031684-0.00036234i,-0.0010622-3.695e-05i,-0.0017618+0.00030741i,-0.0017146+1.1998e-05i,-0.0015733-0.0012755i,-0.0016081-0.0015479i,-0.0014354-0.001247i,-0.001032-0.00090523i,-0.00072486-0.00071016i,-0.0007372-0.0012722i,-0.00047213-0.001348i,0.00076941-0.000318i,0.0015254+0.00034994i,0.0011089+0.0002095i,0.00038532+0.00043521i,0.00016435+0.00059683i,0.00031919+0.00033645i,0.00045618-0.00085911i,0.00037119-0.00090143i,-2.0029e-05-0.00021584i
-0.00062108-0.0015743i,-0.0017076-0.0013769i,-0.002649-0.0005196i,-0.0025111+0.00062917i,-0.0022382+0.0010373i,-0.0015079+0.0012894i,-0.00094233+0.00075978i,-0.00092192-0.00018349i,-0.00052863+7.1691e-05i,-0.00059639+0.0009056i,-0.0010506+0.00077602i,-0.00054955+0.00029527i,-0.00046436+0.00057321i,-0.00073614-0.00028524i,-0.00031983-0.0011305i,0.000562-0.00058811i,0.00063716+0.00056913i,0.00028165+0.00020766i,0.00093591-0.00064587i,0.0013024-0.00073612i,0.0012811-0.0004477i,0.00057681-0.0002423i,-0.0010036-7.0806e-05i
-8.6805e-05-0.002314i,-0.0014553-0.0017512i,-0.0025652-0.00091815i,-0.0029941-0.00058944i,-0.0028057-0.00041947i,-0.0017479-2.9011e-05i,0.0002635+0.0001821i,0.0010627+0.0002684i,0.00096892+0.00053737i,0.0011596+0.0010231i,0.0011147+0.00051334i,0.00013387-6.9223e-05i,-0.0005201+0.0002479i,0.0004587+0.000246i,0.00076105-0.00077668i,0.00021177-0.0018882i,0.00016822-0.0014101i,0.00012916-0.00054266i,-0.00039794-0.00036226i,-0.00056772-0.00040272i,0.00027251-0.00049755i,0.0011176-0.00054342i,0.00048746-0.00027184i
0.0017128-0.0010237i,0.00080899-0.0021752i,-9.8841e-05-0.0025965i,-0.00084934-0.001938i,-0.0010971-0.0013665i,-0.00074256-0.00058095i,-0.00011243+0.00019564i,0.00080902-0.00019339i,0.00063886-0.0008332i,0.00041109-0.0011059i,0.00092384-0.0014452i,0.00079231-0.0012629i,0.00042157-0.00075171i,0.00051235-0.0002617i,0.00027947-0.00071531i,-0.0001968-0.00041276i,-0.00024517+0.0001425i,-0.00015902-0.00029366i,0.00012125-0.00015705i,0.00073961+0.00036039i,0.00039161-9.1232e-05i,-4.7809e-05-0.00041652i,0.00055116-0.00016261i
-0.00060983-0.00025006i,-7.9591e-05+0.00033273i,-0.002289+0.00065008i,-0.0031815+0.0019134i,-0.0017826+0.0028482i,-1.3927e-05+0.0015773i,0.00015822-0.00051006i,-0.0004447-0.00146i,-0.00020248-0.0016266i,-3.8161e-05-0.0006982i,-0.00024082+0.00014269i,0.00038783-0.0004504i,0.0001191-0.00068979i,-0.0005286-0.00045667i,-0.00010423-0.00040334i,-0.00029051-0.00068479i,-0.00083792-0.00090718i,-0.00091861-0.00057005i,-1.2354e-05-0.00026784i,0.00064953+0.00012612i,8.5799e-06+0.00070901i,-0.00052907+0.00083501i,-0.0008907+0.0011667i
-0.0011528-0.0012602i,-0.0017357-0.00078134i,-0.0028585-0.00043977i,-0.0035169+0.00043512i,-0.0022718+0.0012221i,-0.0002137+0.0012072i,-3.6914e-05+0.00031063i,-0.0012686-0.00036586i,-0.0022498-0.00022535i,-0.0022221+4.8383e-05i,-0.00093716-0.00041239i,4.7833e-05-0.00038535i,0.0004085-0.00061307i,0.00040164-0.0013609i,0.00054961-0.00092181i,0.00062798-1.0709e-05i,0.00066829+3.739e-05i,0.00053139-0.00044279i,-0.00042203-0.00091197i,-0.00073729-0.0004266i,0.00024785+0.00048482i,0.00088396-0.00011966i,0.00022463-0.00099078i
-0.0012537+2.2122e-05i,-0.0019561-0.00069876i,-0.0022682-0.00046556i,-0.0029212+0.0011771i,-0.0029865+0.001888i,-0.0015436+0.00070863i,-0.00035967-0.00010066i,-0.0010009-9.7359e-05i,-0.0018723-0.00020447i,-0.0014873+0.00036905i,-0.00082735+0.0017032i,-0.00029537+0.0015793i,-0.00043281+0.0006481i,-0.00026908+0.00044357i,0.00050623+0.00098406i,5.5203e-05+0.00084326i,-0.00018988-0.00019775i,0.00027477-0.00032485i,0.00030399+0.0002731i,2.0958e-05+0.0011478i,-0.00031227+0.00098233i,1.4173e-05+0.00020553i,-0.00017479-3.4351e-05i
-0.0016455-0.0015584i,-0.0017583-0.0020169i,-0.003575-0.0010349i,-0.0039401+0.0002375i,-0.0028491+0.00082896i,-0.0014043+0.00077314i,-0.00062287+0.00054989i,-0.00048615+0.00035833i,0.00033889+0.00036581i,0.00099038+0.00060806i,0.00066112+0.00096289i,0.00028197+0.0005557i,0.0006258+0.00046394i,0.00054262+0.00059586i,-0.0003059+8.4463e-05i,0.00023921-0.00033338i,0.00075738-0.00017547i,0.00020318-0.00055214i,-0.00031058-0.00085669i,-0.00033173-0.0005122i,0.00041861-0.0001936i,0.00069622-0.00023552i,0.00034034-0.00082364i
0.00079094+0.00028483i,0.0011845-0.001446i,0.00079975-0.0015391i,2.5022e-06-0.0014039i,-0.00015108-0.0011116i,0.00014057-0.00065347i,0.00053909-7.305e-06i,0.00044745+4.7835e-05i,0.00076565+0.00049591i,0.0014486+0.0007234i,0.0014192+0.00019794i,0.0011434-0.00057526i,0.00084705-0.0010553i,0.00025787-0.00082744i,-0.00031879-0.00098404i,-0.0007725-0.0010982i,-0.00093728-0.00039342i,-0.00095293-0.00036571i,-0.0011955-0.00067401i,-0.00064966+0.0001259i,-7.4129e-05+0.00023549i,0.00047576-0.00010377i,0.0004369-0.00033887i
0.00017508-0.0010492i,-7.6705e-05+5.6559e-05i,-0.0018001+0.00075583i,-0.0017661+0.0011716i,-0.0012773+0.0014124i,-0.0015255+0.00055588i,-0.00039664-0.00040641i,0.00061011-0.00081902i,0.00085942-0.0011518i,0.0011029-0.00076561i,0.00075823-0.00092057i,0.00074214-0.0017483i,0.00033261-0.001257i,-5.7581e-05-0.0008729i,-0.00026174-0.0010097i,-0.0013107-0.00050174i,-0.0011063-0.00066899i,-5.3114e-06-0.00093712i,0.00043726-0.00042284i,-5.6206e-05-2.1419e-05i,-0.00070728-7.7654e-05i,-6.6951e-05-0.00010567i,-8.3295e-05+7.2467e-05i
