-0.0029133+0.0017551i,-0.0024652+0.00090882i,-0.0030633+0.00067144i,-0.0027444+0.0011258i,-0.0015215+0.0013107i,5.0585e-05+0.0013312i,0.00062414+0.001651i,0.00095213+0.0014403i,0.0012765+0.0011942i,0.00070991+0.00091593i,0.00026156+0.00036335i,4.6129e-05-1.5092e-05i,-0.0010942-0.00060631i,-0.0013504-0.0012232i,-0.0012941-0.0003656i,-0.0022072+0.00038714i,-0.0021882-0.00027391i,-0.00022954-0.0012454i,0.00049486-0.00080106i,-0.00024907+8.6036e-06i,-0.00016771-3.9613e-05i,9.189e-06+0.00015275i,-0.00028265+0.00035432i
-0.00036606-0.00065013i,-0.00038538-0.0016279i,-0.00047642-0.0012073i,-0.00093687-0.00069186i,-0.0017189-0.00051551i,-0.0017233+9.2494e-05i,-0.00070916+0.00031276i,0.00012649-3.3331e-05i,0.00020205-0.0004179i,0.00037547-0.00018316i,0.00042962+0.00029721i,-4.4727e-05+0.00070449i,0.00023502+0.00058942i,0.00055296+0.00026976i,-4.3092e-05+6.062e-05i,-0.00063811-0.0010997i,-0.00027841-0.00083612i,-0.00054144+0.00024405i,-0.0011292-0.00015143i,-0.00052442-0.00076183i,0.00015592-0.00093584i,-0.00037108-0.00062408i,-0.00079862-0.00060158i
-0.00067284+0.0011831i,-0.00075494+0.0010902i,-0.00033382+0.0011986i,-0.00029931+0.00030686i,0.00079694-0.00025797i,0.0013322-0.00039874i,0.00057704-0.00042971i,-0.00017377-0.00025076i,-0.00034121+4.1498e-05i,-0.00026978+0.00036933i,-0.00028167+0.00081239i,-0.00073036+0.00050445i,-0.0012375+9.3323e-05i,-0.00077198+3.7876e-05i,-8.879e-05-0.00022822i,-8.6856e-05-0.00060773i,-0.00066639-0.00050754i,-0.00086954-0.00014731i,-0.00038622+1.9447e-05i,-0.00059453+0.00041983i,-0.0013754+0.00042237i,-0.0010108+0.00048432i,-0.00033681+2.804e-05i
-0.00030174-0.0005187i,0.00062317-0.00048691i,-0.00011973-0.00091102i,-0.0013278-0.00088619i,-0.0017516-0.00055838i,-0.0014541-0.00073228i,-0.00046062-0.00063548i,0.0003035-0.00022951i,-0.00016271-0.00039208i,-0.00016215-0.00055909i,0.00026292-5.1161e-05i,0.00019021-0.00018187i,0.00045323-9.7131e-05i,0.00042434+0.00048652i,0.00020799+0.00077326i,-0.00018501+7.5428e-05i,-0.00043846-0.00026243i,-0.00040256-4.7378e-05i,4.397e-05+0.00044021i,2.5648e-05+0.00062406i,-0.00025204-0.00014961i,0.00041461+8.5835e-05i,0.00027368+0.00076711i
0.0015793+0.0015333i,0.00058097+0.00079293i,0.00062424+0.00097257i,0.00070673+0.0013265i,0.00047571+0.00018119i,-1.6398e-05-0.00089683i,-0.00017891-0.00080859i,0.0001545-0.00028814i,0.00018014+0.00072988i,0.00090275+0.0010482i,0.0012063+0.00061147i,0.00095524+0.00057369i,7.5523e-05+0.00083126i,-0.00069573+0.00076956i,-0.00058282+0.00023339i,0.00054125+0.00035685i,0.0010841+0.00030008i,0.00072194+0.000622i,0.00056095+0.00093616i,0.00016229+0.00055207i,0.00017114+4.7089e-05i,7.3056e-05-0.00013843i,0.00016064-0.00020572i
0.00066557-6.6816e-05i,0.00029121-0.00030691i,0.00077611+8.9116e-06i,0.00046323-0.00045913i,0.00028137-0.00080752i,-0.00015068+4.5784e-05i,-0.00045238+0.0009495i,-0.00034352+0.001126i,-0.00047471+0.00094173i,6.9778e-05+0.00017512i,0.00065199-0.00054791i,0.00071188-0.00044111i,0.00059575-0.00031611i,0.00069325-0.00046873i,0.00029965-0.00024586i,-0.00069952-0.00066282i,-0.00095903-0.00098413i,-0.0005377-0.00035679i,0.00023452-0.00022786i,0.00077672+0.00035216i,0.00066135+0.00088239i,8.7105e-05+0.00020965i,9.107e-05-0.00016904i
-0.00072417+2.6799e-05i,-0.00042372+0.00014236i,-0.00025502+0.00047601i,-0.0002637+0.00074915i,0.00016854+0.00028598i,-0.00077978-0.00041222i,-0.0015689-0.00050753i,-0.0011938-0.00018033i,-0.00087584-9.9444e-05i,-0.00019354-0.00017486i,0.00029057+2.5546e-05i,0.0003426-3.092e-05i,0.0004148-0.00068789i,0.00011021-0.00084835i,-0.00049195-0.00030293i,-0.00016814-0.00024886i,0.00016308+6.3325e-05i,-0.00058633+0.00068819i,-0.00091122+0.00049211i,-0.00092345+0.00042885i,-0.0005598+0.00052927i,-0.00050458+0.00077273i,-0.00064018+0.00035157i
9.2132e-05+0.00067639i,0.00029695+0.00057744i,0.00078118+0.00063675i,0.00093716+0.00057993i,0.00065765+0.00032469i,-0.00015385+0.00045601i,-0.00081656+0.00087678i,-0.00067005+0.0010869i,7.4404e-05+0.0010416i,0.00031711+0.0010552i,0.00057801+0.00020123i,0.0007744-1.6537e-05i,0.000185+0.00066808i,0.00028784+0.00048123i,0.0012885-0.00017347i,0.0012706+0.00020587i,-3.7182e-05+0.00064547i,-0.00013805+0.00014311i,0.00068665+0.00021712i,0.00038963-0.00010763i,-0.00025853-0.00097146i,-0.00046088-0.0010078i,0.00042934-0.00014922i
-0.0007363+0.00029218i,-0.00014516-8.7613e-05i,0.00017786-0.00012859i,-0.00074361+0.00095277i,-0.0016819+0.0017388i,-0.0011036+0.0016977i,-0.0002149+0.0015343i,0.00031017+0.00074995i,-0.00016945-2.1321e-05i,-0.00050588-0.00038413i,-0.00055557-0.00065935i,-0.00073925-0.00082819i,-0.00060059-0.00043223i,-0.00048564-0.00013117i,6.8334e-06-0.00049235i,0.00061185-0.00044002i,0.0003264-0.0002358i,0.00017151+1.5896e-06i,-0.00014951+2.8074e-05i,-0.0007313-0.00039618i,-0.0011997-0.00034634i,-0.0004467-0.00063915i,0.00050741-0.0011507i
-0.00032139+0.0016427i,-0.0013543+0.00046167i,-0.0020849-0.00066878i,-0.0011939+0.00019893i,-0.00062685+0.00062007i,0.00011556-0.00057415i,0.00038024-0.0010751i,-0.00012023-0.0011957i,4.1611e-05-0.00077487i,-0.00019694-0.00012155i,-0.00020278+5.9341e-05i,0.00031036+0.00042637i,0.00023257+0.00015021i,0.00052066+5.3529e-05i,-6.5704e-05+0.0004047i,-0.00038164+0.00048434i,0.00045875+0.00053089i,0.00049865+0.0002495i,0.00035815-0.00030674i,0.00064963+0.00048174i,0.00079926+0.00077341i,0.0010229+0.00034019i,0.00041784+0.00030486i
0.00085335-0.00061323i,-0.00068482-0.0018189i,-0.00089797-0.0022846i,-0.00073628-0.0018852i,-0.0015473-0.001316i,-0.002066-0.00055588i,-0.00089226-0.00040625i,0.00046073-0.00053435i,0.00027336-0.00098021i,-0.00022313-0.00096278i,-0.00023837-0.00069192i,0.00011359-0.00050175i,0.00014952+3.5227e-06i,-0.00037182-4.6463e-05i,4.634e-05+2.0859e-06i,0.0004357-0.00041498i,0.00028337-0.00063089i,0.00056699+0.00021541i,0.00040633+0.00034153i,0.00022118-0.00019569i,0.0003894-0.00030368i,0.00083204+0.00066302i,0.0011055+0.0015127i
