8.4558e-05-0.0011211i,-0.0016192-0.0016584i,-0.0026462-0.00084101i,-0.0017019+0.00054375i,-0.0018568+0.00063984i,-0.0021009+0.00036485i,-0.0012789+0.00098648i,2.839e-05+0.0011623i,0.0010897+0.00083553i,0.00083072+0.00024449i,0.00082673-4.0039e-05i,0.0012605-0.0001244i,0.0012122+0.00013813i,0.0011732+0.00028877i,0.0008442+0.00023586i,0.00058994+0.00016111i,0.00076411+0.00016254i,0.00077001+0.00017961i,0.00044036-0.000534i,-0.00016233-0.00060352i,-0.00058216+0.00018003i,-0.00053315+0.00029507i,-0.00076725+2.1103e-05i
-0.00054785+0.0018204i,-0.0018883+0.0011495i,-0.00063602+0.0017279i,0.00054559+0.001093i,0.00041449-0.00036875i,-0.0009847-0.0011172i,-0.0017861-0.00078072i,-0.0010193-0.00071021i,0.00064959-7.6425e-05i,0.0012772+4.1767e-05i,0.00089628-0.00064142i,0.00010953-0.00058267i,-0.00040781-0.00066933i,-0.00016531-0.0009027i,0.00010436-0.00054315i,0.00020655-0.00031153i,-3.8945e-06-0.00016219i,-0.00044353-0.00026903i,-0.00047538-7.7667e-05i,0.00020476+0.00076463i,4.1827e-05+0.00035324i,-0.0002965+0.00016204i,-0.00023786+0.00031917i
-0.0010487-0.001072i,-0.003334-0.0020843i,-0.0039722-0.0021953i,-0.0020337-0.0012949i,-0.0014578-0.00069838i,-0.0016627-0.00040879i,-0.00048317-0.00022009i,-5.6978e-05-0.00030097i,0.00015631-0.00027315i,0.00058539-0.00065006i,0.00015239-0.00080438i,6.3854e-05-0.00062699i,0.00029288-0.00052363i,0.00022075-0.0004356i,0.00059485+8.676e-06i,0.00065271+0.00033726i,0.00041552+0.00021257i,-9.3381e-05+8.1801e-05i,-0.00033854+0.00027748i,0.00055611+0.00060914i,0.00077989+0.0003383i,-0.00018841+0.00032741i,0.0003403+0.00024702i
-0.00072555-0.0027574i,-0.0019896-0.0028799i,-0.0016317-0.0012578i,-0.0011081-0.0002198i,-0.0014473-0.00042836i,-0.0012983+0.00026442i,-0.0009666+0.0013322i,-0.0010064+0.0012532i,-0.0013575+0.00090632i,-0.0010707+0.00090347i,-0.00052202+0.00047508i,-0.00044949-0.00038715i,-0.00060258-4.257e-05i,-0.00031411+0.00017682i,6.573e-05+0.00018384i,0.00035972+0.000803i,-0.00014959+0.00081773i,-0.00067247+5.8322e-05i,-0.00023201+0.00011062i,-0.00042346+0.00025029i,-0.00059058-0.00013719i,-0.00021776+4.0333e-05i,-0.00016311+0.0001301i
-0.00086188-0.0012024i,-0.001064-0.0016404i,-0.00060672-0.0004428i,0.00018561-0.00034593i,-0.00017399-0.0011175i,-0.0015773-0.00017845i,-0.0021134+0.0010312i,-0.0013256+0.00070538i,-0.00021636-0.00031385i,0.00017964-0.00085256i,0.00029984-0.00048413i,0.00043758-0.00055875i,0.00039488-0.00053107i,8.537e-05-0.000111i,-3.9011e-05-0.00016593i,0.00048611-0.00066377i,0.00085801-0.0005415i,0.00024538+7.3577e-05i,-0.00052666+0.00017369i,-0.00036732+0.00021894i,0.000184+0.00035134i,-0.00014596+0.00077752i,-1.77e-05+0.00052116i
0.0011474-0.0022987i,-0.00036913-0.0009989i,-0.0011312+0.00040704i,-0.0008175+0.00079248i,-0.00065562+0.00027373i,-0.00062552-0.0003002i,-0.00046183-0.00039529i,-0.00021369+0.00034124i,-0.00050215+0.00059221i,-0.00040937+0.00013767i,-0.00013596+0.00085633i,2.3272e-06+0.0012801i,0.00036785+0.00066789i,9.5016e-05-5.5503e-05i,-0.00055559-0.00019173i,-0.00076979+0.00034875i,0.0007969+5.6962e-05i,0.0015731-5.021e-05i,0.00096838+0.0002545i,4.3411e-05-0.00056537i,-0.00056629-0.00097264i,-0.00011631-7.6132e-05i,0.00047369-0.00034512i
-0.00025415-0.0012162i,-0.0027236-0.0011232i,-0.0031033-3.0432e-05i,-0.0021085+0.00077141i,-0.0013927+0.00050839i,-0.0013583-7.9626e-05i,-0.00070724-7.71e-05i,0.00013763+0.00086647i,-0.00065279+0.0016558i,-0.00073721+0.00068444i,0.00064407-0.00036993i,0.0013708-0.00016861i,0.00070839-0.00023513i,-0.00012869-0.00083965i,-0.00035302-0.00058477i,0.00021683+9.8493e-05i,0.00011589+0.00084354i,-1.3387e-05+0.0016675i,7.8772e-05+0.0010845i,-0.00011717+0.00036421i,0.00050686+4.8946e-05i,0.0015799-5.1578e-05i,0.0012809+0.00043914i
0.0019716-0.00095296i,0.00029694-0.0010514i,-0.00067634+0.00060347i,-0.00045295+0.00097172i,-0.00076212-0.00058784i,-0.00093111-0.00070624i,-0.00047421+0.00019269i,-0.00011283+0.00041599i,0.00054466+0.00073253i,0.00086037+0.00047115i,0.0005033+0.00023161i,0.00036649+0.00063544i,0.00042183-8.7833e-06i,5.0062e-05-0.0012565i,-0.00026504-0.0014258i,2.4342e-05-0.0012373i,0.00057144-0.0010142i,0.0010046-0.00025466i,0.00084579+0.00029584i,0.00015686+0.00026733i,0.00021819-5.8645e-05i,0.00010588-0.00028969i,-7.9709e-05-0.00045212i
-0.0012079-0.00022083i,-0.0038595-0.00027838i,-0.0045857+0.001349i,-0.0029487+0.0017524i,-0.0015494+1.1595e-05i,-0.0013107-0.0015482i,-0.00097957-0.0015937i,-0.0003122-0.00047995i,-0.00039595-8.9209e-05i,-0.0003398-0.00055803i,-0.00017767-0.00030539i,0.00035684+0.00024093i,0.00062925-0.00018292i,-0.0001339-0.00093875i,-0.00061702-0.0012765i,-0.00049397-0.00063826i,-0.00038217+0.00025841i,-0.00015145+4.0534e-06i,-0.00023595-0.00065681i,-0.00044478-0.00046185i,-0.00036574-0.00023057i,-0.0002703-4.6819e-05i,-0.00073552+0.00033933i
-0.001373-0.00080923i,-0.0030285-0.0017615i,-0.0026684-0.00044187i,-0.0018386+0.0013467i,-0.0016808+0.00039521i,-0.001698-0.00069049i,-0.0012573-2.9951e-06i,-0.00056102+0.00051086i,-0.00076574+0.00092638i,-0.00064068+0.00045348i,-0.0004092-0.00016164i,-0.00054133-0.00065001i,3.5684e-05-0.00039601i,-0.00022142+3.5097e-05i,-0.00060005-0.00015637i,-0.00040412-0.00042653i,-0.00019847-0.00041648i,-0.00034099-0.00026536i,-0.00070018-0.00021641i,-0.00089647+0.00043982i,-0.001211+0.00044364i,-0.0010855+0.00016849i,-0.0005886-0.00031313i
-0.0017734-0.0019475i,-0.0015393-0.0023143i,-0.0014782-0.00078039i,-0.00095607+0.00053094i,-0.0010726-0.00013109i,-0.0014365-0.0007299i,-0.0014517-0.00016621i,-0.001234+0.00016583i,-0.00024665+0.00056969i,0.00092696+0.00063203i,0.0011372+0.00015816i,0.00072197-0.00035691i,0.00052385-0.00081265i,9.7026e-06-0.00031711i,4.7397e-05+0.00017667i,0.00061427+0.00025943i,0.00034214+0.00041693i,2.8559e-05+0.0006399i,-0.00035703+0.00070227i,-0.00042507+0.0010011i,9.7855e-05+0.00096126i,0.00037655+0.001004i,-0.00040779+0.00081792i
-0.0027728-0.0041637i,-0.0037945-0.0032493i,-0.0038416-0.00017378i,-0.0019453+0.0020761i,-0.00044+0.0020814i,-0.00073154+0.00071063i,-0.00082601-0.00012004i,-0.0010665+2.9232e-05i,-0.001037-0.00055596i,-0.0006054-0.00030246i,-0.00023989+0.00052347i,0.00027442+0.00026699i,0.00078342-0.00043761i,0.00091999-0.00084666i,0.00019904-0.00085354i,-0.00021265-0.00023143i,-2.9977e-05-0.00038937i,0.00014822-0.00056789i,-5.3584e-05+7.3927e-05i,-0.00027019+0.00045021i,0.0004151+2.7484e-05i,0.00066888-0.00043286i,5.5244e-05-0.0003277i
