-0.00071665+0.0012323i,1.5474e-05+0.0017801i,-8.0538e-05+0.0017366i,-0.00078623+0.00088294i,-0.001168+0.00079974i,-0.0011041+0.0013047i,-5.0491e-05+0.0016351i,2.0345e-05+0.0018587i,-0.00025068+0.0016554i,-4.0572e-05+0.00092589i,0.00024286+0.00063877i,-6.1009e-05+0.00048408i,-0.00022369-0.00085348i,-0.00078224-0.0016334i,-0.00073025-0.0010951i,5.5318e-05-0.00026929i,-0.00042705-0.00038958i,-0.0012694-0.00011984i,-0.0007834+9.6845e-05i,0.00019897-0.00033462i,0.00026417-0.0010269i,-0.00014184-0.001017i,0.00027567-0.00043604i
-0.001393-0.0013592i,-0.0016903-0.0010014i,-0.0011168-0.00097677i,-0.00024018-0.0012075i,0.00032355-0.0012726i,0.00090165-0.00025959i,0.00063802+0.00089174i,0.00012557+0.00077383i,-2.7432e-05+0.00065446i,-0.00062611+0.0010954i,-0.0010922+0.0017364i,-0.00083976+0.0016213i,-0.00027977+0.00040148i,-0.0003737-0.00010859i,-0.00050963-6.6441e-05i,-0.00062979+7.2153e-05i,-0.00048537+5.4557e-05i,-0.00013162+0.00038266i,0.00047486+0.00062601i,0.00052601+0.00031306i,1.7038e-05+0.00068204i,-0.00010106+0.00085474i,0.00014292+0.00058404i
0.0013527+0.00031623i,0.0013421-0.00033355i,0.0016152-5.8167e-05i,0.001411-0.00049725i,0.00010337-0.0016754i,-0.001307-0.0017194i,-0.0010519-0.0010186i,2.1232e-07+0.00012215i,0.00021601+0.0013338i,0.00020547+0.0012836i,-0.00020863+3.0448e-05i,-0.00071972-0.00055291i,-0.00047881-0.00063448i,-0.00025142-0.00081455i,-0.00011448-0.00072043i,-0.00032378-0.00047592i,-0.00056404+0.00032951i,-0.00047494+0.00089957i,-0.00017227+0.00088426i,0.0005088+0.00069231i,0.000574+0.0006311i,-1.2439e-06+0.00040472i,-3.6333e-06-0.00021366i
0.00047745+0.0012001i,0.000556+0.00027205i,0.00099723+0.0004649i,0.0015284+0.00067605i,0.00092109+8.2396e-05i,6.7954e-05-0.00060783i,-0.00037598-0.00083799i,-0.00093456-0.00077773i,-0.0010403-0.00049808i,-0.00053116-0.00026988i,6.9333e-05-0.00033183i,0.0010946+0.00010441i,0.0010229+0.00030801i,-0.00028033-0.00025706i,-0.00066635-0.00044724i,9.0196e-05-0.00012318i,0.00054912-0.00038646i,0.00076819-0.00043119i,0.00043953+6.9254e-05i,-0.00043813+4.6225e-05i,-0.000547+0.0001457i,-0.00013586+0.00046473i,-0.00029706-0.00010656i
-0.00034879+0.00074061i,-0.0011419+0.00088777i,-0.00091052+0.001228i,0.00016869+0.00066466i,0.00077845-0.00098392i,-0.00013678-0.0007787i,-0.0010057+0.00026203i,-0.00041277+0.00042151i,0.00023898+2.4734e-05i,0.00025152-0.00042004i,0.00059523-0.00014366i,0.00074587+1.3519e-05i,-5.6002e-05-0.00032722i,-0.00079829-0.00053711i,0.00023499-0.00063769i,0.00093424-0.00041507i,0.00069968+0.00015971i,0.00066789-0.00054842i,0.00076965-0.001971i,0.00027465-0.001281i,-0.00030005-4.9676e-05i,0.0002633-0.00022244i,0.00057461-0.00082573i
0.0012173-0.00038292i,-0.00031638-0.00063152i,-0.0017541-0.0004522i,-0.0011118-0.0004771i,-0.00073135-0.00074777i,-0.00075957-0.0015862i,-0.00010542-0.0014431i,0.00065946-0.00010784i,0.00022892-0.00012106i,1.5523e-05-0.00025414i,0.00011681+9.6761e-05i,0.00015053+0.0005818i,0.00081697+0.00049863i,0.00066635+0.00032592i,0.00074141-7.7232e-05i,0.0007712+0.00022632i,-0.00012869+0.00081243i,-0.00022083+0.00073696i,0.0006037+0.00043933i,0.0011701+0.00022311i,0.00084319+0.00070263i,-2.3309e-05+0.0008042i,-0.00076724+0.00022938i
0.00063568+0.0009093i,0.001033+0.00056774i,0.0014748+0.00096014i,0.0014805+0.00090608i,0.0008805+0.001256i,-0.00040064+0.0014945i,-0.0010566+0.00086935i,-0.00090805+0.00028256i,-0.00035358+0.0001712i,0.00077264+0.00099384i,0.0011134+0.001139i,0.0010466+0.00045019i,0.00057364+0.0004469i,-0.0003121+0.0002512i,-0.00011562+6.768e-05i,0.00014755+3.2414e-05i,-0.0002295-0.00046207i,-0.000754-0.00067282i,-0.00084923-0.00050265i,-0.00047081+0.00013109i,-0.00044278+0.00028984i,-5.8484e-05+8.4833e-05i,0.0002679+0.00060604i
-0.001041+0.0004591i,-0.0010202+0.00045603i,-0.00051923+0.0011562i,0.00032897+0.0014141i,-0.00041861+0.00058557i,-0.00080993-0.00016857i,-0.000848-0.00035096i,-0.000818-0.00051419i,4.6292e-06+0.00022843i,0.00070202+0.0011038i,0.00059356+0.00081818i,0.00052302+0.00035346i,0.00070308-0.00038175i,0.00010391-0.0011192i,-0.00049187-0.00066628i,-0.00026858+9.0661e-05i,-8.0626e-05+0.00034762i,0.00038571+0.0008301i,0.00068906+0.0009439i,0.00036645+0.00010536i,0.00017113-3.8861e-05i,0.00035541-0.00015473i,0.00074712-0.0010972i
0.00017763-0.0016432i,-0.001525-0.0014987i,-0.002004-0.0013142i,-0.00040503-0.00017086i,-0.00062034+0.00089112i,-0.0012545+0.00093202i,-0.00070066+0.00042455i,0.00037227+0.00030447i,0.00069776+5.4225e-05i,0.00031647-0.00015909i,0.00052756-0.00054357i,0.00067132-0.00085409i,0.0014284-0.00091006i,0.0010339-0.0013543i,-0.00038621-0.0014881i,-0.00029133-0.00073283i,-3.6268e-05+0.00021001i,0.00034925-5.5628e-05i,0.00060034-0.00066267i,0.00011116-0.00064102i,-0.001085-0.0006701i,-0.0014149-0.00029702i,-0.00022111-7.9862e-05i
0.001564-6.1003e-05i,0.00081336-0.00035173i,0.00028713-0.00059881i,-0.001046-0.0012474i,-0.0011678-0.0019208i,-0.00085617-0.00056464i,-0.0012202+5.8292e-05i,-0.00085035-0.00025653i,-0.00038761-3.4204e-05i,-0.00024017+0.00041724i,6.1016e-07+0.00067847i,0.0007412+0.00021756i,0.0011172+0.00047947i,0.0011794+0.00059853i,0.0010268+0.00053324i,0.0010295-1.4863e-05i,0.00068074-0.00055691i,0.0001327-0.00029988i,0.00035433+5.728e-05i,0.00065232+0.00017744i,0.00068469-0.00014921i,0.00020797-0.00033978i,-0.00041179+0.00012179i
0.0015498+0.00022751i,0.0013029+7.8733e-05i,0.0014545-0.00091539i,0.0011586-0.0010397i,0.0013714-0.00068651i,0.00082428-0.00075975i,-0.00069438-0.00066321i,-0.00095563-6.4281e-05i,-0.00036613+0.00068354i,-9.4316e-05+0.00085935i,0.00013984+0.00061281i,6.1147e-06+0.00041345i,-6.5573e-05-5.4088e-05i,0.00073662+4.0852e-05i,0.0013038+0.00012178i,0.00095008-0.00019414i,0.0003212+3.5217e-05i,0.00033553+0.0001503i,0.00039006+0.00055305i,0.0001875+0.00022782i,-0.00036502-0.00025342i,-0.00034261-0.00073178i,-0.00031504-0.00095347i
