-0.00029669+0.00043043i,0.0001576-0.00077983i,-0.00058841-0.0017729i,-0.0018302-0.0019173i,-0.0026892-0.0016227i,-0.0025272-0.0012384i,-0.0013504+0.00084632i,8.2043e-06+0.0026296i,0.00115+0.0018663i,0.0021404+0.00087655i,0.0018976+9.8082e-05i,0.00076075-0.0011313i,-0.00034932-0.0010235i,-0.00079999-5.0198e-05i,-0.00040504+0.00059642i,-0.00052839+0.00093825i,-0.00059167+9.6819e-05i,-0.00051477-0.00068575i,-1.1834e-05+0.00031103i,7.6406e-05+0.00052663i,-0.00056104+0.00011702i,-0.001032-0.00041235i,-0.0012678-0.00098985i
-0.00064233-0.0021808i,-0.00035968-0.001903i,-0.00063049-0.000903i,-0.00030616-0.0010369i,0.0006701-0.001549i,-0.00013522-0.0012311i,-0.0014492-0.00036387i,-0.0014305+0.00064706i,-0.00082464+0.0012047i,-3.3989e-05+0.0010614i,0.00073483+0.0011039i,0.0003437+0.0013315i,-0.00036398+0.00055482i,6.5716e-05-0.0001006i,0.00059155+0.00026866i,0.00037758+9.6042e-05i,0.00057126-0.00043003i,0.00043984-0.00051357i,6.2948e-06+1.2214e-05i,-3.0231e-06+0.00047573i,-0.00086166+0.00075173i,-0.0013765+0.00024707i,-0.00049005+4.1547e-05i
0.0014344+0.00033001i,0.0010136+0.0010033i,0.00056089-0.00028733i,-8.4817e-05-0.0016041i,-0.0010055-0.0021617i,-0.001779-0.0015551i,-0.0014688-0.00034394i,-0.0010531+0.00022377i,-0.00024703+0.00054162i,0.00032004+0.00052362i,4.7191e-05+0.00049052i,-1.7289e-05+0.00054258i,-0.00033495-9.6821e-05i,-0.00043856-0.00022945i,-0.00053259-0.00033703i,-0.00078363-0.00053684i,-0.0013229+8.6352e-05i,-0.0012434+3.4444e-05i,-0.001025-0.00015659i,-0.00047166-0.00036678i,0.0001961-0.00041823i,-1.3406e-05+0.00031201i,-0.00032764+0.00054422i
-0.00090998+0.0022962i,-0.0013238+0.0012925i,-0.00071261-0.00070185i,0.00035887-0.0020148i,7.8119e-06-0.0024828i,-0.00089388-0.0028099i,-0.0011592-0.0021005i,-0.00081692-0.00050173i,-7.8492e-05+0.00024235i,0.00013211+0.00026372i,0.00030012+0.00037243i,6.7165e-05+0.00027372i,-0.00038135+0.00066224i,-0.00078701+0.00019212i,-0.00068694-0.00044826i,0.00060556-0.00038954i,0.0013058-0.00018567i,0.00048904-5.2332e-05i,-0.00059015-0.00022982i,-0.00050986-0.00069488i,-0.00020485-0.00077141i,-0.00057732-0.00067722i,-0.00050092+9.1887e-05i
0.0016461-0.002112i,0.0015735-0.0021486i,0.0015545-0.0028227i,0.0007378-0.0030035i,-0.00049982-0.0021778i,-0.0017891-0.0010361i,-0.0018439-0.00042022i,-0.001292-3.8848e-05i,-0.00089435+0.00050248i,-0.00048037+0.00066595i,-0.00022354+0.0006463i,0.00036392+0.00078296i,0.00084466+0.0009508i,0.00071564+0.0011805i,0.00025944+0.00079919i,0.00022176-0.00025684i,-0.00027051-0.0002502i,-0.0011769-0.00022952i,-0.00084189+0.00037198i,0.00049868+0.0014393i,0.0014005+0.0011768i,0.00023775+0.00042381i,-0.00069161-5.302e-05i
0.00011995+0.00076281i,-0.00049129+0.00076122i,-0.0010112+0.00084815i,-0.00071966-0.00061956i,-0.00034044-0.0014912i,-0.00086862-0.00060869i,-0.0013086-0.00030082i,-0.0013611-0.00019782i,-0.00084599+0.00039601i,-0.0001605+0.0006508i,0.00043113+0.00082296i,0.00088211+0.00040864i,0.00081046-0.00081519i,0.00055698-0.00095872i,-0.00022106-0.00054282i,-0.00043636-0.00067044i,0.00036065+5.0887e-05i,0.00083152+0.00036135i,0.00014027+0.00034369i,-0.00030061+0.00068047i,-0.00022376+0.00019949i,-0.00049892-0.00017177i,-0.0001957+2.7594e-05i
0.00065651-0.00092423i,0.00073256-0.00073316i,-0.00078674-0.0013765i,-0.0019201-0.0017128i,-0.0019244-0.0014979i,-0.0016236-0.0006534i,-0.00076994-0.00054132i,0.0001316-0.00040196i,0.0003771+0.00011834i,0.00033323-0.00012606i,0.00063165-0.00023512i,0.00064527-0.00022789i,-1.6242e-06-0.00045859i,0.00030309+0.00019523i,0.00059778-2.9308e-05i,0.0010495-0.00096789i,0.0012548-0.00061188i,0.0001443+0.0006273i,-0.00025365+0.00063752i,0.00066737+0.00022778i,0.00067724+0.00015636i,0.00042254-6.5599e-05i,0.0012619-6.5924e-05i
0.00056634-0.00039233i,0.00033081-0.00025962i,0.00039424-0.0011086i,6.6031e-05-0.0019403i,-0.0015501-0.0021982i,-0.0022059-0.002225i,-0.00086731-0.0015015i,-8.8031e-05+1.5629e-05i,-0.00044036+0.00082064i,-0.00020725+0.0007149i,0.00019786+0.00031954i,-0.00023888-0.00041521i,-0.00025664-0.00075044i,-0.00017191+6.0139e-05i,6.1703e-05+0.00052372i,0.00011465+0.00023989i,0.00012903-0.00058145i,-1.4783e-05-0.00036452i,-7.9762e-05-6.0053e-05i,-1.9495e-05-0.00024914i,4.7469e-05-0.0003783i,-1.9725e-05-9.1801e-07i,-0.00063804+0.00084075i
-8.8917e-06-0.0012375i,-0.0012279-0.0017836i,-0.0016454-0.0032663i,-0.002368-0.0039091i,-0.002177-0.0030213i,-0.0012738-0.0020911i,-0.00056687-0.0011012i,-0.00031971+0.00056467i,-0.00071851+0.00081164i,-0.00023384+9.612e-05i,-2.8472e-05-0.0001299i,-0.00056666-0.00024183i,-0.0010106-0.00011339i,-0.0003898+0.00015239i,0.00039307+0.00010586i,0.00039414-0.00072855i,0.00032885-0.00079268i,-0.00019658-0.0003253i,-0.00063933-0.00035114i,-0.00063693-0.0003599i,-0.00055811-0.00026353i,-0.00033128+0.00030604i,-0.00043392+0.00075063i
0.00061137+0.00126i,0.00083449+0.00011595i,0.00077229-0.00077477i,0.00032277-0.0019759i,-0.00056185-0.0015819i,-0.00091722-0.0007356i,-0.00038868-2.6316e-05i,-0.00036955+0.0011618i,-0.00063862+0.0016615i,0.0001836+0.001737i,0.0008686+0.00097738i,-0.00042371-0.00067069i,-0.0011978-0.00076037i,-0.00070638+0.00031306i,-9.2071e-05+0.00082815i,0.00046636+0.00098437i,0.00036928+0.0004833i,-1.1773e-05-0.00014132i,-0.00014599-0.00016532i,-0.00023804+0.00028184i,-0.0007232+0.00022698i,-0.00054636-8.6857e-05i,0.00032339-8.015e-05i
-0.0021989-0.0019846i,-0.0015562-0.00022042i,-0.0013141+8.8822e-05i,-0.0017286-0.0010276i,-0.0016567-0.0016631i,-0.00089867-0.0011022i,-0.00034418-0.00082148i,-0.00013373-0.0005103i,0.00019728+0.00041726i,0.00056629+0.00082869i,0.00036703+0.00032223i,0.00078524-0.00033131i,0.0005805-0.00092042i,0.00025383-0.00075476i,0.00035989-5.8374e-05i,4.0228e-05+0.00034403i,-0.00050166+0.00059056i,-0.00093157+0.00043956i,-0.00053074-0.00038187i,0.00018133-0.00035295i,0.00019418+0.0002722i,-0.00064133+0.00034188i,-0.00047796+0.00051517i
