-2.7816e-05+0.00097167i,0.0011768-0.00038129i,-0.00020933-0.0013263i,-0.0011671+2.3877e-05i,-0.0020845+0.0018474i,-0.002147+0.0015495i,-0.00059216+0.0014565i,0.00090236+0.0013073i,0.0015174+0.00051766i,0.0011642+0.00018986i,0.00064466-0.00014487i,0.00038442-0.00042124i,0.00012414-0.0007542i,-0.00055764-0.0010996i,-0.0013245+9.4398e-05i,-0.001046+0.00080094i,-1.8816e-05+8.4253e-05i,0.0004359-0.00037795i,0.00017317-0.00035214i,-0.00015154+0.00014329i,-0.00076051-1.5904e-05i,-0.00088647-0.00022941i,-0.00046316+1.992e-05i
-0.0012664-0.00067459i,-9.8791e-05-0.00013976i,-0.00050301+0.001032i,-0.00026022+0.0012325i,4.6052e-05+0.0016175i,0.00012507+0.002231i,-0.00033986+0.00074409i,-0.00073209-0.00030366i,-0.00075532-0.00016532i,-4.6622e-05-0.00022771i,0.00094989+0.00019308i,0.00046796+0.00013726i,-0.00032695-0.0010137i,0.00015351-0.001062i,-0.00013065+0.00042686i,-0.00075123+0.00069378i,-0.00011595+0.00037148i,0.00016076+0.00034703i,5.7e-05+8.7277e-05i,0.0004639+0.00037197i,0.00086328+0.00070207i,0.00090635-0.0001028i,0.00045317-0.00030669i
-0.0017202+0.0012335i,0.00017046+0.0015579i,0.00068379+0.0016301i,-0.00056895+0.001091i,-0.00062707+0.0010171i,0.00024717+0.00086105i,-9.2592e-06+0.00066654i,4.6915e-05+0.00088251i,0.00087325+0.00057086i,0.00059649+6.0444e-05i,0.00045823-0.00044664i,0.00073396-0.0010029i,0.00038307-0.0011266i,0.00018641-0.0011685i,-0.00052784-0.0020082i,-0.0011089-0.0021767i,-0.00098707-0.00071777i,-0.00042918-6.1615e-05i,0.00022856+1.2282e-05i,0.00037788-9.7316e-05i,0.00036883-0.00052104i,0.0003936-0.0004882i,-0.00020925-0.0002285i
-0.0013428+0.00021108i,-0.0012334+0.00078375i,-0.00098192+0.00046701i,-0.00057115-0.00034018i,-0.00012279-7.7173e-05i,-3.696e-05+0.00072332i,-0.00062541+0.00070515i,-0.0012025-6.2418e-05i,-0.001195-0.00018742i,-0.00036777+0.0004461i,0.00027657+0.00085269i,0.00026151+0.0002249i,9.4791e-05-0.00051479i,0.00048113-0.00033419i,0.00060681+0.0001823i,0.00052874+0.00020243i,0.00036373+0.00023285i,-0.00043802-0.00059844i,-0.0004854-0.001029i,-0.00028605-0.0003945i,-7.4494e-05-0.00011862i,0.00077474+0.00013601i,0.00081445+0.00078128i
0.0006279+0.00049174i,0.00032789+0.00037214i,-0.00014099-0.00013343i,7.104e-05-0.00042145i,-0.00022009-0.00022567i,-0.00055765-0.00029525i,-0.00033494-0.00028332i,-0.00020203+0.00033299i,-8.0684e-05+0.00055883i,0.0007239+0.00043629i,0.001052-9.3525e-05i,0.00020064-0.00053656i,-0.00014571+0.0002466i,0.00047012+0.0006874i,0.00012604+9.8087e-05i,-0.00058634-0.00015808i,-0.00014384-0.0004834i,0.00040593-0.0006406i,0.00040156-0.00041258i,0.00048094-0.00054564i,0.00022346-0.00050911i,0.00015929-0.00066601i,0.0005758-0.00050207i
-0.0010212-0.00019692i,-0.0004158-0.00023513i,0.00019149-0.0001278i,0.00028205+0.00035662i,-0.00081647+0.00093445i,-0.0010213+0.0010366i,-0.00048636+0.00082697i,0.00016723-0.00021616i,0.00064447-0.00069722i,0.00067279+0.00040004i,0.00036413+0.00082086i,-7.0778e-05+0.0001793i,0.00025357-0.00035897i,0.0002936-0.0004295i,0.00072262-0.00032669i,-3.8243e-05+0.00046309i,-0.0013597+0.0004773i,-0.0012699+5.8355e-05i,-0.00064716-0.00033186i,-6.4186e-05-0.00038903i,-0.00012326-0.00050758i,-0.00019884+0.00011016i,5.1172e-05+0.0014972i
-0.0022363+0.00026317i,-0.0013558-5.3386e-05i,0.00016479-0.00037759i,-0.00013484-0.00030334i,-0.0010136+0.00045541i,5.9701e-05+0.00074325i,0.00037095-2.3064e-05i,-0.00046899-0.0002648i,-0.0010449+0.0001431i,-0.00035021+0.0005417i,0.00039544+0.0010354i,0.00071841+0.00072056i,0.0013137+0.00028824i,0.0009622+0.0003796i,0.00037686-1.909e-05i,0.0003857-0.00016818i,0.00061131-0.00019231i,0.00025283+0.00010565i,-0.00045786+0.00029687i,-0.00023307+0.00038515i,-0.00018293+0.00057053i,-0.00029723+0.00031526i,-0.00026169-6.9054e-05i
-0.0017696-2.8247e-05i,-0.0014328+0.00046654i,-0.0014601+0.00089553i,-0.001319+0.00094536i,-0.00018064+0.0012446i,0.00021593+0.0011858i,-0.00075774+0.00085337i,-0.0012003+0.00015732i,-0.00033949+3.0832e-05i,0.00018518+3.8468e-05i,0.00031735-0.0001659i,0.00096538-0.00019764i,0.0007335-0.00040117i,-4.137e-05-0.00044404i,-0.00028115-3.8726e-05i,0.00025795+0.00035352i,0.00059236+0.00053319i,0.00050864+0.00023562i,-8.5336e-07-0.00018693i,-0.00023044-0.00070089i,-0.00020472-0.0010488i,7.7636e-05-0.00085442i,0.00035351-0.00055037i
0.00030635+0.000619i,0.00073409+0.00039293i,0.00085111-0.0010521i,0.0011094-0.0012916i,0.00061223-0.00087473i,-0.00013101-0.00063715i,-0.00036107-0.00036025i,0.00026908-0.00071225i,0.00037837-0.00061747i,6.5882e-06+0.00069594i,-0.00044495+0.0010212i,-0.0005257+0.00042096i,-0.00051272+0.00024792i,-0.00052033+0.00037541i,-0.00031575+0.00018456i,-0.00065145+0.00029709i,-0.00073382+0.00030961i,-0.00075362-0.00048346i,-0.0005391-0.0011451i,1.3157e-05-0.00078405i,-0.00071354-0.0003855i,-0.00068479+1.289e-05i,-0.00024239+0.00052908i
-0.0004967+0.00058155i,-0.00033008+0.00021254i,-0.00016699+5.6214e-05i,-0.00040689+6.6182e-06i,-0.00048283+0.00056247i,8.8966e-05+0.0001783i,0.00069134-0.00016273i,0.0011524+0.00022017i,0.00097526+0.00051185i,0.00075503+0.0005559i,0.00076501+0.0002195i,0.00067011-0.00013367i,0.00029166-0.00052865i,-0.0003977-0.00096961i,-0.0005845-0.0011263i,-0.00035826-0.00092297i,-0.00043086-0.0004642i,-0.00052464-0.00023525i,-0.00052145+7.6559e-05i,8.8749e-05-0.00053896i,0.00014594-0.00084099i,2.1346e-05-0.00018491i,0.00030732-7.9472e-05i
-0.00068572-0.00035085i,-0.00017379+0.0004312i,0.00033998+0.00016699i,0.00032528+0.00013549i,-0.00068257+0.00026387i,-0.00083361+0.00061355i,-0.00062117+0.0013519i,0.00048274+0.0008503i,0.0010982-0.00022946i,0.00025138-0.00054033i,0.00020755+6.5568e-05i,0.00070144+0.00040196i,0.00042414+1.9407e-05i,0.0003128+0.00010442i,0.00039663+0.00090588i,0.00027587+0.0005862i,0.00022275-0.00045959i,-0.00024505-0.00054458i,-0.00022383-0.00041756i,0.00021093+0.00032407i,-0.00023512+0.00046083i,-0.00070888-0.00068032i,-0.00073137-0.0006091i
