-0.00247+0.0011034i,-0.00067857+0.00087804i,-0.00031691+0.00014872i,-0.00026678+7.0114e-05i,-0.0014704+0.00083937i,-0.0027871+0.0004125i,-0.0017408+0.0013593i,-0.00030015+0.0024874i,0.00082423+0.002053i,0.001301+0.00073182i,0.0010388-0.00043096i,0.00058159-0.00090704i,-4.5931e-05-0.00044516i,-0.00043224+9.0635e-05i,-0.00081492+0.00032677i,-0.00017221+0.00073228i,0.001063+0.00089481i,0.0011564+0.001046i,0.00096493+0.00088216i,0.0010166+0.00050442i,0.00094483+0.00080562i,0.00076215+0.0010477i,0.00087623+0.001379i
-0.00057033+0.003249i,0.00068528+0.0017629i,0.001055+0.0011838i,0.001469+0.00020072i,0.001482-0.0011624i,-0.00018452-0.0016824i,-0.00088903-0.00026614i,0.0001877+0.00060561i,0.00087567+0.00094131i,0.0010619+0.00085932i,0.00088312+9.7014e-05i,0.00026987-0.00018813i,-0.00056376-0.00037123i,-0.00084651-0.00038197i,-0.00022411+0.00016902i,8.1795e-06+0.00082589i,-2.7712e-05+0.00038656i,0.00018526-0.00053244i,0.00078292-0.00090811i,0.00085815-0.0006934i,0.00077929-0.00026904i,0.00074697-0.00047888i,0.00036511-0.00033922i
0.0013366-0.00033635i,0.001138-0.00058921i,0.00066684-0.00090746i,-0.00052702-0.0013777i,-0.0027459-0.001237i,-0.003189-0.00021677i,-0.0015542+0.00043008i,-0.00035482+0.00027843i,0.00027561-0.0003685i,0.00081875-0.00040932i,0.00049148-0.00025993i,-0.00011752-2.5372e-05i,3.2931e-05-0.00034796i,0.00051034-0.0010654i,0.00091373-8.4982e-05i,0.00082582+0.00045339i,0.00039524+0.00029361i,4.7255e-05+0.00030369i,0.00067772+3.0575e-05i,0.00098074+0.00022192i,-8.1779e-05+0.0005524i,-0.00063687+0.00018919i,-0.0006881-0.00030323i
-0.0011502-0.0012513i,-0.0011655-0.0013672i,-0.0018071-0.00057631i,-0.0014803+0.0001536i,-0.00095613-6.5086e-05i,-0.00112-0.0004894i,-0.00077059-0.00066313i,-0.00021449-0.0003838i,-0.00018077-0.00012035i,0.00011075-0.00092259i,0.00074873-0.00090845i,0.0011244+0.00024108i,0.0012603+0.00037298i,0.00080649+0.00026813i,0.00048408+0.00019739i,0.0013945-9.2942e-05i,0.0018924-0.00055484i,0.0013549-0.00075146i,0.00039486+0.0003615i,0.00018604+0.0011576i,0.00089767+0.00076826i,0.0011055+0.00047193i,0.00047549+0.00021433i
-0.00022956+0.00073526i,-0.00028856+0.00087921i,-0.00029627+0.0014599i,-0.00071856+0.0012034i,-0.002081+0.00066546i,-0.0030397+0.00011336i,-0.0022531+0.00034456i,-0.0014592+0.00051214i,-0.00099735+0.00044116i,-0.00023645-2.4305e-05i,0.00068742-0.00064148i,0.00071425-0.00065532i,0.00019685-0.00044363i,-0.00021479-0.00023493i,-0.00033804+0.00047266i,-0.00030021+0.00042222i,-0.00044901-0.00026195i,-9.7877e-05-1.4365e-05i,0.00041702+0.00018478i,-0.00019751-0.00029687i,-0.00050614-0.00050848i,-0.00031211+9.959e-05i,-0.00076702+0.00075619i
0.0007907+0.00047314i,0.00064732+3.6088e-05i,0.00021265-0.00074354i,-0.00048529-0.0010182i,-0.002691-0.0010152i,-0.0039332+0.00024973i,-0.0019325+0.0014413i,-9.8556e-05+0.0012479i,0.0001915-5.5329e-05i,0.00070058-0.00076668i,0.00031764-0.00045388i,0.00012903+0.00027353i,0.000695+0.00030424i,0.00065754-0.00043223i,-9.7535e-05-0.00027309i,-0.00097013+0.00017333i,-0.0011378+0.00013871i,-0.0011606+2.8018e-05i,-0.00078743-0.0004253i,-8.2844e-05-0.00058844i,7.4711e-05-0.00018792i,-0.00027234-0.00012023i,4.4147e-05-3.4898e-05i
0.00021013-0.00021218i,-0.00057058-0.00030678i,-0.00063646-0.00091106i,9.941e-05-0.0012836i,-0.0010613-0.00061388i,-0.0016878+0.00044715i,-0.0010298+0.00060764i,-0.00026139+0.00033815i,0.00036618+0.00029053i,0.0006843-0.00030347i,0.00091651-0.00095103i,0.00071058-0.00052728i,0.00056551-0.00045566i,0.0005409-0.00022051i,0.00013749+5.5795e-05i,0.00078405+0.00053103i,0.001102+0.00017053i,0.00090202-0.00071596i,0.00087302-0.00027731i,0.0003777-4.0477e-05i,0.00046894-0.00068372i,0.00017311-0.00081667i,-0.00067685-0.00036303i
-0.0011715-0.00072902i,-0.00051762-0.0004223i,-0.0013752-4.5773e-05i,-0.00068348+0.0001271i,-0.00011926+0.00043028i,-0.0010352+0.0005242i,-0.0012985+0.00047412i,-0.00080703+0.0005933i,-0.00062793+0.0007808i,-0.00019731+0.00094153i,0.00030979+0.0001223i,-0.00024098-0.000323i,-0.00076746+0.00026435i,-0.00092633-7.523e-05i,-0.00065616-0.00086669i,0.00011306-0.00098821i,0.00046805-0.00058994i,0.00031237-0.00064349i,0.00058496-0.00057076i,0.00039539+4.8609e-05i,-0.00033118+0.00016819i,-0.0004891+0.0005051i,-0.00045017+0.00077569i
0.00043609+0.00070565i,0.00021124+0.00086037i,0.00083865+0.00079841i,0.0011277-0.00053536i,-9.0751e-05-0.0017084i,-0.0018914-0.0010476i,-0.0020183+0.00021954i,-0.0009368+0.00039794i,-0.0005595+0.0003151i,-0.00034993-1.1479e-05i,0.00028134-0.00059674i,2.0094e-05-0.00043858i,-0.00028864-9.3909e-05i,0.00018706+2.4213e-06i,-0.00021952+0.00032474i,-0.00058373+0.00064267i,-0.00048259+0.00036851i,-0.00052167-0.00035945i,-0.00030341-0.00032917i,0.00019155-0.00050689i,0.00020491-4.5192e-05i,-0.00031341+0.00088396i,-0.0007717+0.00028716i
6.7733e-05-0.00050767i,0.00046485+1.0443e-05i,-0.00043983+0.00026971i,-0.0010403+3.9445e-05i,-0.0022292-0.00024285i,-0.0026041-0.00043958i,-0.00079565-0.00030359i,0.00010739+0.0001275i,5.3099e-05+0.00022407i,0.00055406-0.00033604i,0.00089522-0.00030801i,0.00036376+0.00052169i,0.00016627+0.00084849i,-0.00010571+0.00032702i,-0.00021501+0.00013175i,-0.00012559-9.9502e-05i,0.00054137-8.1247e-05i,0.00077422+0.00028717i,0.00027004+0.00032772i,1.8999e-05+0.00055885i,7.1792e-05+0.00053352i,0.00011795-0.00054717i,-0.00040423-0.00093616i
-0.0018749+0.00046636i,-0.0027277+6.1022e-05i,-0.0022047-0.0007623i,-0.001079-0.0015767i,-0.0011529-0.002706i,-0.0015175-0.0032277i,-0.0012647-0.0016017i,-0.00047434-0.00014221i,-0.00045826-0.00017434i,-0.00056295+1.68e-06i,-0.00041821-0.00071934i,-0.0001168-0.0012868i,0.0007427-0.00010913i,0.0012026+0.00051981i,0.00075546+0.00011901i,-0.00023561-0.00070963i,-0.00020139-0.0013828i,0.0005098-0.0014579i,0.00074306-0.00091708i,0.00029593-0.00046429i,0.00023267-0.00079819i,0.00053951-0.00065068i,0.0005217-2.2041e-05i
-0.00068844-0.0017609i,-0.0007238-0.002033i,-0.00068159-0.0015762i,-0.0012395-0.000228i,-0.002324-3.2405e-05i,-0.0029752-0.00026082i,-0.0027623+0.00044345i,-0.0011846+0.00077593i,4.9469e-05+0.00065819i,0.00047734+0.0009819i,0.00073693+0.00088357i,0.00033465-3.2808e-05i,0.00016251-0.00035628i,7.9798e-05-0.00047972i,0.00065353-0.00061679i,0.0013691-0.00042349i,0.001356-0.0004119i,0.00095365-0.00061074i,0.00036495-0.00050218i,-0.00065256+9.6118e-05i,-0.00067037+0.00042125i,0.00026883+8.0231e-05i,0.00023296-0.00026308i
7.2761e-05+0.0017753i,0.00053159+0.0016717i,0.0017869+0.0012274i,0.0017634+0.00087577i,0.0005777-0.00052329i,-0.0013467-0.0012903i,-0.0023311-0.00053799i,-0.0010154-0.00014801i,0.00031536+6.3519e-05i,0.00066462+0.00060256i,0.00055971+0.00066765i,0.00062322-1.8727e-05i,4.4418e-05-9.3924e-05i,0.00018869+0.0002964i,0.0010164-0.00047228i,0.00077745-0.00079609i,8.8e-05+0.00011865i,-0.00044775+0.00044013i,0.00020731+0.00022509i,0.00082842-0.00024829i,0.00037532-0.00048273i,0.00031193-0.0004003i,0.00046468-9.6832e-05i
-2.7937e-05+0.00085796i,-0.00051002+0.0011234i,-0.00071481+0.0015697i,-0.00083677+0.00047684i,-0.00061464-0.0011915i,-0.0013714-0.00055555i,-0.0020894+0.00033739i,-0.0013399+0.00028545i,-0.0004717-4.8292e-05i,0.00070283-7.2213e-05i,0.00049743-0.00015567i,-0.00055464-0.00037208i,-0.00044247-0.0004501i,1.4774e-05-0.00054871i,0.00020922-0.00020276i,-2.9499e-06-0.00064084i,-4.1564e-05-0.00082059i,0.00017774-0.00072619i,0.00023086-0.00092674i,0.00025405-0.00037118i,1.0746e-05+0.0005495i,-0.00031812+0.0009095i,-0.00020085+0.00051787i
