0.00070163+0.00089951i,0.0011726+0.00032893i,0.0016375-0.00031765i,0.00054228-0.0013648i,-0.0007087-0.0012127i,-0.00080112-0.00077738i,-0.0007154-0.00049522i,-0.00077833-0.00053538i,-0.00092202-0.0009002i,-0.00051399-0.00080855i,-0.00050703-0.00045857i,-0.00022055-0.00031223i,0.00012865-5.6515e-05i,-0.00041311-0.00033823i,-0.00048131-0.00089497i,-0.00037284-0.00069798i,-0.00018132-0.00083657i,0.0004268-0.00085861i,0.00025522+6.2251e-06i,0.00015162+0.00041641i,0.0007328-0.0002425i,0.00097446-0.0008262i,0.00042994-0.00094574i
-0.0011617-0.00031692i,-0.0017981-0.00011875i,-0.0019475+8.7457e-06i,-0.0012134+0.00033149i,-0.00017048+0.00018511i,0.00037882+0.00025817i,5.3811e-05+0.00024329i,-0.00016188+0.00023405i,-6.4296e-05+0.00054302i,0.00011672+0.00048391i,-4.1384e-05-0.00061996i,-9.6918e-07-0.00088519i,0.00057511-0.00038964i,0.00076243-0.00057911i,0.0006241-0.00039574i,-0.00018261-0.00029764i,-0.00075213-0.00016166i,-0.00058007-0.00046151i,-0.0003216-0.0011354i,3.9352e-05-0.00069217i,-0.00010122-0.00030822i,0.0001561-9.01e-05i,0.00058241+0.00032197i
-0.001578-0.00071703i,-0.0020125-0.00052433i,-0.0013159-0.00082034i,-0.00076655-0.00072981i,-0.00091004-0.00095084i,-0.00047304-0.0013465i,-0.00025531-0.0011783i,-0.00012506-0.00057065i,0.00024797-0.00028288i,0.000407+3.6473e-05i,1.0419e-05+0.00045633i,-0.00036929+0.00015663i,-0.00062764+0.00011776i,-0.00063868+0.00018368i,-0.00011433+0.00027626i,0.00025472+0.0010817i,-0.00082128+0.0013839i,-0.001074+0.00056307i,-0.00068563-0.0001996i,-0.0010592+0.00010618i,-0.0011561+0.00028095i,-0.00033533-0.00026886i,0.00012271-0.00031901i
-0.0014526+6.7858e-05i,-0.0017497-0.00062516i,-0.0021375-0.001174i,-0.00074221-8.4176e-05i,0.00030768+0.0003118i,0.00058425-3.5061e-05i,0.0001501+0.00041515i,-0.00019575+0.00057892i,0.0001623+0.00088485i,0.00057156+0.0010695i,0.00059938+0.00057862i,0.00079454+0.00021978i,0.0012177+0.00036361i,0.00092929+0.00036297i,0.00065516-1.2251e-05i,0.00061766-0.00017195i,0.00064796-0.00010745i,0.00032254+6.6828e-05i,0.0002638+0.00021508i,0.00075788+0.00047995i,0.00050597+0.00015791i,0.00016748+0.00033832i,0.00041597+0.00043188i
-0.0012963+7.2686e-05i,-0.00042517+0.00015384i,-0.00096173+0.00065339i,-0.0011606+0.00049711i,-0.00024975+0.00054486i,0.00074301+0.00087096i,0.0006532+0.00060374i,-0.00030591-4.3513e-05i,-0.00082663+7.458e-05i,1.9277e-05+0.00065973i,0.0011582+0.0001846i,0.00073372-0.00034813i,-0.00074433-0.00037129i,-0.0006136-0.0010046i,0.00016204-0.00097785i,-0.00042524-3.0383e-05i,-0.001671+0.00080713i,-0.0017667+0.0010353i,-0.00053607+0.00030785i,4.4265e-05-0.00047127i,-6.4075e-05-0.0008363i,-0.00030174-0.00062286i,-0.00049145-0.00010767i
-4.8186e-05+0.00092261i,5.5168e-05+0.0009225i,0.00066637+0.00084938i,0.00013533+0.00047788i,-0.00037807-0.00015462i,-0.0005871-0.00030003i,-0.00036441-4.6055e-05i,-0.00052775+7.3318e-05i,-0.0013279+0.00041459i,-0.0012176+0.00051137i,-0.0006965+0.00095959i,-0.00056153+0.001213i,-0.00048036+0.0010656i,-0.000531+0.00025732i,-0.00051066-0.00061319i,-0.00017324-0.00078975i,0.00050814-0.00020179i,0.00053708+0.00034759i,1.6227e-06+0.00013648i,6.7704e-05+0.00039336i,1.2958e-06+0.00086435i,-0.00039502+0.00083114i,-0.00036224-0.00013042i
-0.00013667+0.0015001i,0.00052957+0.0010896i,-1.0412e-05+0.00113i,0.00022032+0.0007903i,0.00043318+0.00027967i,-0.00030654-0.00057423i,-0.0013069-0.0010367i,-0.00091845-0.0011204i,-0.00012473-0.00064331i,-0.00012227+0.00030895i,-4.8607e-05+0.00014449i,0.00037953-0.00076178i,0.00015876-0.000965i,2.3802e-05-0.00065583i,0.00017021-0.00060885i,0.00032992-0.00056255i,0.00011678-0.00070272i,7.9549e-05-0.0010772i,0.00054127-0.00097886i,0.00064181-0.00068782i,0.00052212-0.0008359i,0.0007984-0.00069401i,0.00071148-0.00059829i
0.0008245+0.00085594i,0.00066887+0.0013023i,0.001488+0.0012943i,0.0017534+0.00030921i,0.0010404-0.00083758i,0.00068432-0.0011714i,0.00044152-0.0009324i,-6.3041e-05-0.00047976i,-0.00089388-0.00071337i,-0.00066853-0.00080735i,-0.00027522-0.0010205i,-0.00040676-0.001031i,-0.00069699-0.0013525i,-0.00073431-0.0016642i,6.0741e-05-0.0010429i,6.2573e-05-0.00071025i,-0.00079795-0.00010729i,-0.00091494+0.00051565i,-0.00012931+0.00062496i,0.00031956+0.00057822i,0.0003457+0.00069906i,0.00026689+0.00036316i,0.00017376-0.00037112i
-0.00047036-0.00087872i,-0.00069932-0.00044194i,-0.00018554+0.00056812i,-0.00085291+0.0011376i,-0.0025092+0.0012071i,-0.0020509+0.0009487i,-0.00057499-0.00014704i,-0.00018159-0.00029467i,-7.297e-06+0.00066232i,0.00079474+0.00081033i,0.00090334+0.00024268i,0.00020038-1.2197e-05i,0.00018251-1.4824e-06i,8.7083e-05-0.00042815i,0.00029474-0.00063831i,0.00022754-0.00059796i,-0.00047899+1.729e-05i,-0.00044537-0.00011036i,0.0002178-0.0003923i,0.00039182-0.00018367i,-0.00011756-0.00016444i,-0.0005902+0.00025851i,-2.0492e-05+0.00048838i
-0.00037085-0.00054511i,0.00014566-0.00029218i,-8.8856e-05-0.00061495i,-0.00071706-0.0012399i,-0.0008441-0.00039248i,-0.00088244+0.0003112i,-0.0011891+6.8427e-05i,-0.00096062-0.00062275i,-9.0225e-05-0.00094746i,0.00013588+0.00051206i,-0.00055252+0.0013015i,-0.00048439+0.00073094i,0.00035029+6.1397e-05i,0.00047256+0.00028763i,-0.00024174+0.000761i,-0.00039411+0.00042223i,-0.00033595-0.00010407i,-0.00046138-0.0008123i,-0.00013811-0.00090933i,0.00014997-1.3599e-05i,6.6793e-05+0.00023123i,-0.00014893-0.00035343i,-0.00026723+0.00040591i
