-0.00038582+0.00057854i,0.0012097-0.0004227i,0.00026399-0.0012995i,-0.00078061-0.00072894i,-0.0011097+0.0013028i,-0.0010804+0.0029474i,-0.001152+0.0031419i,-0.00051154+0.0022387i,0.00068948+0.0015551i,0.0019089+0.0012311i,0.0021145+0.0006532i,0.0011212+0.00040221i,1.7925e-05+0.00056688i,-0.00048189+0.00047445i,-0.00050735+0.00020892i,-0.0003838-0.00023743i,6.6221e-05-0.00014664i,0.00045046-0.00013144i,0.00044173-0.00071648i,0.00025602-0.00065258i,0.00051182-0.00040516i,0.00036076-0.00012739i,-8.8296e-06+6.6474e-05i
-9.4463e-05+0.0024915i,0.00070198+0.0016688i,0.0021848+0.0016676i,0.0010911+0.0011748i,0.00025026+0.0011934i,-0.00010283+0.0014888i,-0.00085788+0.00076679i,-0.00034636+0.00041476i,0.00067405+0.00076786i,0.001+0.00038255i,0.00077372-0.00027312i,0.00072648-0.00073768i,0.00056255-0.00043083i,-0.00041342+0.00014024i,-0.0004018+0.00034395i,-0.00015482+1.916e-05i,-0.00032168-1.8479e-05i,-0.00027921+0.00030151i,-0.00063365+0.0011796i,-0.00021063+0.0013648i,0.0003729+0.00042079i,-0.00014745-0.00011745i,-0.00082365+0.00010891i
0.0004913+0.00076212i,0.00041229+0.0018849i,-0.00012637+0.00083327i,-0.00021417+0.00060996i,3.1e-05+0.0016976i,-4.0145e-05+0.0021101i,0.0001815+0.0017004i,0.00015101+0.0010788i,-0.0005482+0.00025037i,-0.0001725-0.00018995i,0.00069103+0.00050156i,0.00058318+0.0005756i,0.00038246+6.8632e-05i,0.00068074+0.00027379i,0.00055582+0.00020571i,0.00064461+3.2153e-05i,0.00059354+0.00031182i,-0.00034128+0.00027863i,-0.00049199+0.0005997i,-0.00036688+0.00073213i,-0.00059497+0.00028519i,-0.00038624-1.3672e-05i,0.000258-5.9279e-05i
2.6514e-06+0.0010933i,0.00027633+0.0011828i,0.00057209+0.00069564i,0.00023822+0.0010136i,0.00012467+0.0018901i,0.00035807+0.0018463i,0.00039414+0.0015697i,0.00021545+0.00049141i,0.00049931-9.9549e-05i,0.00041282+0.00065553i,-9.1501e-05+0.00027109i,-0.0004045-5.2819e-05i,-0.00093999+0.00013013i,-0.00075274+0.00057619i,-0.00032115+0.00028245i,-0.0010795-0.00046987i,-0.00047727+0.00025826i,0.00050888+0.00064033i,0.00040368+0.00029321i,0.00020264+0.0001175i,0.00015758+2.3709e-05i,0.00022156-8.1779e-05i,-0.00042411-0.00019465i
0.00029745+0.0020054i,0.0012596+0.00070395i,0.0016741-0.00053304i,0.0010268+9.3863e-05i,0.00026307+0.00164i,-0.00030078+0.0021699i,-0.00027107+0.0015871i,0.00015219+0.0009414i,0.00089189+0.00025388i,0.0013175-0.0002175i,0.00043753-0.00046524i,-0.001005-0.00028657i,-0.0013038-0.0004605i,-0.00045627-0.00075056i,9.6149e-05-0.00020949i,-0.00013125-4.0549e-05i,0.00017784+0.00029665i,0.00033927+0.00053845i,-0.0001057+4.1122e-05i,-0.00053059+4.2215e-05i,-0.00049149+8.9305e-06i,-0.00062234-1.5409e-05i,-0.0001952+0.00056153i
0.0010841+0.00079072i,0.00049222+0.00089351i,0.00090865+0.00061698i,-0.00019832+0.00082258i,-0.0011574+0.0016238i,-0.00047532+0.0021695i,0.00024752+0.0019555i,0.00023943+0.0013471i,-7.6856e-05+0.0010392i,0.00011396+0.00088648i,-3.4138e-05+0.00066549i,-0.00062142+0.00010355i,-0.00072442+7.718e-05i,-0.00034002+0.00032765i,-0.00014997+0.00018596i,0.00025835-0.00014002i,0.00022746-0.00017278i,0.00029324+0.0002483i,0.00013514+0.00049673i,0.00046838+0.00072259i,0.00031099+0.0010028i,-0.00017478+0.00037259i,-3.9006e-05-0.00015446i
0.00086505+0.00032607i,0.0010216+0.00037368i,0.00024256+0.00019259i,-0.00041529+0.00063848i,-0.00032451+0.0012662i,0.00032016+0.0019863i,0.00053663+0.0016129i,-0.00030006+0.0013347i,-0.00055758+0.00082516i,-0.00054838+0.00035051i,-0.00035879-3.0795e-06i,0.00025916+0.0002961i,0.00037843+0.00087337i,0.00046325+0.0004088i,0.0010045-0.00079783i,0.0006302-0.0011149i,-0.00027313-0.00094367i,-0.00031337-0.00048165i,-4.1432e-05+0.00031836i,-0.00025646+0.00086799i,4.6449e-05+0.0010128i,0.00074501+0.00082863i,0.00038786+0.00032512i
0.0013683+0.0020056i,0.00028925+0.0011321i,-0.00094178-0.00010075i,-0.00089013-0.00044666i,-0.00053434+0.00013033i,-0.00063496+0.001142i,-0.00081596+0.0013636i,-0.00090005+0.00080177i,-0.00039953+0.00046647i,7.429e-05+0.00047083i,0.00028413+3.312e-05i,0.0002085-0.00013815i,0.00014787+0.00063434i,0.00019939+0.00053209i,-0.00029719+0.00069044i,-0.0010663+0.0016236i,-0.0010262+0.0010836i,-0.00029557-0.00031478i,0.00074878-0.00060221i,0.00017797+1.5591e-05i,-0.0014777+0.00060741i,-0.0012108+0.00089286i,-0.00018773+0.00094808i
-0.00026927+0.001933i,9.4342e-05+0.0021175i,-0.0004429+0.0019514i,-0.00079488+0.0013034i,-0.00028333+0.0015745i,-8.4391e-05+0.0018294i,-0.00035642+0.001207i,-0.00049658+0.00048131i,-0.00053982+5.9978e-05i,9.7168e-05+9.2848e-05i,0.0014661+0.00056361i,0.0012007+0.00072244i,0.00085069+0.00062978i,0.00037894-0.00042608i,0.00039041-0.00067932i,0.0007406-0.00048064i,0.00074113-0.00037093i,-0.00017925+0.00054487i,-0.00071511+0.0007789i,-0.00024568+0.00093046i,0.00043626+0.0012615i,0.0006958+0.0011004i,2.5381e-05+0.00060389i
-0.00038448+0.00042724i,0.0008654+0.00033003i,0.00022502+0.00031413i,-0.00021243+0.00031081i,0.00022169+0.00056203i,1.7049e-05+0.00090244i,-0.0004268+0.0010878i,-6.0234e-05+0.0008749i,0.00055217+0.00083578i,0.00046425+0.00021981i,-0.00032589-0.00030771i,-0.00076875-0.00038317i,-0.00029354+7.9904e-05i,0.00057028+0.00037596i,2.632e-05+0.00032091i,-0.00053631+0.00059702i,1.4357e-05+0.00045746i,0.0001251-0.00053349i,-0.00035647-0.00043613i,-0.00042688-0.00021272i,-0.00033142+0.00041361i,-0.00063568+0.00043356i,0.00010043-0.00014671i
0.00027262+7.2317e-05i,0.00045361+0.00063611i,-0.00016658+0.00043536i,-0.00065726+0.0014312i,-0.00078245+0.0022609i,-4.4717e-05+0.0017767i,0.00047836+0.001671i,0.00045752+0.0015483i,-1.4081e-05+0.00029646i,-0.0003557-0.00043492i,2.0308e-05+0.00018366i,-3.8441e-05+0.00048286i,-0.00042535-0.00017127i,-0.00037625-0.0004444i,0.00011664-0.00045313i,0.00072025-0.0001342i,0.00050047-0.00016197i,-0.00072988-0.00016344i,-0.00080564-6.3042e-05i,0.00020237-0.00077696i,0.00024963-0.00041972i,0.00032999-1.4642e-05i,0.0002712-0.00017411i
