0.00039867+0.00087347i,0.00078486-0.001017i,0.00013545-0.0029949i,-0.00054196-0.0038663i,-0.0019515-0.0015165i,-0.0025591+0.0014657i,-0.0011752+0.0021223i,0.00077166+0.00096108i,0.0013614-0.00019162i,0.0010504-0.00072145i,0.00083665-0.0007986i,0.00036581-0.00069107i,-0.00091562-0.00022935i,-0.00099514+0.00033212i,0.00065442+0.00054493i,0.00094587-0.00029746i,-7.9518e-05-0.00038322i,-0.00033583-4.5623e-05i,-1.125e-05-0.00056147i,-0.00040065-0.00070846i,0.00017546-0.00047836i,0.00089776-0.0003548i,0.00017634-0.00017457i
-0.0015644-3.2048e-06i,-0.00043532+0.00061984i,-4.6571e-05+0.0020629i,0.00030239+0.0024965i,0.0015001+0.0026434i,0.0012005+0.0010049i,-0.00031515-0.0008203i,-0.00048127-0.00058756i,-0.00043096-6.0392e-06i,-0.00041485+0.00056762i,-0.00038526+0.00078375i,-0.00012997+4.6631e-07i,0.00072012-0.0001283i,0.00089062+0.00019816i,-2.8055e-05-0.00047578i,-0.00059132-0.00045619i,-0.00069682+0.0004797i,-0.00097504+0.00041831i,-0.00087779-0.000233i,-0.00044794+0.0001475i,-0.0004007+0.00081409i,0.00013813+0.0011193i,0.00063416+0.00039042i
-0.0012745+0.00075241i,-0.0010021+0.0010705i,-0.00017189+0.00048278i,0.00026612+0.00010971i,0.00065147-0.00034171i,0.00051643-0.0013609i,-0.00023318-0.0012855i,-0.0012666-0.00089321i,-0.00097762-0.00068548i,-0.00032017+0.00010471i,0.00029235+0.00037786i,0.00046543-0.00012805i,-0.00021386-0.00040352i,-0.00075756-0.00062374i,-0.00084883-0.0011161i,-0.00047383-0.00041286i,0.00025467+0.00030641i,0.00033752-0.00028897i,0.00021363-0.00043233i,0.00063846+0.00028914i,0.00069438+0.00039022i,-3.7485e-05+0.00079771i,2.0752e-05+0.0010044i
-0.001489+0.0018895i,-0.00093302+0.0025771i,0.00061841+0.0027261i,0.0021344+0.0018602i,0.0024144+0.00080873i,0.0016057-0.00064844i,0.00063269-0.00091401i,0.00020952-0.00097963i,7.2381e-05-0.0003753i,0.00032961+0.0006i,0.00062477-1.2536e-05i,0.0001-0.00067326i,-0.00039759-0.00079541i,-0.00036151-0.00048697i,-0.00033244-0.00018182i,-0.00027251-0.0004096i,-0.00014626-0.00031585i,0.00020403+0.00026175i,4.0787e-05+0.00035594i,-6.9204e-05+0.00056251i,-3.8032e-05+0.0012916i,-8.2665e-05+0.00092457i,0.00022954-0.00020307i
-0.00031938-0.0011413i,3.5047e-05-0.0018211i,-2.9113e-05-0.0017799i,-0.00035033-0.0010364i,-0.0010945-8.7284e-05i,-0.0015733+0.00029242i,-0.0010564-0.00027795i,-0.00052097-0.00018891i,-0.00017908+0.00043509i,-9.2735e-05+0.00035068i,-0.00023539-0.00030739i,-0.00010544-0.00057889i,0.00018052-0.00028417i,0.00027351+0.00038154i,0.00038093+0.00087261i,0.0005716+0.0011321i,0.00063036+0.0013644i,-0.00023411+0.00010089i,-0.00065393-0.00077782i,-0.00074393-9.7246e-05i,-0.00077961-6.3237e-06i,-0.0002006+0.00020342i,8.6835e-06+0.00021388i
-0.00010919+0.0013499i,-0.00032279+0.00083391i,-0.00018034+0.00037481i,0.00053895-0.00024842i,0.00095984-0.00059701i,0.00081892-0.00043078i,0.00072981-0.00063008i,-0.00038165-0.001328i,-0.0015089-0.0011726i,-0.0011046-0.00054994i,0.00023158-0.000237i,0.00074966+0.0002746i,3.328e-05+0.000682i,0.00027247+0.00045068i,0.00064735+0.00061608i,0.00067613+0.00017572i,0.0002946-0.00018285i,-0.00018178-0.00037151i,0.00012586-0.0011042i,-0.00015546-0.00095104i,-0.00050013+2.7491e-05i,-0.0003482+0.0003459i,-1.853e-05-0.0001119i
0.00015378-0.00039688i,-0.00029691-0.0014486i,0.00070792-0.0018245i,0.0013832-0.0021185i,0.001337-0.0026077i,0.00039831-0.0017922i,-0.00014798-0.00038547i,-0.0002623-0.00016535i,-0.00048474-0.00030987i,-0.00030741-0.00018109i,-0.00028372-0.00022644i,-0.0009924-4.8559e-05i,-0.00028254+0.00050908i,3.9055e-06+0.001275i,-0.00061933+0.0016283i,-0.00050696+0.0015055i,-0.00032469+0.00085549i,0.00025666+0.00019001i,0.00070254+0.00055916i,0.00031301+0.00079536i,-0.00084233+0.0010339i,-0.000935+0.00070152i,-0.00096595+0.00057039i
0.0004952-0.0027019i,-0.00024796-0.0013953i,-0.00056135-0.0014722i,-0.00073199-0.0020879i,-0.0013299-0.0015961i,-0.0018493-0.0011369i,-0.00086091-0.00079726i,-0.00015149-0.00046438i,-0.00080805+0.00013924i,-0.0011124+0.00039089i,-0.0011944-0.00021362i,-0.00059432-0.00024606i,0.00032382+0.00053787i,0.0003562+0.00078997i,0.00078561+0.00070963i,0.0011919+0.00050164i,0.00056364-4.2723e-05i,0.00052474+0.00012534i,0.00040111-0.00022968i,9.0241e-05-0.00077388i,0.00015668-0.00074249i,-2.904e-05-0.00047559i,0.00023984-0.00014592i
0.0032179+9.4275e-05i,0.002639-0.0010868i,0.0033235-0.00088154i,0.0024216-0.0012895i,0.00051136-0.0023955i,-0.0003292-0.0020523i,-0.00060383-0.0011653i,-3.7665e-05-0.00086096i,0.00014543-0.0001917i,0.00010829+0.00044493i,8.9995e-05+0.0003298i,-0.0004459+0.00061267i,-0.00019215+0.00057705i,8.263e-05+0.00039533i,-0.00030181+0.00072571i,4.6417e-05+0.0006059i,0.00035347+0.00020561i,4.2711e-05+0.00014157i,-3.2904e-05+0.00034652i,-0.0003749+0.00028026i,-0.00040152+5.4629e-05i,-0.00060032+0.00056274i,-0.00047659+0.00029623i
0.0015115+0.00075889i,0.00018589-0.00095928i,-0.00016652-0.0014976i,0.00037016-0.0010953i,0.00043844-0.0015076i,0.00019172-0.00097361i,-0.0011708-0.00037218i,-0.0015506-2.9017e-05i,0.00012572+5.151e-05i,0.00032573-0.00031573i,-0.00014654-0.00049468i,0.00010631-0.00016505i,-4.8723e-05+8.4647e-05i,-0.00066092-0.00011809i,-0.00083784-0.00018475i,-0.00048146-0.0002175i,0.0002336-0.0005111i,0.0002258-0.00078949i,-0.0002931-0.000602i,0.00010959-0.00026261i,-0.00019251-0.00048619i,-0.00023569-0.0005798i,-0.0001974+0.00024535i
0.00032427-0.0018872i,0.00040068-0.0013606i,0.0010268-0.0011296i,0.00095766-0.0019099i,-0.00038971-0.002568i,-0.0017098-0.0013892i,-0.0014298+1.3274e-05i,-0.00050051+0.000709i,5.8696e-05+0.00042117i,8.198e-05-0.00029465i,0.00048869-3.197e-05i,0.00043013+0.00031374i,-0.00010817-0.00041347i,-0.00017538-0.00071385i,0.00021357-0.00075227i,0.00039097-0.00045475i,3.3102e-06+0.00029081i,-0.00048016+0.00043305i,-0.00029791-0.0003566i,-0.00014454-0.0015436i,0.00023674-0.0010064i,0.0004533+0.00022087i,4.5192e-05-0.00014913i
