0.00068291+0.00064944i,0.0010579+0.00045996i,0.00084045-0.002054i,-0.00020781-0.003002i,-0.0016622-0.0014691i,-0.0011648+0.00067441i,-0.00032785+0.001993i,-0.00014808+0.0014365i,0.00096759+0.00013248i,0.0017018-0.00053208i,0.0012689-0.00076976i,-1.1941e-05-0.0010866i,-0.00093948-0.00078251i,-0.0013035-0.00022592i,-0.0008385+0.00020064i,-0.00075187-0.00022616i,-0.0010245-0.00021179i,-0.00023494-0.00040735i,0.0010368-0.00057424i,0.0010373-0.00013492i,0.00096858-0.000573i,0.00090045-7.1979e-05i,0.00051307+0.00037354i
-0.0018255+0.00098622i,-0.0018512+0.0021555i,-0.0016468+0.0028807i,-0.0006735+0.0026391i,0.00084115+0.0020862i,0.0015701+0.00099691i,0.00084693+9.1032e-05i,0.00019733-0.00022888i,-9.7534e-05-0.00022313i,0.00035412-0.00049314i,0.00026653-0.00088517i,-0.00016048-0.00078037i,0.00011463-0.0002698i,-3.6918e-05-0.0003349i,0.00018312-0.00047052i,0.00077696-0.00058239i,0.00068431-0.00030456i,-5.7179e-05-0.00010422i,-0.00034168+2.0498e-05i,9.6891e-05-0.00020462i,0.00089446+0.00015983i,0.0006877+0.00042719i,8.6999e-05-0.00038145i
0.0017995+0.0017866i,0.00045692+0.00092148i,-0.00021724-0.00012853i,-0.00051656-0.00052275i,-0.0010802-0.00013552i,-0.0010788+0.00010577i,-0.00069989-0.00056578i,-0.00015472-0.00080692i,-2.8101e-05-0.00057621i,2.5497e-05-0.00032653i,-4.1676e-05-9.2785e-05i,-0.0003259+0.00033257i,0.00013955+0.00039834i,0.00026512-0.00024557i,-0.00011745-0.00050366i,-0.00095509+0.00042785i,-0.0012834+0.00018117i,-0.00030456-0.00055975i,0.00026415-0.00027633i,0.00018054+3.4064e-05i,0.00016547+0.00045612i,0.00039527+0.00059924i,0.00080559+8.2064e-05i
0.00085435+0.001252i,0.0011277+0.00056173i,0.0021459+0.00047525i,0.0019658+0.00075072i,0.0010907+0.00041865i,0.00075304+0.00018097i,0.00040538+0.00029622i,-0.00035329+0.00085601i,-0.00084407+0.00082128i,-0.00051316+0.00014916i,-0.00036928-0.00046648i,-0.00075176-0.00079976i,-0.0012751-0.00064564i,-0.0015932-0.00032845i,-0.00049256-0.00099861i,0.00062437-0.0012385i,0.00046692-0.00051081i,-0.00032332-0.0005275i,-0.0011193-0.00069159i,-0.00090979-0.00030528i,-0.00017182-0.00017747i,0.00043905-0.00061469i,-0.00011257-0.00050419i
-0.00027594+0.0014767i,0.00031913+0.0015911i,-0.00043189+0.0013782i,-0.0014457+0.0012607i,-0.0012894+0.00084996i,-0.00094932+0.00036527i,-0.00037125-0.0002256i,0.00043283-0.00023128i,0.0007149-0.00016607i,-9.947e-05-0.00038112i,-0.00053168-0.00030212i,0.00063598+2.9448e-05i,0.00064859+0.00039789i,-0.00015021+0.00064137i,1.4941e-05+0.00048492i,0.00045095+0.00079325i,0.00080459+0.0010646i,0.0010131-0.00024066i,0.00067663-0.00099777i,0.00038661-0.00078356i,0.00037505-0.00044822i,-0.00014461-0.00072752i,8.0287e-05-0.0010741i
-0.0016956+0.00059311i,-0.001077+0.0014297i,0.0004856+0.0016484i,0.0013805+0.0011967i,0.00095442+0.00034507i,0.00043883+0.00043864i,0.0003341+0.0008885i,4.2461e-05+0.00058165i,-0.00031816+0.00061102i,-0.00090671+0.00094551i,-0.0012077+0.001099i,-0.00093777+0.00037882i,-0.00034638-0.00036243i,-0.00016101-0.00034615i,-0.00023547-0.00036018i,-0.0002955-0.0007086i,-0.00024796-0.0010987i,7.6182e-05-0.00052553i,0.0003781+0.00060406i,-9.3331e-05+0.00059934i,-0.00039572+0.00080526i,0.0007449+0.0010655i,0.0013142+0.00083479i
0.00060593+0.00081221i,0.00044938+0.00080478i,-5.2966e-05-0.00014463i,-0.0010028-0.00059999i,-0.001102-3.8181e-05i,0.00013211+0.00056799i,0.00031947+0.00066105i,-4.9279e-05+5.8606e-05i,6.5005e-05-0.00063966i,-0.00011373-0.00025953i,-0.00038174+0.00028012i,-0.0002133+0.0004788i,0.00044452+0.00074699i,0.00075112+0.00080146i,0.00088107+0.00073714i,0.00057429+0.00061507i,0.00023864-9.6066e-05i,3.4437e-05-7.3797e-05i,-0.00032342+0.00077622i,-0.00011888+0.0001277i,0.00041829-0.00093446i,0.00032958-0.00070132i,0.00012582+0.00063191i
0.0014295-5.7879e-05i,0.00077553-0.00024784i,3.7226e-05-0.00077456i,-0.00011386-0.0011461i,-0.00024036-0.0018603i,-0.00065019-0.0016965i,-0.00072294-0.0007063i,-0.00055332+2.2032e-05i,-0.00041756+7.8966e-05i,0.00014503+0.00016609i,0.00046092+0.00075683i,-0.00024543+0.00088807i,-0.00048569+0.00069654i,0.00027548+0.00066893i,0.00048838+0.00055643i,0.0002165+0.0005818i,5.5677e-05+0.00048426i,-7.2293e-06+0.00054523i,0.00032073+0.00033486i,0.00048027+0.00044673i,8.806e-05+0.00093639i,-0.00057884+0.00019498i,-0.00057518-0.00071899i
0.0023412+0.0014566i,0.0027536+0.00032785i,0.0028405-0.00070319i,0.002153-0.00048738i,0.00048662+0.00020254i,-0.0009056+0.00054421i,-0.0012069+0.00063138i,-0.00081362+0.00069006i,-0.00013369+0.00052789i,0.00034369+0.00025526i,0.00069179+0.00021967i,0.00049491-0.00012115i,0.00022924-0.00076816i,-0.00079136-0.00026752i,-0.00097757+0.0008544i,5.4597e-05+8.0438e-05i,-2.7219e-05-0.0012205i,-0.00074293-0.0011212i,-0.00048634-0.00042592i,0.00038943-4.3004e-05i,0.00048263+0.00016023i,0.00021003-0.00032041i,3.945e-05-0.0010556i
-0.00086708+0.0004718i,-0.00052462+0.0019502i,-0.00083602+0.001442i,-0.00091588+0.00071164i,-0.00074816+0.00062053i,0.00031692+0.00029173i,0.0015426-0.0004197i,0.0011268-0.00082287i,-7.9097e-05-0.00090689i,-0.00073979-7.1972e-05i,-0.00037207+0.00013043i,0.00072292+0.0001705i,0.0010124+0.00041306i,0.00075722+0.00025793i,0.00017687+0.00032686i,-0.00022071+1.3546e-05i,-5.715e-05-2.1076e-05i,0.00023901-0.00040884i,0.00083893-0.00080623i,0.00060087-0.00052641i,0.0001007-0.00066913i,2.1236e-05-0.00066065i,-0.00028586-0.0004817i
-0.00028435+0.0013097i,0.00026771+0.0010622i,0.0011249+0.0010491i,0.0015161+0.00080034i,0.00074751+0.00034997i,-0.00010816+0.00015148i,0.00038527+0.0001552i,0.00064537+0.00033959i,0.00043309+0.00029086i,0.00046296+5.6167e-07i,2.4119e-05-0.00011371i,-0.00029392+0.00029663i,0.00030484+0.00085457i,0.00039271+0.00024986i,-7.7534e-05+0.00039573i,-0.00059488+0.00064793i,-0.00074901+8.0378e-05i,-0.00034669+5.6198e-05i,-0.00018136+0.00026509i,-0.00019623+0.00092339i,-0.00063226+0.001094i,-0.0009793+5.5596e-05i,-0.00079811-0.00038163i
