-0.0055455-0.000246i,-0.0030152-0.00056221i,-0.0031048+0.00015812i,-0.0028489+0.0013603i,-0.0026372+0.0028681i,-0.001996+0.0018215i,-0.00086537+0.00092625i,-0.00016831+0.0015556i,0.00015999+0.0020122i,0.00060838+0.0016194i,0.00027511+0.00078977i,-0.0001238+0.00042982i,-0.00024306+0.00022058i,-0.0011411-0.0001496i,-0.0013199+0.00014207i,-0.00072386+0.00024818i,-0.00067351-0.00025418i,1.0039e-05+0.00024651i,0.00061804+0.00057127i,0.00040136+0.00037685i,0.00017237-0.00041104i,0.00027976-0.00043925i,0.00031631+0.00020926i
0.0024823-0.0016331i,0.0025001-0.0014821i,0.001089-0.0011461i,-0.00025365-0.00068651i,-0.0011379-0.00082748i,-0.00091421-0.0017654i,-0.00097351-0.0014431i,-0.0010007-0.00045985i,-0.0003674+0.00060355i,-2.3038e-05+0.0012513i,9.7663e-05+0.0010459i,-0.00089129+0.0010942i,-0.0013285+0.00015811i,-0.00060221-0.00024268i,-0.00030139+0.00044112i,0.00025854+2.5129e-05i,0.00066014-0.00058733i,0.00030755-0.0004171i,0.00038014-0.00013255i,0.00043914-2.7378e-05i,-0.00019107+0.00021533i,-0.00063133+0.00050599i,-0.00072173+0.00062001i
0.00019192+0.0010681i,0.00012513-0.00019756i,-3.8544e-05-0.0001128i,-0.0013293-0.00016196i,-0.0014574-0.0011934i,-0.00014538-7.779e-05i,-0.00045518+0.00035464i,-0.0012936-0.00060195i,-0.0011826-0.0011298i,-0.0004929-0.00072926i,0.00027298-0.00050995i,0.00054828-0.00038515i,0.00018893+0.00020853i,0.00033417+0.0006109i,0.00024174+2.2075e-05i,1.2261e-05-0.00011538i,0.000239+0.0001109i,0.00052356-2.7529e-05i,0.00036846-0.0005619i,-3.3835e-05-0.00022794i,-0.00010983+0.00090233i,6.0071e-05+0.0012816i,0.00021125+0.00063471i
-0.0011071-0.0017005i,-0.0013208-0.001627i,-0.0011728-0.00035125i,-5.4792e-05+0.00011188i,0.00020661-0.00065802i,-0.00077502-0.001064i,-0.0007791-0.00014974i,-0.00062933+7.2147e-05i,-0.00071118+0.00040834i,-0.0008776-0.00014601i,-0.00068751-0.0006227i,-0.00044722-0.0001028i,-0.00027598+0.00025229i,-0.00064068+0.0001457i,-0.00087065-0.00072262i,-0.00048567-0.00071952i,-0.00024145-5.9485e-05i,-0.00031185-0.00021719i,-0.00019486-0.0004599i,-7.3411e-05+0.00027307i,-4.6533e-05+0.00036331i,-0.00010076-0.00013314i,0.00028482-7.0814e-05i
0.00049379-0.0027118i,0.00067536-0.0021423i,-0.00066012-0.00081283i,-0.0018665-0.00032781i,-0.0025528-0.00045235i,-0.0021187-0.00032883i,-0.001421-0.00059262i,-0.00082199-0.0010057i,-0.00044589-0.00092732i,-0.0003963-0.00073194i,1.3408e-05-0.00061314i,3.8015e-06-0.00043189i,-0.00017687+4.6988e-05i,-0.00011169+0.00072688i,-6.2291e-05+0.00086922i,0.00048668+0.00010192i,0.0002767+0.00023949i,-0.00012843+0.00085184i,-0.00012346+0.00066993i,-0.00040013+0.00063982i,-0.00066571+0.00045763i,0.00029294-0.00017937i,0.00081346-0.00073972i
0.0012982-0.00032909i,0.0001419+8.907e-05i,-0.00081418-0.00020584i,-0.0014843-0.00019281i,-0.0015726+0.00013855i,-0.0014768-0.00014738i,-0.0016919-0.00058806i,-0.0014739-0.00084843i,-0.0011785-0.00054236i,-0.00063096+2.9352e-05i,0.00018127-1.8896e-05i,0.00031375+0.00025369i,-0.00015048+0.00072254i,-0.00041601+0.00030957i,3.8393e-05-5.7531e-05i,0.00016319+0.00015119i,0.00030738+0.00057461i,0.00019685+0.00090525i,-1.1547e-05+6.6134e-06i,0.00068287-0.00045769i,0.0011202+0.00012321i,0.00050892-0.00017489i,1.9552e-05-0.00026466i
-0.0003122+0.0011982i,-0.0012679-0.00024072i,-0.00069444-0.0014699i,-0.00086992-0.00073989i,-0.0018667-5.9563e-06i,-0.0014807+0.0001909i,-0.0011279-0.00032044i,-0.00086603-0.00069106i,-0.00012888+0.00016479i,0.00061851+0.00091942i,0.0003263+0.0013146i,-0.00015576+0.0014752i,-9.9718e-06+0.00090414i,0.0010252+0.00078275i,0.001449+0.00072236i,0.0010548+0.00054168i,0.0011714+0.00045763i,0.0010205+0.00068758i,0.00046352+0.00080371i,4.3703e-05+0.0005373i,0.00016401+0.00034338i,-0.00021115-0.0004372i,-0.00064748-0.00081395i
-0.0046918-0.0003958i,-0.003745-8.9723e-05i,-0.0035048-0.00014729i,-0.0031908+0.00081576i,-0.002097+0.0015328i,-0.00056592+0.00090996i,-0.00014186+0.00028288i,-0.0010483+7.4427e-05i,-0.0014477+0.00064537i,-0.00097672+0.001308i,-0.00035545+0.00066319i,0.00040631-0.00011522i,0.00080029+0.00053333i,0.00027915+0.00085683i,0.00067639+0.00035764i,5.0682e-05-0.00024998i,-0.00090684-0.00066097i,-0.0004964-0.0002511i,-0.00024003+0.00051377i,-0.00075628+0.00073853i,-0.00084668+0.00037022i,-0.0005644+0.00075607i,3.0465e-05+0.0005876i
-0.00067664-0.00067159i,-0.00030007-0.00050825i,0.00040166+0.0006597i,0.0014075-0.00033151i,0.0012252-0.0015839i,0.00013932-0.0022519i,-0.00095833-0.0018938i,-0.00046122-0.0008056i,0.00024805+6.1027e-05i,-8.5859e-05+0.000252i,-0.00045929+0.00013406i,-0.00016692-0.00020946i,0.00071964-0.00060858i,0.00016153-0.00073659i,-0.0007357-0.0003049i,0.00016965-9.9607e-05i,0.0012594-0.00035709i,0.0003243+6.4411e-05i,8.9426e-05+0.00032188i,0.00053967+0.00010288i,-0.00030403+2.1149e-05i,-0.00084923+0.00026705i,-0.001087+0.00046177i
0.00039972+0.00070484i,0.001236-0.00042303i,0.00075723-0.0010182i,0.00039391-0.00074878i,0.00048687-0.00013318i,-0.00021551-0.00025881i,-0.0010828-2.2988e-05i,-0.0014691+0.0003636i,-0.0018455+0.00012155i,-0.0010276-8.8202e-05i,4.1974e-05+5.2465e-05i,1.2169e-05+0.00072681i,8.9017e-05+0.00064586i,0.00045749-0.00026164i,-7.1477e-05-0.00026292i,-0.00030376+0.00012914i,-0.00057623+3.4316e-05i,-0.00040578+0.00021348i,0.00071131+1.8908e-05i,0.00065981-0.00039811i,0.00031133-0.0005155i,-0.00015437-0.00048271i,-0.0002542-0.00044916i
0.00019076+0.00042129i,-0.00057035+0.00018395i,-0.00034694-0.0001651i,-0.0002934-0.001002i,-0.00066172-0.00043069i,-0.00071746+0.00022744i,-0.00083851-0.00047473i,-0.0012932-0.00056222i,-0.0011575+0.0005277i,-0.0006807+0.001494i,-0.00014562+0.00088349i,-0.00045745+0.00010191i,-0.00067466+0.00010845i,-1.6785e-05+0.00049233i,0.00034113+0.00022412i,8.1987e-05-0.00024045i,5.364e-05+0.00014904i,0.00025588-0.00024882i,0.00069114-0.00070521i,0.00084295-5.968e-05i,0.0005418-0.00020787i,0.00032805-0.00032378i,-8.7363e-05+0.00039743i
