-0.0031917+0.00095127i,-0.0032338+0.0016963i,-0.0044071+0.0028225i,-0.0049321+0.0032093i,-0.0044752+0.0024872i,-0.0020595+0.0019464i,0.00038391+0.001007i,0.00085621+0.00040944i,0.00058438+0.00028387i,0.00033311+0.00031546i,0.00063104+0.00089339i,0.00043537+0.0009348i,-0.00041544+0.0008185i,-0.00014604+0.00018975i,0.00084908+0.00017704i,0.0015834+0.00042209i,0.0015142-2.6263e-05i,0.0003811-0.00012914i,-0.00022957+0.00057429i,-0.0003295+0.0011707i,9.8907e-05+0.0010231i,0.00076927+0.00034439i,0.00084831+2.5465e-05i
-0.00070462-0.00025635i,-0.000651+0.00075833i,-0.0010599+0.00037698i,-0.0015599+0.00067462i,-0.0012229+0.00019016i,-9.1519e-05-0.0011655i,0.00078868-0.0015787i,0.0013814-0.0015391i,0.0012423-0.0013469i,0.00083841-0.00030753i,0.00069168+0.00085959i,0.00010348+0.0014212i,-0.00024285+0.0013386i,0.00023173+0.001039i,0.00032489+0.00055916i,0.00055033-0.00042779i,0.00094324-0.00061583i,0.00039143-0.00050485i,-0.00041299+6.087e-05i,-0.00083007+0.00016481i,-0.00028591-0.0009123i,0.00049182-0.00069813i,0.00013902+0.00042556i
-0.00063807-0.00026612i,-0.0006045-0.00016237i,-0.00092417-8.7416e-05i,-0.00058733+0.00011847i,0.00063587-0.00037751i,0.0015118-0.0003366i,0.00097441-0.00042345i,0.0003785-0.0011004i,0.00012026-0.00045749i,-0.00049617-0.0003223i,-0.00028577-0.00028798i,0.00034046+0.00038889i,3.8822e-05+0.00045872i,0.0001556+0.00012052i,0.00012673-0.00033483i,-0.00031824-0.00019569i,9.3297e-05+0.00035924i,0.00025736+0.00017008i,8.3828e-05+0.0001405i,0.00037708+5.9848e-05i,0.00045001-0.00052966i,-0.00023658-0.0004117i,-0.00070253-0.00067504i
0.00090678+0.0017402i,0.00068967+0.0011153i,0.0013926+0.0011728i,0.0019178+0.00055299i,0.0015328-0.001055i,0.0010811-0.0017987i,0.0003871-0.0015721i,-0.00037258-0.0012251i,-0.00055651-0.001017i,0.00038116-0.0003486i,0.00071161+0.00091061i,0.00027478+0.0012094i,3.6271e-05+0.00086355i,8.3387e-05+0.00020175i,0.00069646-0.00013126i,0.0013759+0.00023716i,0.0016417+0.00059439i,0.0012433+0.00065074i,0.00064555+0.00058913i,0.00027689-7.5041e-05i,-0.00034873-0.00063945i,2.9515e-05-0.00053372i,0.00075623-0.00066712i
0.00063831+0.00072594i,0.00029213-0.00018925i,-0.00027094-0.00014276i,-0.00024495+0.00030145i,0.00031181+0.0003099i,-1.1176e-05+5.5028e-05i,-7.4123e-05-0.00028853i,-0.00026098-0.00066739i,-0.00058671-0.00067141i,-0.00091244-5.4357e-05i,-0.0012302+0.00059913i,-0.00070847+0.00061845i,-0.00053069-0.00012178i,-0.0005897+0.00021523i,-0.0006735+0.00063152i,-9.0159e-05+0.00046356i,0.00083325+0.00077247i,0.0004931-0.0002859i,0.00045692-0.00097289i,0.00054795-0.00037845i,0.00014239-0.00065251i,-0.00041164-0.00091646i,-0.0003637-0.00025551i
4.1353e-05+0.0017741i,-0.00093486+0.0013613i,-0.00085721+0.00069952i,-0.00083679-0.00017449i,-0.00096029-0.00076015i,-3.0069e-05-0.00062221i,0.00080747-0.00080817i,0.0009269-0.00074453i,0.00097702-0.00018167i,0.00024126-0.00016095i,-0.000646-0.00025049i,0.00045805+0.00033594i,0.0010663+0.00035987i,0.00056579-0.00013171i,0.0003481-0.00022778i,-0.0004163-0.00066664i,-0.00080501-0.00062604i,-7.6712e-05+8.3494e-05i,0.00033711+0.0011068i,9.7824e-06+0.0010727i,-5.8731e-05+0.00074374i,-0.00085267+0.00090068i,-0.0012011+0.00043424i
-0.00068672+0.00011022i,-0.0007992+0.00045636i,-0.0020813+0.00065238i,-0.0029716+0.0015517i,-0.0021506+0.0021316i,-0.00013344+0.0012526i,0.00050919+0.00010328i,-0.0004498-0.00052306i,-0.00073941-0.0010192i,-0.00018518-0.00079341i,0.00040956+0.00060674i,0.0002959+0.0010153i,9.0676e-06+0.00023604i,0.0001582+0.00020094i,0.0001613+0.00028958i,-0.0004148+0.00020875i,-0.0006314+0.00017402i,-9.1422e-05-6.825e-05i,5.7572e-05-0.00028447i,-0.00096474-0.00025627i,-0.0013386-0.00027129i,-0.0011489-0.00095497i,-0.00080999-0.0010798i
-0.00012654+0.0015018i,-0.00018429+0.0013447i,5.587e-05+0.0010782i,0.00012625+0.00066647i,0.00066864-0.00054729i,0.00066255-0.0016694i,0.00028735-0.0016402i,-6.9552e-05-0.00095765i,-7.6567e-07-0.00082676i,-2.4169e-05-0.00037114i,-4.7491e-05+0.00044551i,0.00025701+0.0007965i,7.132e-05+0.00036953i,0.00029665+8.1088e-05i,0.00045249-0.0001557i,0.0004609-0.0010855i,0.00052775-0.0013693i,0.00021787-0.00036378i,0.00011899-8.6136e-05i,-0.00014603-9.0201e-05i,-0.00074609-0.00044205i,-0.00045334-0.00044383i,-0.00042313+0.0003985i
-0.00038532-0.00027552i,0.00046647-0.00020725i,0.00050369-0.00016044i,-3.9482e-05-0.00032918i,-0.00045364-0.00063887i,8.6051e-05+0.00011205i,0.0010524+0.00065388i,0.00093794+0.00015734i,0.00045601-0.00020854i,0.0001169-8.5809e-05i,3.5681e-05+0.00073143i,0.00014498+0.00094661i,0.00053525-9.8749e-05i,0.00036518+0.00021072i,0.00026507+0.00093963i,0.00018804+0.00075847i,-4.8736e-05+0.00077745i,-0.00078293+0.00054445i,-0.0010642+0.00012109i,-0.00034461-5.8892e-05i,1.6925e-05-0.00010076i,0.00024927-0.00018541i,-0.00012577-2.19e-05i
0.0015876+0.0001103i,0.0015112+0.00070581i,0.0013439+9.19e-05i,0.00094155-0.00066567i,0.0010086-0.00076772i,0.00028694-0.00098041i,-0.00015618-0.0015935i,-0.00027483-0.001595i,-0.00018086-0.0007842i,0.00028834+0.00077336i,0.00015153+0.0013706i,-0.00050477+0.00061435i,-0.00021723-0.00057974i,9.3497e-05-0.0007187i,5.5243e-05+0.00013729i,0.00066746+0.00082596i,0.00028462+0.00076741i,-0.00051524+0.0010129i,-0.00085+0.0012782i,-0.00054956-0.00017146i,0.00035592-0.0010343i,0.00079044-0.0010451i,8.5368e-06-0.00052227i
-0.00025711+0.00070877i,-0.00069637+0.00095937i,-0.0013422+0.0011951i,-0.0015387+0.00047923i,-0.0011991+0.00031559i,-0.00043973-5.8998e-05i,0.00040873-0.0011725i,0.00014703-0.0012164i,-0.0010522-0.00049914i,-0.00067621-0.00034992i,8.9444e-05-0.00061913i,-0.00047789-1.2868e-05i,-0.00049947+0.00063981i,-0.00052979+0.00050275i,-0.00059674-9.3428e-05i,7.0114e-05-0.00072163i,7.8726e-05-0.00070849i,-0.00016862-0.0006343i,0.00035001-0.0006557i,0.00013955-0.00044398i,-0.00031782+0.0001627i,-0.00040267+0.00042742i,-0.00079164+0.00015952i
