-0.00017397+0.00024161i,0.0017711-0.00037893i,0.0015236-0.00093934i,-0.00055145-0.0011763i,-0.0023487-3.9624e-05i,-0.0018859+0.0012742i,-0.00042171+0.0016419i,-0.0002701+0.0017124i,0.00062646+0.0017011i,0.00064329+0.0011411i,0.0005795+0.00040092i,0.00023419-0.00066874i,-0.00061518-0.0011616i,0.00022552-0.00062918i,0.0010732+0.00019207i,0.00080719+0.00075411i,0.00049567+0.0004752i,0.00053789-0.00031547i,4.0038e-05-9.2417e-06i,-0.00055365-4.6368e-05i,-0.00040467-0.00034037i,-0.00010351+0.00066937i,0.00018043+0.00049626i
0.0014161-0.0017168i,0.0011814-0.0016748i,0.00012261-0.0015522i,-0.0011043-0.00078259i,-0.0023875-0.00066009i,-0.0015871-0.00066272i,0.00043684+0.00062932i,0.0010206+0.0011144i,0.00060716+0.00045231i,0.00066479+8.7586e-05i,0.00089979+0.00042001i,-4.4678e-05+0.00047711i,-0.00083107-5.1565e-05i,-0.00045317+0.00020236i,-3.3332e-05+0.00017031i,0.00088499-0.00057024i,0.00077929-0.00065191i,-0.00017905-0.00022424i,-0.00029173-2.4716e-05i,0.00033771-0.00012394i,0.00032086-0.00017614i,0.00062235+0.00068594i,0.00089583+0.0012438i
-0.0015828+0.0018683i,5.0359e-05+0.0013802i,0.00076044+0.0013852i,-0.00025602+0.0020278i,-0.00062673+0.0024341i,-0.0010427+0.0009653i,-0.0010514-0.00045039i,-0.00070455-0.00083585i,-0.00067456-0.00037638i,-0.00023547+0.00015601i,-7.6407e-05+6.3798e-05i,-0.00041544-0.00041268i,-0.0005076-2.0843e-05i,-0.00066031+0.00066526i,-0.0011739+0.00047958i,-0.0015826+0.00040277i,-0.00065376+0.00011159i,0.00011231-9.0802e-06i,-0.00028619+0.00040034i,-0.00063446+0.0005071i,-4.8187e-05+0.00032129i,-0.00012493-8.6435e-05i,-6.0425e-05+1.4571e-05i
-0.0015052-0.0010888i,-0.0021781-0.001199i,-0.0023704-0.0012268i,-0.0023737-0.00032898i,-0.0024539+0.00079126i,-0.001034+0.0011901i,0.00024862+0.00047082i,0.00028168-0.0004572i,0.0004656-0.00074981i,0.00015021-0.00014975i,-0.00069293+0.00032101i,-0.0012519-1.1804e-05i,-0.0010271-0.00065856i,-0.00068694-0.00016011i,-0.00052128+0.00071696i,-0.0006402+0.00039424i,-0.00051979-0.00012316i,1.5158e-05-0.00010908i,0.00049312+0.00027319i,0.00033933+0.00050594i,-0.00020319+0.00073813i,-0.00086136+0.001284i,-0.0010352+0.0012077i
0.00088834+0.00045005i,0.0005548+0.000182i,0.00033894+0.00079638i,-0.00058305+0.0010125i,-0.0008367+0.00036722i,-0.00060134+7.1517e-05i,3.902e-05-5.267e-05i,0.00049938+0.00011946i,0.00045305+0.00010869i,0.00054843-0.00031227i,0.0002965+0.00021954i,-0.00022709+0.00079659i,-0.00030417+0.0002855i,-0.00055085-3.6544e-05i,-0.0010204+5.8105e-05i,-0.00052934+0.00041533i,5.1053e-05+0.00077315i,-0.00036229+0.00087249i,-0.00067992+0.00012734i,-0.00048209-0.00060501i,8.0335e-05+1.9165e-06i,-0.00018878+0.00013635i,-0.00083329-0.00033725i
0.00051776-0.00019901i,-8.7214e-05-0.00049912i,-0.00051793-0.00063675i,-0.0016037-0.0012802i,-0.0022635-0.00050234i,-0.0011722+0.00034758i,5.2361e-05-0.00031614i,0.00051702-0.00065853i,0.00051568+0.00012848i,0.00033974+0.0003008i,0.00033497-0.00019855i,0.00037082-0.00030636i,-0.00066537-0.00029106i,-0.0015025+0.00035805i,-0.00074687+0.0011543i,0.00023627+0.00010529i,0.0004098-0.0011115i,0.00053314-0.000695i,0.00049626-8.7804e-05i,-7.2e-05+0.00081316i,-0.00056155+0.0008977i,-0.00022869-0.00017509i,0.00013083-0.00021312i
8.4226e-05+2.8664e-05i,0.00076332+0.00085153i,0.0013614+0.0010672i,0.00057491+0.00071635i,-0.001133+0.00020687i,-0.0010614-0.00053091i,0.0002534-0.0009454i,0.00012746+2.0411e-05i,-0.00040908+0.001013i,2.8667e-05+0.00058024i,0.00039211-6.4847e-05i,0.00040652+0.00034262i,-0.00027688+0.00022343i,-0.00075716-0.00094074i,-0.00089454-0.0013882i,-0.00050688-0.00058032i,0.00018546+0.00033973i,0.00074434+0.00023811i,4.5458e-05+5.7978e-06i,-0.0011256-0.00028609i,-0.0010779+5.5596e-06i,2.9653e-05+0.00015811i,0.0006395+9.3903e-05i
0.00027394-0.0010423i,0.00088715-0.0011467i,-0.00020474-0.00043025i,-0.0015069+0.00076948i,-0.0011601+0.0011167i,-0.00017016+4.8647e-05i,-5.3493e-05-0.00099751i,0.00060067-0.00059131i,0.0016987+0.00058129i,0.0012286+0.00067234i,0.00024938-0.00068039i,0.00033422-0.0010671i,0.0009993-0.00022561i,0.00021356-0.00046238i,-0.00012993-0.00078878i,0.00013659-0.00023016i,7.3682e-05-8.5239e-05i,5.7435e-05-0.00081049i,-0.00018784-0.00094271i,-0.00017184-0.00029669i,-5.9892e-05-0.00019904i,-0.00017887-0.00032714i,0.00014699-6.6167e-05i
-0.00064367-0.0010939i,-0.00058527-0.00054653i,-0.00071493-0.00078273i,-0.0013728+4.1833e-05i,-0.0027501+0.0010454i,-0.0026851+0.0013933i,-0.00078235+0.00071528i,0.00070366-0.00037185i,0.00081406-0.00062196i,0.00039992-0.00096944i,0.0007954-0.0011433i,0.0010124-0.00034214i,0.00016712-0.0002438i,-0.00051248-0.00028553i,-0.00027023+0.00039409i,0.00041872+7.5251e-05i,0.00051174-0.00035723i,0.00033788-0.00052682i,0.00044581-4.2783e-05i,0.00030179+0.00045516i,0.00014084+0.00014675i,0.00052791+1.7305e-05i,0.00089083+0.00029208i
0.00073623+0.00024667i,0.00020752-0.0001111i,-0.00068803-0.0011652i,-0.00052484-0.00043754i,0.00010582+0.00051895i,0.0001216+0.00091129i,0.00061389+0.00096158i,0.00062226+0.00055603i,0.00053735+0.00040485i,0.00020955-0.0001557i,-0.00023222-0.00037999i,-0.0010521+0.00065512i,-0.0009448+0.0011033i,-0.00034007+0.00036471i,-4.6167e-05-1.2946e-05i,0.00038845-6.5528e-05i,0.00048436+0.0001414i,0.00057667+0.00060802i,0.00029376+0.00035987i,-0.0011161-0.00033882i,-0.0011838-0.00069287i,-0.00021622-0.00021131i,-0.00030456+0.00067579i
-0.0011028+0.00024868i,-0.0010576+0.0006655i,-0.00042159+0.00095391i,-0.0011473+0.0008994i,-0.0015544+0.00049751i,-0.00037515-0.00029355i,0.00036525-0.00066283i,2.9343e-05-0.00023002i,-0.00026907-0.00025614i,4.4223e-05-0.00076804i,0.00082416-0.0011266i,0.00067407-0.00050622i,-0.00030753-0.00022196i,-0.00035695-0.00091736i,-0.00024299-0.00056805i,-0.00073214-4.764e-05i,5.844e-05+0.00013012i,8.2853e-05+0.0003052i,-0.00062883+0.00031802i,-0.00056488+0.00042513i,-0.00060858+0.00075315i,-0.00075958+0.00046669i,-7.2114e-05-0.00036477i
