-0.0016956+0.0016275i,9.409e-09+0.0011195i,-0.00057986+0.0010373i,-0.0011264+0.00154i,-0.0010366+0.0028092i,-0.0001074+0.0033172i,0.00057264+0.0028911i,-0.00015509+0.00161i,-6.6367e-05+0.00022689i,-0.00019973+0.00017963i,1.8297e-05+0.00048553i,7.2033e-05+0.00019898i,-0.0003729+0.00015054i,-0.00093424+0.00028532i,-0.00072301+0.00052094i,-0.00017492+0.00059846i,6.65e-05+0.00057651i,-1.6941e-05+0.00024552i,0.0003358-0.00020204i,0.00036398-0.00019527i,-0.00034951-0.00041481i,-0.001065-0.00032367i,-0.001184+0.00045284i
0.0012047+0.0028334i,0.0020263+0.0013617i,0.0038001-0.00093504i,0.0030373-0.0010627i,0.00044022-0.00026945i,-0.00092883+0.00052063i,-0.00066366+0.00069165i,-0.00023129-3.9974e-05i,-0.00017234+0.00013796i,-0.00039225+0.00041669i,-0.00026358-0.00024054i,-9.2859e-07-0.00016625i,0.00031068+0.00029699i,0.00025536-8.7394e-05i,-9.0095e-05-0.00079482i,5.8388e-05-0.00096743i,8.8863e-05-0.0005737i,4.932e-05-0.00012501i,-0.00045189+0.00078843i,-0.00080731+0.0006509i,-0.00014037+6.965e-05i,0.00018916+0.00014509i,0.0002642-0.00019838i
0.00094423-0.00082682i,0.0007788-0.0018868i,-8.0048e-05-0.0021261i,-0.00075755-0.00096179i,-0.00060262-0.00029339i,-0.00056287-4.8726e-05i,-0.0009778+0.0007923i,-0.0011114+0.00051061i,-0.0015984-8.5736e-05i,-0.0022021+0.00060179i,-0.0013212+0.0010877i,-0.00048726+0.00072166i,-0.00033368+0.0004738i,-0.00029475+0.00067i,0.00019913-9.0137e-05i,0.0010206-0.00013979i,0.0011238-0.00017648i,0.00051276-0.00049092i,1.5017e-05-0.00093324i,0.00025436-0.0011872i,0.00033376-0.00033956i,8.1709e-06+0.0002402i,0.00014691-0.00024313i
-0.0003218-0.0013459i,0.0002882-0.0012171i,-0.00027239-0.001009i,-0.00073397+0.00016156i,-0.0015743+0.0018027i,-0.0012226+0.0021387i,-0.00029871+0.0011259i,-0.0003796+0.00080456i,-0.0012732+0.00082872i,-0.0022287+0.001404i,-0.0016852+0.0019277i,-0.00061185+0.0004381i,0.00033696+3.8521e-05i,0.00070051+0.0012009i,0.00040677+0.0014539i,-0.00021276+0.00047886i,-0.00079422-0.00046203i,-0.001318-0.0013378i,-0.00089006-0.0010306i,-0.00056499+0.00011806i,-0.00051353+8.9186e-05i,-0.00018794-0.00040535i,-4.0528e-05-0.00026327i
-0.00079893-0.0010141i,-0.0011401-3.1156e-05i,-0.0011211+0.00080477i,-0.0015136+0.0018508i,-0.0016311+0.0024601i,-0.00055223+0.0029688i,-0.00016952+0.002662i,-0.00052662+0.0015117i,-0.0010926+0.00059713i,-0.0015423+0.00027409i,-0.0010666+8.9705e-05i,-1.2745e-05-0.00038537i,0.00081588-0.00013099i,0.00089115+2.2752e-05i,0.00021793-0.00032715i,-0.00054962-0.00038919i,-0.00032262-0.00036383i,0.00053899-3.5082e-05i,0.00037939-0.00026905i,8.6287e-05-0.00040937i,0.00037905+7.5706e-05i,0.00050731+0.00034132i,0.00057448+0.00032778i
0.0010647+0.00069061i,0.0011312+0.00086098i,0.0017441+0.0012156i,0.0010242+0.0015315i,-0.00012606+0.0013828i,-0.00033627+0.0015265i,0.00012763+0.00093426i,0.00034891-0.00022787i,-0.00033711+0.00027292i,-0.00087697+0.0001024i,-0.00074066-0.00041128i,-0.00020295-5.4711e-05i,0.00017761-0.00026018i,-0.00046169-0.00060399i,-0.00040987-0.0012831i,-1.0635e-05-0.0013509i,-0.00022772-0.0002959i,-0.00053229+0.00039618i,-0.00032805+0.00037773i,0.00039367+0.00012195i,-2.0144e-06+0.00034435i,-0.00028108+0.00060262i,-0.00027106+0.00034266i
-0.00073256-0.00094416i,-0.0010243-0.00090175i,-0.0012331-6.5748e-05i,-0.0016773+0.0012125i,-0.0016753+0.0017324i,-0.0010634+0.00203i,-0.00057098+0.0019213i,-3.3723e-05+0.0008268i,-5.0815e-05+0.00040084i,-0.00075169+0.00033166i,-0.0010196+0.00018114i,-0.00044426-0.00018763i,-0.00014741-0.00013208i,0.00021191-6.5696e-06i,-0.00014152-0.00028111i,-0.00032095-0.00010071i,4.2244e-05+0.00025966i,0.00040405+0.00055593i,0.00049184+0.00057942i,0.0001662+0.00019906i,-0.00031883+0.00042169i,-0.0004428+0.00082595i,-0.00012283+0.00063936i
-0.00083456-0.00094899i,-0.0013668+0.00099318i,-0.0017406+0.0017423i,-0.0012548+0.002709i,-0.0006143+0.0029588i,-0.00017282+0.0020287i,0.0005117+0.00087398i,0.00033773-9.8162e-05i,-0.00045523-0.00026703i,-0.0013634+0.00010922i,-0.00126+2.8178e-05i,-0.00018215+0.00015924i,8.6226e-06+0.00024529i,-0.00039035-8.0893e-05i,-8.6534e-05-0.00030142i,0.00054709-0.00062841i,0.00044919-0.00067357i,0.0002122-0.00013121i,-0.00018284+0.00042387i,8.7399e-05+0.0005758i,0.00064782+5.4245e-06i,9.5019e-05-5.4541e-05i,-1.4449e-05+4.4365e-05i
-0.00077514+0.00014046i,-0.00046025+0.00061821i,0.00059426+0.0012036i,0.00042081+0.0020429i,-0.0006238+0.0024478i,-0.0003412+0.0010372i,8.49e-05-0.00026486i,-0.00061184-0.0005521i,-0.0011037-0.00015217i,-0.00060997+0.0013171i,-0.0005475+0.0013728i,-0.0010608+0.00023919i,-0.00059483-0.00021147i,-5.5821e-05+9.0805e-05i,-6.5246e-05+0.00049122i,-5.6925e-05+0.00017183i,-0.00056597-0.00019104i,-0.0013607-7.0084e-05i,-0.0010759-8.3426e-05i,-8.8093e-05-0.00010982i,0.00026271-0.00040559i,-9.4363e-05-0.0005936i,-0.00047126-0.00024603i
-0.0023079-0.0002853i,-0.001437+0.00033672i,-0.00097402+0.0020211i,-0.00070637+0.0028794i,-0.00035641+0.0027445i,-5.0218e-05+0.0025395i,0.00049971+0.001644i,0.00031822+0.00083584i,-0.00086929+0.00050573i,-0.0011199+0.00010495i,-0.00061026+1.6465e-05i,-0.00014321+0.00039575i,0.00048457+0.00088647i,-2.8605e-06+6.1654e-05i,-0.00010749-0.00085915i,-0.00014884-0.00070662i,-0.00011389-0.0004762i,-0.00034716-0.00061757i,-0.00026563-0.0010568i,0.00069015-0.00010526i,0.0011933+0.00066936i,0.00035833+5.2675e-05i,-0.00037439-0.0005933i
0.0017386+0.00018059i,0.0022326-0.0007858i,0.0016902-0.0016768i,0.00034274-0.0015068i,-0.00033066-0.00048247i,-0.00044911+0.0009821i,-0.00025341+0.0017729i,0.00030368+0.00070287i,-0.00039196-0.00047725i,-0.0013477-0.00060087i,-0.0009462-0.00046746i,-0.00025127+0.00029567i,0.00015688+0.00071428i,-6.7211e-05+0.0004016i,-0.00063101-0.00057705i,-0.00051548-0.00069953i,-0.00010254+0.00054293i,-0.00020232+0.00059003i,-0.00074229+0.00027258i,0.00015107+0.00062215i,0.0011001+0.00076497i,0.00060729+0.00015719i,-0.0001063+0.00051002i
