-0.001129-0.0019973i,-0.00092222-0.0025241i,-0.0019129-0.00080697i,-0.0012617+0.00084765i,-0.00046699+0.0011457i,-0.00054566+0.0012139i,-0.0003692+0.0016278i,-0.00066511+0.0015649i,-0.00039109+0.00039851i,2.7073e-05-0.00070851i,7.0397e-05-0.0012083i,0.00050264-0.00061568i,0.00046521-0.00011493i,0.00071004-0.00015772i,0.0011603+0.00023668i,0.00026479+0.00089559i,-0.00016174+0.00094876i,-9.707e-06+0.00074615i,-2.5625e-05+0.00054313i,-0.00042909+0.00036912i,-0.00016123+0.00031823i,7.8428e-05+9.4863e-05i,-0.0010197-0.00038819i
0.00053789+0.00041071i,0.0010666+0.0014728i,0.0015789+0.0019346i,0.0018866+0.00087716i,0.0013792-0.00077579i,-6.0062e-05-0.001749i,-0.0012289-0.0016159i,-0.00073441-0.000832i,0.00035071-9.2838e-05i,0.00015853+3.8567e-06i,8.7824e-05-0.00037822i,0.00038579+0.00018909i,0.00030226+0.00038586i,-0.00074299-0.00091595i,-0.0017745-0.0012324i,-0.0011649-0.00047072i,-0.00030301+0.00037926i,-0.0004238+0.00058458i,-0.00094331+0.00016477i,-5.5356e-05-0.00038049i,0.0010853-0.00060063i,0.001154-0.00033345i,0.00097787+0.00013393i
0.00045054+0.0030394i,0.00040279+0.0024578i,0.001037+0.0014277i,0.001826-8.4367e-05i,0.00069127-0.0011938i,-0.0002711-0.0012465i,-0.00087649-8.6169e-05i,-0.0013626+0.00026355i,0.00017346-3.78e-05i,0.0011568-0.00021304i,0.00058975-0.00037163i,-6.1039e-05-0.00039599i,-0.00095184+2.3089e-05i,-0.0016131+0.00044581i,-0.0014484-2.1863e-05i,-0.00036469-2.4689e-05i,0.0003177-0.00010566i,0.00010214-0.00046568i,-0.00058378+0.00025406i,-0.00067624+0.0006827i,-0.00016749-1.8309e-05i,-5.7886e-05-0.00042382i,-0.00063493+0.0007359i
-0.00043133+0.00065007i,-8.1673e-05+0.00059228i,0.0011127+0.00039888i,0.0010048-0.00067567i,-0.00033902-0.00056979i,-0.00097519+0.00013679i,-0.0010972+0.00016526i,-0.00078378-0.00019355i,0.00029826-0.00077421i,0.00073481-0.0011845i,0.00056152-0.00085644i,0.00033885-0.00091831i,-2.8077e-05-0.00066032i,0.00019094-9.319e-05i,0.0002+9.8885e-05i,-0.00049422+0.00093033i,-3.9786e-05+0.0015486i,0.00055593+0.0014269i,-0.00014682+0.0015545i,-0.000371+0.0010169i,0.00036538-8.2756e-05i,0.00061241-0.00025346i,7.6333e-05+1.1002e-05i
0.00077476+0.00096603i,7.2332e-05+0.00091074i,0.00023039+0.00086523i,0.00067059+0.00048059i,0.00062247+0.0002073i,-7.5153e-05+0.00043736i,-0.00069709+0.00024951i,0.00041924+0.00041573i,0.00087673+0.00036525i,9.3766e-05-8.3686e-05i,-0.00035363-3.4105e-05i,-8.7598e-05+6.7152e-05i,4.0976e-06-0.00033349i,-0.00017284+0.00029351i,-0.00027956+0.00078093i,-6.0108e-05+0.00025715i,-6.8516e-05-0.00063392i,0.00013065-0.00080346i,0.00040486-0.00038132i,0.00021002-0.00031286i,-0.00013085-0.0001801i,-0.0004583+8.3616e-05i,-0.00032787-0.00040599i
-0.00085152+0.00014399i,-0.00056601+0.001378i,0.00056918+0.0026047i,0.0013814+0.0016404i,0.0011691+0.00040848i,0.00020943-0.00015891i,-0.00049039-0.00015323i,-0.00061733-0.0002237i,-0.00022693-0.00061285i,0.00013031-0.00038169i,-8.0494e-05+0.00029921i,-0.00014277+0.00086982i,0.0001378+0.00068977i,-0.00040756-0.00030804i,-0.0008274-0.00062161i,-0.00030467+9.5484e-05i,-0.00060139+0.00045495i,-0.00021448+0.0007341i,0.00012126+0.0002751i,-0.00042541-0.00024072i,-0.00029968+0.00014744i,-9.0272e-05+0.00079195i,-0.00030162+0.00081921i
-0.0017662+0.0019045i,-0.00075503+0.0020502i,0.00037167+0.0015318i,0.00041384+0.00069597i,0.00043028-0.00076185i,0.00025277-0.00056285i,-3.0302e-05-9.671e-05i,0.00011652+1.3018e-05i,2.585e-05+0.00051519i,0.00014196+0.00028547i,0.00026426-0.00068122i,0.00022788-0.00085054i,-5.3453e-05-0.00083289i,-0.00027838-0.00051689i,3.3321e-05-0.0002035i,0.00022689-0.00021666i,-3.4598e-05-0.00035345i,-0.00026572-0.00060585i,-0.00088146-0.00052155i,-0.00089961-0.00069216i,-0.00032127-0.00038393i,-0.00043806+0.00031347i,-0.00058068-0.00013216i
0.00020191+6.9502e-05i,0.00013957-0.00042765i,-0.00023874-0.00062472i,-6.0233e-05-9.6748e-05i,1.9814e-05+1.445e-05i,0.00013988+0.00040968i,6.304e-05+0.00090196i,1.9293e-05+4.8853e-05i,0.00041699-0.00055662i,0.00088411-0.00058227i,0.00061403-0.00055389i,-0.00037112+0.00036836i,-0.0010816+0.0012408i,-0.00047137+0.0012639i,-5.7874e-05+0.00072942i,-0.0001897+0.00013466i,0.00026238-0.00021727i,0.00061897-0.00055626i,0.00070511-0.00059436i,-0.00025061-1.0632e-05i,-0.00087181+0.00069743i,-0.00041129+0.00054302i,3.3596e-05+0.00041812i
0.0010271+0.00083715i,0.00090105+0.00019351i,0.00089354-3.3429e-05i,0.0010531-2.5501e-05i,0.00051254-0.00075472i,-0.00019258-0.00060937i,-0.00051005-0.00069731i,7.1941e-05-0.00059655i,0.0001632-0.00059551i,-0.00044858-0.00044903i,-0.001023+0.00041694i,-0.00037371+0.00049205i,-0.00034255+7.7741e-05i,-0.00050295+0.00025376i,-0.00034935+0.0001376i,-0.00068936-9.4573e-05i,-0.00036574+5.6897e-05i,0.00010543+0.000134i,0.00065617-0.00012795i,0.0010375-0.00027542i,0.00048956-0.00038809i,0.00010233-0.00017021i,8.7979e-05-0.0001078i
-0.00086305+0.00031851i,-0.0014472+0.00079735i,-0.0013092+0.0007307i,9.104e-06+0.00052706i,0.00038919+0.0010729i,4.8092e-05+0.0010166i,-0.00053423+0.00015823i,-0.00082244-0.00036154i,-0.00018714-0.00036352i,0.00037121-0.00040044i,-0.0003139-0.00041031i,-0.00024834-0.00029457i,6.6126e-05+2.951e-05i,-6.2866e-05+0.0004694i,0.00016471+0.0002518i,-0.00049454-0.00024585i,-0.0011586-0.00067041i,-0.00041451-0.00062892i,0.00046078-0.00024246i,0.00012599-0.00011342i,-0.00044467-0.00018186i,-0.00078776-0.00033209i,-0.0013218-0.00061675i
-0.00053358+0.0019429i,0.00019256+0.001642i,0.0011809+0.0012814i,0.0013107+0.00064388i,0.0003788-0.00033993i,0.00012367-0.0013781i,1.5139e-05-0.00060368i,-0.00067297+0.00099242i,-0.00077242+0.000902i,-0.00026145+0.0001183i,2.8672e-05-0.00039939i,0.00063954-0.00012262i,0.00033013+0.00046605i,-0.00057769+0.00034946i,-0.00025786-3.1566e-05i,6.0701e-05+0.00030665i,-0.0005411+0.0010118i,-0.00058497+0.00060631i,-0.00028335+0.00047568i,0.00030514+9.4181e-05i,0.00032026-0.00021373i,-0.00022443+0.00073278i,0.00019414+0.001073i
-0.000239+0.00018147i,0.0003183+7.0037e-05i,0.0007477+0.00056915i,0.0011061+8.799e-05i,0.0010255-0.00056973i,0.00011649-0.00042585i,-4.4941e-05+0.00036495i,-0.0002842+0.0010096i,-0.0010012+0.00048712i,-0.00098004+6.0873e-05i,-0.00078041-9.4386e-05i,-0.00032263-0.00023985i,0.00041569-0.00030611i,-0.00022018-0.0010078i,-0.00051159-0.0010199i,0.00016445-0.00035777i,0.00020554-0.00035584i,5.6763e-05-0.00058849i,0.00022687-0.00093623i,0.00023129-0.00052497i,8.0374e-05+2.7636e-05i,0.00055094+2.5464e-05i,0.00072426-0.00021489i
