0.00079249+0.00026907i,0.00038675+0.00029463i,-1.298e-05-0.0014243i,-0.00075632-0.0015521i,-0.0021783-0.00025592i,-0.0023021+0.00066768i,-0.00042181+0.00044226i,0.00099603+0.00036652i,0.00077757+0.00068653i,0.00049397-1.3218e-05i,0.00035318-0.00041132i,-0.00035504-8.5542e-05i,-0.00023578+2.7259e-05i,-0.00014739+0.00018946i,-0.00043679+0.00031857i,-0.0005374-0.00017844i,-0.00064016-0.00049997i,-0.00051103-5.9918e-05i,6.0596e-05+0.00027462i,-0.000159+0.0002955i,-5.1714e-05+0.00076653i,-0.00031038+0.00097058i,-0.00032491+0.00061084i
-0.0013446-0.00085262i,-0.003708+0.0004207i,-0.0048731+0.0017255i,-0.0020676+0.0013712i,0.00018272+0.00047023i,0.0013812-0.0002515i,0.0015898-0.0017307i,0.00078157-0.0019897i,4.6513e-05-0.00068744i,-0.00043834+4.9841e-05i,-0.00026186-0.00013427i,-0.00011562+0.00043039i,-5.1412e-05+0.0004187i,0.00060531+0.0002515i,0.00083683+0.0004849i,0.00037686-0.00017892i,8.4182e-05-0.00078352i,-0.00017636-0.00052923i,-0.00061513-6.5011e-05i,-0.0010564+6.1433e-05i,-0.00077238+0.0006257i,-0.00018549+0.00078294i,0.00069941+0.00019785i
5.4994e-05-0.0012155i,-0.0012184-0.0011987i,-0.0015699-0.0016653i,-0.0012505-0.0017565i,-0.00085675-0.001315i,-0.00010682-0.00055018i,0.00096898-0.00030798i,0.00098447-0.00026298i,-8.6424e-05-0.00080432i,-0.00061679-0.00054807i,-0.00090516+0.0007276i,-0.00060699+0.0012999i,0.00010933+0.00083194i,-2.0388e-05+0.00048388i,-0.00028596+0.0012162i,0.00010077+0.0011095i,0.00017687+0.00056626i,0.00050149+0.00050144i,0.00072809+0.0002646i,0.00040549-0.00016167i,0.00037162-0.00078841i,0.00045016-0.00087225i,0.00021789-0.00010305i
-0.00091395+0.0017836i,-0.0004941+0.0023819i,-0.0014273+0.0023618i,-0.0014907+0.0017072i,-0.00042365+4.87e-05i,0.00027392-0.0017138i,0.00030021-0.0028114i,-0.0006551-0.0014642i,-0.0012938+0.00021447i,0.00017098+0.00042912i,0.00082717+0.0012872i,0.00026295+0.0017607i,-9.7804e-05+0.0011481i,-8.1683e-05-0.00019558i,0.00040567-0.00086821i,0.00066339-0.00069374i,-3.2732e-05+0.00022374i,-0.00052417+0.0010752i,-6.9667e-05+0.00044908i,0.00035783-2.0323e-05i,0.0002256-0.00026974i,0.00012973-0.00015507i,0.0005387-0.00019501i
-0.0015695+0.00069594i,-0.0016005+0.0018789i,-0.00051623+0.0020902i,0.00010917+0.0015814i,0.00067503+0.00079733i,0.00090773-0.00079103i,0.00015891-0.0018369i,-0.00035788-0.0017915i,-0.0003499-0.00064004i,-0.00055055+5.4504e-05i,-0.00054347-0.00021519i,-0.00045178-0.00070435i,-0.00014459-0.00078793i,0.00010928-0.00064705i,-0.00021671-0.00044855i,-0.00013313+6.4138e-06i,-0.0003051-0.00044514i,0.00012459-0.00067617i,0.00047488-0.00026287i,-0.00015925-0.00014171i,-0.00073392-0.00020586i,-0.00066564-0.00017825i,0.00028586+0.00056561i
-0.0011249-0.0012802i,-0.00097264-0.00025627i,-0.0010201+0.00025773i,-0.001444+0.00045178i,-0.0013095+0.00015853i,-2.9385e-05-0.00064499i,0.00074565-0.00093706i,0.00034311-0.00069117i,-1.562e-05-0.00024906i,0.00022396+0.00045606i,3.906e-05+0.00011642i,-0.0006361-0.0001324i,-0.0011779-0.00028802i,-0.0011706-0.0007843i,-0.00050994-0.0006443i,-0.0001928-0.00079701i,-0.00079594-0.00098063i,-0.00076687-0.00055469i,-0.00061227-9.2156e-05i,-0.00146-0.00083312i,-0.001405-0.00095205i,-0.00086834-0.00040003i,-0.0004288-0.00052044i
-9.0102e-05-3.1947e-05i,-0.00012162+0.0013301i,3.2996e-05+0.0013993i,0.00053432+0.0007916i,0.0011277+0.00013825i,0.0018824-0.00031646i,0.002436-0.00098639i,0.0019217-0.0007566i,0.00091698-0.00035902i,0.00054167-2.7269e-05i,-0.00021728-1.0191e-05i,-0.0005699+0.00040121i,-0.00077316+0.00062526i,-0.00087145+1.7012e-05i,-0.0010549-0.0005236i,-0.0010744-0.00073087i,-0.00063692+0.00041169i,1.9435e-05+0.0010059i,-3.4641e-05+0.00090229i,0.00019125+0.00067624i,0.00043755+0.00034214i,0.00014643+0.0003679i,0.00058444+0.00013465i
-0.00014921+6.3941e-05i,-0.00083322+0.00051348i,-0.00032185-0.00066778i,-0.00028323-0.0018468i,-0.00071423-0.0017469i,-0.00039749-0.0011079i,0.00048268-0.0012394i,0.00035579-0.0016187i,-0.00028286-0.00051521i,-0.00096833-0.00028471i,-0.00089123-0.00026731i,-0.0005296+0.00021318i,-0.00061306+0.00017901i,-0.00082007+0.00061358i,-0.00071387+0.0010304i,-0.00025116+0.00056955i,-0.00017068-0.00022237i,-0.00044243-0.00031993i,0.00011108-0.00039898i,0.00053485-0.00037197i,-0.00044862+0.00023144i,-0.00026794+0.00043967i,0.00018851-0.00024162i
-0.00078044-0.0014131i,-0.00054748-0.00077994i,1.9777e-05-0.00030162i,-6.7635e-05+0.00033161i,-0.00026745+0.00063715i,0.00025064-0.00015799i,0.000633-0.00091856i,0.00049089-0.0010047i,0.00043148-0.00053487i,-0.00016977-9.6093e-05i,-0.00065891+6.4649e-05i,0.0002269-0.00012851i,0.00044411-0.00032444i,0.00012487-0.00035682i,0.00041396-0.00024889i,6.8532e-05+0.00030477i,-0.00047746+0.0010365i,6.1216e-05+0.00063708i,0.00060874-0.00025117i,-5.2725e-05-0.00057189i,-0.00016486+2.1429e-06i,0.00022485+0.00025941i,0.00023464+0.00013532i
-0.00023264+0.00029475i,0.00095329+0.00072046i,0.0019757+0.00070257i,0.0020305-0.00017992i,0.0016552-0.0011472i,0.0013998-0.00089816i,0.0018085-0.0012313i,0.0011707-0.0015569i,-0.00087399-0.00090473i,-0.0016439+5.8599e-05i,-0.0010863+0.00080568i,-0.0014064+0.0012665i,-0.0012141+0.00047584i,-4.2041e-05+0.00023378i,0.00032666+0.00037527i,8.2086e-05+0.00045685i,-4.8086e-05+0.00063206i,0.00013921+0.00011428i,0.00030146+9.0234e-05i,0.00051612+5.3003e-05i,0.000487+0.00015435i,0.00037587+0.00041045i,0.00013744+0.00042847i
4.0906e-06+0.0034014i,3.0011e-05+0.0026081i,0.00031555+0.0011i,3.736e-06+0.00057716i,0.00034527-7.1065e-05i,0.00073673-0.00047761i,0.0001618-0.00083925i,-0.00064979-0.0010253i,-0.00085132-0.00029906i,-0.00081934+7.9429e-05i,-0.00114+0.00046519i,-0.0016101+0.00092113i,-0.001712+0.00076708i,-0.0018875-0.00019155i,-0.0022099-0.00074324i,-0.00095458-0.00047178i,-0.00051701+0.00023981i,-0.00077835-0.00049738i,-3.2293e-05-0.0011154i,0.00010759+0.00012302i,9.1822e-05+0.00053149i,0.00035206+1.9244e-05i,0.00037815-4.4476e-05i
