0.00024828+0.0012423i,0.00017406+0.00088281i,-0.00031051+0.00062521i,-0.0018348+0.0011171i,-0.0022844+0.0009932i,-0.0013692+0.0015448i,-0.00090554+0.001318i,-0.00011635+0.00092089i,0.00012623+0.00036436i,9.1635e-05-5.7572e-06i,0.00052546+0.00064226i,-0.00018646+0.00053421i,2.8217e-05-0.00011528i,0.00039295+0.00053113i,-0.00045255+0.00086642i,-0.00068543+0.00012707i,-0.00051615-0.00078132i,-0.00030382-0.00046365i,0.00066632-0.00043241i,0.0010368+4.5131e-05i,1.7261e-05+0.0004736i,-0.00021019+3.0145e-05i,-5.3137e-05+0.00021817i
0.00039663-0.00072253i,6.98e-05-0.00022216i,-0.00082898-0.00026381i,-0.00088544+0.00039907i,-0.00069588+0.0013464i,3.3001e-05+0.0015391i,0.00089566+0.001539i,0.00069721+0.00097323i,-0.00014773-0.00026576i,-0.00052174+4.0612e-06i,-0.00065399+0.00047824i,-0.00016294+0.00016989i,0.00090252+6.006e-05i,0.0012205-0.00021097i,0.0011649-0.00070856i,0.00093092-0.00050101i,0.00026769-0.00020821i,0.00022397-0.00037645i,0.00068405-0.00014948i,0.00053781+0.00011356i,-0.0003636-8.4952e-05i,-0.00034496-0.00032634i,0.00050003-0.00050655i
0.00018437-0.0014799i,0.00048247-0.0010809i,-0.00032662+9.5332e-05i,-0.0022726+0.00099967i,-0.0019032+0.00086514i,-0.00015885+0.00070312i,-0.00014942+0.00092109i,-0.00077719+0.00084266i,-0.00045712+0.00021463i,-0.00054356+7.3624e-05i,-0.00076361-8.534e-06i,-0.00035644-4.3534e-05i,0.00020463+0.00054865i,0.00067364+0.00063477i,-0.00031733-9.1069e-05i,-0.00043268-0.00067141i,0.000522-0.00052874i,0.00051918+0.00013265i,-0.00026618-0.00017586i,-0.00018358-0.0002854i,0.00057884-0.00040574i,0.00044948-0.00066967i,-5.6182e-05-0.00026681i
0.00020265+1.5845e-05i,-0.00066111-0.00060534i,-0.00076719-0.0011744i,-0.00036264-0.00011041i,-0.00012834+0.0012436i,2.473e-05+0.0019182i,0.00072402+0.0011415i,0.0014415-0.00010964i,0.0014724-0.00086472i,0.00035555-0.0014831i,-0.00097999-0.00096031i,-0.00083822+0.00037808i,-0.00015267+0.0007007i,0.00020304+0.00030048i,0.00031168+0.00027899i,-3.0595e-05+0.00050886i,0.0002326+7.1449e-05i,0.00036233-0.00046981i,0.00029164-0.00027107i,-8.7281e-05+0.0005636i,-0.00047697+0.0010197i,-7.0338e-05+0.00030302i,1.6911e-05-0.00022585i
3.221e-05+0.0015457i,0.00065911+0.0015861i,0.0014531+0.0011274i,0.0014712+0.00039047i,0.0012967-0.00061738i,0.00075456-0.0019077i,0.00026944-0.0015746i,0.0004367-0.00078516i,0.00040522-0.00068959i,-0.00010206-0.00090102i,-0.00023105-0.00040186i,-2.4114e-05+2.4343e-05i,9.4716e-06+0.00014243i,-0.00081428+0.00073522i,-0.0011679+0.0009006i,-0.0007744+0.00074702i,-0.0010404+0.00035131i,-0.00045374+0.00036086i,0.00026754+0.00033131i,-0.00027384+9.8751e-05i,0.00017388-0.00071577i,0.00093106-0.0011715i,0.00083411-0.0008944i
0.0026655-0.001229i,0.0018091-0.001778i,0.00065591-0.0022295i,-0.00012852-0.0014955i,-0.00051233+0.00012721i,-0.00037756+0.000995i,0.00057464+0.00037314i,0.00039062-0.00033152i,0.00024069-0.0010048i,0.00024416-0.0006711i,-0.00016503+9.4242e-07i,0.00052014+0.00078068i,0.00091324+0.0017284i,0.00073443+0.0020463i,0.00040138+0.0011759i,0.00033639-0.00012245i,-0.00013785+0.00068565i,-0.0001046+0.0017292i,0.00035586+0.0011497i,0.00036493-9.3414e-05i,0.00044547-0.00035739i,0.00082707+0.00042217i,0.00060263+0.0009026i
0.0017836+0.0010021i,0.0005998+0.00013364i,0.00098476+0.00059572i,0.0015693+0.001181i,0.00069685+0.00085458i,-0.0006806-0.00032359i,-0.0007644-0.00057723i,-0.00032505+3.1588e-05i,-0.0004851+0.0002096i,-0.00088711+1.6746e-05i,-0.0010109+0.00035333i,-0.00090545+0.00096144i,-0.00075537+0.00035655i,-7.7997e-05+0.00011373i,-0.00021333+0.00042367i,-0.00017801+0.0001262i,0.00032896+0.00028632i,0.00025617+4.8371e-05i,-6.8538e-05-0.00063938i,-0.00025513-0.00073672i,-0.000136-1.6517e-06i,-0.00042079+0.00035127i,-0.00057564+0.00062361i
-0.0014179+0.00068916i,6.2345e-05+0.00018119i,0.00091981-0.00056446i,-0.00026842-0.00051249i,-0.0008066+0.0001756i,-0.00095026+0.00056294i,-0.00080238+0.0010436i,3.1628e-05+0.0014914i,0.00066629+0.0005067i,0.00057726-0.00044311i,0.00041239-0.00025363i,3.2738e-05-0.00035212i,-0.00032081+0.00014059i,-5.8966e-05+0.00055295i,0.00022533-0.00033515i,2.2214e-05-0.00040951i,-0.00030811+0.00027968i,-0.00031912+0.00019859i,-0.0007274-0.00034946i,-0.00019138-0.00056094i,0.00096237-0.00016754i,0.0012018-0.00052805i,0.00074855-0.00061858i
-0.0013796-0.00019323i,0.00018665+0.0011288i,0.0016997+0.0020137i,0.0023443+0.0015814i,0.0021107+0.00042862i,0.0012112-0.00073244i,0.00045668-0.00072345i,4.8831e-05-0.00015994i,0.00018694+0.00072419i,0.00052076+0.00055454i,0.00069206-2.8064e-05i,0.0005858-0.00013594i,0.00032051-0.0002168i,-0.00040153+0.00011526i,-0.00035232+0.0001233i,-2.0932e-05+0.00020251i,-0.00035064-4.8955e-05i,-0.00055095-0.00049812i,-0.00013193+0.00024257i,0.00043645+0.00046455i,0.00035947+1.7645e-05i,0.00015894-0.00026728i,0.0005981-0.00048275i
0.0021286-0.00047578i,0.001896-0.00077517i,0.00084701+0.00081288i,0.00074573+0.0013616i,0.0015056+0.00048262i,0.0011808-0.0002695i,0.00042408+9.7792e-05i,0.00033522+0.00029318i,0.00036419+6.0517e-05i,0.00028814-0.00020989i,-0.00033245-0.00088011i,-0.00013654-0.0010037i,5.4829e-05-0.00068963i,-4.5181e-05-0.00056173i,0.00078089-5.4468e-05i,0.0013467-0.000352i,0.00097999-0.0010053i,9.2159e-05-0.0002387i,-0.00023016+7.0786e-06i,0.00044733-0.0004349i,0.00056593+0.00018343i,0.00021457+0.00018203i,0.00059519+0.00016653i
-0.00022396+0.0014418i,-0.00089958+0.0014642i,-0.001717+0.00074326i,-0.0012491+0.0011149i,0.00031373+0.0020481i,0.0015648+0.001906i,0.0017197+0.00084605i,0.0011777+4.3486e-05i,-0.000161+1.4067e-05i,-0.00047713+0.0004842i,-0.00098347+0.00024159i,-0.0015024-8.3293e-05i,-0.0010603-0.00014906i,-0.00064261+0.00015421i,-0.00041331+0.00051224i,-0.00028486-0.00013254i,-0.0003879+0.00032533i,-0.00033496+0.0011838i,-7.6232e-05+0.001538i,0.00027366+0.001101i,0.00045667+0.00068696i,0.00038255+0.00084751i,0.00036072+0.00072239i
