0.00035545+0.00073394i,-0.0006822+0.00067315i,-0.0017904-0.00063748i,-0.00228-0.0018479i,-0.0025964-0.0015004i,-0.0028066+0.00023143i,-0.0027937+0.0013879i,-0.0014815+0.00064135i,0.00021302-0.0003985i,0.00053255-0.00066511i,0.00010442-0.00072734i,0.00010351-0.00046615i,0.0010083+0.00031696i,0.00095628+0.00060215i,9.4903e-05+0.00033025i,-0.00024651-0.0001607i,-0.00052364-0.00020098i,-0.00063667-0.00023179i,-0.00071518-0.00054537i,-8.2604e-05-0.00032204i,0.00098985+0.0001088i,0.00034954-0.00011486i,-0.00038223+4.6129e-05i
5.9282e-06-0.0011589i,-1.9078e-05-0.0014238i,0.00036777-0.00040592i,0.00058809+0.0012275i,0.00011512+0.0013883i,-0.00066309+0.00077233i,-0.00093437+1.181e-05i,-0.00099329-0.00028892i,-0.0012742+1.5746e-05i,-0.0001896-0.00042001i,0.00081925-0.00046855i,0.00021663-5.1564e-05i,-3.1215e-05+7.1177e-05i,-8.6423e-05+0.00036802i,-6.6296e-05+0.0004838i,0.00055228+0.00027806i,0.00052633-0.00016109i,0.00024458-1.7943e-05i,5.7095e-05+0.00018297i,-0.00011775+0.00022952i,0.00025243+0.00019515i,0.00057333+0.00076706i,0.00013175+0.00045025i
-0.00084637+0.0010047i,0.00013144+0.0016781i,-0.00032751+0.0022868i,-0.00079403+0.002485i,-0.0006377+0.0018166i,-0.00025306+0.0004149i,-0.0002537-0.00090089i,-0.00045234-0.0011732i,-0.00032134-0.00088602i,-0.00032599-0.00023514i,-0.00034591+0.00018521i,0.00027967-5.456e-05i,0.00071669-0.00038786i,0.00088164-1.4431e-05i,0.00094445+0.00060621i,0.0002277+2.8467e-05i,-0.00014962-0.00075542i,-0.00017475-0.00057496i,0.00012988-0.00027375i,3.0407e-05-0.00051337i,-0.00031791-0.0009201i,0.00010665-0.00073538i,0.00027384-0.00020698i
-0.0011456+0.0010465i,-0.00017433+0.00067529i,0.0003669+0.00017462i,0.00090124-0.00050757i,0.0012131-0.00075852i,0.0003655-0.00088415i,-0.00053202-0.00076606i,-0.00073083-0.00052684i,-8.6082e-05-0.00085489i,0.00014652-0.00019685i,-0.00026538+0.00063237i,-0.00021277+0.00019399i,0.00012227+0.00030886i,0.00050191+0.00060096i,0.00030782+1.2274e-05i,-7.0941e-05+9.8981e-05i,0.00029748+0.00028243i,0.00053575-0.00011446i,0.00041792-0.00057279i,0.00022471-0.00041547i,-3.532e-05-7.3849e-05i,-0.0004841+0.00025606i,0.0001164+0.00030063i
-0.00081539-0.00014264i,-0.001832+0.00092719i,-0.001965+0.001682i,-0.0016869+0.0015807i,-0.0015424+0.0012114i,-0.0013568+0.0010708i,-0.00029958+0.00066074i,-0.00051182-0.00081618i,-0.00095372-0.0013358i,-0.00023763-0.00076542i,0.00030057-0.00010992i,0.00045215+0.00035747i,0.00033664+0.00075469i,7.6803e-05+0.00090039i,-0.00036085+0.00017395i,-0.00020989-0.00070852i,0.00019865-0.00069204i,0.00023462-8.7278e-05i,0.0003837-0.00056594i,0.00075915-0.0011132i,0.00078551-0.00034538i,0.00028491+0.00058532i,-0.00028605+0.00013767i
0.00096698+6.6253e-05i,0.0015957-0.00033814i,0.0021168-0.001039i,0.0019937-0.00133i,0.0020798-0.0012815i,0.00048143-0.0014031i,-0.0011228-0.0020216i,-0.0010242-0.0016178i,-0.00036575-0.00078205i,-7.5475e-05+7.8414e-05i,0.00021278-0.00027405i,0.00017605-0.0010144i,8.3187e-05-0.001032i,5.4791e-05-0.00026787i,-0.00048399-0.00024039i,-0.00034961-0.0004974i,3.0887e-05+0.00033757i,0.00013206+0.00051678i,0.00058479+6.938e-05i,0.00039728+7.5691e-05i,-0.00027744+7.5841e-05i,-0.00044022-0.00046086i,-0.00012421-0.00025714i
0.00040556+0.0015868i,0.001465+0.0025133i,0.001932+0.0033883i,0.0015562+0.0021161i,0.0010793+0.0004073i,0.00063823-0.0002568i,1.8604e-05+2.1124e-05i,-6.7624e-05-6.0137e-05i,-8.498e-05+4.0988e-05i,-0.000502+0.00015155i,-0.00058108+0.00031862i,-0.00055779+0.00063227i,-2.3495e-05+0.0011786i,0.00050833+0.00074751i,0.00051986+3.0433e-05i,0.00027895+0.00039834i,-0.0003288+0.00036204i,-0.00071286-0.00061366i,-0.00088572-0.00092041i,-0.00092874-0.0002009i,-0.00031807+0.0001343i,0.00033735+0.00010226i,0.00023515+9.5128e-05i
0.0026565-0.00042955i,0.0016512+4.9983e-06i,0.00076133-0.00068003i,0.00051105-0.00074356i,0.00031279+0.0002137i,-0.00019762+0.00056822i,-0.0003953+0.00032656i,-0.0006678+0.00034834i,-0.00045273+0.0001572i,-0.00024108-0.00031721i,0.0004389-0.00017393i,0.00042775+0.00024859i,-0.0003377+0.00099655i,-0.00066111+0.0012213i,-0.00048106+0.00082438i,-9.8847e-05+0.00022202i,0.00048464-0.0004624i,0.00058233-0.0005419i,3.757e-05-0.0010305i,0.00015212-0.0010363i,0.00013618-3.0202e-05i,0.00012968+0.00040717i,-0.00020035-2.7379e-05i
-0.0015983+0.00038247i,-0.0020158+0.00036197i,-0.0016755+0.00046874i,-0.00064319+0.00094625i,0.00013351+0.00069726i,0.00058618+0.00046645i,0.00038929+0.00080757i,-0.0001969-7.3671e-06i,7.4582e-05-0.00082738i,-1.7965e-05-2.4746e-08i,-0.00031476+0.00079772i,-0.00098496+0.00048649i,-0.0011172-0.00027638i,-0.00025623-0.00063617i,-0.00029692-0.00061171i,-0.0003372-0.00024794i,0.00010744+0.00060868i,-0.00047257+0.00090207i,-0.0010523+0.0010041i,-0.00089905-3.9489e-05i,-0.00017774-0.00085584i,0.00065512-0.00019989i,0.0012787+3.6652e-05i
0.001086-0.00057668i,0.0017039-0.00090455i,0.0017726-0.00054154i,0.00055951-0.00045212i,-0.00063866-0.00052477i,-0.00062476-0.00087368i,3.4769e-05-0.00096378i,0.00018922-0.00023057i,-0.00080031+0.00037445i,-0.00016894-0.00013277i,0.00067843-0.00060561i,-0.00035564-0.000158i,-0.0017738+0.00029546i,-0.0012382+9.0434e-05i,-0.00012365-0.00020456i,0.00039655+0.00021028i,0.00023412-0.00042033i,0.00015049-0.00099062i,0.00089245-0.00034664i,0.00072197+0.00022671i,0.000298+5.8902e-05i,4.8843e-05-0.00022392i,0.00029154-0.00014684i
-0.00029228+0.00051003i,-0.00071677+0.0019744i,-0.00040862+0.0022415i,0.00030982+0.0017069i,0.00058867+0.00092893i,0.00024956-0.0001052i,1.5626e-05-0.00048048i,-0.00040346-0.00035034i,-0.00033273-0.00097914i,0.00011658-0.0005489i,0.00025465+0.00014768i,-0.00047687+0.00012828i,-0.00045214+0.00031227i,0.00046197+0.00034651i,0.00023612+0.00083934i,-0.00053978+0.00025387i,-0.00033496-0.001541i,5.8741e-06-0.0013834i,3.272e-05-2.9992e-05i,6.0842e-05+0.00027828i,-0.00021611+0.00043784i,-0.00010686+0.00089006i,-0.00064749+0.00055817i
