0.00076758-0.0014845i,0.00056255-0.0019725i,-0.00047418-0.0021591i,-0.0015804-0.0012606i,-0.0016974-0.00031852i,-0.00050217+0.00064265i,0.00013344+0.00010553i,8.0258e-05-0.00051548i,0.00051631-5.6447e-05i,0.00011027-7.4547e-06i,-0.00038481-0.00030122i,-0.00012695-0.00064316i,-0.00012181-0.00024003i,-0.00032581-0.00015843i,-0.00070505-0.00072636i,-0.00072415-0.0014151i,-0.00038096-0.0010559i,5.8608e-05+0.00019654i,-0.00063823+0.00083132i,-0.0003206+0.00089015i,0.0010941+0.00043217i,0.0011218+0.00022125i,0.00095368+0.00070535i
-1.0008e-06+0.00050804i,-0.00066574-0.00031838i,3.8627e-05+0.00048551i,0.00061452+0.00030191i,0.00011804-0.00010381i,-0.00015916-0.00037816i,0.00034438-0.00093299i,0.0006523-0.0010895i,0.00044956-0.00081247i,-0.00020835-0.00097469i,5.201e-05-0.00068867i,0.00013599-0.00016659i,-9.0365e-05-0.00019291i,4.0508e-05-0.00072144i,0.0003882-0.00093617i,0.0010468-0.00039791i,0.00044633-0.0001715i,0.00032959+0.00016587i,0.0014973+5.029e-05i,0.0014323+0.00015329i,0.00067783+0.00071586i,-0.00024548+0.00024226i,-0.00055244-0.00049616i
0.00018115+0.00039844i,-0.00029724+0.00015668i,-0.001733+0.00012033i,-0.0029957+0.00044706i,-0.0029386-0.00023886i,-0.0015634-0.00027156i,-0.00059648+0.00043698i,-0.00052007+0.00070124i,-0.00023744-0.00010789i,-0.00031813-0.00034646i,-0.00034984-0.00033923i,0.00054329-6.4801e-05i,0.0008358+0.00012822i,-3.8941e-05+1.411e-06i,-8.4757e-05+2.6794e-05i,0.00025135-8.9798e-05i,0.00028801+0.00010321i,0.00026976+0.00048662i,3.7422e-05-1.2573e-05i,4.7123e-05-0.00036347i,0.00057513-0.00019524i,0.00055116-0.00023706i,-0.0002589-0.00042516i
-0.00081116-0.00016793i,-0.00056591-0.00037734i,0.00071941+0.00040995i,0.0012841+5.2477e-05i,0.00059339-0.000357i,-0.00018342-0.00063336i,9.2241e-06-0.0010197i,-0.00048492-0.0012278i,-0.00078721-0.00011242i,-0.00029472+0.00076788i,-0.00030481+0.00012039i,-0.00073862-0.00053788i,-0.00047117-0.00019493i,6.2242e-05+0.00048421i,0.00021761+0.00016934i,0.00064202+4.7972e-05i,0.00045642+0.00042504i,0.00071429+0.00055495i,0.001059+0.00093031i,0.00017682+0.00053608i,-0.0007332-0.00025247i,-0.00066859-6.6432e-05i,9.5152e-06+0.00012152i
0.0015378-0.00087453i,3.8391e-06+0.00081327i,-0.0010689+0.00039787i,-0.001167-0.00070765i,-0.0004774-0.00035388i,-0.00025885+6.2705e-05i,-0.0003227-0.00085645i,-0.00022149-0.00080239i,-0.00056171-0.00032009i,-0.00060086-0.00031509i,-0.001108-0.00034549i,-0.0011914-0.00060896i,-0.0009777+5.785e-05i,-0.00072969+0.00057471i,-0.00063594+0.00015746i,-0.0005383-0.00035815i,-0.00032017-0.00049993i,9.4834e-05-0.00017452i,0.00037507+3.1802e-05i,2.4989e-05+3.5862e-06i,-0.00056628-8.1632e-05i,-0.00071565-1.5563e-05i,-1.6064e-05-0.00028013i
0.0002459-0.00059572i,-0.00017826+0.00058961i,-0.00084179+0.0013282i,0.00068011-0.00023888i,0.0015048-0.0011561i,0.00035595-0.0015451i,-0.00037479-0.0017627i,8.5369e-05-0.0010471i,0.00042292-7.5279e-05i,0.00068635+0.00054693i,0.00069868+0.0002997i,0.00016188+0.0001489i,-0.00043325+0.00065962i,-9.1386e-05+0.00093869i,0.00066969+0.00058898i,0.0007696+0.00023205i,0.00060547+0.00060049i,0.00010903+6.5296e-05i,1.5924e-05-0.00062679i,0.000406-6.9667e-05i,0.00015695+0.00021183i,-0.00021893+0.00033942i,0.00082065+0.00064967i
0.0014144+0.001108i,0.001791+0.00092225i,0.0013086+0.00034704i,0.0004703-0.0010852i,-0.00044335-0.0020319i,-0.0011206-0.0017663i,-0.00047487-0.0015984i,-0.00032202-0.0014424i,-0.00066263-0.00046241i,0.00049489+0.00055581i,0.00080472+0.00068374i,-0.00050331-0.00013639i,-0.0013663-0.00031951i,-0.0015586-0.00031295i,-0.00093975-0.00073032i,-9.8077e-05-0.00034245i,-6.2228e-05-0.00070142i,0.00059873-0.0005765i,0.00082979+5.8166e-06i,0.00055364-4.0703e-06i,0.00016347+0.00015096i,-0.0002534-0.00047634i,0.00034637-0.00099437i
0.0002111+0.00036837i,0.0014666+0.00097884i,0.0006473+0.00092802i,-9.4998e-06-9.8394e-05i,-0.00039788+0.00014161i,-0.00076094+0.00067686i,-0.00055072-0.00011007i,-0.00018046-0.00068095i,-0.00060009-0.00042941i,-0.00044215-0.0006438i,0.0002702-0.0011879i,0.00031167-0.00084238i,5.3979e-05-0.00019491i,-0.00037742+0.00022495i,-0.00042471+0.00043866i,-0.0004743+0.00011889i,-0.00029629+0.0004487i,0.00040309+0.00084497i,0.00050697+0.00076109i,-7.7669e-05+0.00066596i,-2.0418e-05+0.0010764i,0.00035541+0.00083168i,0.0004023+0.0004407i
-0.0026375+0.0019403i,-0.0038554+0.0021502i,-0.0034939+0.0023766i,-0.00098112+0.0025868i,0.00036838+0.001329i,-9.1033e-05-0.00028819i,-0.00077872-0.00039332i,-0.0012568-0.0005221i,-0.00075365+0.00025636i,0.0002413+0.0010454i,0.00073966+0.00053353i,0.00053651+0.0003076i,0.00047088+0.00065285i,0.00031659+0.00081422i,-0.00033563-2.3672e-05i,-0.00044634-0.00072526i,0.00026536-0.00047135i,0.00044657+0.00012411i,7.4109e-05+0.00043461i,-0.00031367+0.00022557i,-0.00051952-0.00022125i,-0.0001037-0.00012935i,-1.5839e-05-0.00041531i
-0.0033072+0.0010647i,-0.0032842+0.0017328i,-0.001586+0.0015323i,-5.5968e-05+0.0015326i,8.71e-05+0.00071443i,-0.00011432-9.8174e-05i,-0.00024753-0.00023347i,-0.00040205-0.0006946i,-0.00039879-0.00036089i,0.00020498-6.1575e-05i,0.00089559+9.9966e-05i,0.00063061+0.00050064i,0.00033854+0.00014646i,0.00015449+0.00011235i,-0.00020563-9.1791e-05i,-0.00030102+0.00065567i,-0.00030216+0.0010535i,7.5123e-05-0.00020815i,4.4389e-05-0.00081108i,0.00046337-0.00027894i,0.00051476+0.00018392i,4.2475e-05-0.00060849i,0.00028449-0.0012075i
