-0.0012254+0.0003457i,0.00044259+0.00017873i,0.00064704+0.00098938i,0.0002776+0.0010746i,-0.00075516+0.0011525i,-0.00047968+0.0013258i,-4.3775e-06+0.0012864i,-0.00020541+0.001161i,0.0007896+0.00042348i,0.0017123-0.0005487i,0.0012208-0.00062127i,0.00077286-0.00029377i,0.00041747-0.00067818i,0.00039306-0.0013665i,0.00068434-0.0011734i,0.0009512-0.00090664i,0.00066363-0.00073993i,0.00047372-0.00040509i,0.00052671-0.00025316i,0.00033892-0.00013368i,0.00016696-0.00082713i,-0.00010528-0.00036188i,-0.00030479+0.00028834i
-5.8847e-05-0.0012129i,0.00031664-0.0024431i,-9.0718e-05-0.0013064i,-5.6194e-05+0.00082452i,0.00075825+0.00096917i,0.001063+0.00024888i,0.00042355+0.0001264i,-0.00048568+0.00021296i,-0.00071939-0.00017713i,-0.0010898-0.00088565i,-0.0009117-0.0007371i,1.3257e-06-0.00021206i,0.00088023-0.00020327i,0.0014978-0.00055974i,0.0010792-0.00057238i,0.00073304-4.7469e-05i,0.00016641+0.00046489i,-0.0011606+0.00047137i,-0.001174+7.2398e-06i,-0.00047888+0.00027993i,-0.00065181+0.0006361i,-0.00015723+0.00053262i,0.001046+0.0005554i
0.00135-0.0019008i,-0.0001549-0.0023064i,-0.00079404-0.0025293i,-0.0014862-0.0017726i,-0.0016332-0.00061693i,-0.0016828-0.00012227i,-0.0014493-0.00022745i,-0.00087756+0.00048171i,-9.2177e-05+0.00095605i,0.0004757+0.00038682i,0.0005044+0.00097435i,0.00049966+0.0013152i,0.00020886+0.00074134i,0.00016142-7.8119e-05i,0.001298-0.0003535i,0.0016161-0.00035364i,0.00079827-0.00056239i,1.9689e-05+0.00041593i,-0.00054771+0.00071825i,-0.00025385+0.00020262i,0.00034595+0.00026421i,0.0002111+0.00027622i,-0.00037217+0.00027045i
-3.7869e-05+0.00051458i,0.00039781+0.00046341i,0.00050845+0.0018003i,0.00062222+0.0024017i,0.0016559+0.00092694i,0.0020674-0.0004877i,0.00069727-0.00032958i,-0.00041179+0.00055984i,-0.00084779+0.00088284i,-0.00062752+0.00077357i,-0.00050104+0.00029279i,-0.00027138-0.00020952i,-0.00063299-0.00034322i,-0.00078454+0.00020829i,-0.0003295-0.00011049i,0.00034254-0.00068371i,0.00055477-0.00029226i,0.00028242+0.00014698i,-0.00016369+0.00062841i,-0.00037102+0.00033799i,-0.00028038-0.00047055i,0.00012983+0.00050059i,2.3055e-06+0.0010678i
-0.0014801+0.00076516i,-0.0018126+0.00071828i,-0.0017768+0.0011854i,-0.00085021+0.00054621i,-0.00018749-0.00051781i,-1.3789e-05-0.00082341i,-0.00066302-3.9649e-05i,-0.00092125+0.00057794i,-0.00064935+0.00063356i,-0.00064214-7.6848e-05i,-0.00049291-0.0010523i,-0.00013337-0.0006491i,0.0012496+8.6955e-06i,0.0015309-0.0004258i,0.0012527-0.00046981i,0.00067086-0.00027031i,-0.0007159-0.00035891i,-0.00089653-0.00059425i,-0.0002037+0.00013863i,-0.00022817+0.00063748i,-0.00077818-0.00035933i,-0.0011375-0.00079262i,-0.00077185-0.0003539i
-0.0026424-0.00026021i,-0.0020543+0.00085588i,-0.0014901+0.0029279i,0.00036898+0.0030792i,0.0029647+0.0020909i,0.0036807+0.00084832i,0.0020517+0.00014482i,0.00057777-0.00015622i,7.0798e-05-0.00031111i,0.00016167-0.00042324i,0.00060719-0.00070356i,0.00091186-0.0010157i,0.00061605-0.00138i,7.23e-05-0.0012442i,0.00035585-0.0012626i,0.00044664-0.00083764i,0.00036983-0.00020526i,9.2935e-05+0.00050621i,0.00032838+0.00087743i,0.0002774+0.00020252i,-0.00041824-0.00085983i,-0.0012993-0.0014479i,-0.0014841-0.00081874i
0.0011794+8.1442e-05i,0.00085564+0.00031016i,0.00058855-0.0010109i,0.00059585-0.0021546i,-6.7672e-05-0.0022223i,-0.00073784-0.0014322i,-0.0013501-0.00050773i,-0.00055553+4.7831e-05i,-1.5576e-05-0.00042102i,-0.00018381-0.0014239i,-0.00040423-0.0010144i,-0.00082203-0.00031358i,-0.00058532+0.000301i,0.00070622+0.00035339i,0.0015556+8.1029e-06i,0.00079613+0.00016277i,0.0002043-0.00021084i,0.00022309-0.0001086i,0.00018241+3.8068e-05i,-0.00023479+8.841e-05i,-0.00047644+0.00020848i,-0.00023834-0.00063371i,-0.00025305-0.0011663i
-0.00095177+0.0011877i,-0.0010725+0.0015296i,-0.0004386+0.0017382i,4.9605e-05+0.0021423i,0.00090121+0.0013607i,0.001658-0.00037425i,0.0012506-0.00039903i,0.0010882+0.00043503i,0.00019264+0.00068699i,-0.0012022+0.00095313i,-0.00032512+0.0007863i,0.0007152+0.00077402i,0.0007704+0.00024531i,0.00037885+6.1899e-06i,0.00072744+9.5871e-05i,0.0016526-0.00027797i,0.00092214-0.00045972i,-0.00033441-0.00017488i,-0.00012824-0.00021989i,0.00033176-9.645e-05i,0.00056959+0.00017973i,0.0008603+0.00016666i,0.00038134+0.00019897i
0.0013069+0.00045544i,0.0023713-0.00011079i,0.0020353-0.00054785i,0.00061253-0.00088281i,0.00034401-0.0017873i,0.00027062-0.0011964i,-0.00081025-0.00049257i,-0.00054883-0.00012313i,0.00055674+0.00016795i,0.00051063+0.00037745i,-0.00010728+0.00049217i,-0.00044521+0.00076913i,-0.00030254+0.00082765i,0.00029224+0.00040367i,0.00047416-0.00039425i,0.0007229-0.00024442i,0.00035806+0.00010022i,-0.00022823+9.7756e-05i,-8.2918e-05+0.00010952i,-0.00034116-0.00062666i,-0.00010467-0.0010122i,0.00011057-0.00036297i,-0.00035695+0.00059626i
0.0029295-0.00058497i,0.0018226-0.00077218i,0.0011166-0.00064009i,0.00082659-0.00074307i,0.001167-0.0016112i,0.00071553-0.0014747i,-0.00013309-0.00039143i,0.00043335+0.00030758i,0.00062276+0.00034052i,-0.00016872-0.00022288i,-0.00040121-0.00064357i,-0.00010274-0.00028251i,0.0006624+0.00040751i,0.0008395+0.00065157i,0.00044296+0.00019675i,0.00021962+0.00040978i,-4.8171e-06+0.00024737i,0.0001175-0.00085254i,-3.7699e-06-0.00061939i,-0.00033227+0.00066598i,-0.00038189+0.00035216i,-0.0003385-0.0012395i,6.6486e-05-0.0012426i
-0.0003598-0.00027118i,-0.00022688-0.00014317i,-0.00078648+0.00046383i,-0.00087119+0.00071168i,-0.00080498+0.00039956i,-0.00098107+0.0004171i,-0.00060275+0.00083688i,-0.00056579+0.00016842i,-0.00029309-0.00029818i,0.00035396-0.00047839i,0.00043069-0.00033682i,0.00050039+0.00058972i,0.00033309+0.00055893i,-0.00088381-0.00047746i,-0.0010806-0.0010754i,-0.00063989-0.0010062i,-0.00067855-0.00064587i,-0.00019794-0.00059199i,0.00029117-0.00070036i,4.3844e-05-0.00071317i,-0.00070611-0.00071997i,-0.00097579-0.00058753i,-0.00081419-0.00021974i
