-0.004728+0.00092218i,-0.00085425+0.0011974i,0.0004956+0.0014206i,0.0014772+0.0024027i,0.0023824+0.0026839i,0.0023022+0.0017708i,0.0012726+0.0012877i,0.00073376+0.00098255i,0.00024627+5.3375e-05i,0.0001157-0.00049223i,0.00065429-0.00074333i,0.0012668-0.00072616i,0.00091675-0.00078637i,-0.00021001-0.0011899i,-0.00081379-0.00092591i,-0.00012415-0.00084981i,0.00062352-0.00042404i,0.00048275+0.0002526i,0.00071704+0.00020154i,0.00057014+0.00020709i,-0.00032277+0.00046976i,-0.00033499+0.00066129i,6.1913e-05+0.0008209i
-0.00037251-0.00051421i,0.00010579-0.00097274i,0.00091778-0.00076991i,0.0018831-9.6788e-05i,0.0022086+0.0012803i,0.0020524+0.0019312i,0.0012521+0.0019652i,0.00027458+0.0020749i,-0.00018804+0.0012706i,-0.00066225-5.3344e-05i,-0.00070867-0.00037511i,-4.5052e-05-0.00034579i,-0.00010485+0.00036833i,-0.00058013+0.00054167i,-0.00015441-0.0006659i,0.00063032-0.00090705i,0.00018002-0.00064239i,-0.00052043-0.00046572i,-0.00026285-0.00025918i,-0.00023537+4.7008e-06i,0.0002657+0.00050605i,0.00098833+0.00042696i,0.00040528+0.00039926i
0.00014752-0.0021916i,-0.00092062-0.0012019i,-0.0019257-0.00018354i,-0.00054503-0.00017239i,0.00083352-0.00061649i,0.00064163-0.00073248i,0.00077184-0.0012417i,0.0015255-0.001572i,0.00050673-0.0015738i,-0.00041786-0.00082462i,-0.00031691-9.1133e-06i,-0.00033363+9.5152e-05i,9.7249e-05+9.541e-05i,0.0007578-4.527e-06i,0.00098029-0.00028944i,0.0011706-0.00045841i,0.00058084-0.00041421i,0.00047584-0.00045626i,0.00039567-0.0007234i,1.9417e-05-0.0008378i,5.8559e-05-0.00030176i,0.00019017-0.00060708i,0.00056655-0.00062887i
-0.0015552-0.0010721i,-0.0014108+0.00021624i,-0.0010521+0.00079355i,0.0013684+0.0010854i,0.0030985+0.0010905i,0.002516+6.2778e-05i,0.00095717-0.00062406i,0.00050967-0.0011783i,0.000843-0.0014098i,0.00031109-0.00056591i,-3.5081e-06+0.00044796i,-6.2185e-05+0.0006803i,-0.00033777-3.8279e-05i,0.0003799+0.000108i,0.00062148-0.00011609i,0.00019691-0.0010902i,0.00011464-0.00088681i,-5.8799e-06+0.00011067i,-0.00054468+0.00037699i,-0.00067567-3.1801e-06i,-0.0001981+0.00034545i,0.00015468+0.00090455i,-1.0453e-05+0.00060881i
-0.00089397-0.00097136i,0.00050947-0.00017313i,0.0014006+0.00014065i,0.0023009-0.00037543i,0.0023588-0.0013249i,0.0020539-0.0010442i,0.0013315-0.00012591i,0.00017256+0.00027755i,-0.0003375+0.00023965i,-9.2595e-05+0.0004772i,0.00049079+0.00099199i,0.001273+0.0010101i,0.0011365+0.00064681i,0.00048464+0.00040957i,0.0005732+0.00087122i,0.00024225+0.0012111i,-0.00089492+0.00078007i,-0.0010606+5.1677e-06i,-9.5426e-05-0.00043887i,0.00040199-0.00010298i,0.00015433+0.00050016i,2.5271e-05+0.00049163i,0.00023198+0.00069403i
0.0012447-0.00093202i,0.00038465-0.00039039i,0.0009162-0.00033141i,0.00074844-0.0010271i,0.00049651-0.001571i,0.0013052-0.0015935i,0.0013016-0.00031067i,0.00049202+0.00036441i,0.00031317+1.1006e-05i,0.00030999-0.00019202i,0.00030155-0.0001535i,0.00020094-0.00016901i,0.00044098-0.00010663i,-0.00028288-0.00015452i,-0.00031549-0.00091561i,7.0478e-05-0.0008078i,0.00021741+0.00012425i,0.00058126+0.00089137i,6.0128e-05+0.0013866i,-0.00062328+0.0013561i,-0.0001479+0.00079404i,0.001029+0.00036292i,0.00064861+0.00037234i
0.0020184+0.00026996i,0.0015763-0.00084423i,0.0022838-0.0019158i,0.0029728-0.0012741i,0.0016662-0.00016065i,0.00079571-0.00010266i,0.00044694+0.00026655i,0.00014147+0.0010208i,0.00010776+0.00045218i,2.3118e-06-6.8607e-05i,-0.0003316+0.00022467i,-0.00028291+0.00037495i,0.00033355+0.00015719i,0.0013673-0.00022861i,0.0016659-0.00048684i,0.0011201-0.00016894i,0.00091318+0.00026299i,0.0003216+0.00095575i,-0.0001222+0.00091248i,-0.00058376+0.00012473i,-0.0007757-0.00031249i,-0.00030558+4.789e-06i,0.00027852+0.00017289i
-0.00029998-0.0014793i,-0.00012073-0.00065334i,-0.00033527-5.4608e-05i,0.00014054+0.00061798i,0.00075119-0.0001041i,0.0016094-0.00064157i,0.001715-0.00043766i,0.00077192+0.00019746i,0.00064692+0.00050937i,0.00010802+0.00053298i,-0.00014489+0.0010295i,0.00048695+0.00054401i,0.00070609-0.0001018i,-5.9645e-06-0.00059894i,0.00010253-0.0013956i,0.00062553-0.0014254i,0.00023801-0.00080236i,-4.5659e-05+0.0001286i,0.00017794+0.00061006i,0.00026826+0.00070077i,0.00077613+0.00090023i,0.00052796+0.00072169i,0.00016426+4.9801e-05i
0.00074803-0.0014275i,0.00013912-0.0023179i,-0.00062346-0.001908i,0.0010331-0.0015124i,0.002451-0.00080055i,0.0014363-0.00019786i,0.00067981+0.00070396i,0.00066291+0.0014485i,-4.8046e-06+0.00053103i,-0.00040528+0.00014272i,-0.00017316+0.00010854i,-9.4052e-05-0.00058309i,-0.00011772-0.00071988i,-8.8875e-05+0.00019508i,0.00020647+0.00080283i,0.00049599+0.00015999i,0.00011442-0.00016383i,-0.00014165+0.00023552i,0.00065356+0.0007013i,0.0011785+0.00069219i,0.00054512+0.00033111i,3.9779e-05-0.00016818i,-0.00013495-0.00056081i
0.00081226-0.0011307i,0.00091462-0.00074386i,0.0018031-0.00043642i,0.0020323-0.00020116i,0.0014932-0.00058246i,0.0014478-0.00012725i,0.0011097+0.00041827i,0.00072538+0.00010541i,0.00069053-0.00017239i,0.00025806-0.00031457i,-0.00050822-0.00040438i,-0.00046729+0.00019423i,-0.00047627+0.00024594i,-0.00061217-0.00059683i,-9.8881e-05-0.00081262i,0.00023372-0.00059972i,5.695e-05+9.2339e-05i,-9.7961e-05+0.00052992i,-0.00022228+0.00048549i,-0.00031757+0.00082636i,-2.9899e-05+0.00084677i,0.00041534+0.00033593i,0.00013678+8.902e-05i
-0.00037018+0.00014298i,0.0009325+0.00082033i,0.0015369+0.0024841i,0.0019771+0.0030133i,0.0030724+0.002108i,0.0027323+5.0069e-05i,0.0014825-0.001306i,0.00083497-0.00043054i,-0.00014532+0.00041711i,-0.00042596+0.00036645i,0.00044664+0.00061736i,0.0012727+0.00034855i,0.0014468-1.1969e-05i,0.00024288-0.00025332i,-0.00048334-0.00024412i,-0.00036469-0.00042455i,-0.0002333+6.6275e-05i,0.00014153+0.00041661i,0.00031708-0.00034485i,0.00026715-0.00083323i,0.00029808-0.00055302i,-1.3349e-05-0.00077845i,-0.00036045-0.00094972i
