-0.00060644+0.00056465i,-0.00013917-0.00055974i,-0.0013494-0.00068946i,-0.0026896+3.1526e-05i,-0.003704+0.0010985i,-0.0026932+0.0017326i,-0.001374+0.0019139i,-0.00083727+0.0011797i,0.00068378+0.00036864i,0.0010858-0.0003267i,0.00048356-0.00089783i,-0.000157-0.00088429i,-0.00070556-0.00047012i,-0.0012974-0.00055127i,-0.0012254-0.0004607i,-0.00037661-2.504e-05i,0.00076872+0.00012526i,0.00044677-0.00011264i,-0.0005809+0.00011607i,-0.00044425+0.00017297i,0.0002443+0.00032322i,0.00031982+0.0004109i,0.00020482+0.00057066i
-0.0015604+0.00034311i,-7.5418e-05+0.0011503i,-0.00075978+0.002782i,-0.00073935+0.0028856i,-2.9749e-05+0.0022584i,0.00024751+0.0012052i,-0.00017731+0.00092658i,-0.00094478+0.00022697i,-0.00037692-0.00030037i,0.0010347-7.9571e-05i,0.000781-0.00068399i,-0.00045975-0.00069694i,-0.0004175-0.0002674i,-7.1125e-05+3.2006e-05i,0.0002228+6.685e-05i,-2.3645e-05-8.9497e-05i,-0.0010467+0.00021099i,-0.0011249+0.00013169i,-0.00025208-0.00032664i,9.5104e-05+0.00012287i,-0.00028818+0.00034489i,-0.00050037+0.0005566i,-0.00055874+0.00071185i
0.00026557+0.0016544i,0.00033629+0.001608i,0.0012516+0.0010842i,0.0007497+0.00058141i,-0.0011314+0.00070215i,-0.0020257+0.00075031i,-0.0022377+0.00045092i,-0.0014056+0.0004666i,0.00055388+0.0010243i,0.0012576+0.00078671i,0.00061068-0.00032617i,8.834e-05-0.0012549i,-0.00044225-0.00083424i,-0.00027269-0.00017368i,0.00022324-0.00026341i,-0.00023667-8.9559e-05i,-0.00058353-1.6772e-05i,-0.0002991+8.5153e-06i,0.00010057+0.00083138i,0.00049904+0.00033545i,0.00036168-0.00081165i,-0.00030539-0.00075488i,-0.00016034-0.00057734i
-0.0031977-0.0018876i,-0.0027632-0.00057341i,-0.0025018+0.0019336i,-0.002399+0.0028961i,-0.0026189+0.0033898i,-0.0016822+0.0026853i,-0.0006832+0.00079556i,3.9363e-05+0.00033009i,0.00051827+0.0011596i,0.0010867+0.00073807i,0.0012454-0.0001735i,0.00053547-5.0116e-05i,-0.00027695+0.00029813i,-0.00024814-0.00048084i,-0.00028116-0.0006599i,-0.00087429+0.00026405i,-0.00053406-0.00025816i,-0.00022727-0.0006506i,-0.00019149+0.00010545i,5.4779e-06+0.00050132i,-0.00050695+0.00067856i,-0.00030392+0.00049671i,0.00014827+8.1115e-05i
0.0014863-0.0010749i,0.0014121-0.0011442i,-0.00039869-0.00088249i,-0.002284-8.8417e-05i,-0.0029907+0.00026436i,-0.0019606+0.00069268i,-0.0007676+0.00068592i,-9.4452e-05+0.0003206i,0.00045069+0.00019562i,0.00084876-0.00011679i,0.00096413+0.00012709i,0.00015635+0.00039859i,0.00017281+0.0001709i,0.00035988+0.00047018i,0.00045723+0.00033507i,0.00036835+5.9573e-05i,-0.0009023+0.00059882i,-0.0019569+0.00068764i,-0.0014153-7.2213e-05i,-0.00090996-0.00083943i,-0.00093024-0.00047573i,-0.00042566-0.00015346i,-0.00027607-0.00070396i
0.001079+0.0011645i,0.00019673+0.0026806i,-0.00015646+0.0024279i,-0.00012185+0.0016637i,-0.0011169+0.0021473i,-0.002036+0.0027539i,-0.0015665+0.0015535i,-0.0011353+5.2062e-05i,-0.00019054-0.00026208i,0.00054814-2.405e-05i,1.6495e-05+0.00041072i,-0.00044708+0.0010172i,-0.00036625+0.00098163i,-0.0006901+0.00013608i,-0.00034067-0.00043357i,-0.00019861-0.0004898i,-0.00068085-4.0107e-05i,-0.00062856+0.00082207i,-0.0007521+0.00068715i,-0.00043445-0.0003557i,-9.7915e-05-0.00088283i,-0.00040714-0.0010185i,-0.00012627-0.00092132i
-0.0018894-0.00070739i,-0.0027913-0.00012934i,-0.0029886+0.00041022i,-0.0037227+0.0010148i,-0.0029727+0.00076493i,-0.0015273+0.00068613i,-0.00085032+0.00054256i,5.1659e-05+0.0001716i,0.00042689+0.00023459i,0.00041599+0.00037054i,0.00011704-6.2023e-05i,6.6719e-07+0.00022201i,0.00014931+0.00064666i,-0.00021426+0.00022504i,-0.00056281-0.00015153i,-0.00072243-0.00018379i,-0.00030031-0.00046975i,0.00036907+3.8728e-05i,0.00050244+0.00045568i,0.00015423+8.0686e-05i,-0.00043307-0.00029629i,-0.00087542-0.00077334i,-0.0010412-0.00061976i
0.0021606-0.00094605i,0.00096344-0.00076888i,-0.0004848-0.0018884i,-0.0014298-0.0016241i,-0.0019761-0.00043825i,-0.0023897+0.00037575i,-0.001894+0.00035361i,-0.00044522+0.00034639i,0.00023068+0.00038817i,-9.3525e-06+0.00021863i,-1.105e-05+0.00013247i,0.00018424+0.00044196i,0.00019928+0.0011061i,0.00029007+0.00068177i,0.0004694+0.00010669i,0.00027653-0.00030922i,0.00028-0.00053248i,-0.00011268-4.1214e-05i,-0.0010643+0.00024859i,-0.00095266+0.00030969i,-0.00032998+9.7007e-05i,-0.0001139+0.00049607i,0.0001374+0.001037i
-0.00050511+0.00050982i,-0.00023462+0.00039446i,-0.00020026+0.0016459i,-0.00034167+0.0016197i,-0.00041704+0.00065295i,-0.00063157+0.0010614i,-0.0012407+0.0014189i,-0.00086756+0.0010497i,3.8315e-05+0.001196i,0.00033707+0.0012392i,0.00028809-0.00028408i,0.00027058-0.0015505i,-0.00031587-0.0013431i,-0.00031302-0.00058958i,0.00012591-0.00025217i,0.00043271-0.0013989i,0.0003324-0.0014712i,-0.0001063-0.00077318i,0.00036992-0.00067287i,0.00042913-0.00083931i,2.5499e-05-0.00073682i,0.00026862+0.0002768i,0.00069013+0.00050383i
-0.0014563-0.0013716i,-0.002247+0.00036578i,-0.0031588+0.00074289i,-0.0022736+0.00063314i,-0.00098943+0.001333i,-0.0010434+0.0019806i,-0.0012912+0.0019898i,-0.0012762+0.00014234i,-0.00061287-0.00064545i,0.00054331+5.8157e-05i,0.00045615+0.00021695i,0.00022899+0.0002496i,0.00076029+0.00014866i,0.00017413-0.00030901i,-6.7168e-05-0.00032919i,0.00076775-9.0061e-05i,0.00072129-0.00024871i,0.00030026-0.0002005i,-0.00042651+0.00023259i,-0.0003762+0.00029413i,0.0001967-3.4379e-05i,3.4236e-05-3.6461e-05i,-4.9203e-05+4.4285e-05i
-0.0009337+0.00034986i,-0.00090939-0.00011441i,-0.00089353+0.00038628i,-0.0010261+0.00088457i,-0.0015213+0.00073378i,-0.0018666+0.00068621i,-0.001445+0.00035659i,-0.00075616+0.00020302i,-0.00053769+0.00041715i,-3.7109e-05-0.00046827i,0.0009804-0.00056269i,0.0010944-0.00062912i,0.00012109-0.0012367i,-0.00046034-0.00081687i,-0.00068822-0.00016444i,-0.00059104+0.00011929i,-1.1561e-05+0.00044565i,-0.00050411+0.0014151i,-0.00044775+0.0013335i,-0.00030669+0.00026997i,-0.00095976-0.00054225i,-0.00080312-0.00014146i,0.00014533+0.00018965i
-0.00076061-0.00019326i,-0.00032205+0.00035621i,-0.00081726+0.00042019i,-0.0017169+0.00017341i,-0.0025567+0.00096804i,-0.0031438+0.0011598i,-0.0022698+0.00056628i,-0.00056668+0.00010851i,-7.8608e-05-0.0001003i,-0.00012382-5.1415e-05i,0.0005298+6.3991e-05i,0.0011378+0.00021415i,0.00067647+0.00054289i,-0.00012214+0.00030209i,-0.00029653-0.00042888i,-0.00036898-0.00089884i,-0.00022018-0.00048349i,0.00029778+0.00031851i,0.0005972+0.00061333i,0.00035602+3.1521e-05i,0.00029371-6.1233e-05i,0.00048329-5.6546e-05i,0.00034836-0.00024764i
0.00026387-0.00064403i,4.5736e-05+0.00026141i,0.00017993+0.0010006i,8.9337e-06+0.0015687i,0.00010938+0.001643i,0.00055216+0.0010104i,-0.00026453+0.00068878i,-0.0006924+0.00045073i,-0.00021256+0.00044148i,0.00025732+0.00065627i,0.00029218+0.0003746i,-0.00024219-0.00057747i,-0.00039259-0.0016282i,0.00013225-0.001223i,-0.00022174-0.00033567i,-0.00073331+0.00017983i,-0.00067287+0.00028147i,-0.00044352+0.00042672i,-0.00065935-8.6269e-05i,-0.00045958-0.00042041i,9.3481e-05-0.00023346i,-3.1977e-05-0.00055893i,-1.6686e-05-0.0008032i
-0.0014117-9.3711e-05i,-0.0019778+0.0012755i,-0.00226+0.0017912i,-0.0010236+0.0021113i,-0.0011383+0.0021444i,-0.0014602+0.0017079i,-0.0012135+0.00080637i,-0.00079167+0.00045331i,6.2568e-05+0.00043424i,-5.2289e-05+0.00016435i,-0.00028144+0.0003781i,0.00056862+0.00028901i,0.00023782+9.873e-06i,-0.00042459+0.00033577i,-0.00063132+0.00014952i,-0.00073316-0.00030063i,-0.0010938-3.584e-06i,-0.00075365+2.0268e-05i,4.5255e-05+0.00016915i,0.00033611+0.00021456i,0.00025605-0.00032518i,-7.0329e-06-0.00024823i,-0.0003792-0.00052448i
0.00070873-0.00016067i,0.00059464-0.00088161i,0.00086305-0.0006973i,0.0006565-0.0004276i,-0.00054277+0.00078461i,-0.0012886+0.0022478i,-0.0012546+0.0024445i,-0.00097195+0.0011693i,-0.00028896+0.0003839i,0.00011516+0.00067195i,-0.00061529+0.00059922i,-0.00037138-2.315e-06i,6.8027e-05+0.00015768i,-0.00052189+7.6308e-05i,-0.0005625+0.00013045i,0.00018714-7.8689e-05i,0.00074074-0.00019938i,0.00090633+2.9183e-05i,0.00039307-0.00021915i,-0.00036129+9.3666e-05i,0.0006046+8.3119e-05i,0.00071675-0.00085525i,0.0001341-0.00097338i
