-0.006924+0.0015745i,-0.0041603+0.0028662i,-0.0018621+0.0018952i,0.00017241-0.00055973i,0.0006462-0.0011425i,0.00014965-0.00068524i,-0.00013319-5.8668e-05i,0.00016708+0.00096741i,0.0010538+0.00069175i,0.00079755-0.00034015i,-0.00032806-0.0010625i,-0.00037866-0.00088436i,0.00034012-0.00079689i,0.00070378-0.00028309i,0.0003324+0.0005784i,-5.5982e-05+0.00078443i,-0.00047949+0.0013717i,-0.00045366+0.0012748i,8.505e-05+0.00027772i,8.5183e-05-0.00070946i,-0.00055775-0.00054773i,-0.0013726-0.0002562i,-0.0011602+9.9864e-05i
-0.0059227-0.0012366i,-0.0043395-3.5371e-05i,-0.0034393+0.00035827i,-0.0016385+0.0010128i,-0.00042111+0.00082522i,1.0895e-05-0.00040874i,0.00043529-0.0012822i,-2.5346e-05-0.0010258i,-0.00016686-0.00058674i,0.00012628-0.00056764i,-1.7009e-05-0.00087402i,-0.00034312-0.00058426i,-0.00026788-4.2066e-05i,-0.00017466+0.00061158i,0.00017228+0.0008367i,0.00084983+0.00032102i,0.0006513+0.00021665i,6.8774e-05+0.0003812i,-1.4064e-05+0.00073366i,-0.00024601+0.00018379i,-0.00058601-0.00010954i,-0.0011438+0.00037587i,-0.0014877+0.00099289i
-0.0051986-0.00089771i,-0.0027001-0.00025377i,-0.00068125+0.00028865i,-7.9279e-05+0.0004121i,0.00083257-0.00062977i,0.0012719-0.0013501i,0.0007221-0.0011789i,0.00037976-0.00019409i,0.00014015+9.1965e-05i,-0.00040579-0.00031858i,-0.00052288+0.00015595i,-0.00032352+0.00067902i,-0.0001104+0.00050137i,0.00016255+0.00010984i,0.00023083-0.0003278i,-0.00028541-0.00049996i,-0.00027298+0.00031061i,0.0004063+0.00069015i,0.00073475-0.0003767i,0.00078063-0.00094763i,0.00026811+0.00042473i,-7.9716e-05+0.00043476i,0.00063248+5.1655e-05i
-0.0037335-0.00058511i,-0.0014171+0.0021967i,-0.00010722+0.0022845i,0.0010488+0.00047454i,0.0011895-0.00086095i,0.0012622-0.00072348i,0.0013424-0.00088682i,0.00089156-0.00097703i,0.00088917-0.00076295i,0.00054659-0.0013124i,0.00044966-0.001055i,0.00052189+0.00045201i,-0.00011752+0.0006938i,-3.7202e-06-1.6731e-05i,0.00052259-0.0004516i,0.00054657-0.00084546i,4.253e-05-0.00068632i,-0.00080903+0.00011098i,-0.00049152+0.00053737i,-0.00016862+0.00019021i,-5.6179e-05-0.00082257i,0.00066017-0.00062175i,0.00084594+0.00015397i
-0.006893+0.0015157i,-0.0047711+0.0013989i,-0.0026391+0.0016285i,-0.00083433+0.0019182i,0.00043288+0.00073822i,0.0012918-0.000866i,0.00084226-0.0011398i,-0.0003075-0.00079968i,-0.00014625-0.00062448i,0.00021973-0.00072616i,0.00045488-0.00091302i,0.00079492-0.00079936i,0.0010207-0.00030664i,0.00078276+0.00031988i,-5.4794e-05+0.0003848i,-0.00019303+4.3987e-05i,-0.0002108+0.00035351i,-0.00016283+0.00096233i,0.00034659+0.0009066i,0.00029647+0.00043636i,-0.00012186-3.6833e-05i,-0.00019982-0.00041894i,-0.0001706-0.0005827i
-0.0087187-0.00074491i,-0.0048745-0.00057526i,-0.0028704-0.00086066i,-0.0017394-0.00020422i,0.00072934+0.00066336i,0.001107-5.0462e-05i,0.00026938-0.0013541i,-0.00017561-0.0015365i,-0.00060322-0.00016414i,-0.00098444+0.00066208i,-0.0011352+0.00014891i,-0.00073049-0.00024627i,-0.00018135+0.00036907i,5.9768e-06+0.00036656i,0.00019611-0.00068846i,0.00051628-0.00078864i,0.0005262-7.1012e-05i,0.00028468+2.8044e-05i,0.00039195-0.00038732i,1.8027e-05-0.00037464i,-0.00035159+0.00033162i,-0.00013046+0.00047039i,0.0002764-6.2386e-05i
-0.0060046-0.0004083i,-0.0024375+0.0017738i,-0.00040027+0.0013038i,0.00035106-0.00027694i,0.00038134-0.00020817i,0.00044842-0.00025603i,0.00066265-0.0010168i,0.0010983-0.0011188i,0.00098778-0.00050668i,0.00056816+7.8743e-06i,0.00058447+0.00040716i,0.00095508-2.1346e-05i,0.0011561-0.00025134i,0.0007104+0.00029117i,0.00066691+0.00022003i,0.00086927+0.00031807i,0.001017+0.0006681i,0.00068265+0.00081005i,0.00016882+0.00065242i,0.00059416-8.4082e-05i,0.00053778-7.8172e-05i,-0.00086765+0.0002617i,-0.00096658+0.00055358i
-0.006373+0.00057457i,-0.0033453+0.0017123i,-0.0013163+0.00083755i,0.00047601+3.2564e-05i,0.00099809-0.00086043i,0.001024-0.00086565i,0.00098874-0.0001017i,7.0584e-05-0.00028971i,7.257e-05-0.00028636i,1.1629e-05-0.0002191i,3.615e-05-0.00026532i,0.00020327-6.8186e-05i,0.00023925-0.00020373i,0.00018451+0.00092377i,-0.00039534+0.0011174i,-0.00021545+0.00022569i,0.00051104-1.5725e-05i,0.00016459+7.1711e-06i,-5.6183e-05+0.00041506i,7.8574e-05+0.0010283i,-0.00029715+0.0011753i,-0.00028585+0.00033303i,0.00016178-0.00025427i
-0.0071295-0.0010007i,-0.0049195-0.00034468i,-0.003085-0.0005785i,-0.0010879-0.00028594i,0.00042686-0.00062592i,0.0007106-0.0011714i,7.7381e-05-0.0012264i,-8.1014e-05-0.0010797i,0.0003077-0.00069164i,1.2854e-06-0.00061318i,-0.00010983-0.00049639i,-0.00021195-0.00027776i,-0.00075699-0.00044558i,-0.00095177-0.00056038i,4.2139e-05+2.6447e-05i,0.0006228+0.00084835i,-6.5417e-06+0.0016473i,4.3136e-05+0.0012024i,0.00026841+6.9157e-05i,5.8699e-05+0.00018585i,-0.00076646+0.00083922i,-0.00090799+0.00040428i,0.00019383+0.00012845i
-0.0049705-0.00048217i,-0.0016804+0.00083394i,-0.00020156+0.00098359i,0.00069682-0.00036242i,0.00090179-0.0012572i,0.0004997-0.00096038i,-1.5994e-05-0.00095363i,-0.00011109-0.0013387i,0.00038325-0.0014928i,0.00047298-0.00092889i,9.9079e-05-0.00028252i,-0.00071846-9.9894e-05i,-0.00091416-0.00040094i,-0.00061027-0.0004798i,-0.00074527-0.00043519i,-0.00064739+6.0391e-05i,-0.00020371+0.00039228i,0.00069201+0.00025207i,0.00063231+0.00058941i,6.2953e-05+0.00063049i,1.0612e-05+0.00031615i,3.367e-06+0.0001535i,2.159e-05+5.3381e-05i
-0.0041773-0.0012002i,-0.0025801-0.00012953i,-0.0015752+0.00028798i,-0.00014866-0.00041594i,0.00058982-0.0011312i,-0.0003349-0.0012018i,-0.00034637-0.0017532i,-9.6425e-06-0.0013006i,-1.2097e-06-0.00043742i,-0.00018962+0.00040885i,0.00011874+0.00072766i,0.00013117+0.00020395i,0.00020891-0.00035602i,0.00030708+6.367e-05i,5.3568e-05+0.00027453i,-0.00029136-1.1164e-05i,-0.00010909+0.00016379i,0.00039131+0.00068927i,0.00042722-0.00020715i,0.00041199-0.00083328i,0.00070137+2.9658e-05i,0.0007755+0.00015143i,0.00071314+0.00017946i
