-0.0034466-0.00038376i,-0.0031415+0.00028835i,-0.0038286+0.0017346i,-0.0023098+0.0021398i,-0.0012653+0.0026841i,-0.00075411+0.0024675i,-0.00014684+0.0026164i,0.00057382+0.0023301i,0.00087715+0.00086516i,0.0013352+0.00029535i,0.0016114+0.00014821i,0.00085617-0.00033616i,0.00074017-0.0012336i,0.00196-0.0015016i,0.0021929-0.00048255i,0.00083057-0.0005434i,0.00040145-0.00098802i,0.00084802+7.3974e-05i,0.00062786+0.0010057i,-0.00072412+0.00034849i,-0.0011251-0.00025334i,-0.00039894-8.5357e-05i,-0.00024548-7.7591e-05i
0.0012369+0.0026882i,0.0024803+0.0024937i,0.0019453+0.0014391i,0.00088064+0.000738i,0.00090904+0.00048802i,0.00054257+0.00054062i,-0.00057067+0.0013642i,-0.00073809+0.0011495i,-0.00024968+0.00053196i,0.0001925+0.00019013i,0.00024063-0.00020975i,0.00023402-0.00076054i,0.00020364-0.00056671i,7.9071e-05-0.00013911i,0.00024867+0.00056373i,-3.1205e-06+0.00085642i,0.00059219+0.0011589i,0.00066982+0.00097218i,-5.522e-05+0.00011674i,-0.00021378-7.4406e-06i,0.00039062+6.6286e-05i,0.00087654-8.9059e-05i,0.00054209+0.00015643i
-0.00048823+0.00064979i,-0.00026211+0.00041959i,0.0011352-0.00048205i,0.0010632-0.00043564i,-0.00042151-0.00059893i,-0.00088788-0.00055341i,-0.00067548+0.00041665i,-0.00059034+0.00092428i,-0.00013651+0.00067936i,0.00022445-6.7733e-05i,0.00017073-0.00014889i,0.00040958-6.597e-05i,0.00050027-0.0008266i,0.00035046-0.00083938i,9.2214e-05+0.001025i,-0.00036514+0.0010041i,-0.00046687-0.00061141i,-0.00042953-0.0007156i,-9.5865e-05-0.00052941i,0.00042026-7.1006e-06i,0.00095514+0.00075971i,0.00038753+0.00028969i,-0.00092976-8.408e-05i
0.00098529-0.00026899i,0.00057166-0.00034074i,0.00091271-0.00078203i,0.0014165-0.00083756i,0.00050702+0.00020945i,-0.0017903+0.00062043i,-0.0018096+0.00082338i,-9.6371e-06+0.0011603i,5.645e-05+0.00087429i,-0.0011413-0.00034349i,-0.0010305-0.0014819i,-0.00042293-0.00089676i,-0.0007175-0.00048859i,-0.0007216-0.00083975i,-0.00041657-0.00079042i,-0.00044482-0.00019053i,-2.6523e-05+0.00052192i,0.00046972+0.00040525i,-7.8987e-05-0.00023068i,-0.0009424-0.00053643i,-0.00059894+0.00010451i,-5.275e-05-0.00025834i,9.0491e-06-0.00081348i
0.002569-0.001339i,0.0014325-0.0012249i,0.00043679-0.0017737i,0.00033848-0.0018295i,-6.8734e-05-0.00050567i,-1.7275e-05+0.0014841i,-0.00031173+0.0020527i,-9.3417e-05+0.00081006i,6.6844e-05-0.00016279i,-0.00023988+5.7415e-05i,0.00038697-0.00025671i,0.00064402-0.00070795i,7.4794e-05-0.00053388i,-0.00032246-0.00043326i,-0.00043954+0.00063387i,-0.00015894+0.0011968i,-9.2689e-05-0.00020487i,-0.00048285-0.00071415i,-0.00084229+0.00085834i,-0.0006664+0.0013841i,-0.0001266+0.0011195i,2.9722e-05+0.00055389i,-8.8732e-05-4.6706e-05i
0.00014351+0.0010462i,0.00069774+0.00092303i,0.00058803+0.00082109i,-0.00011219+0.0010156i,-0.00058209+0.0010611i,-0.00019383+0.0011056i,0.00072811+0.0014967i,0.00093669+0.001484i,0.0002889+0.00097728i,-0.00040505+0.00082462i,0.00037591+0.00022902i,0.0011029-0.00046517i,0.00072859-0.0011342i,0.00063414-0.00071587i,0.00053194+0.0004673i,0.00020317+0.00034156i,0.00051485-2.0119e-06i,0.00027473-0.00012096i,-0.00024718-0.00049144i,-0.00016747-0.00029963i,-0.00018457+8.0909e-05i,-0.00027371+0.00049822i,-0.00035769+0.00082319i
-0.0014026+0.00099474i,-0.0009119-0.00032288i,0.00038859-0.00052082i,0.0011553+0.00042583i,0.0010601+0.0013203i,0.00034044+0.0019776i,-0.00032212+0.0025209i,-0.00040588+0.0021133i,-4.3202e-05+0.0011628i,0.00019889+0.0013475i,0.00039463+0.0013715i,4.1009e-05+4.7469e-05i,-0.00030313-0.00043454i,-0.00065205-0.00057957i,-0.00076684-0.00089541i,-0.00042996+3.0679e-05i,-0.00025154+0.00066902i,2.707e-05+0.00019195i,-0.00050158-0.00042663i,-0.0006594-0.00030691i,-0.00011247-5.5878e-05i,-0.00013003+0.00061346i,-0.00018624+0.0009835i
-0.00015041-0.00055543i,-6.5881e-05-0.00042324i,-0.00056708-0.0012882i,-0.0011832-0.0012854i,-0.00083454-0.00014568i,-0.00065776+0.00053706i,-0.0012066+0.00057236i,-0.00099463+0.00033325i,-0.00022476-0.00030995i,0.00018163-0.00037611i,0.00071448-0.00051201i,0.00064253-0.00014867i,0.00033432+0.00045025i,0.0003169+0.00064672i,0.00034886+0.00056956i,1.2754e-05+0.00059146i,-0.00074814+0.00095405i,-0.0013522+0.00061533i,-0.00078282-0.00018855i,-0.00018371-6.669e-06i,-2.4415e-05+9.0118e-05i,0.00066229+0.00045832i,0.0011019+0.0007992i
0.0019111-0.0021246i,0.0008285-0.0013819i,-0.00093116-0.00059534i,-0.00078743+0.00038152i,-9.4829e-05+0.00094878i,-2.5264e-05+0.00094221i,0.00029706+0.0013175i,0.00012738+0.0013627i,-0.0006037+0.00057815i,-7.2613e-05+0.00088479i,0.00050646+0.0010707i,0.00035527+0.00045847i,0.00023572-0.00032636i,0.00044348-0.00056086i,0.000358+0.00024842i,2.4555e-05+0.00095119i,-0.00038477+0.00040044i,-0.00062095-0.00027776i,-0.00020074+8.0213e-05i,-0.00023667+0.00081733i,-0.0001811+0.0010154i,0.00049623+0.00099213i,-6.1295e-05+0.00059708i
0.00066816+0.00068406i,0.0004907+0.0015901i,-0.00052127+0.0018175i,-0.00086713+0.0018654i,-0.00065056+0.0027407i,-0.00034039+0.0031528i,-0.00037292+0.002631i,1.1262e-05+0.001013i,0.00052485+4.0794e-05i,0.00044822+1.99e-05i,0.00023777-0.00018484i,8.2285e-05-0.00063972i,0.00032512-0.00027323i,0.0008466+0.00035215i,0.00085541+0.00028758i,0.00066725+0.00047066i,0.00031564+0.00066462i,-0.00034734-0.00051164i,-0.00084231-0.00086525i,-5.6315e-05-0.00012181i,-0.00036438-3.8421e-05i,-0.0009367-0.0002565i,-0.00030479-0.00029769i
-0.0017206+0.00020573i,-0.0012508+0.000471i,-0.0010069+0.00082087i,-0.0007957+0.0005459i,0.00021768+0.0001752i,0.00030388+0.00040266i,-0.00023677+0.0011678i,0.00021208+0.0015288i,0.00035699+0.0017925i,0.00015033+0.0020118i,0.0001663+0.0010421i,0.00030864-0.0003159i,0.0013519-0.0013047i,0.0016316-0.0013274i,0.00091468-0.00032589i,0.00024814-1.6465e-05i,0.00016338-0.00039115i,0.00046817-0.00054216i,0.00033743-0.00048043i,-0.00087553+0.00020257i,-0.0014508+0.00031586i,-0.00083288+0.00032593i,-0.00046104+0.00062329i
