-0.0014472+0.00097189i,-0.00051175-4.5076e-05i,-0.00023477+0.000127i,-9.3308e-06+0.00024008i,-0.00012413+0.00025917i,-0.00070315+0.00093222i,-0.00060863+0.002237i,0.0011987+0.002581i,0.0022757+0.0021574i,0.0016656+0.00091605i,0.00071979-0.00010996i,0.0003745+9.986e-06i,-0.00024305+0.00016658i,-0.0010178-0.0002491i,-0.0009311-0.00072069i,-0.00020017-0.00077626i,-0.00052704-0.00072361i,-0.00076653+0.00026647i,-0.00021328+0.000859i,0.00044219+0.00063604i,0.0011225-0.00022765i,0.00072654-0.00011883i,3.9972e-05+0.00074303i
-0.0014558-4.2826e-05i,-0.0011685+0.00036102i,-0.00076991+0.00084044i,-0.00041539+0.00094403i,0.00024099-0.00022322i,0.00013131-0.0003882i,0.00018804+0.00025877i,0.0006089+0.00044889i,0.00063802+0.001079i,0.00015881+0.00069628i,-0.00092007+0.00025378i,-0.0012975+9.6957e-05i,-0.0011605-0.00033277i,-0.00079343-0.00031515i,-0.00038683+0.00021993i,-0.00015113+0.00052528i,-0.00023281+0.00028312i,-0.00014376-0.00020905i,0.00041282-0.00050194i,-7.6302e-05-0.00031469i,-0.0013524-0.00014624i,-0.001476-0.00021355i,-0.0013574-0.00030287i
-0.0011403+0.0015602i,-9.819e-06+0.0014153i,0.0017383+0.0010766i,0.0025811+0.0010355i,0.002024+0.001465i,0.0019515+0.00096178i,0.0014701-6.5827e-06i,0.00052558-0.00015777i,0.0007224+0.00012942i,0.00039315+0.00069604i,-0.0004336+7.3688e-05i,-0.00014292+0.00024124i,-0.0002219+0.0010561i,-0.00043363+0.00055982i,-0.00030882-3.809e-05i,1.8879e-05+0.00025789i,0.00025184+0.00084624i,0.00060079+0.00097577i,0.00069315+0.00055085i,0.00024422+4.3499e-05i,0.00019334+0.0003559i,0.00066442+0.00099429i,0.00038567+0.00098413i
0.00035274-0.0016129i,-0.00027995-0.001414i,-1.2485e-05-0.0025895i,0.00025126-0.0014087i,-0.00099089+0.00045775i,-0.0015088+0.00086702i,-0.00050047+0.00078872i,0.00015343-0.0004919i,0.00033437-0.0013609i,0.00031928-0.00095354i,0.00045252+0.00027413i,0.00057926+0.00045327i,0.00062666+0.00093558i,-9.2042e-05+0.0014494i,-0.0013785+0.00057774i,-0.00075684-0.00034625i,-0.00019611-0.00098004i,-0.00087333-0.0012087i,-0.00074612-0.00083981i,-0.00031663-0.00057779i,0.00022834-0.00087927i,0.00039797-0.00031368i,-6.7731e-05+0.00033684i
-0.0029948+0.0022612i,-0.0014567+0.0027062i,9.5775e-05+0.0033005i,0.0014644+0.0028944i,0.0017044+0.001345i,0.000994-0.00053249i,0.00057207-0.0017002i,0.00033419-0.00048049i,-1.609e-05+0.00059679i,-1.2337e-05+0.00063963i,-0.00059466+0.00049465i,-0.00092401-2.5386e-05i,-7.5277e-05-0.00064041i,1.077e-05-0.00065281i,-0.00057452-0.0007344i,-0.00041181-0.00088435i,-0.000146-0.00023746i,0.0001849+3.7076e-05i,0.00040084+6.0033e-05i,0.00011557+0.0001648i,0.00037891+0.00048832i,0.00036947+0.00064405i,9.6044e-05+8.8611e-06i
-0.0020584-0.0015692i,-0.0013295-0.0012272i,-0.0011079-0.00014021i,-0.00062291+0.0018742i,-0.0003699+0.0026805i,-1.7512e-05+0.0020144i,8.9156e-05+0.0012867i,-0.00010521+0.00063239i,-0.0001913-0.0001563i,-0.00074495-0.00011332i,-0.0014791+5.7073e-05i,-0.0014602-0.0001857i,-0.00095342-0.00078853i,-0.00098177-0.00099813i,-0.00065471-0.00071343i,-0.00049808-0.00059383i,-0.00063927+0.00014476i,-3.1996e-06+0.00050877i,0.00039684+7.4981e-05i,0.0005727+0.00027573i,0.00064189+0.00036996i,0.00027612-0.00029271i,3.9848e-05-0.0012676i
0.00032776+0.00031464i,0.00059335+0.0005887i,0.00049367+0.00045937i,0.00025684+0.00071792i,0.00074795+0.00062194i,0.0013669+0.00021922i,0.00043411-0.00029681i,0.00051698-0.0011822i,0.0013964-0.0013748i,0.00040446-0.0010817i,8.0704e-05-0.00044224i,0.00025154+0.00037858i,0.00047714-0.00027085i,0.00060763-0.00099908i,0.00040499-0.00054936i,-0.00042853-0.00012223i,-0.00058696-0.00033737i,-0.00024036-0.00013437i,-0.00030047-2.7184e-05i,0.00024715-0.00082869i,0.00090161-0.00066742i,0.00023803+0.0002709i,-0.0001703+0.00055214i
0.0013276+7.2589e-05i,0.0016331+0.00042315i,0.0018497+0.00015758i,0.0012234-0.00045212i,0.00041871-0.00073108i,0.0007656-0.00025134i,0.00068102-0.00028269i,0.0004585-1.0479e-05i,0.00026074+0.00029025i,0.00018632-1.3125e-05i,-0.00031658+0.00032686i,-0.00042284+0.00071482i,-0.00012289+0.00084814i,2.4012e-05+0.00068031i,0.00033403+0.00057971i,3.5652e-05+0.00024283i,-0.00063312-0.00023187i,-0.00013121-0.00041341i,0.00069031-0.00055995i,0.00092786-0.00019821i,0.00061798-0.0001101i,7.7324e-05-6.1378e-05i,-0.00025449-0.00022577i
-0.0014405-0.0003824i,-0.0022355-0.00028925i,-0.0021628-0.00072054i,-0.0012436-0.0013272i,-0.0012163-0.001596i,-0.00053173-0.00092387i,0.00040433-0.00037905i,0.00028581-0.00038158i,-5.0728e-06-0.00048326i,0.00018933-0.00066414i,0.0005349-0.00057842i,0.00011359-0.00038176i,-0.0003956-0.0006005i,-0.00041777-0.00049025i,-0.00023517-0.00016029i,-0.00011322-0.00026243i,-0.00030237-0.00059542i,-0.00076497-0.001061i,-0.00061783-0.00081633i,0.00077883-0.00019458i,0.00061445+0.00063505i,0.00022674+0.0009862i,0.00083772-6.5691e-05i
0.00067662+0.0010582i,0.0015503+0.00052446i,0.0022269-3.2885e-05i,0.0013595-0.0002166i,0.00074551-0.00050199i,0.0004664-0.00085015i,0.00046102-0.00018528i,0.00082718+0.00068077i,0.00074198+0.00039612i,0.00091793-0.00048594i,0.00048137+6.0822e-05i,-0.00071015+0.00066582i,-0.00025782+0.00023813i,-0.00034402+0.00016143i,-0.00092744+0.00016181i,-0.0012443-7.0544e-05i,-0.00086581-0.00046814i,-0.00024678-0.000437i,2.17e-05-0.00024899i,5.5541e-05+0.00025723i,-2.1972e-05+0.00014984i,0.00046743-0.0005912i,0.00063974-0.00079453i
0.0016332-0.0012187i,0.0010461-0.0011567i,0.00090399-0.0010762i,0.0011961-0.0017558i,0.0011119-0.0014881i,0.00052927-0.00019384i,0.00072939+0.0010417i,0.00089568+0.0011678i,0.00029443+5.8784e-05i,0.0001306-0.00085007i,0.0004567-0.0006362i,-6.4313e-05+0.0001226i,-0.00062318+0.00045754i,-0.00050451+6.9151e-05i,-0.00025291-0.00032122i,-0.00021132-4.5353e-05i,3.3133e-05-0.00016808i,-7.2816e-05-0.00025811i,-0.00037761+5.0216e-05i,0.00036087+0.00024888i,0.00056686+4.7855e-05i,0.00077106+0.00045993i,7.0235e-05+0.0012554i
